scenario_id,family,source_family,source_direction,direction,signal_ts_ns,signal_day_utc,signal_hour_utc,submission_ts_ns,reference_entry_price,expected_entry_price,stop_price,target_price,target_reason,liquidity_level,atr_at_signal,quantity,equity_before_entry,planned_loss_budget,loss_per_unit,net_rr_at_submission,fee_rate_per_fill,sac_entry_confirmation,failed_acceptance_trap,favorable_drift_guard_enabled,actual_entry_price,opened_ts_ns,opened_bar_index,path_observations,mfe_price,mae_price,mfe_price_distance,mae_price_distance,mfe_stop_units,mae_stop_units,mfe_atr,mae_atr,mfe_close_net_r_after_cost,mfe_intrabar_net_r_after_cost,first_close_half_r_ts_ns,first_close_one_r_ts_ns,actual_exit_price,closed_ts_ns,closed_day_utc,closed_hour_utc,duration_minutes,realized_pnl_after_cost,realized_return,realized_r_multiple,outcome,forced_exit_reason
HSP-1708935480000000000-000008,POIL,POIL,LONG,LONG,1708935540000000000,2024-02-26,8,1708935600000000000,51373.6,51344.0,51290.4,51574.3,PRIOR_SLOW_BUYSIDE_LIQUIDITY,51320.0,19.15,23.881,100000.0,3000.0,125.61972206250495,1.2582195486896395,0.0007,,False,True,51344.1,1708935600000000000,499,34,51429.1,51282.5,85.0,61.599999999998545,1.5828677839851881,1.1471135940410033,4.438642297650131,3.216710182767548,0.011676032838766687,0.10236258916097454,,,51290.3,1708937580000000000,2024-02-26,8,33.0,-3000.50627448,-0.001047832175459218,-1.0001687581599998,STOP,
HSP-1708966980000000000-000021,POIL,POIL,SHORT,SHORT,1708967040000000000,2024-02-26,17,1708967100000000000,53309.1,53360.6,53462.700000000004,53150.5,CONFIRMED_LTF_SELLSIDE_LIQUIDITY,53378.5,56.57000000000007,16.429,96999.49372552,2909.9848117656,177.12102878124648,0.7641228764945416,0.0007,,False,True,53360.5,1708967100000000000,1024,5,53302.5,53469.4,58.0,108.90000000000146,0.567514677103694,1.0655577299412604,1.025278416121618,1.9250486123387187,-0.42346620565666016,-0.09521229701543807,,,53462.8,1708967340000000000,2024-02-26,17,4.0,-2909.18669699,-0.0019171484525070588,-0.9997257323225973,STOP,
HSP-1708972500000000000-000024,POIL,POIL,SHORT,SHORT,1708972620000000000,2024-02-26,18,1708972680000000000,53342.0,53424.5,53568.6,53143.5,HIGHER_TIMEFRAME_ACCEPTED_EXTREME,53478.0,51.67999999999993,12.874,94090.30702853,2822.7092108559,219.23988878124652,0.940533226623486,0.0007,,False,True,53424.4,1708972680000000000,1117,12,53342.0,53571.2,82.40000000000146,146.79999999999563,0.571428571428593,1.0180305131761345,1.5944272445820737,2.840557275541715,-0.21197880667769867,0.03404271020885444,,,53568.700000000004,1708973340000000000,2024-02-26,18,11.0,-2821.91861858,-0.002701013020267947,-0.999719917208312,STOP,
HSP-1709006760000000000-000027,POIL,POIL,SHORT,SHORT,1709006820000000000,2024-02-27,4,1709006880000000000,55807.0,55841.8,55937.100000000006,55587.9,CONFIRMED_LTF_SELLSIDE_LIQUIDITY,55888.5,133.07499999999965,15.762,91268.38840995,2738.0516522985,173.7102054999994,1.0114501303724615,0.0007,,False,True,55841.7,1709006880000000000,1687,3,55801.0,55972.8,40.69999999999709,131.10000000000582,0.4266247379454231,1.3742138364779226,0.3058425699793139,0.9851587450686167,-0.4517780044880903,-0.2167396549421677,,,55937.2,1709007000000000000,2024-02-27,4,2.0,-2738.57231526,-0.0017101914877233322,-1.0001901581955412,STOP,
HSP-1709015160000000000-000031,POIL,POIL,SHORT,SHORT,1709015280000000000,2024-02-27,6,1709015340000000000,56267.1,56336.6,56380.0,55700.6,PRIOR_SLOW_SELLSIDE_LIQUIDITY,56321.2,38.32499999999963,21.686,88529.81609469,2655.8944828406998,122.46659549999796,4.551232584888908,0.0007,,False,True,56336.5,1709015340000000000,1828,9,56262.0,56388.7,74.5,52.19999999999709,1.7126436781609196,1.1999999999999331,1.9439008480104556,1.3620352250488608,-0.36456488251116026,-0.03689944985855411,,,56380.1,1709015820000000000,2024-02-27,6,8.0,-2656.57013132,-0.0007739209926068987,-1.0002543958292265,STOP,
HSP-1709019180000000000-000034,POIL,POIL,SHORT,SHORT,1709019300000000000,2024-02-27,7,1709019360000000000,55884.8,55886.0,55986.899999999994,55587.9,HIGHER_TIMEFRAME_ACCEPTED_EXTREME,55935.7,58.76500000000124,14.361,85873.24596337,2576.1973789011,179.37600549999797,1.2257395819866277,0.0007,,False,True,55885.9,1709019360000000000,1895,4,55853.3,55990.6,32.599999999998545,104.69999999999709,0.3227722772277316,1.0366336633663824,0.5547519782182908,1.7816727644004915,-0.3179091865773496,-0.2554268051197181,,,55987.0,1709019540000000000,2024-02-27,7,3.0,-2576.52180183,-0.0018090430681083876,-1.0001259309288788,STOP,
HSP-1709065500000000000-000047,POIL,POIL,SHORT,SHORT,1709065680000000000,2024-02-27,20,1709065740000000000,57105.8,57192.3,57206.1,56956.4,PRIOR_SLOW_SELLSIDE_LIQUIDITY,57126.9,76.37499999999855,26.562,83296.72416154,2498.9017248462,94.07481465624913,1.6560852186558348,0.0007,,False,True,57192.2,1709065740000000000,2668,11,56910.0,57204.9,282.1999999999971,12.700000000004366,20.30215827337896,0.9136690647484199,3.6949263502455314,0.1662847790507968,1.9369108582973078,2.148592699741984,1.70906616e+18,1.70906634e+18,56956.5,1709066340000000000,2024-02-27,20,10.0,4138.25096142,0.004121191351268129,1.6560278942841167,TARGET,
HSP-1709068140000000000-000051,POIL,POIL,SHORT,SHORT,1709068200000000000,2024-02-27,21,1709068260000000000,56751.7,56787.0,56878.6,56587.7,HIGHER_TIMEFRAME_EXTENSION,56800.0,74.83500000000132,15.305,87434.97512296,2623.0492536887996,171.38030506250465,0.6985936990037052,0.0007,,False,True,56786.899999999994,1709068260000000000,2710,9,56732.9,56886.5,53.999999999992724,99.60000000000582,0.5888767720827716,1.0861504907306552,0.7215874924833537,1.3309280416917761,-0.4656411947154668,-0.14974801212220581,,,56878.700000000004,1709068740000000000,2024-02-27,21,8.0,-2622.7554056,-0.0016165700187897242,-0.99988797462023,STOP,
HSP-1709119260000000000-000073,POIL,POIL,SHORT,SHORT,1709119440000000000,2024-02-28,11,1709119500000000000,59361.3,59371.7,59558.8,59011.8,PRIOR_SLOW_SELLSIDE_LIQUIDITY,59424.3,55.6450000000008,9.405,84812.21971736,2544.3665915208,270.50694393750814,1.0233805682413355,0.0007,,False,True,59371.6,1709119500000000000,3564,13,59337.2,59589.0,34.400000000001455,217.40000000000146,0.18376068376068724,1.161324786324767,0.6182046904483954,3.906909875101057,-0.28359944807081966,-0.1807575039969932,,,59558.899999999994,1709120220000000000,2024-02-28,11,12.0,-2544.53544675,-0.003154706964272407,-1.0000663643477175,STOP,
HSP-1709194500000000000-000087,POIL,POIL,LONG,LONG,1709194680000000000,2024-02-29,8,1709194740000000000,63192.5,63134.6,63069.799999999996,63456.99999999999,HIGHER_TIMEFRAME_EXTENSION,63102.8,78.88999999999979,16.089,82267.68427061,2468.0305281183,153.39273271874825,1.5227555454226154,0.0007,,False,True,63134.700000000004,1709194740000000000,4818,2,63206.8,63049.8,72.09999999999854,84.90000000000146,1.1109399075499051,1.3081664098611716,0.9139307897071712,1.0761820256052945,-0.5781793467531462,-0.10782160084680466,,,63069.7,1709194800000000000,2024-02-29,8,1.0,-2467.13681412,-0.0010295447669824561,-0.9996378837343712,STOP,
HSP-1709198220000000000-000089,POIL,POIL,SHORT,SHORT,1709198340000000000,2024-02-29,9,1709198400000000000,62613.1,62637.0,62739.9,62395.299999999996,HIGHER_TIMEFRAME_EXTENSION,62710.0,80.56000000000022,12.544,79800.54745649,2394.0164236947003,190.84725590625058,0.8066456989070865,0.0007,,False,True,62636.899999999994,1709198400000000000,4879,13,62334.4,62706.3,302.4999999999927,69.40000000000873,2.936893203883217,0.6737864077670275,3.7549652432968212,0.8614697120159949,0.43557330497237506,1.125612673757899,,,62395.399999999994,1709199120000000000,2024-02-29,9,12.0,1931.49238016,0.003855554792781891,0.8067999705612362,TARGET,
HSP-1709222340000000000-000101,POIL,POIL,SHORT,SHORT,1709222400000000000,2024-02-29,16,1709222460000000000,62809.1,62912.0,62912.899999999994,62612.899999999994,PRIOR_SLOW_SELLSIDE_LIQUIDITY,62848.8,83.74000000000088,27.504,81732.03983665,2451.9611950995,89.1480344375032,2.367215063478959,0.0007,,False,True,62911.9,1709222460000000000,5280,2,62763.8,62919.0,148.09999999999854,7.099999999998545,148.10000000107613,7.100000000050204,1.768569381418641,0.08478624313349022,0.5060868731955241,0.6722190834393559,1.70922252e+18,,62912.99999999999,1709222520000000000,2024-02-29,16,1.0,-2452.73603472,-1.7484768382313503e-05,-1.0003160081089573,STOP,
HSP-1709240640000000000-000106,POIL,POIL,SHORT,SHORT,1709240760000000000,2024-02-29,21,1709240820000000000,61607.9,61693.9,61915.100000000006,61361.799999999996,HIGHER_TIMEFRAME_EXTENSION,61730.8,116.87999999999992,7.723,79279.30380193,2378.3791140579,307.9350561249979,0.7980123977838187,0.0007,,False,True,61693.799999999996,1709240820000000000,5586,3,61306.0,61719.3,387.79999999999563,25.500000000007276,1.7523723452326154,0.1152281970176507,3.31793292265568,0.21817248459965172,0.9560300594047836,0.9791030089072086,1.70924094e+18,,61361.9,1709240940000000000,2024-02-29,21,2.0,1898.01228023,0.005379795052339039,0.7980276437054997,OTHER_EXIT,
HSP-1709241480000000000-000109,POIL,POIL,LONG,LONG,1709241660000000000,2024-02-29,21,1709241720000000000,61403.5,61317.8,61225.799999999996,61540.0,CONFIRMED_LTF_BUYSIDE_LIQUIDITY,61301.1,191.1350000000006,13.681,81177.31608216,2435.3194824648,178.00581478125173,0.7640174011569486,0.0007,,False,True,61317.9,1709241720000000000,5601,2,61439.1,61071.9,121.19999999999709,246.0,1.3159609120520024,2.671009771986802,0.6341067831637153,1.2870484212729183,-0.48394480880223284,0.197016597705497,,,61225.7,1709241780000000000,2024-02-29,21,1.0,-2434.95149412,-0.0015036392309587308,-0.9998488952486729,STOP,
HSP-1709252880000000000-000113,POIL,POIL,LONG,LONG,1709252940000000000,2024-03-01,0,1709253000000000000,61778.8,61786.5,61549.799999999996,62103.9,HIGHER_TIMEFRAME_EXTENSION,61598.7,57.75,7.308,78742.36458804,2362.2709376412,323.2325994687517,0.7131719998350105,0.0007,,False,True,61786.59999999999,1709253000000000000,5789,17,61842.2,61531.6,55.60000000000582,254.99999999999272,0.2347972972973262,1.0768581081080972,0.9627705627706635,4.41558441558429,-0.268540890190696,-0.09633978766737797,,,61549.7,1709253960000000000,2024-03-01,0,16.0,-2362.20437628,-0.003834164689430948,-0.9999718231468967,STOP,
HSP-1709259900000000000-000120,POIL,POIL,SHORT,SHORT,1709259960000000000,2024-03-01,2,1709260020000000000,60960.9,60977.6,61119.100000000006,60716.4,HIGHER_TIMEFRAME_EXTENSION,61046.9,64.92999999999992,10.087,76380.16021176,2291.4048063528,227.1561194062538,0.773841922394475,0.0007,,False,True,60977.5,1709260020000000000,5906,18,60855.0,61133.6,122.5,156.09999999999854,0.8651129943502469,1.1024011299434473,1.8866471584783635,2.4041275219466924,0.053266537708186554,0.16295951038764261,,,61119.2,1709261040000000000,2024-03-01,2,17.0,-2291.44048903,-0.0023238079619531315,-1.0000155724021795,STOP,
HSP-1709261820000000000-000123,POIL,POIL,SHORT,SHORT,1709261880000000000,2024-03-01,2,1709261940000000000,61029.1,61065.9,61153.799999999996,60855.00000000001,HIGHER_TIMEFRAME_ACCEPTED_EXTREME,61111.9,65.93499999999912,12.8,74088.71972273,2222.6615916819,173.64221940624793,0.7219175752800299,0.0007,,False,True,61065.77142968749,1709261940000000000,5938,8,61029.8,61157.9,35.999999999992724,92.10000000000582,0.4090909090908264,1.0465909090909753,0.5459922651094745,1.3968302115721096,-0.44566528960882357,-0.28603020722632033,,,61153.9,1709262360000000000,2024-03-01,3,7.0,-2223.13395601,-0.0014431746009134373,-1.0002125219286047,STOP,
HSP-1709311080000000000-000143,POIL,POIL,LONG,LONG,1709311140000000000,2024-03-01,16,1709311200000000000,61506.0,61448.1,61363.80000000001,61700.1,HIGHER_TIMEFRAME_ACCEPTED_EXTREME,61435.2,79.17000000000007,12.646,71865.58576672,2155.9675730016,170.48238265625145,0.971339427686769,0.0007,,False,True,61448.19999999999,1709311200000000000,6759,35,61745.1,61400.0,296.90000000000873,48.199999999989814,3.517772511849294,0.5710900473933821,3.7501578880890296,0.6088164708853072,1.2075611966023938,1.2345245691713187,1.70931252e+18,1.70931324e+18,61700.0,1709313240000000000,2024-03-01,17,34.0,2094.13030396,0.004097760390052275,0.9713180894666665,TARGET,
