plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,shock_sigma,shock_pressure,shock_activity,recovery_fraction,response_pressure,response_progress,basis_stress,basis_repair,oi_change,spot_confirmation,peer_response,context_direction,risk_range,cost_r,planned_rr,nav_before,score,position_id,opened,closed,entry_fill,exit_fill,quantity,pnl_ex_funding,holding_minutes,evaluation_censored,funding,pnl,net_r,probability
SOLUSDT:WASHOUT:HOUR:1739305680000000000:1:1739305980000000000:1739306280000000000,SOLUSDT:WASHOUT:HOUR:1739305680000000000:1:1739305980000000000,SOLUSDT,-1,1739306280000000000,1739305980000000000,196.88,197.66,196.02909445031094,1.090904550883408,196.92,3.584962500721156,HOUR:1739305680000000000:1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,197.65,196.92,197.65,196.01909445031094,INVENTORY_WASHOUT_RECLAIM,3.288540756305252,-0.5317606076045357,1.550398732366057,0.4721303450998828,0.10720682302771856,0.43155282655539245,5.2889,4.4845,10.358173054125785,-72.71649849520223,1.0516215202898889,-0.0,1.6830560235658896,0.30349230769230723,1.090904550883408,100000.0,0.003891615207886891,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1739306280000000000,1739306700000000000,196.84,196.03,2793.84,1878.50537616,7.0,False,0.0,1878.50537616,0.62616845872,0.6824202452560548
SOLUSDT:WASHOUT:60:1739304000000000000:-1:1739329020000000000:1739330520000000000,SOLUSDT:WASHOUT:60:1739304000000000000:-1:1739329020000000000,SOLUSDT,1,1739330520000000000,1739329020000000000,195.13,193.64000000000001,196.7476128328412,1.085646196537744,194.94,3.584962500721156,60:1739304000000000000:-1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,193.65,194.94,196.7576128328412,193.65,INVENTORY_WASHOUT_RECLAIM,4.133909250581342,-0.4625236789278747,1.6407413896215752,0.4762498031799121,-0.09580905423576871,0.4711557571384746,2.1335999999999995,4.6271,-2.3011911273762564,-121.9558424512357,0.9798089285304153,-1.0,3.6948530428227704,0.156551677852351,1.085646196537744,101878.50537616,0.002903500798434204,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1739330520000000000,1739334540000000000,195.16,193.6,1729.35,-3033.937053,67.0,False,0.0,-3033.937053,-0.9926650840292475,0.6032967929904713
XRPUSDT:WASHOUT:60:1739336400000000000:-1:1739367060000000000:1739367840000000000,XRPUSDT:WASHOUT:60:1739336400000000000:-1:1739367060000000000,XRPUSDT,1,1739367840000000000,1739367060000000000,2.3817,2.3306,2.436357204128278,1.0696126052500605,2.3789,3.584962500721156,60:1739336400000000000:-1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,2.3307,2.3789,2.436457204128278,2.3307,INVENTORY_WASHOUT_RECLAIM,9.890596903708477,-0.1601533641562307,1.9090429358346017,0.4822366515867741,0.12810263004724534,2.282408682300362,0.5027999999999997,-1.413800000000001,-23.185047112832535,-136.07909950224317,1.4379107585862596,0.0,9.559924890618724,0.05533033268101769,1.0696126052500605,98844.56832316,0.009945672279964735,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1739367840000000000,1739379420000000000,2.382,2.4364,54666.700000000004,2882.12245072,193.0,False,-2.41586854835528,2879.7065821716446,0.9711228551466119,0.6819206243224428
XRPUSDT:WASHOUT:HOUR:1739453340000000000:1:1739453460000000000:1739454000000000000,XRPUSDT:WASHOUT:HOUR:1739453340000000000:1:1739453460000000000,XRPUSDT,-1,1739454000000000000,1739453460000000000,2.4517,2.4614000000000003,2.436299881527266,1.5876410796633302,2.4541,3.584962500721156,HOUR:1739453340000000000:1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,2.4613,2.4541,2.4613,2.4361998815272656,INVENTORY_WASHOUT_RECLAIM,3.244341020384316,-0.14419480842148996,2.0895630061021904,0.3824683142602715,0.17498083425734698,0.07041390071571965,1.1049000000000002,-1.7225000000000001,-19.776934894011333,-71.08453823272521,0.47574465474439026,1.0,1.707537092356397,0.3039030927835038,1.5876410796633302,101724.27490532999,0.0162655063287649,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1739454000000000000,1739455800000000000,2.4513,2.4363,229605.0,3050.78229945,30.0,False,0.0,3050.78229945,0.9996900288514288,0.7627613954659268
BTCUSDT:WASHOUT:HOUR:1739545860000000000:-1:1739546160000000000:1739546640000000000,BTCUSDT:WASHOUT:HOUR:1739545860000000000:-1:1739546160000000000,BTCUSDT,1,1739546640000000000,1739546160000000000,96534.0,96225.59999999999,97126.29158460161,1.9205304299662596,96520.7,3.584962500721156,HOUR:1739545860000000000:-1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,96225.7,96520.7,97126.39158460162,96225.7,INVENTORY_WASHOUT_RECLAIM,4.289665370161042,-0.10680290979689987,1.1971886912791616,0.3422925286199553,0.17999265472379167,0.8451019133106532,1.5899999999999999,-0.7555000000000001,-2.231387353130998,-81.71363688033395,0.5465223309442724,-1.0,2.640622391742862,0.37501867704279085,1.9205304299662596,104775.05720478,0.009796558257376289,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1739546640000000000,1739552160000000000,96546.09999999999,97126.3,7.166,3672.58711054,92.0,False,-49.24945257353,3623.33765796647,1.1527354425219594,0.6149823922483881
