signal_ts,entry_ts,symbol,route,route_priority,direction,direction_value,entry_price,initial_stop,atr_at_signal,momentum,momentum_atr,volume_ratio,trend_quality,directional_breadth,residual_momentum_atr,leader_gap_atr,confirmation_return,confirmation_body_fraction,confirmation_taker_pressure,rank_score
2024-04-29 18:00:00+00:00,2024-04-29 18:15:00+00:00,SOLUSDT,BREADTH_ALIGNED_6H_TREND,2,SHORT,-1.0,134.262,138.64935714285716,4.387357142857143,-0.055336300277101236,-1.7027108334617544,1.339375791435397,0.11610831355148653,1.0,-0.4733531735275378,0.032081043977069235,-0.005474033525677657,0.6952022577610654,-0.1335345374583904,0.5295861966763767
2024-05-01 06:00:00+00:00,2024-05-01 06:15:00+00:00,SOLUSDT,BREADTH_ALIGNED_6H_TREND,2,SHORT,-1.0,124.664,129.6545,4.9905,-0.07509349731703352,-1.8829876900629077,1.0665374576058426,0.1294602500544632,1.0,-0.022468995328258412,0.35947949072434104,-0.003787818248653485,0.6061381074168873,-0.008780470515915129,0.5199840602535764
2024-06-18 12:00:00+00:00,2024-06-18 12:15:00+00:00,SOLUSDT,BREADTH_ALIGNED_6H_TREND,2,SHORT,-1.0,136.041,140.60942857142857,4.568428571428577,-0.04696894919401351,-1.4095942860024435,1.4052821631305392,0.10920086597828935,1.0,-0.4010519746495411,0.21139274883138737,-0.007753238417551711,0.6422960725075625,-0.15498225616746863,0.4326271220837765
2024-06-24 18:00:00+00:00,2024-06-24 18:15:00+00:00,BTCUSDT,BREADTH_ALIGNED_6H_TREND,2,SHORT,-1.0,59947.0,60773.485714285714,826.4857142857151,-0.0602609268175478,-4.391664772326769,3.978142290225435,0.10540285724943345,1.0,-2.503190576951781,1.3975919352359345,-0.004739965965218085,0.7639818035857551,-0.2791651424564424,3.682916514603174
2024-07-03 12:00:00+00:00,2024-07-03 12:15:00+00:00,BTCUSDT,BREADTH_ALIGNED_6H_TREND,2,SHORT,-1.0,60228.9,61234.12142857143,1005.221428571429,-0.038813624881214426,-2.3315826647472853,2.471075521985995,0.10453763468762871,1.0,-0.5247652217227283,0.41766161769619514,-0.0025834273137821384,0.6764960971379054,-0.03375410718048122,1.2045906874957344
2024-07-04 12:00:00+00:00,2024-07-04 12:15:00+00:00,BTCUSDT,BREADTH_ALIGNED_6H_TREND,2,SHORT,-1.0,57585.5,58860.99285714286,1275.4928571428572,-0.04366157764606715,-1.9767937048147226,2.8479528709127266,0.138828192815543,1.0,0.17271288480227232,0.5901492103550787,-0.002820857374403518,0.7997054491899753,-0.23153405541717798,1.5631541698647853
2024-07-04 12:00:00+00:00,2024-07-04 12:15:00+00:00,ETHUSDT,BREADTH_ALIGNED_6H_TREND,2,SHORT,-1.0,3146.24,3215.1592857142855,68.91928571428578,-0.04451508891221301,-2.0403391141884955,3.124112431855572,0.11721638913352224,1.0,0.10916747542849947,0.5901492103550787,-0.004010877169656646,0.956948640483405,-0.23377764448137284,1.4943328536358083
2024-07-04 18:00:00+00:00,2024-07-04 18:15:00+00:00,ETHUSDT,BREADTH_ALIGNED_6H_TREND,2,SHORT,-1.0,3130.65,3198.042142857143,67.3921428571429,-0.04849229949309297,-2.261011991890183,2.852364355237643,0.13198376261778844,1.0,-0.3702875193431008,0.1764624090996223,-0.0036852808355849476,0.5679254536537391,-0.20393329980985553,1.702387286056795
2024-07-04 18:00:00+00:00,2024-07-04 18:15:00+00:00,XRPUSDT,BREADTH_ALIGNED_6H_TREND,2,SHORT,-1.0,0.4384,0.44875714285714285,0.010357142857142851,-0.051336898395721975,-2.1982813940623305,2.896999398457011,0.1037022575572285,1.0,-0.30755692151524805,0.1764624090996223,-0.011499436302142008,0.9444444444444404,-0.26567229977434337,1.3208390364763736
2024-07-04 18:00:00+00:00,2024-07-04 18:15:00+00:00,BTCUSDT,BREADTH_ALIGNED_6H_TREND,2,SHORT,-1.0,58019.5,59324.421428571426,1304.9214285714286,-0.035478191157202965,-1.5831675510318346,2.652358614864327,0.15387595140291288,1.0,0.3075569215152478,0.1764624090996223,-0.00362181953069185,0.5166585007349411,-0.24731540528958995,1.292289660670117
