plan_id,ts,score,reason
SOLUSDT:CELL:SOLUSDT:15m:PIVOT:LOW:1125:s2:SOLUSDT:15m:PIVOT:HIGH:1152:s2:EXCURSION:1710329040000000000:-1,1710329040000000000,1.0,candidate
SOLUSDT:CELL:SOLUSDT:15m:PIVOT:LOW:1125:s2:SOLUSDT:15m:PIVOT:HIGH:1152:s2:EXCURSION:1710329040000000000:-1,1710329040000000000,1.0,selected
SOLUSDT:CELL:SOLUSDT:15m:PIVOT:HIGH:1199:s2:SOLUSDT:15m:PIVOT:HIGH:1214:s2:EXCURSION:1710382980000000000:1,1710383100000000000,1.0,candidate
SOLUSDT:CELL:SOLUSDT:15m:PIVOT:HIGH:1199:s2:SOLUSDT:15m:PIVOT:HIGH:1214:s2:EXCURSION:1710382980000000000:1,1710383100000000000,1.0,selected
XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:1303:s2:XRPUSDT:15m:PIVOT:HIGH:1316:s2:EXCURSION:1710442380000000000:1,1710442380000000000,1.0,candidate
XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:1303:s2:XRPUSDT:15m:PIVOT:HIGH:1316:s2:EXCURSION:1710442380000000000:1,1710442380000000000,1.0,selected
SOLUSDT:CELL:SOLUSDT:15m:PIVOT:LOW:1326:s2:SOLUSDT:15m:PIVOT:HIGH:1337:s2:EXCURSION:1710465660000000000:-1,1710465660000000000,1.0,candidate
SOLUSDT:CELL:SOLUSDT:15m:PIVOT:LOW:1326:s2:SOLUSDT:15m:PIVOT:HIGH:1337:s2:EXCURSION:1710465660000000000:-1,1710465660000000000,1.0,selected
SOLUSDT:CELL:SOLUSDT:15m:PIVOT:HIGH:1356:s2:SOLUSDT:15m:PIVOT:HIGH:1370:s2:EXCURSION:1710491040000000000:1,1710491100000000000,1.0,candidate
SOLUSDT:CELL:SOLUSDT:15m:PIVOT:HIGH:1356:s2:SOLUSDT:15m:PIVOT:HIGH:1370:s2:EXCURSION:1710491040000000000:1,1710491100000000000,1.0,selected
ETHUSDT:CELL:ETHUSDT:15m:PIVOT:LOW:1362:s2:ETHUSDT:15m:PIVOT:HIGH:1385:s2:EXCURSION:1710503580000000000:-1,1710503580000000000,1.0,candidate
ETHUSDT:CELL:ETHUSDT:15m:PIVOT:LOW:1362:s2:ETHUSDT:15m:PIVOT:HIGH:1385:s2:EXCURSION:1710503580000000000:-1,1710503580000000000,1.0,selected
SOLUSDT:CELL:SOLUSDT:15m:PIVOT:LOW:1380:s2:SOLUSDT:15m:PIVOT:HIGH:1399:s2:EXCURSION:1710533040000000000:1,1710533040000000000,1.0,candidate
SOLUSDT:CELL:SOLUSDT:15m:PIVOT:LOW:1380:s2:SOLUSDT:15m:PIVOT:HIGH:1399:s2:EXCURSION:1710533040000000000:1,1710533040000000000,1.0,selected
SOLUSDT:CELL:SOLUSDT:15m:PIVOT:LOW:1427:s2:SOLUSDT:15m:PIVOT:HIGH:1447:s2:EXCURSION:1710567360000000000:-1,1710567360000000000,1.0,candidate
SOLUSDT:CELL:SOLUSDT:15m:PIVOT:LOW:1427:s2:SOLUSDT:15m:PIVOT:HIGH:1447:s2:EXCURSION:1710567360000000000:-1,1710567360000000000,1.0,selected
SOLUSDT:CELL:SOLUSDT:15m:PIVOT:HIGH:1463:s2:SOLUSDT:15m:PIVOT:LOW:1475:s2:EXCURSION:1710585060000000000:-1,1710585060000000000,1.0,candidate
SOLUSDT:CELL:SOLUSDT:15m:PIVOT:HIGH:1463:s2:SOLUSDT:15m:PIVOT:LOW:1475:s2:EXCURSION:1710585060000000000:-1,1710585060000000000,1.0,selected
XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:1434:s2:XRPUSDT:15m:PIVOT:LOW:1461:s2:EXCURSION:1710587640000000000:1,1710587700000000000,1.0,candidate
XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:1434:s2:XRPUSDT:15m:PIVOT:LOW:1461:s2:EXCURSION:1710587640000000000:1,1710587700000000000,1.0,selected
XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:1496:s2:XRPUSDT:15m:PIVOT:HIGH:1517:s2:EXCURSION:1710621300000000000:-1,1710621300000000000,1.0,candidate
XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:1496:s2:XRPUSDT:15m:PIVOT:HIGH:1517:s2:EXCURSION:1710621300000000000:-1,1710621300000000000,1.0,selected
BTCUSDT:CELL:BTCUSDT:15m:PIVOT:LOW:1492:s2:BTCUSDT:15m:PIVOT:HIGH:1516:s2:EXCURSION:1710624000000000000:1,1710624000000000000,1.0,candidate
BTCUSDT:CELL:BTCUSDT:15m:PIVOT:LOW:1492:s2:BTCUSDT:15m:PIVOT:HIGH:1516:s2:EXCURSION:1710624000000000000:1,1710624000000000000,1.0,global_position_occupied
XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:1496:s2:XRPUSDT:15m:PIVOT:HIGH:1517:s2:EXCURSION:1710628260000000000:-1,1710628320000000000,1.0,candidate
XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:1496:s2:XRPUSDT:15m:PIVOT:HIGH:1517:s2:EXCURSION:1710628260000000000:-1,1710628320000000000,1.0,selected
SOLUSDT:CELL:SOLUSDT:15m:PIVOT:HIGH:1503:s2:SOLUSDT:15m:PIVOT:HIGH:1523:s2:EXCURSION:1710628620000000000:-1,1710628620000000000,1.0,same_overlapping_causal_episode
