symbol,spot_state,perp_state,spot_direction,futures_direction,spot_return_z,futures_return_z,spot_volume_z,futures_volume_z,relative_return_z,open_interest_z,spot_directional_taker_pressure,futures_directional_taker_pressure,spot_confirmation_follow,futures_confirmation_follow_spot_direction,futures_confirmation_follow_futures_direction,confirmation_open_interest_z,confirmation_futures_pressure_spot_direction,confirmation_futures_pressure_futures_direction,spot_gap_repair,perp_gap_repair,spot_index_follow_ratio,perp_spot_follow_ratio,entry_ts,entry_price,spot_continuation_return,perp_reversal_return,event_score,spot_cross_market_breadth,route,horizon_minutes,gross_return,net_return,state_quality,rank_score
BTCUSDT,False,True,1.0,1.0,3.2882542833948123,3.480129878409813,3.009002088665834,2.7826617846679915,2.1011732188093135,-4.779137232624162,0.3100631119905015,0.17905440892184465,-0.0042825131024287755,-0.004410583689113956,-0.004410583689113956,-0.08296012524173878,-0.3083791807223665,-0.3083791807223665,1.5781218782630173,1.5781218782630173,-1.271963283327673,-1.2571533137210247,2024-06-04 14:25:00+00:00,69794.9,0.015546981226422174,-0.005103524756107092,17.412144125323746,0.5,PERP_LED_DELEVERAGING_NONCONFIRMATION_REVERSAL,60,-0.005103524756107092,-0.006703524756107092,10.612836165058061,184.7922328844391
ETHUSDT,False,True,-1.0,-1.0,-4.71614021395238,-4.772838943764905,2.1963083286046694,2.4633768327924654,-1.261691407038555,-2.3225593151111146,0.4666387152631145,0.33375743166030947,-0.00158790485065885,-0.0017169123672318154,-0.0017169123672318154,0.20623087723299402,-0.15238243416814945,-0.15238243416814945,2.007038821852195,2.007038821852195,-0.304164766433344,-0.31639352194535714,2024-06-05 18:55:00+00:00,3850.71,-0.004915976534197508,0.006772776968403171,11.49895929097318,0.5,PERP_LED_DELEVERAGING_NONCONFIRMATION_REVERSAL,60,0.006772776968403171,0.0051727769684031715,2.1740778769993425,24.999633003020836
ETHUSDT,False,True,-1.0,-1.0,-8.284658907585392,-10.103684617921935,4.2053347540152375,3.65807421587556,-24.473393257176674,-3.7973296365087803,0.09975305192350048,0.2612075061756186,-0.007979817217746099,-0.010613954749578713,-0.010613954749578713,2.707606615434289,-0.0178905976686754,-0.0178905976686754,1.9403702778516592,1.9403702778516592,-0.7453027992947474,-0.585009373136682,2024-06-07 18:20:00+00:00,3652.47,-0.007737229874578144,0.00616842848811916,897.2024156448546,1.0,PERP_LED_DELEVERAGING_NONCONFIRMATION_REVERSAL,60,0.00616842848811916,0.00456842848811916,5.415714851372154,4858.992447094811
BTCUSDT,False,True,1.0,1.0,2.486608294191634,2.575960453992073,1.9272483405857024,2.574294088177854,1.3519108292705353,-2.8867219839515177,0.3208130806724159,0.2104572431841214,-0.0007119156924781933,-0.000659036520058498,-0.000659036520058498,0.8090549281291105,-0.2611388377190089,-0.2611388377190089,0.6866446862776464,0.6866446862776464,-0.25446408075341703,-0.2602887648015717,2024-06-10 15:25:00+00:00,69904.5,0.0008325644271827137,-0.00031614559863824,5.4464589479952865,0.75,PERP_LED_DELEVERAGING_NONCONFIRMATION_REVERSAL,60,-0.00031614559863824,-0.00191614559863824,0.8132548233456645,4.4293590096113205
BTCUSDT,False,True,-1.0,-1.0,-2.8029502380674187,-2.920752812985905,2.4881025261627894,2.866026508776974,-1.7253399534666658,-2.8178305743920573,0.2499301220761222,0.25882977751207004,-0.003665886014403208,-0.0037359788668276384,-0.0037359788668276384,-0.22991734715855158,-0.30744829852463806,-0.30744829852463806,1.321311483041232,1.321311483041232,-1.2009682725155424,-1.1452463426812673,2024-06-11 10:10:00+00:00,67140.0,0.0007536490914508143,-0.003900804289544202,10.533648011741997,0.0,PERP_LED_DELEVERAGING_NONCONFIRMATION_REVERSAL,60,-0.003900804289544202,-0.005500804289544202,4.822502495223565,50.79854382043253
BTCUSDT,False,True,-1.0,-1.0,-3.3802544590670176,-3.5583560771065046,2.660255220975898,2.495861039716803,-2.4123973333014312,-2.9663622315058378,0.33918702705815584,0.2129493495695729,-0.0036116583094554233,-0.003791508811526123,-0.003791508811526123,0.06537559019471037,-0.4274731951959765,-0.4274731951959765,1.585195554463291,1.585195554463291,-0.8759380531434279,-0.8082391645794249,2024-06-13 03:45:00+00:00,67245.8,-0.005899253187559683,0.005534918165892799,13.533781082134459,0.25,PERP_LED_DELEVERAGING_NONCONFIRMATION_REVERSAL,60,0.005534918165892799,0.003934918165892799,4.505893740018879,60.98177945677559
XRPUSDT,True,False,1.0,1.0,2.0245347865531342,1.7274559905947915,1.5696549072072856,1.6684373986988488,-1.71769510287232,3.6759225648806564,0.44934518938254864,0.16501248465605944,0.01657797789602955,0.01678607983623337,0.01678607983623337,0.8922388319377291,0.22190966439438298,0.22190966439438298,1.5063129162201205,1.5063129162201205,5.699032372255475,6.732040523946155,2024-06-15 19:30:00+00:00,0.4967,-0.011878397422991682,0.012482383732635327,9.016167135699595,1.0,SPOT_LED_POSITION_BUILDUP_CONTINUATION,120,-0.011878397422991682,-0.013478397422991683,31.556053097918802,284.5146488738469
ETHUSDT,False,True,-1.0,-1.0,-2.3129894193116147,-2.432182049923871,1.0376429848379622,1.6029754889704513,-2.2740725005089497,-1.776016489770578,0.2989351913605228,0.5342522824333152,-0.0009163980037980579,-0.0010133726532965959,-0.0010133726532965959,-0.14095673310960394,-0.20220113591990385,-0.20220113591990385,1.4238764691062962,1.4238764691062962,-0.2174559017762084,-0.23950730516518773,2024-06-16 22:50:00+00:00,3625.24,-0.0015833434476062447,-0.0015530006289238285,8.412414185349489,1.0,PERP_LED_DELEVERAGING_NONCONFIRMATION_REVERSAL,60,-0.0015530006289238285,-0.0031530006289238284,0.9849970139889982,8.286202853007937
XRPUSDT,True,False,1.0,1.0,3.125391655542197,2.8819462176347166,2.2045555986316048,2.696711431286062,-1.6353812958429224,3.2434753273898713,0.2628388223152789,0.15226511335093407,0.009224730127576075,0.009231978000392882,0.009231978000392882,3.1351298841461746,0.11176936007700733,0.11176936007700733,1.0184572316893754,1.0184572316893754,1.6736633690475633,1.7970483883143138,2024-06-17 14:25:00+00:00,0.5138,-0.018100428182172168,-0.006033476060723908,9.606045559328134,1.0,SPOT_LED_POSITION_BUILDUP_CONTINUATION,120,-0.018100428182172168,-0.01970042818217217,5.528680664804636,53.10875834908989
XRPUSDT,False,True,-1.0,-1.0,-8.906159053290468,-9.799242333798645,2.479839370271474,3.456894035069924,-7.365097985106229,-2.392880233289922,0.28598677071557443,0.28848959702260013,-0.010815141197676681,-0.012239165329052781,-0.012239165329052781,0.444127552565508,-0.04949507779469475,-0.04949507779469475,1.8031496100961322,1.8031496100961322,-0.6775066052904077,-0.5967136599935516,2024-06-17 16:25:00+00:00,0.5045,-0.014469772051536323,0.017046580773042663,172.22976671555338,0.75,PERP_LED_DELEVERAGING_NONCONFIRMATION_REVERSAL,60,0.017046580773042663,0.015446580773042663,3.2218611543125615,554.900394997156
