symbol,session_name,session_start,session_end,opening_end,opening_return,opening_abs_return,opening_range,opening_quote_volume,direction_value,confirmation_end,confirmation_return,confirmation_body_fraction,confirmation_taker_pressure,confirmation_high,confirmation_low,entry_price,prior_atr_1h,remaining_count,prior_abs_return_threshold,prior_volume_threshold,prior_range_threshold,directional_breadth,route,route_priority,entry_ts,initial_stop,rank_score,exit_ts,exit_price,exit_reason,gross_return,net_return,holding_minutes
BTCUSDT,ASIA,2024-05-01 00:00:00+00:00,2024-05-01 08:00:00+00:00,2024-05-01 00:30:00+00:00,-0.004293402273986224,0.004293402273986224,0.0076948188988840635,298830996.0741,-1.0,2024-05-01 07:35:00+00:00,-0.007351596755776013,0.6775834658187668,-0.03080559307306241,58129.0,57500.0,57547.6,396.524999999999,5,0.0021334213832463478,356576816.4841499,0.006247708246736924,1.0,SESSION_BREADTH_TSMOM,2,2024-05-01 07:35:00+00:00,58168.6525,4.957156112700128,2024-05-01 08:00:00+00:00,57482.0,SESSION_END,0.0011399259048161525,-0.0008600740951838475,25.0
SOLUSDT,AMERICA,2024-05-01 16:00:00+00:00,2024-05-02 00:00:00+00:00,2024-05-01 16:30:00+00:00,0.0148389607862216,0.0148389607862216,0.023053095909960783,81427373.552,1.0,2024-05-01 23:35:00+00:00,0.005694402873391402,0.7482792527040582,0.20989937242747803,134.45,133.433,134.401,0.5715833333333364,5,0.005614449082616824,132243625.39929998,0.017690741698098464,1.0,SESSION_BREADTH_TSMOM,2,2024-05-01 23:35:00+00:00,133.37584166666664,6.888260310357328,2024-05-02 00:00:00+00:00,134.541,SESSION_END,0.0010416589162280943,-0.0009583410837719058,25.0
XRPUSDT,EUROPE,2024-05-03 08:00:00+00:00,2024-05-03 16:00:00+00:00,2024-05-03 08:30:00+00:00,0.009264620729589002,0.009264620729589002,0.01621308627678047,14194384.51804,1.0,2024-05-03 15:35:00+00:00,0.0038233607340851794,0.7692307692307561,0.10885336344403074,0.5252,0.5226,0.5251,0.0009999999999999825,5,0.0024587841870071236,18784877.761151,0.01087885036358409,1.0,SESSION_BREADTH_TSMOM,2,2024-05-03 15:35:00+00:00,0.5225,11.231038601966599,2024-05-03 16:00:00+00:00,0.5265,SESSION_END,0.0026661588268901415,0.0006661588268901415,25.0
SOLUSDT,ASIA,2024-05-16 00:00:00+00:00,2024-05-16 08:00:00+00:00,2024-05-16 00:30:00+00:00,0.01226455587537223,0.01226455587537223,0.025071958794122155,183502898.649,1.0,2024-05-16 07:35:00+00:00,0.0026471149525058024,0.6323529411764742,0.005519946942406095,163.011,162.331,162.871,0.3858333333333353,5,0.005327552208858388,63031232.3666,0.013055106209012205,0.25,HIGH_ACTIVITY_SESSION_TSMOM,1,2024-05-16 07:35:00+00:00,162.29241666666667,8.37763153289072,2024-05-16 08:00:00+00:00,162.683,SESSION_END,-0.0011542877492003445,-0.0031542877492003445,25.0
ETHUSDT,ASIA,2024-05-24 00:00:00+00:00,2024-05-24 08:00:00+00:00,2024-05-24 00:30:00+00:00,-0.003162658958621112,0.003162658958621112,0.011485445691834897,269556577.15615,-1.0,2024-05-24 07:35:00+00:00,-0.0031501783835952146,0.8329749103942683,-0.03878226410852137,3689.99,3676.04,3677.06,14.728333333333353,5,0.0023996937977401878,142968579.105838,0.006933211230043516,1.0,SESSION_BREADTH_TSMOM,2,2024-05-24 07:35:00+00:00,3691.462833333333,4.969765095615249,2024-05-24 08:00:00+00:00,3681.26,SESSION_END,-0.0011422168797898813,-0.0031422168797898813,25.0
ETHUSDT,AMERICA,2024-05-24 16:00:00+00:00,2024-05-25 00:00:00+00:00,2024-05-24 16:30:00+00:00,-0.0044321779365207314,0.0044321779365207314,0.011091268230646368,422225793.10121,-1.0,2024-05-24 23:35:00+00:00,-0.0008124304540763072,0.5838150289018177,-0.1586438355461982,3729.97,3724.78,3726.52,5.01666666666669,5,0.0026022163704949586,294317981.137794,0.009739980607927436,1.0,SESSION_BREADTH_TSMOM,2,2024-05-24 23:35:00+00:00,3730.4716666666664,4.886880764915497,2024-05-24 23:50:00+00:00,3730.4716666666664,CONFIRMATION_LEG_INVALIDATED,-0.001060417404620484,-0.003060417404620484,15.0
ETHUSDT,EUROPE,2024-05-27 08:00:00+00:00,2024-05-27 16:00:00+00:00,2024-05-27 08:30:00+00:00,0.00890068268363886,0.00890068268363886,0.011288670720712622,395194713.39531,1.0,2024-05-27 15:35:00+00:00,0.001832241866091433,0.9703903095558809,0.17415553678019502,3942.5,3935.07,3942.28,13.343333333333325,5,0.002526258390520786,176754786.981065,0.008631501727957848,1.0,SESSION_BREADTH_TSMOM,2,2024-05-27 15:35:00+00:00,3933.735666666667,15.754894049611465,2024-05-27 16:00:00+00:00,3966.13,SESSION_END,0.006049798593707134,0.004049798593707134,25.0
BTCUSDT,EUROPE,2024-05-28 08:00:00+00:00,2024-05-28 16:00:00+00:00,2024-05-28 08:30:00+00:00,0.004621035235947479,0.004621035235947479,0.00630611072467107,329308316.93369997,1.0,2024-05-28 15:35:00+00:00,0.0013536179854634067,0.5778894472361915,0.24028220978964088,68100.0,67940.8,68058.0,220.86666666666497,5,0.0015990681086228697,323716363.34905994,0.005809860711590412,1.0,SESSION_BREADTH_TSMOM,2,2024-05-28 15:35:00+00:00,67918.71333333333,6.273330746056928,2024-05-28 16:00:00+00:00,68399.7,SESSION_END,0.005020717623203774,0.003020717623203774,25.0
ETHUSDT,EUROPE,2024-05-29 08:00:00+00:00,2024-05-29 16:00:00+00:00,2024-05-29 08:30:00+00:00,-0.004609499805213968,0.004609499805213968,0.012416627665888455,563057842.70866,-1.0,2024-05-29 15:35:00+00:00,-0.002739893324696041,0.6315789473684255,-0.0018175741754676844,3770.31,3753.97,3756.25,13.149166666666625,5,0.0026177652804503238,196031835.478256,0.00868000917271569,1.0,SESSION_BREADTH_TSMOM,2,2024-05-29 15:35:00+00:00,3771.6249166666666,10.115317035310829,2024-05-29 15:40:00+00:00,3771.6249166666666,CONFIRMATION_LEG_INVALIDATED,-0.004093155851358832,-0.006093155851358832,5.0
ETHUSDT,AMERICA,2024-05-29 16:00:00+00:00,2024-05-30 00:00:00+00:00,2024-05-29 16:30:00+00:00,-0.0029284911361323607,0.0029284911361323607,0.006547914845217903,322471647.35666,-1.0,2024-05-29 23:35:00+00:00,-0.0008877240446398815,0.6829268292683085,-0.21746016955636926,3784.96,3780.04,3781.6,6.039166666666612,5,0.0025865812330044813,299646335.656999,0.009636718203482471,1.0,SESSION_BREADTH_TSMOM,2,2024-05-29 23:35:00+00:00,3785.5639166666665,2.436858727081,2024-05-30 00:00:00+00:00,3770.0,SESSION_END,0.0030674846625766694,0.0010674846625766694,25.0
