scenario_id,family,source_family,source_direction,direction,signal_ts_ns,signal_day_utc,signal_hour_utc,submission_ts_ns,reference_entry_price,expected_entry_price,stop_price,target_price,target_reason,liquidity_level,atr_at_signal,quantity,equity_before_entry,planned_loss_budget,loss_per_unit,net_rr_at_submission,fee_rate_per_fill,sac_entry_confirmation,failed_acceptance_trap,favorable_drift_guard_enabled,actual_entry_price,opened_ts_ns,opened_bar_index,forced_exit_reason,path_observations,mfe_price,mae_price,mfe_price_distance,mae_price_distance,mfe_stop_units,mae_stop_units,mfe_atr,mae_atr,mfe_close_net_r_after_cost,mfe_intrabar_net_r_after_cost,first_close_half_r_ts_ns,first_close_one_r_ts_ns,actual_exit_price,closed_ts_ns,closed_day_utc,closed_hour_utc,duration_minutes,realized_pnl_after_cost,realized_return,realized_r_multiple,outcome
DIRC-1708963800000000000-000016,DIRC,DIRC,LONG,LONG,1708964760000000000,2024-02-26,16,1708964820000000000,53315.8,53316.2,52718.5,54381.8,DISPLACEMENT_RANGE_PROJECTION,53056.5,140.75000000000037,4.463,100000.0,3000.0,672.1559345,1.4728894727924267,0.0007,,False,True,53316.3,1708964820000000000,986,TIMEOUT,91,53562.0,53143.5,245.6999999999971,172.8000000000029,0.41100702576111725,0.2890598862495853,1.7456483126109872,1.2277087033747955,0.2121603822572492,0.2539368935676593,,,53446.899999999994,1708970220000000000,2024-02-26,17,90.0,249.32888688,0.0024495323193843396,0.08310962896,TIMEOUT
DIRC-1708975500000000000-000019,DIRC,DIRC,LONG,LONG,1708975860000000000,2024-02-26,19,1708975920000000000,54378.0,54356.0,53513.4,55488.700000000004,DISPLACEMENT_RANGE_PROJECTION,54220.025,178.0550000000003,3.275,100249.32888688,3007.4798666064,918.2852629999938,1.1495433418493226,0.0007,,False,True,54356.1,1708975920000000000,1171,TIMEOUT,91,54991.8,54250.0,635.7000000000044,106.09999999999854,0.7543609825560775,0.12590482971401318,3.570245148970842,0.5958832944876492,0.5708257021217219,0.6086958949705024,1.70897802e+18,,54430.1,1708981320000000000,2024-02-26,21,90.0,-7.0423635,0.0013613927415690235,-0.002341616174457224,TIMEOUT
DIRC-1708996200000000000-000022,DIRC,DIRC,LONG,LONG,1708996740000000000,2024-02-27,1,1708996800000000000,54699.2,54689.9,54513.8,54939.9,DISPLACEMENT_RANGE_PROJECTION,54641.225,37.365000000000144,11.897,100242.28652338,3007.2685957013996,252.76882162500115,0.684653822759614,0.0007,,False,True,54690.0,1708996800000000000,1519,,24,54946.0,54665.8,256.0,24.19999999999709,1.452894438138503,0.13734392735526385,6.851331459922361,0.6476649270707078,0.6597467556635658,0.7083737576845587,1.70899806e+18,,54939.8,1708998180000000000,2024-02-27,1,23.0,2058.88458858,0.004567562625708592,0.6846360818993611,TARGET
DIRC-1709016000000000000-000025,DIRC,DIRC,LONG,LONG,1709016600000000000,2024-02-27,6,1709016660000000000,56397.9,56398.1,56253.0,56627.6,DISPLACEMENT_RANGE_PROJECTION,56360.825,47.55999999999985,13.69,102301.17111196,3069.0351333587996,224.17867062500045,0.6699210481590379,0.0007,,False,True,56398.2,1709016660000000000,1850,,14,56465.0,56241.4,66.80000000000291,156.79999999999563,0.460055096418762,1.079889807162526,1.4045416316232784,3.2968881412951245,-0.13155698496102441,-0.05533193664417138,,,56252.899999999994,1709017440000000000,2024-02-27,7,13.0,-3068.6924913,-0.002576323357837713,-0.9998883551201238,STOP
DIRC-1709027400000000000-000029,DIRC,DIRC,SHORT,SHORT,1709027700000000000,2024-02-27,9,1709027760000000000,56636.0,56665.9,56806.700000000004,56305.0,DISPLACEMENT_RANGE_PROJECTION,56690.6,61.64000000000014,13.503,99232.47862066,2976.9743586197997,220.4604240416656,1.2774191613945958,0.0007,,False,True,56665.8,1709027760000000000,2035,,30,56510.2,56879.9,155.60000000000582,214.09999999999854,1.1043293115685182,1.5195173882185686,2.524334847501711,3.4733939000648615,0.32283935000757563,0.34553503346981185,,,56806.8,1709029500000000000,2024-02-27,10,29.0,-2976.47736246,-0.0024882733500630008,-0.99983305326149,STOP
DIRC-1709037900000000000-000032,DIRC,DIRC,LONG,LONG,1709038380000000000,2024-02-27,12,1709038440000000000,57306.5,57272.1,56882.700000000004,58096.4,DISPLACEMENT_RANGE_PROJECTION,57233.9,128.32999999999993,6.15,96256.0012582,2887.680037746,469.48754124999897,1.5833051672060996,0.0007,,False,True,57272.2,1709038440000000000,2213,,6,57310.1,56808.1,37.900000000001455,464.09999999999854,0.0973042362002623,1.1915275994865397,0.29533234629472044,3.6164575703264927,-0.1392828866680818,-0.0905404430686767,,,56882.6,1709038740000000000,2024-02-27,12,5.0,-2887.476414,-0.006802602309672032,-0.9999294853504065,STOP
DIRC-1709045100000000000-000035,DIRC,DIRC,SHORT,SHORT,1709045760000000000,2024-02-27,14,1709045820000000000,56926.4,57010.4,57409.299999999996,56260.700000000004,DISPLACEMENT_RANGE_PROJECTION,57224.825,124.67999999999957,5.844,93368.5248442,2801.055745326,479.242157166667,1.3984792864683728,0.0007,,False,True,57010.3,1709045820000000000,2336,,75,56231.0,57350.0,779.3000000000029,339.6999999999971,1.9531328320802435,0.8513784461152965,6.2504010266282135,2.724574911774128,1.2222449157290955,1.4602869959051228,1.70904936e+18,1.7090502e+18,56260.8,1709050260000000000,2024-02-27,16,74.0,3916.70858412,0.013146747166740044,1.3982972636855378,TARGET
DIRC-1709076000000000000-000039,DIRC,DIRC,LONG,LONG,1709076780000000000,2024-02-27,23,1709076840000000000,57073.4,57085.0,56882.1,57382.6,DISPLACEMENT_RANGE_PROJECTION,57034.375,31.434999999999853,10.317,97285.23342832,2918.5570028496,282.88613024999785,0.7680570263659752,0.0007,,False,True,57085.100000000006,1709076840000000000,2853,TIMEOUT,91,57150.4,56904.4,65.29999999999563,180.70000000000437,0.3216748768472576,0.8901477832512211,2.0773023699696496,5.748369651662326,-0.07550847396133355,-0.05254711493584968,,,57106.8,1709082240000000000,2024-02-28,1,90.0,-600.80358261,0.0003801342206634846,-0.20585638108948762,TIMEOUT
DIRC-1709082900000000000-000040,DIRC,DIRC,SHORT,SHORT,1709083500000000000,2024-02-28,1,1709083560000000000,56961.4,57003.7,57154.8,56683.0,DISPLACEMENT_RANGE_PROJECTION,57022.05,34.40499999999956,12.543,96684.42984571,2900.5328953712997,231.23638445833615,1.0418745759424937,0.0007,,False,True,57003.6,1709083560000000000,2965,TIMEOUT,91,56730.1,57024.2,273.5,20.599999999998545,1.8088624338623815,0.13624338624337268,7.949425955529821,0.5987501816596078,0.7947688700915132,0.8376121709985401,1.70908578e+18,,56937.85740253528,1709088960000000000,2024-02-28,2,90.0,-175.80799014,0.0011533060625069196,-0.06061230693868571,TIMEOUT
DIRC-1709093400000000000-000041,DIRC,DIRC,LONG,LONG,1709094000000000000,2024-02-28,4,1709094060000000000,57027.1,57024.4,56929.6,57230.0,DISPLACEMENT_RANGE_PROJECTION,56986.775,23.285000000001673,16.562,96508.62185557,2895.2586556671,174.80777200000375,0.7174848038220855,0.0007,,False,True,57024.550827194784,1709094060000000000,3140,,34,57239.0,57016.4,214.5,8.099999999998545,2.2602739726027052,0.0853530031612057,9.211939016533588,0.34786343139351356,0.7512117367413,0.7683614318932975,1.70909598e+18,,57229.9,1709096040000000000,2024-02-28,4,33.0,2076.39544978,0.003601066029042485,0.7171709669931288,TARGET
