position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-98830e30-b15a-4201-a8c3-2ab19be576f4,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20241231-153500-001-000-1,O-20241231-153500-001-000-2,SELL,FLAT,0.000,10.151,1735659300000000000,2024-12-31 15:35:00+00:00,1735659420000000000,2024-12-31 15:37:00+00:00,120000000000,95527.5,95670.09999999999,['1649.71981197 USDT'],-0.00149,-3097.25241197 USDT,True
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-b070c97f-c55e-4ead-8ad3-f28add0be99b,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20241231-154500-001-000-4,O-20241231-154500-001-000-6,SELL,FLAT,0.000,6.647,1735659900000000000,2024-12-31 15:45:00+00:00,1735660200000000000,2024-12-31 15:50:00+00:00,300000000000,95698.59999999999,95403.8,['730.93702265 USDT'],0.00308,1228.59857735 USDT,True
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-dd591b4f-51e9-4532-8b31-13c5cc0646b4,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20241231-155500-001-000-7,O-20241231-155500-001-000-8,BUY,FLAT,0.000,8.646,1735660500000000000,2024-12-31 15:55:00+00:00,1735660920000000000,2024-12-31 16:02:00+00:00,420000000000,95471.2,95283.3,['1401.87389595 USDT'],-0.00197,-3026.45729595 USDT,True
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250102-154000-001-000-10,O-20250102-154000-001-000-11,BUY,FLAT,0.000,6.204,1735832400000000000,2025-01-02 15:40:00+00:00,1735833900000000000,2025-01-02 16:05:00+00:00,1500000000000,96392.9,96087.0,['1015.02350466 USDT'],-0.00317,-2912.82710466 USDT,False
