scenario_id,family,source_family,source_direction,direction,signal_ts_ns,signal_day_utc,signal_hour_utc,submission_ts_ns,reference_entry_price,expected_entry_price,stop_price,target_price,target_reason,liquidity_level,atr_at_signal,quantity,equity_before_entry,planned_loss_budget,loss_per_unit,net_rr_at_submission,fee_rate_per_fill,sac_entry_confirmation,failed_acceptance_trap,favorable_drift_guard_enabled,actual_entry_price,opened_ts_ns,opened_bar_index,path_observations,mfe_price,mae_price,mfe_price_distance,mae_price_distance,mfe_stop_units,mae_stop_units,mfe_atr,mae_atr,mfe_close_net_r_after_cost,mfe_intrabar_net_r_after_cost,first_close_half_r_ts_ns,first_close_one_r_ts_ns,actual_exit_price,closed_ts_ns,closed_day_utc,closed_hour_utc,duration_minutes,realized_pnl_after_cost,realized_return,realized_r_multiple,outcome,forced_exit_reason
HSP-1714043580000000000-000011,SIAR,SIAR,SHORT,SHORT,1714043640000000000,2024-04-25,11,1714043700000000000,63560.1,63642.2,63735.00000000001,63300.0,HIGHER_TIMEFRAME_ACCEPTED_EXTREME,63636.9,59.814999999999785,16.469,100000.0,3000.0,182.15674322916763,1.389684814915286,0.0007,,False,True,63642.1,1714043700000000000,4994,4,63560.1,63738.2,82.0,96.09999999999854,0.8826695371366232,1.0344456404735147,1.3708935885647462,1.6066204129398796,-0.490780678305867,-0.03975444373689515,,,63735.100000000006,1714043880000000000,2024-04-25,11,3.0,-3000.05957476,-0.0014612968459558574,-1.0000198582533333,STOP,
HSP-1714281060000000000-000017,SIAR,SIAR,LONG,LONG,1714281240000000000,2024-04-28,5,1714281300000000000,63833.4,63778.0,63762.1,64350.0,HIGHER_TIMEFRAME_ACCEPTED_EXTREME,63794.5,26.999999999999638,27.615,96999.94042524,2909.9982127572,105.37702906249807,4.575099566662343,0.0007,,False,True,63778.1,1714281300000000000,8954,61,63969.9,63770.7,191.8000000000029,7.400000000001455,11.987500000000182,0.46250000000009095,7.103703703703907,0.27407407407413165,0.7401360684949798,0.9696268808205165,1.71428364e+18,,63872.63696179613,1714284900000000000,2024-04-28,6,60.0,143.08562916,0.0014822793685627708,0.04917034949805949,TIMEOUT,TIMEOUT
