decision_close,decision_fan_gain,decision_fan_magnitude,decision_time,entry_index,entry_price,entry_time,entry_transition,event_id,exit_index,exit_price,exit_reason,exit_time,gross_return,hold_minutes,mae_120m_net,mae_30m_net,mae_60m_net,mfe_120m_net,mfe_30m_net,mfe_60m_net,net_return,original_signal_time,period_label,planned_loss_fraction,policy,r_multiple,segment_id,signal_close,signal_fan_magnitude,signal_to_decision_minutes,split,stop_price,symbol,symbol_priority,rejection_reason
18.197,1.002052089314663,1.0360280875677212,2023-06-29 11:24:59.999000+00:00,9353,18.195,2023-06-29 11:25:00+00:00,immediate,continuous_boolean_run:SOLUSDT:2023-06-29T11:24:59.999000+00:00:1,9394,17.285249999999998,stoploss,2023-06-29 14:54:59.999000+00:00,-0.050000000000000155,209.99998333333332,-0.021740615553723627,-0.021740615553723627,-0.021740615553723627,0.00013352569387194038,-0.0014053586150040026,0.00013352569387194038,-0.051900000000000154,2023-06-29 11:24:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,-1.0000000000000029,1,18.197,1.0360280875677212,0.0,fresh_confirmation,17.285249999999998,SOLUSDT,2,GLOBAL_SLOT_OCCUPIED
0.5671,1.0052753178686067,1.0161753658532438,2023-07-13 15:39:59.999000+00:00,13436,0.567,2023-07-13 15:40:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T15:39:59.999000+00:00:1,13436,0.5953499999999999,roi_0.05,2023-07-13 15:44:59.999000+00:00,0.050000000000000044,4.999983333333334,-0.007191005291005346,-0.007191005291005346,-0.007191005291005346,0.2794051146384482,0.1379589065255733,0.1379589065255733,0.048100000000000045,2023-07-13 15:39:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.9267822736030837,1,0.5671,1.0161753658532438,0.0,fresh_confirmation,0.53865,XRPUSDT,3,GLOBAL_SLOT_OCCUPIED
0.5766,1.0049561572951362,1.0362738464422208,2023-07-13 15:54:59.999000+00:00,13439,0.5766,2023-07-13 15:55:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T15:54:59.999000+00:00:1,13441,0.593898,roi_0.03,2023-07-13 16:09:59.999000+00:00,0.030000000000000027,14.999983333333335,-0.00814349635796051,-0.00814349635796051,-0.00814349635796051,0.31617145334720775,0.0671253208463405,0.0671253208463405,0.028100000000000028,2023-07-13 15:54:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.5414258188824668,1,0.5766,1.0362738464422208,0.0,fresh_confirmation,0.54777,XRPUSDT,3,GLOBAL_SLOT_OCCUPIED
0.589,1.0051986024312545,1.0475149746637709,2023-07-13 16:04:59.999000+00:00,13441,0.589,2023-07-13 16:05:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T16:04:59.999000+00:00:1,13443,0.6074,roi_0.03,,0.031239388794567224,10.0,-0.013784550084889645,-0.013784550084889645,-0.013784550084889645,0.32781137521222425,0.04461952461799658,0.06397436332767416,0.029339388794567225,2023-07-13 16:04:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.5653061424772104,1,0.589,1.0475149746637709,0.0,fresh_confirmation,0.55955,XRPUSDT,3,GLOBAL_SLOT_OCCUPIED
0.6048,1.0058634034605645,1.0536569775912075,2023-07-13 16:09:59.999000+00:00,13442,0.6049,2023-07-13 16:10:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T16:09:59.999000+00:00:1,13451,0.610949,roi_0.01,2023-07-13 16:59:59.999000+00:00,0.010000000000000009,49.99998333333333,-0.039757497106959847,-0.039757497106959847,-0.039757497106959847,0.2928594643742768,0.015623557612828754,0.06306941643246812,0.008100000000000008,2023-07-13 16:09:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.15606936416184986,1,0.6048,1.0536569775912075,0.0,fresh_confirmation,0.5746549999999999,XRPUSDT,3,GLOBAL_SLOT_OCCUPIED
0.6069,1.0054469478492234,1.0654772361265532,2023-07-13 16:19:59.999000+00:00,13444,0.6069,2023-07-13 16:20:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T16:19:59.999000+00:00:1,13452,0.625107,roi_0.03,2023-07-13 17:04:59.999000+00:00,0.030000000000000027,44.99998333333333,-0.04292817597627295,-0.04292817597627295,-0.04292817597627295,0.3963534190146647,0.007656763882023534,0.05955987806887465,0.028100000000000028,2023-07-13 16:19:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.5414258188824668,1,0.6069,1.0654772361265532,0.0,fresh_confirmation,0.5765549999999999,XRPUSDT,3,GLOBAL_SLOT_OCCUPIED
0.6077,1.0052401240769522,1.0710604690450245,2023-07-13 16:24:59.999000+00:00,13445,0.6078,2023-07-13 16:25:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T16:24:59.999000+00:00:1,13452,0.626034,roi_0.03,2023-07-13 17:04:59.999000+00:00,0.030000000000000027,39.99998333333333,-0.04434817374136234,-0.04434817374136234,-0.04434817374136234,0.49859358341559723,0.00616186245475482,0.06703715037841397,0.028100000000000028,2023-07-13 16:24:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.5414258188824668,1,0.6077,1.0710604690450245,0.0,fresh_confirmation,0.57741,XRPUSDT,3,GLOBAL_SLOT_OCCUPIED
0.6082,1.00502572279051,1.0764433220543184,2023-07-13 16:29:59.999000+00:00,13446,0.6082,2023-07-13 16:30:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T16:29:59.999000+00:00:1,13452,0.626446,roi_0.03,2023-07-13 17:04:59.999000+00:00,0.030000000000000027,34.99998333333333,-0.04497793488983891,-0.04497793488983891,-0.04497793488983891,0.5847491285761264,0.020296645840184327,0.0694581058862216,0.028100000000000028,2023-07-13 16:29:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.5414258188824668,1,0.6082,1.0764433220543184,0.0,fresh_confirmation,0.5777899999999999,XRPUSDT,3,GLOBAL_SLOT_OCCUPIED
0.5993,1.0043050957834694,1.0810775136612383,2023-07-13 16:34:59.999000+00:00,13447,0.5993,2023-07-13 16:35:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T16:34:59.999000+00:00:1,13451,0.617279,roi_0.03,2023-07-13 16:59:59.999000+00:00,0.030000000000000027,24.999983333333333,-0.015248907058234661,-0.015248907058234661,-0.015248907058234661,0.6083119138995492,0.0456554813949608,0.09921797096612718,0.028100000000000028,2023-07-13 16:34:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.5414258188824668,1,0.5993,1.0810775136612383,0.0,fresh_confirmation,0.569335,XRPUSDT,3,GLOBAL_SLOT_OCCUPIED
0.6005,1.003635296769648,1.0976638413458248,2023-07-13 16:54:59.999000+00:00,13451,0.6005,2023-07-13 16:55:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T16:54:59.999000+00:00:1,13453,0.6242,roi_0.03,,0.03946711074104914,10.0,-0.0037318068276436115,-0.0037318068276436115,-0.0037318068276436115,0.6050941715237301,0.08003172356369694,0.26371199000832624,0.03756711074104914,2023-07-13 16:54:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.7238364304633745,1,0.6005,1.0976638413458248,0.0,fresh_confirmation,0.570475,XRPUSDT,3,GLOBAL_SLOT_OCCUPIED
