decision_close,decision_fan_gain,decision_fan_magnitude,decision_time,entry_index,entry_price,entry_time,entry_transition,event_id,exit_index,exit_price,exit_reason,exit_time,gross_return,hold_minutes,mae_120m_net,mae_30m_net,mae_60m_net,mfe_120m_net,mfe_30m_net,mfe_60m_net,net_return,original_signal_time,period_label,planned_loss_fraction,policy,r_multiple,segment_id,signal_close,signal_fan_magnitude,signal_to_decision_minutes,split,stop_price,symbol,symbol_priority
18.156,1.0020701355127581,1.033906419252412,2023-06-29 11:19:59.999000+00:00,9352,18.156,2023-06-29 11:20:00+00:00,immediate,continuous_boolean_run:SOLUSDT:2023-06-29T11:19:59.999000+00:00:1,9505,18.156,roi_0,2023-06-30 00:09:59.999000+00:00,0.0,769.9999833333334,-0.019635183961224864,-0.019635183961224864,-0.019635183961224864,0.00239610046265716,0.00239610046265716,0.00239610046265716,-0.0019,2023-06-29 11:19:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,-0.036608863198458574,1,18.156,1.033906419252412,0.0,fresh_confirmation,17.248199999999997,SOLUSDT,2
0.5448,1.0043078351070716,1.006533548565962,2023-07-13 15:29:59.999000+00:00,13434,0.5449,2023-07-13 15:30:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T15:29:59.999000+00:00:1,13436,0.567,roi_0.03,,0.04055790053220765,10.0,-0.026124628372178535,-0.026124628372178535,-0.026124628372178535,0.19391574600844175,0.18418919067718842,0.18418919067718842,0.03865790053220765,2023-07-13 15:29:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.7448535748016888,1,0.5448,1.006533548565962,0.0,fresh_confirmation,0.517655,XRPUSDT,3
0.5474,1.0042813276838232,1.0108428485121344,2023-07-13 15:34:59.999000+00:00,13435,0.5474,2023-07-13 15:35:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T15:34:59.999000+00:00:1,13436,0.57477,roi_0.05,2023-07-13 15:44:59.999000+00:00,0.050000000000000044,9.999983333333335,-0.012130179028133058,-0.012130179028133058,-0.012130179028133058,0.2036169894044575,0.17877226890756304,0.17877226890756304,0.048100000000000045,2023-07-13 15:34:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.9267822736030837,1,0.5474,1.0108428485121344,0.0,fresh_confirmation,0.52003,XRPUSDT,3
0.6145,1.0078527489535494,1.0241551358940704,2023-07-13 15:44:59.999000+00:00,13437,0.6144,2023-07-13 15:45:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T15:44:59.999000+00:00:1,13437,0.6451199999999999,roi_0.05,2023-07-13 15:49:59.999000+00:00,0.050000000000000044,4.999983333333334,-0.0692828125,-0.0692828125,-0.0692828125,0.23507916666666673,0.05002057291666674,0.05002057291666674,0.048100000000000045,2023-07-13 15:44:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.9267822736030837,1,0.6145,1.0241551358940704,0.0,fresh_confirmation,0.58368,XRPUSDT,3
0.6036,1.0068428142299342,1.0311632392316266,2023-07-13 15:49:59.999000+00:00,13438,0.6035,2023-07-13 15:50:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T15:49:59.999000+00:00:1,13439,0.573325,stoploss,2023-07-13 15:59:59.999000+00:00,-0.050000000000000155,9.999983333333335,-0.05243852526926272,-0.05243852526926272,-0.05243852526926272,0.25742062966031476,0.019475310687655303,0.019475310687655303,-0.051900000000000154,2023-07-13 15:49:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,-1.0000000000000029,1,0.6036,1.0311632392316266,0.0,fresh_confirmation,0.573325,XRPUSDT,3
0.5919,1.005619824836817,1.0420975239422006,2023-07-13 15:59:59.999000+00:00,13440,0.5919,2023-07-13 16:00:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T15:59:59.999000+00:00:1,13442,0.609657,roi_0.03,2023-07-13 16:14:59.999000+00:00,0.030000000000000027,14.999983333333335,-0.018625798276735925,-0.016598428788646577,-0.018625798276735925,0.28210067578982945,0.03949212704848783,0.04844634228754875,0.028100000000000028,2023-07-13 15:59:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.5414258188824668,1,0.5919,1.0420975239422006,0.0,fresh_confirmation,0.5623049999999999,XRPUSDT,3
0.6074,1.0057401036290428,1.059705077832045,2023-07-13 16:14:59.999000+00:00,13443,0.6074,2023-07-13 16:15:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T16:14:59.999000+00:00:1,13452,0.6134740000000001,roi_0.01,2023-07-13 17:04:59.999000+00:00,0.010000000000000009,49.99998333333333,-0.04371758314125794,-0.04371758314125794,-0.04371758314125794,0.3277015805070793,0.006825716167270248,0.058686104708593825,0.008100000000000008,2023-07-13 16:14:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.15606936416184986,1,0.6074,1.059705077832045,0.0,fresh_confirmation,0.57703,XRPUSDT,3
0.6241,1.0045304665772514,1.107147449195088,2023-07-13 17:04:59.999000+00:00,13453,0.6242,2023-07-13 17:05:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T17:04:59.999000+00:00:1,13456,0.642926,roi_0.03,2023-07-13 17:24:59.999000+00:00,0.030000000000000027,19.999983333333333,-0.006385741749439276,-0.006385741749439276,-0.006385741749439276,0.5440788529317526,0.055293207305350936,0.25282604934315933,0.028100000000000028,2023-07-13 17:04:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.5414258188824668,1,0.6241,1.107147449195088,0.0,fresh_confirmation,0.5929899999999999,XRPUSDT,3
0.6418,1.0046003365418836,1.1271736467635092,2023-07-13 17:24:59.999000+00:00,13457,0.6418,2023-07-13 17:25:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T17:24:59.999000+00:00:1,13459,0.661054,roi_0.03,2023-07-13 17:39:59.999000+00:00,0.030000000000000027,14.999983333333335,-0.008755718292303026,-0.008755718292303026,-0.008755718292303026,0.5016836709255219,0.18226952321595502,0.4191034278591461,0.028100000000000028,2023-07-13 17:24:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.5414258188824668,1,0.6418,1.1271736467635092,0.0,fresh_confirmation,0.60971,XRPUSDT,3
0.7144,1.007587685277054,1.1467413346765116,2023-07-13 17:39:59.999000+00:00,13460,0.7153,2023-07-13 17:40:00+00:00,immediate,continuous_boolean_run:XRPUSDT:2023-07-13T17:39:59.999000+00:00:1,13460,0.7510650000000001,roi_0.05,2023-07-13 17:44:59.999000+00:00,0.050000000000000044,4.999983333333334,-0.020493597092129265,-0.020493597092129265,-0.020493597092129265,0.34718430029358305,0.0930252062071857,0.34718430029358305,0.048100000000000045,2023-07-13 17:39:59.999000+00:00,fresh_2023_summer,0.0519,continuous_boolean_run,0.9267822736030837,1,0.7144,1.1467413346765116,0.0,fresh_confirmation,0.679535,XRPUSDT,3
