scenario_id,family,source_family,source_direction,direction,signal_ts_ns,signal_day_utc,signal_hour_utc,submission_ts_ns,reference_entry_price,expected_entry_price,entry_execution_mode,entry_order_type,entry_expiry_ts_ns,entry_client_order_id,stop_price,target_price,target_reason,liquidity_level,atr_at_signal,quantity,equity_before_entry,planned_loss_budget,loss_per_unit,net_rr_at_submission,fee_rate_per_fill,sac_entry_confirmation,failed_acceptance_trap,favorable_drift_guard_enabled,causal_exit_reason_codes,causal_exit_open_position,actual_entry_price,opened_ts_ns,opened_bar_index,partial_entry_abort_requested,partial_entry_abort_opened_quantity,partial_entry_open_parent_count,partial_entry_flatten_attempts,partial_entry_cancel_retry_count,forced_exit_reason,path_observations,mfe_price,mae_price,mfe_price_distance,mae_price_distance,mfe_stop_units,mae_stop_units,mfe_atr,mae_atr,mfe_close_net_r_after_cost,mfe_intrabar_net_r_after_cost,first_close_half_r_ts_ns,first_close_one_r_ts_ns,actual_exit_price,closed_ts_ns,closed_day_utc,closed_hour_utc,duration_minutes,realized_pnl_after_cost,realized_return,realized_r_multiple,outcome
VCIB-1708925160000000000-000035:ENTRY,VCIB_C,VCIB_C,SHORT,SHORT,1708925760000000000,2024-02-26,5,1708925760000000000,51558.4,51558.4,MARKET_AFTER_DEFENSE,MARKET,,O-20240226-053600-001-000-1,51561.100000000006,51419.299999999996,SEQUENTIAL_BUCKET_RANGE_EXTENSION,51508.1,10.75999999999949,39.976,100000.0,3000.0,75.04442255999784,0.8896807080715957,0.0007,,False,False,(),False,51558.24962727637,1708925760000000000,335,True,0.298,1.0,4.0,0.0,PARTIAL_ENTRY_SINGLE_SLOT_ABORT,1,51553.3,51577.3,5.0,19.0,1.7857142857124295,6.785714285707233,0.4646840148699105,1.76579925650566,-0.9658504593335981,-0.8978431401231899,,,51558.50074544727,1708925760000000000,2024-02-26,5,0.0,-2895.57534902,-4.870572075671282e-06,-0.9651917830066666,PARTIAL_ENTRY_SINGLE_SLOT_ABORT
VCIB-1708960860000000000-000098:ENTRY,VCIB_C,VCIB_C,LONG,LONG,1708961160000000000,2024-02-26,15,1708961160000000000,52335.8,52335.8,MARKET_AFTER_DEFENSE,MARKET,,O-20240226-152600-001-000-8,52189.4,52563.7,SEQUENTIAL_BUCKET_RANGE_EXTENSION,52326.05,81.6199999999997,13.253,97104.42465098,2913.1327395293997,219.7972192800031,0.7017621424204514,0.0007,,False,False,(),False,52335.9,1708961160000000000,925,,,,,,,7,52622.2,52260.8,286.29999999999563,75.09999999999854,1.9542662116040657,0.5126279863481129,3.507718696397901,0.9201176182308113,0.9291983341237043,0.9673886261915071,1.70896146e+18,,52563.6,1708961520000000000,2024-02-26,15,6.0,2044.54494855,0.004350742033670904,0.7018372080361449,TARGET
VCIB-1708961520000000000-000099:ENTRY,VCIB_C,VCIB_C,LONG,LONG,1708961760000000000,2024-02-26,15,1708961760000000000,52719.1,52719.1,MARKET_AFTER_DEFENSE,MARKET,,O-20240226-153600-001-000-11,52599.9,52998.1,SEQUENTIAL_BUCKET_RANGE_EXTENSION,52666.3,98.42499999999964,15.403,99148.96959953,2974.4690879859,193.09731819999905,1.060335777361435,0.0007,,False,False,(),False,52719.2,1708961760000000000,935,,,,,,,3,52754.2,52448.6,35.0,270.59999999999854,0.2933780385582672,2.268231349539048,0.35560071120142367,2.749301498602992,-0.38377959202542095,-0.20213320601155915,,,52599.8,1708961880000000000,2024-02-26,15,2.0,-2974.6781899,-0.002264829511828597,-1.0000702989030696,STOP
VCIB-1708987680000000000-000142:ENTRY,VCIB_C,VCIB_C,LONG,LONG,1708988100000000000,2024-02-26,22,1708988100000000000,54701.8,54701.8,MARKET_AFTER_DEFENSE,MARKET,,O-20240226-225500-001-000-14,54639.6,54950.899999999994,SEQUENTIAL_BUCKET_RANGE_EXTENSION,54642.05,30.180000000000653,20.771,96174.29140963,2885.2287422889,138.90340492000146,1.2394807211468242,0.0007,,False,False,(),False,54701.9,1708988100000000000,1374,,,,,,,7,54740.0,54632.4,38.099999999998545,69.5,0.6115569823434472,1.1155698234349398,1.262425447316028,2.30284956925111,-0.27939747065488707,-0.27867804984546846,,,54639.5,1708988460000000000,2024-02-26,23,6.0,-2885.90155358,-0.001140728201397053,-1.000233191663884,STOP
VCIB-1708999560000000000-000168:ENTRY,VCIB_C,VCIB_C,LONG,LONG,1709000040000000000,2024-02-27,2,1709000040000000000,56604.3,56604.3,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-021400-001-000-17,56154.4,57263.7,SEQUENTIAL_BUCKET_RANGE_EXTENSION,56167.2,160.2100000000002,5.289,93288.38985605,2798.6516956815,529.0478782400064,1.0953496343805587,0.0007,,False,False,(),False,56604.4,1709000040000000000,1573,,,,,,TIMEOUT,46,56705.8,56159.6,101.40000000000146,444.8000000000029,0.22533333333333658,0.9884444444444509,0.6329192934273848,2.7763560327070866,-0.013603248961031673,0.041362721409637974,,,56410.5,1709002740000000000,2024-02-27,2,45.0,-1443.95216427,-0.0034255287574817763,-0.5159456485771743,TIMEOUT
VCIB-1709019120000000000-000199:ENTRY,VCIB_C,VCIB_C,SHORT,SHORT,1709019720000000000,2024-02-27,7,1709019720000000000,56025.3,56025.3,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-074200-001-000-21,56103.6,55813.9,SEQUENTIAL_BUCKET_RANGE_EXTENSION,55985.05,57.91000000000095,17.547,91844.43769178,2755.3331307534,157.0230529599965,0.8462932034181119,0.0007,,False,False,(),False,56025.2,1709019720000000000,1901,,,,,,,6,56001.0,56157.2,24.19999999999709,132.0,0.30867346938771223,1.6836734693877238,0.4178898290450128,2.279399067518526,-0.42941108791956073,-0.3465627433308575,,,56103.7,1709020020000000000,2024-02-27,7,5.0,-2754.70756581,-0.0014011551944482126,-0.9997729621378926,STOP
VCIB-1709035620000000000-000226:ENTRY,VCIB_C,VCIB_C,LONG,LONG,1709035920000000000,2024-02-27,12,1709035920000000000,56668.2,56668.2,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-121200-001-000-24,56609.0,56955.299999999996,SEQUENTIAL_BUCKET_RANGE_EXTENSION,56631.45,38.98499999999986,19.267,89089.73012597,2672.6919037791,138.71282683999507,1.495092683384084,0.0007,,False,False,(),False,56668.3,1709035920000000000,2171,,,,,,,14,56964.4,56616.7,296.09999999999854,51.60000000000582,4.993254637436492,0.8701517706577283,7.595228934205454,1.323585994613467,1.3212929487149259,1.5597484019957721,1.7090367e+18,1.7090367e+18,56955.2,1709036700000000000,2024-02-27,12,13.0,3995.27351785,0.005062795248842724,1.4948500095356343,TARGET
VCIB-1709044200000000000-000240:ENTRY,VCIB_C,VCIB_C,LONG,LONG,1709044440000000000,2024-02-27,14,1709044440000000000,57067.3,57067.3,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-143400-001-000-27,56930.3,57303.5,SEQUENTIAL_BUCKET_RANGE_EXTENSION,56935.35,62.5200000000008,12.871,93085.00364382,2792.5501093146,216.9499538800076,0.7186701573867611,0.0007,,False,False,(),False,57067.4,1709044440000000000,2313,,,,,,,5,57399.3,56986.9,331.90000000000146,80.5,2.4208606856309625,0.5871626549963592,5.30870121561096,1.2875879718489918,0.7441183881941991,1.1595914426381655,1.70904468e+18,,57303.4,1709044680000000000,2024-02-27,14,4.0,2007.10940324,0.004135460876086873,0.718737112915271,TARGET
VCIB-1709045100000000000-000242:ENTRY,VCIB_C,VCIB_C,SHORT,SHORT,1709045760000000000,2024-02-27,14,1709045760000000000,56926.4,56926.4,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-145600-001-000-30,57130.4,56340.3,SEQUENTIAL_BUCKET_RANGE_EXTENSION,56886.649999999994,117.95,10.042,95092.11304706,2852.7633914118,284.07578520000004,1.7834618573466499,0.0007,,False,False,(),False,56926.3,1709045760000000000,2335,,,,,,,7,56894.6,57138.8,31.700000000004366,212.5,0.15531602155808227,1.0411562959333733,0.2687579482832078,1.801610852055956,-0.2816040442999312,-0.16958372557547943,,,57130.5,1709046120000000000,2024-02-27,15,6.0,-2852.32726992,-0.003587094190207287,-0.9998471231462402,STOP
VCIB-1709049480000000000-000250:ENTRY,VCIB_C,VCIB_C,LONG,LONG,1709050320000000000,2024-02-27,16,1709050320000000000,56501.9,56501.9,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-161200-001-000-33,56223.5,57031.8,SEQUENTIAL_BUCKET_RANGE_EXTENSION,56745.15,93.28499999999985,7.741,92239.78577714,2767.1935733142,357.4706060400026,1.2594082419454304,0.0007,,False,False,(),False,56502.0,1709050320000000000,2411,,,,,,,16,57076.5,56342.0,574.5,160.0,2.0628366247755836,0.5745062836624776,6.15854639009488,1.7151739293562764,1.1074039188433327,1.3841559044007947,1.70905086e+18,1.70905122e+18,57031.7,1709051220000000000,2024-02-27,16,15.0,3485.20263981,0.009374889384446517,1.2594719333768394,OTHER_EXIT
