previous_state,trades,wins,win_rate,gross_price_pnl,modeled_net_pnl,mean_r,median_duration_min
ACCEPTED,519,97,0.18689788053949905,21841.710900000002,-75094.708200375,-0.48758912668315074,6.0
RETESTED,178,39,0.21910112359550563,2666.4049999999993,-24898.9084405,-0.3922527532468727,8.5
