horizon_minutes,trades,wins,win_rate,gross_price_pnl,modeled_net_pnl,mean_r,median_duration_min
15,183,31,0.16939890710382513,8762.696799999998,-29530.970167750003,-0.5444364115056464,5.0
60,439,86,0.1958997722095672,12154.155299999997,-68027.82523750002,-0.46638796575994196,6.0
1440,75,19,0.25333333333333335,3591.263799999998,-2434.8212356249997,-0.24671738424612732,19.0
