plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,rejection,scale,higher_direction,context_location,impulse_progress,impulse_efficiency,impulse_pressure,return_depth,return_pressure,return_effort,response_progress,response_pressure,peer_progress,source_penetration,source_distance,risk_range,cost_r,planned_rr,label_closed,label_net_r,label_win,label_target,label_hold,label_ambiguous,month,forecast,utility
BTCUSDT:CONTROL:60:1724508000000000000:1:1724518020000000000,BTCUSDT:CONTROL:60:1724508000000000000:1,BTCUSDT,1,1724518020000000000,1724516940000000000,64146.5,64012.8,64399.9,1.8952879581152353,64222.0,60,60:1724508000000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,64097.1,64165.6,64400.0,64117.0,ACCEPTED_CONTROL_RETURN,0.0,0.0,0.0,0.02499999999999991,2.778658976207659,0.9826619071901651,0.21064862145798052,0.6547004132231454,-0.2167234906154235,0.8760652537397221,0.1802451333814025,0.2483307029258226,0.1363636363636226,1.5962509012256585,-1.088680605623671,1.927901946647439,0.5751352281226751,1.8952879581152353,1724522280000000000,-0.9704408252320499,0,0,71.0,False,2024-08,0.5,0.42486477187732485
BTCUSDT:CONTROL:15:1724494500000000000:1:1724518320000000000,BTCUSDT:CONTROL:15:1724494500000000000:1,BTCUSDT,-1,1724518320000000000,1724517420000000000,64246.3,64400.1,64077.5,1.0975292587776833,64358.8,15,15:1724494500000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,64248.7,64280.1,64272.7,64077.4,REJECTED_CONTROL_RETURN,1.0,0.0,-0.0,-0.40884615384616496,1.2920478536241602,0.5941747572815251,-0.0464612043432532,0.5233963433529686,-0.10380539499036606,0.5462276005225329,0.13511611541166282,0.039255158530447934,1.2727272727272956,0.5798733286417666,1.5833919774806637,2.164672765657948,0.5018715214564511,1.0975292587776833,1724520360000000000,0.49466623347545186,1,1,34.0,False,2024-08,0.5,0.4981284785435489
XRPUSDT:CONTROL:15:1724525100000000000:1:1724532480000000000,XRPUSDT:CONTROL:15:1724525100000000000:1,XRPUSDT,1,1724532480000000000,1724530260000000000,0.6207,0.6189,0.6242,1.9444444444443896,0.6224,15,15:1724525100000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,0.6194,0.6202,0.6243,0.6199,ACCEPTED_CONTROL_RETURN,0.0,1.584962500721156,1.0,-0.3584905660377192,1.392857142857191,0.709090909090904,0.3405670677616791,0.6666666666666599,0.20306133922641526,1.2310228177820417,0.21428571428573695,0.49116253036962343,-1.245674740484429,0.678571428571454,-0.6071428571428487,0.6428571428571712,0.4131999999999945,1.9444444444443896,1724533320000000000,-0.9761803686349587,0,0,14.0,False,2024-08,0.5,0.5868000000000055
SOLUSDT:CONTROL:15:1723175100000000000:1:1724533620000000000,SOLUSDT:CONTROL:15:1723175100000000000:1,SOLUSDT,1,1724533620000000000,1724516520000000000,159.517,159.16,161.931,6.761904761904819,160.195,15,15:1723175100000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,159.316,159.372,162.325,159.223,ACCEPTED_CONTROL_RETURN,0.0,1.584962500721156,0.0,-0.6816459122902156,3.0656370656370053,0.946139180171579,0.13365141973622552,0.8872037914691943,-0.06517252856984355,1.6939479217046358,0.07722007722004993,-0.06517252856984355,-3.3463626492942993,2.698069498069487,-1.04710424710423,0.5513513513513435,0.5355915966386565,6.761904761904819,1724534820000000000,-0.9717247916762173,0,0,20.0,False,2024-08,0.5,0.4644084033613435
BTCUSDT:CONTROL:60:1724515200000000000:-1:1724535960000000000,BTCUSDT:CONTROL:60:1724515200000000000:-1,BTCUSDT,-1,1724535960000000000,1724535420000000000,63881.9,64025.0,63701.4,1.2613556953179723,63828.0,60,60:1724515200000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,63928.1,64015.3,63944.7,63701.3,ACCEPTED_CONTROL_RETURN,0.0,0.0,-0.0,0.22771007055805148,2.186973180076462,0.4500157678965452,0.16304680723472156,0.5579240037071368,0.05620225098209338,0.35546512748573084,0.7019157088121545,0.05620225098209338,2.0519480519481,1.9417624521071268,-0.8260536398467195,2.1931034482757177,0.536297274633129,1.2613556953179723,1724536560000000000,0.572127662279759,1,1,10.0,False,2024-08,0.5,0.46370272536687096
ETHUSDT:CONTROL:15:1724544000000000000:-1:1724548380000000000,ETHUSDT:CONTROL:15:1724544000000000000:-1,ETHUSDT,1,1724548380000000000,1724547300000000000,2757.49,2751.47,2764.93,1.235880398671109,2753.45,15,15:1724544000000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,2757.97,2759.56,2764.94,2755.36,REJECTED_CONTROL_RETURN,1.0,0.0,-1.0,-0.6140012845215294,0.6071118820468238,0.6108202443280958,0.20174297686192544,0.5530809205642265,-0.11503122293088731,0.5493039826535049,0.33998265394614874,-0.008554693665862473,0.8657921291624542,0.34171725932346325,0.700780572419756,1.0442324371205338,0.5490657807308985,1.235880398671109,1724548860000000000,0.5449759403715877,1,1,8.0,False,2024-08,0.5,0.4509342192691015
BTCUSDT:CONTROL:15:1724539500000000000:1:1724549640000000000,BTCUSDT:CONTROL:15:1724539500000000000:1,BTCUSDT,1,1724549640000000000,1724543460000000000,64161.6,63893.9,64548.9,1.4467687710123538,63951.2,15,15:1724539500000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,63945.1,64064.5,64549.0,64048.9,ACCEPTED_CONTROL_RETURN,0.0,0.0,0.0,-0.28033205619413704,2.9627163781625074,1.0,0.3124959685316777,0.591360097695012,0.363855304954428,2.5419712502067044,1.1917443408788513,0.363855304954428,-2.428571428571457,2.3675099866845053,2.8015978695073973,3.564580559254358,0.28701270078446334,1.4467687710123538,1724569740000000000,-0.9817177475782333,0,0,335.0,False,2024-08,0.5,0.7129872992155366
XRPUSDT:CONTROL:15:1724547600000000000:-1:1724551200000000000,XRPUSDT:CONTROL:15:1724547600000000000:-1,XRPUSDT,-1,1724551200000000000,1724549520000000000,0.6073,0.6099,0.6038,1.3461538461538018,0.6076,15,15:1724547600000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,0.6076,0.6085,0.6078,0.6037,ACCEPTED_CONTROL_RETURN,0.0,0.0,1.0,0.027027027027039185,3.071428571428523,1.0238095238095213,0.20015858438780104,0.580645161290314,-0.18459155207658526,0.3830962429042427,0.2142857142857681,0.0719241608188715,-0.8245770258237046,1.7857142857143111,0.2142857142857681,1.857142857142874,0.28089230769230267,1.3461538461538018,1724569440000000000,0.8890728137302466,1,1,304.0,False,2024-08,0.5,0.7191076923076973
XRPUSDT:CONTROL:60:1724464800000000000:-1:1724557320000000000,XRPUSDT:CONTROL:60:1724464800000000000:-1,XRPUSDT,1,1724557320000000000,1724550420000000000,0.6059,0.6036,0.6097,1.6521739130435118,0.604,60,60:1724464800000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,0.6057,0.6058,0.6098,0.6054,REJECTED_CONTROL_RETURN,1.0,0.0,-1.0,-0.7727272727272957,0.7857142857143027,0.8461538461538592,-0.17657368691949857,0.6290322580645201,-0.19481521183107298,0.2886408820243237,0.35714285714282884,0.29549548671290804,-0.8903605592347219,0.2142857142856973,1.357142857142908,1.6428571428571712,0.315521739130439,1.6521739130435118,1724569440000000000,-0.9803680519329058,0,0,202.0,False,2024-08,0.5,0.684478260869561
SOLUSDT:CONTROL:15:1724551200000000000:-1:1724558940000000000,SOLUSDT:CONTROL:15:1724551200000000000:-1,SOLUSDT,1,1724558940000000000,1724557500000000000,157.477,157.25900000000001,158.358,4.041284403669924,157.319,15,15:1724551200000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,157.309,157.452,158.368,157.412,REJECTED_CONTROL_RETURN,1.0,0.0,0.0,-0.6874530428249435,0.7895981087470756,0.538709677419356,0.08552672323032143,0.8034265103697086,-0.19861431870669746,0.3830875262100877,0.15366430260047195,0.03835946924004825,-0.46952595936792263,0.11820330969263454,0.3735224586288891,0.5153664302600371,0.8662458715596754,4.041284403669924,1724560980000000000,1.7862125854819988,1,1,34.0,False,2024-08,0.5,0.13375412844032464
