trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,price,time_in_force,expire_time_ns,filled_qty,liquidity_side,avg_px,slippage,commissions,status,is_post_only,is_reduce_only,is_quote_quantity,display_qty,emulation_trigger,trigger_instrument_id,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
BACKTESTER-001,PortfolioStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BTCUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-79310d915abf06b7-17081,LIMIT,SELL,5.248,60892.0,GTD,1.724138280000001e+18,5.248,MAKER,60891.9,0.09999999999854481,['127.82427648 USDT'],FILLED,True,False,False,,NO_TRIGGER,,OTO,OL-20240820-070600-001-000-1,"['O-20240820-070600-001-000-2', 'O-20240820-070600-001-000-3']",,,,,['ENTRY'],fd73879b-e1cf-4b6d-bf77-f4857e4f5881,2024-08-20 07:06:00+00:00,2024-08-20 07:08:00+00:00
BACKTESTER-001,PortfolioStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-003,BTCUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-fd755a8f527ee1bd-18814,LIMIT,BUY,5.248,59324.2,GTC,,5.248,MAKER,59324.3,0.10000000001309672,['124.53357056 USDT'],FILLED,True,True,False,,NO_TRIGGER,,OUO,OL-20240820-070600-001-000-1,['O-20240820-070600-001-000-2'],O-20240820-070600-001-000-1,,,,['TAKE_PROFIT'],185b1db2-618a-48c5-8bc2-4f5c6af3475a,2024-08-20 07:06:00+00:00,2024-08-20 15:01:00+00:00
BACKTESTER-001,PortfolioStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-004,BTCUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-5fa198fa3c501227-25080,LIMIT,BUY,9.131,60777.0,GTD,1.724267880000001e+18,9.131,MAKER,60777.100000000006,0.10000000001309672,['221.98228004 USDT'],FILLED,True,False,False,,NO_TRIGGER,,OTO,OL-20240821-190600-001-000-2,"['O-20240821-190600-001-000-5', 'O-20240821-190600-001-000-6']",,,,,['ENTRY'],7667cdb0-60d5-4e4f-b51d-6ef064126e8f,2024-08-21 19:06:00+00:00,2024-08-21 19:18:00+00:00
BACKTESTER-001,PortfolioStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-006,BTCUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-6eb699e0d613f933-25168,LIMIT,SELL,9.131,61386.0,GTC,,9.131,MAKER,61385.9,0.09999999999854481,['224.20586116 USDT'],FILLED,True,True,False,,NO_TRIGGER,,OUO,OL-20240821-190600-001-000-2,['O-20240821-190600-001-000-5'],O-20240821-190600-001-000-4,,,,['TAKE_PROFIT'],1c1220f3-8019-4ec6-ae8a-c241ac6546c0,2024-08-21 19:06:00+00:00,2024-08-21 19:41:00+00:00
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-001,SOLUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-92f2d08e9a672554-29456,LIMIT,SELL,5061.6,143.775,GTD,1.724330700000001e+18,5061.6,MAKER,143.77440222459302,0.0005977754069874663,['291.09140572 USDT'],FILLED,True,False,False,,NO_TRIGGER,,OTO,OL-20240822-123300-001-000-3,"['O-20240822-123300-001-000-8', 'O-20240822-123300-001-000-9']",,,,,['ENTRY'],131cb7e8-81eb-42a6-842f-10ceddcc1797,2024-08-22 12:33:00+00:00,2024-08-22 12:37:00+00:00
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-003,SOLUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-b6f3cff6feccd107-30193,LIMIT,BUY,5061.6,142.059,GTC,,5061.6,MAKER,142.06,0.0010000000000047748,['287.62035840 USDT'],FILLED,True,True,False,,NO_TRIGGER,,OUO,OL-20240822-123300-001-000-3,['O-20240822-123300-001-000-8'],O-20240822-123300-001-000-7,,,,['TAKE_PROFIT'],8ca26b61-2ed5-476c-a50a-e10decbc58a3,2024-08-22 12:33:00+00:00,2024-08-22 15:51:00+00:00
BACKTESTER-001,PortfolioStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-007,BTCUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-0636a6e09a3138fb-34035,LIMIT,BUY,15.561,60809.9,GTD,1.724415540000001e+18,15.561,MAKER,60809.99179358654,0.09179358653636882,['378.50571292 USDT'],FILLED,True,False,False,,NO_TRIGGER,,OTO,OL-20240823-120700-001-000-4,"['O-20240823-120700-001-000-11', 'O-20240823-120700-001-000-12']",,,,,['ENTRY'],e2d8b4dc-3cd6-4017-93bd-002e9db565a3,2024-08-23 12:07:00+00:00,2024-08-23 12:11:00+00:00
BACKTESTER-001,PortfolioStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-009,BTCUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-4b14bc71731fbaa9-34448,LIMIT,SELL,15.561,61370.0,GTC,,15.561,MAKER,61369.9,0.09999999999854481,['381.99080556 USDT'],FILLED,True,True,False,,NO_TRIGGER,,OUO,OL-20240823-120700-001-000-4,['O-20240823-120700-001-000-11'],O-20240823-120700-001-000-10,,,,['TAKE_PROFIT'],959ea332-7139-42a1-8f1d-c6922fd6ced0,2024-08-23 12:07:00+00:00,2024-08-23 14:02:00+00:00
BACKTESTER-001,PortfolioStrategy-000,XRPUSDT-PERP.BINANCE,BINANCE-4-001,XRPUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-915b25469bef6d74-33959,LIMIT,BUY,1087666,0.6068,GTD,1.724466540000001e+18,1087666,MAKER,0.6068042848631842,4.284863184156329e-06,['264.00015572 USDT'],FILLED,True,False,False,,NO_TRIGGER,,OTO,OL-20240824-021700-001-000-7,"['O-20240824-021700-001-000-20', 'O-20240824-021700-001-000-21']",,,,,['ENTRY'],af77160b-1135-49e1-981e-0db15d33cff3,2024-08-24 02:17:00+00:00,2024-08-24 02:26:00+00:00
BACKTESTER-001,PortfolioStrategy-000,XRPUSDT-PERP.BINANCE,BINANCE-4-003,XRPUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-d249f17d731218c5-36058,LIMIT,SELL,1087666,0.6157,GTC,,1087666,MAKER,0.6156733194749123,2.6680525087696694e-05,['267.85877468 USDT'],FILLED,True,True,False,,NO_TRIGGER,,OUO,OL-20240824-021700-001-000-7,['O-20240824-021700-001-000-20'],O-20240824-021700-001-000-19,,,,['TAKE_PROFIT'],dd0fd35e-87e2-4731-9341-6e52a81c3553,2024-08-24 02:17:00+00:00,2024-08-24 13:10:00+00:00
