bin,horizon_min,status,reasons,all_count,all_mean,all_median,all_win_rate,all_profit_factor,all_mean_without_best,all_top1_positive_share,slot_count,slot_mean,slot_median,slot_win_rate,slot_profit_factor,slot_mean_without_best,slot_top1_positive_share,slot_trades_per_day
0_025,240,do_not_promote,post-publication one-slot mean is non-positive | period signs are unstable (2/3 positive),1050,-0.0016555472841813968,-0.0025121406364570498,0.4104761904761905,0.7776576376127207,-0.0019075958083729634,0.04321501084090182,52,0.0062294807651201095,-0.00164808809999,0.4423076923076923,2.406765336214875,0.0025609846301769593,0.3488315499294699,5.777777777777778
0_025,480,do_not_promote,best-event removal eliminates the mean | period signs are unstable (1/3 positive),1050,-0.0014425021200685322,-0.0016541757684740998,0.4533333333333333,0.8665971834104684,-0.001651718503015288,0.022158952432518666,27,0.001080222580099762,-0.0026707867371216,0.4444444444444444,1.1482234137950689,-0.0007634066572505272,0.21693953633896945,3.0
0_025,720,do_not_promote,best-event removal eliminates the mean | post-publication one-slot mean is non-positive | period signs are unstable (1/3 positive) | one event supplies over half of one-slot gross profit,1050,-0.0007299826548336344,-0.00106779087180005,0.47523809523809524,0.9422316445879055,-0.0009882934185393038,0.02161607854779679,18,0.0017006334896554497,-0.0040378406921577,0.3888888888888889,1.1664320101966645,-0.0071149585893593,0.7064722756078108,2.0
025_050,240,do_not_promote,one-slot after-cost mean/PF is non-positive | best-event removal eliminates the mean | post-publication one-slot mean is non-positive | period signs are unstable (0/3 positive),983,-0.0022056732235421874,-0.0017362266622993,0.4170905391658189,0.648972244191912,-0.002331813168422972,0.03035161842644961,51,-0.004888263519925727,-0.0028454029780193,0.35294117647058826,0.3946746660871766,-0.005446023590024564,0.14149716552174788,5.666666666666667
025_050,480,do_not_promote,one-slot after-cost mean/PF is non-positive | best-event removal eliminates the mean | post-publication one-slot mean is non-positive | period signs are unstable (1/3 positive),983,-0.002420596240674268,-0.0017240156522548,0.4506612410986775,0.7344473766086754,-0.0025623491865792735,0.020784480252506402,27,-0.002115624397166989,-0.0005516822599311,0.48148148148148145,0.7857170584879685,-0.004486256451515664,0.2841763371023058,3.0
025_050,720,do_not_promote,one-slot after-cost mean/PF is non-positive | best-event removal eliminates the mean | post-publication one-slot mean is non-positive | period signs are unstable (0/3 positive),983,-0.0031160004074854137,-0.0020922627244148,0.44455747711088506,0.7348759098035925,-0.003308019294491033,0.021842528298828066,18,-0.01059241593316317,0.00188969342106815,0.5555555555555556,0.3857215787373152,-0.013790020880118777,0.36556891823565796,2.0
050_075,240,do_not_promote,one-slot after-cost mean/PF is non-positive | best-event removal eliminates the mean | period signs are unstable (1/3 positive),782,-0.0009233725222264118,-0.0016602812983728499,0.42838874680306904,0.8149186994692778,-0.0010421969189466206,0.0288987040488714,51,-0.004116193879860857,-0.002503778945873,0.4117647058823529,0.4392208649012491,-0.0047776512071434915,0.17611305023450757,5.666666666666667
050_075,480,do_not_promote,one-slot after-cost mean/PF is non-positive | best-event removal eliminates the mean | post-publication one-slot mean is non-positive | period signs are unstable (1/3 positive),782,0.0005970603631258602,-0.00065585304480055,0.47698209718670076,1.0827187262256581,0.000455291799115799,0.018215026023813224,27,-0.001148842477512185,-0.0022031451307313,0.37037037037037035,0.8496225500046635,-0.0036672008589830694,0.36705884639116326,3.0
050_075,720,do_not_promote,best-event removal eliminates the mean | post-publication one-slot mean is non-positive | period signs are unstable (1/3 positive),782,0.0011426396588838132,-0.00061195702920825,0.479539641943734,1.1216277454973822,0.0009141353115254586,0.021796419834116346,18,0.0014326519113283843,-0.0029931398801816,0.3333333333333333,1.1774207470411642,-0.0028243280727161413,0.43124454168761855,2.0
075_100,240,do_not_promote,one-slot after-cost mean/PF is non-positive | best-event removal eliminates the mean | post-publication one-slot mean is non-positive | period signs are unstable (1/3 positive),641,-0.0014555492112291496,-0.0020752848378615,0.3868954758190328,0.7000468285826272,-0.001692321654032207,0.06892246990587904,47,-0.0003218482681028828,-0.0020254233036496,0.3617021276595745,0.9181300980785391,-0.0008392014110809391,0.13838927793727723,5.222222222222222
075_100,480,do_not_promote,one-slot after-cost mean/PF is non-positive | best-event removal eliminates the mean | post-publication one-slot mean is non-positive | period signs are unstable (0/3 positive),641,-0.0007214084121944564,-0.0009517941922187,0.4711388455538221,0.8906038498580591,-0.0010063390181120515,0.04824761109866307,26,-0.0033804513497370727,-0.0011421439209681025,0.46153846153846156,0.5821495126334846,-0.004653118188933453,0.23222565508457563,2.888888888888889
075_100,720,do_not_promote,one-slot after-cost mean/PF is non-positive | best-event removal eliminates the mean | post-publication one-slot mean is non-positive | period signs are unstable (1/3 positive) | one event supplies over half of one-slot gross profit,641,-0.002149490545228535,-0.0016087277644856,0.44773790951638065,0.7733926949581614,-0.0024031686785069123,0.034068657674040534,18,-0.0017453082701873839,-0.0014077628042678501,0.3888888888888889,0.8350372653585232,-0.008682247669078514,0.7305949391964818,2.0
