client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,account_id,trade_id,order_side,order_type,last_qty,last_px,currency,liquidity_side,event_id,ts_event,ts_init,reconciliation,info,position_id,commission,causation_id
O-20231018-040050-001-140733232651416-25,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BINANCE-1-25,BINANCE-001,T-94413b870c9716f1-67583,SELL,MARKET,48.444,28493.4,USDT,TAKER,e4baa830-28c6-4819-9729-60fabfc16d2d,2023-10-18 04:00:50.000000001+00:00,2023-10-18 04:00:50.000000001+00:00,False,{},P-20231018-040050-001-140733232651416-7,828.20056176 USDT,
O-20231018-040100-001-140733232651416-28,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BINANCE-1-28,BINANCE-001,T-718df4c08d47f81b-67586,BUY,MARKET,48.444,28491.8,USDT,TAKER,57f09e90-f414-4ce6-9aa7-1eaad210b7f3,2023-10-18 04:01:00+00:00,2023-10-18 04:01:00+00:00,False,{},P-20231018-040050-001-140733232651416-7,828.15405552 USDT,
O-20231018-143500-001-140733232651416-29,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BINANCE-1-29,BINANCE-001,T-7aff74c605ee9ae5-77475,BUY,MARKET,16.878,28253.3,USDT,TAKER,966e661f-8e73-4ab8-becf-b5808d19329c,2023-10-18 14:35:00.000000001+00:00,2023-10-18 14:35:00.000000001+00:00,False,{},P-20231018-143500-001-140733232651416-8,286.11551844 USDT,
O-20231018-143510-001-140733232651416-32,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BINANCE-1-32,BINANCE-001,T-db6d448b04511bfa-77480,SELL,MARKET,16.878,28234.3,USDT,TAKER,7955967e-6faa-4738-bce8-e3e3398843fc,2023-10-18 14:35:10+00:00,2023-10-18 14:35:10+00:00,False,{},P-20231018-143500-001-140733232651416-8,285.92310924 USDT,
O-20231018-170950-001-140733232651416-33,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BINANCE-1-33,BINANCE-001,T-0000f093a92fccbc-79911,SELL,MARKET,40.452,28380.0,USDT,TAKER,8a9cdfe2-2a9e-4cca-b9dc-a645169ca071,2023-10-18 17:09:50.000000001+00:00,2023-10-18 17:09:50.000000001+00:00,False,{},P-20231018-170950-001-140733232651416-9,688.81665600 USDT,
O-20231018-171000-001-140733232651416-36,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BINANCE-1-36,BINANCE-001,T-511a01ec72d782a3-79914,BUY,MARKET,40.452,28380.4,USDT,TAKER,a95ee873-5f2e-4f2e-af01-08e01c3d6052,2023-10-18 17:10:00+00:00,2023-10-18 17:10:00+00:00,False,{},P-20231018-170950-001-140733232651416-9,688.82636448 USDT,
O-20231019-144340-001-140733232651416-37,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BINANCE-1-37,BINANCE-001,T-b07e9ee766b59adc-98044,SELL,MARKET,32.248,28563.0,USDT,TAKER,44b9cdbb-9fe3-4638-aa9c-32cdf6e98441,2023-10-19 14:43:40.000000001+00:00,2023-10-19 14:43:40.000000001+00:00,False,{},P-20231019-144340-001-140733232651416-10,552.65977440 USDT,
O-20231019-144350-001-140733232651416-40,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BINANCE-1-40,BINANCE-001,T-7c4f1bf934823fe1-98049,BUY,MARKET,32.248,28568.5,USDT,TAKER,9fe95262-71b9-4a98-b0d2-6c7d1fc88ffb,2023-10-19 14:43:50+00:00,2023-10-19 14:43:50+00:00,False,{},P-20231019-144340-001-140733232651416-10,552.76619280 USDT,
O-20231020-023440-001-140733232651416-41,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BINANCE-1-41,BINANCE-001,T-3e5eb0a00c847bc9-108910,SELL,MARKET,18.794,28881.4,USDT,TAKER,48667784-aa38-429a-94f3-21e371447ba6,2023-10-20 02:34:40.000000001+00:00,2023-10-20 02:34:40.000000001+00:00,False,{},P-20231020-023440-001-140733232651416-11,325.67821896 USDT,
O-20231020-023450-001-140733232651416-44,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BINANCE-1-44,BINANCE-001,T-f0ab746050ca9459-108914,BUY,MARKET,18.794,28884.9,USDT,TAKER,372b34e3-0574-43f1-92d3-fe366483c670,2023-10-20 02:34:50+00:00,2023-10-20 02:34:50+00:00,False,{},P-20231020-023440-001-140733232651416-11,325.71768636 USDT,
O-20231020-024600-001-140733232651416-45,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BINANCE-1-45,BINANCE-001,T-03c781cb371d99ea-109126,SELL,MARKET,9.066,28999.8,USDT,TAKER,b92be6ce-f14b-4a42-9599-d13987ae0aed,2023-10-20 02:46:00.000000001+00:00,2023-10-20 02:46:00.000000001+00:00,False,{},P-20231020-024600-001-140733232651416-12,157.74731208 USDT,
O-20231020-024610-001-140733232651416-48,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BINANCE-1-48,BINANCE-001,T-47ef39036185c448-109131,BUY,MARKET,9.066,28997.7,USDT,TAKER,1a96446f-024c-48f2-9611-6a4ff9572121,2023-10-20 02:46:10+00:00,2023-10-20 02:46:10+00:00,False,{},P-20231020-024600-001-140733232651416-12,157.73588892 USDT,
O-20231020-074900-001-140733232651416-49,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BINANCE-1-49,BINANCE-001,T-c6144a596f5860bb-114163,SELL,MARKET,17.779,29322.0,USDT,TAKER,7e1a2e27-defe-47d8-bee1-5cee1811e6b2,2023-10-20 07:49:00.000000001+00:00,2023-10-20 07:49:00.000000001+00:00,False,{},P-20231020-074900-001-140733232651416-13,312.78950280 USDT,
O-20231020-074910-001-140733232651416-52,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BINANCE-1-52,BINANCE-001,T-77a59747bc1609b8-114168,BUY,MARKET,17.779,29332.8,USDT,TAKER,a5b1d9d5-4f4c-47c2-b490-9f77f19aac56,2023-10-20 07:49:10+00:00,2023-10-20 07:49:10+00:00,False,{},P-20231020-074900-001-140733232651416-13,312.90471072 USDT,
O-20231020-081830-001-140733232651416-53,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BINANCE-1-53,BINANCE-001,T-16841f7729df886e-114701,SELL,MARKET,13.744,29380.4,USDT,TAKER,684c48e5-d3a0-4c40-aca8-368bd370d532,2023-10-20 08:18:30.000000001+00:00,2023-10-20 08:18:30.000000001+00:00,False,{},P-20231020-081830-001-140733232651416-14,242.28253056 USDT,
O-20231020-081840-001-140733232651416-56,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BINANCE-1-56,BINANCE-001,T-97dc58dd02338d31-114705,BUY,MARKET,13.744,29399.7,USDT,TAKER,4c1c73d9-16b7-436b-84cb-f8e716dad926,2023-10-20 08:18:40+00:00,2023-10-20 08:18:40+00:00,False,{},P-20231020-081830-001-140733232651416-14,242.44168608 USDT,
O-20231020-171010-001-140733232651416-57,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BINANCE-1-57,BINANCE-001,T-bd33fb56f4b341c3-124191,BUY,MARKET,19.169,29374.9,USDT,TAKER,2792a281-33f2-4172-a56b-033a77060c3c,2023-10-20 17:10:10.000000001+00:00,2023-10-20 17:10:10.000000001+00:00,False,{},P-20231020-171010-001-140733232651416-15,337.85247486 USDT,
O-20231020-171020-001-140733232651416-60,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BINANCE-1-60,BINANCE-001,T-7ecd0d50b3f7d7f2-124196,SELL,MARKET,19.169,29376.8,USDT,TAKER,986135c4-11c2-423c-ac64-9c84195d7467,2023-10-20 17:10:20+00:00,2023-10-20 17:10:20+00:00,False,{},P-20231020-171010-001-140733232651416-15,337.87432752 USDT,
O-20231021-144700-001-140733232651416-61,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BINANCE-1-61,BINANCE-001,T-3929b5bfeb835c27-142241,SELL,MARKET,24.399,29829.8,USDT,TAKER,8c5f22f1-2c54-4164-92da-2c1f2e582f9e,2023-10-21 14:47:00.000000001+00:00,2023-10-21 14:47:00.000000001+00:00,False,{},P-20231021-144700-001-140733232651416-16,436.69037412 USDT,
O-20231021-144710-001-140733232651416-64,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BINANCE-1-64,BINANCE-001,T-0fc3b1b894f94ea4-142244,BUY,MARKET,24.399,29844.5,USDT,TAKER,afa04ed9-514d-404e-a110-4e8a676e7243,2023-10-21 14:47:10+00:00,2023-10-21 14:47:10+00:00,False,{},P-20231021-144700-001-140733232651416-16,436.90557330 USDT,
O-20231021-144830-001-140733232651416-65,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BINANCE-1-65,BINANCE-001,T-1df135a13034bf43-142273,SELL,MARKET,18.564,29844.0,USDT,TAKER,cbe2152d-42c7-44ff-ac8b-02fb9bebaaea,2023-10-21 14:48:30.000000001+00:00,2023-10-21 14:48:30.000000001+00:00,False,{},P-20231021-144830-001-140733232651416-17,332.41440960 USDT,
O-20231021-144840-001-140733232651416-68,TRADER-001,DataActor-140733232651416,BTCUSDT-PERP.BINANCE,BINANCE-1-68,BINANCE-001,T-f2a11746630d7c8c-142277,BUY,MARKET,18.564,29834.0,USDT,TAKER,cd00b8b1-9614-4209-bbe1-bad51418a99c,2023-10-21 14:48:40+00:00,2023-10-21 14:48:40+00:00,False,{},P-20231021-144830-001-140733232651416-17,332.30302560 USDT,
