week,context_scenario_id,family,trade_direction,shock_direction,realized_r,win,outcome,top_position_prior_log,top_position_level_z,top_position_delta_log,top_position_delta_z,top_account_level_z,top_account_delta_log,top_account_delta_z,all_account_level_z,all_account_delta_log,all_account_delta_z,liquidated_position_crowding_z,position_discharge_z,liquidated_top_account_crowding_z,top_account_discharge_z,liquidated_all_account_crowding_z,all_account_discharge_z,position_vs_all_discharge_z,event_open_interest,event_taker_buy_sell_ratio
week-1,OIDB-1708964700000000000-000010,OIDB_R,LONG,DOWN,-0.9723974811833334,False,CAUSAL_CONTEXT_INVALIDATION_DELEVERAGING_REVERSAL_THESIS_INVALIDATED,0.22586221240388113,-3.3099042803224217,0.00651184639637209,9.184144693431765,-2.5788942086539794,-0.008724642603575444,-4.22368651600721,-3.0225496085378163,-0.031381157371996676,-15.582403100105608,-3.3099042803224217,-9.184144693431765,-2.5788942086539794,4.22368651600721,-3.0225496085378163,15.582403100105608,-24.766547793537374,87337.897,0.68557678
week-1,OIDB-1708970700000000000-000013,OIDB_R,SHORT,UP,0.6604300555933694,True,OTHER_EXIT,0.23660106342483544,-0.36469692586428887,0.0011739638780914885,1.6140323923449291,-2.76960360804582,-0.003171242029999355,-1.4029549973689053,-3.661577343801031,0.0017021001860471063,0.5321045965295556,0.36469692586428887,1.6140323923449291,2.76960360804582,-1.4029549973689053,3.661577343801031,0.5321045965295556,1.0819277958153735,88074.909,1.27015323
week-1,OIDB-1708998600000000000-000018,OIDB_C,LONG,UP,1.1499458432377785,True,TARGET,0.26650533224473694,3.3413993864875344,0.0011617703677822,1.1423330056978533,-1.7382709973452932,0.011319748997057455,4.745435407325323,-1.51960448098633,0.03262748836375817,10.63632728550954,-3.3413993864875344,1.1423330056978533,1.7382709973452932,4.745435407325323,1.51960448098633,10.63632728550954,-9.493994279811686,84325.096,1.57444102
week-1,OIDB-1709037900000000000-000021,OIDB_R,SHORT,UP,0.9862563867518483,True,TARGET,0.3175722663789763,1.2714945077048179,0.0006058413043633082,0.3851956276442337,-0.0807541009974465,-0.013694939817903679,-3.7612050802963055,0.5542280411169737,0.0007811066826632074,0.3885065145347599,-1.2714945077048179,0.3851956276442337,0.0807541009974465,-3.7612050802963055,-0.5542280411169737,0.3885065145347599,-0.0033108868905261657,81657.106,1.6772588
week-1,OIDB-1709050200000000000-000023,OIDB_R,LONG,DOWN,0.6047969348473926,True,TARGET,0.2942815230942144,-0.4482947662932314,5.377001871414988e-05,0.01673568941589016,0.2808861690387072,-0.00998926092910557,-2.463772743077213,0.6816523260450436,-0.04480634625287572,-8.301891282178246,-0.4482947662932314,-0.01673568941589016,0.2808861690387072,2.463772743077213,0.6816523260450436,8.301891282178246,-8.318626971594137,82145.809,0.42730304
week-1,OIDB-1709055600000000000-000024,OIDB_R,LONG,DOWN,0.07067258429351982,True,TIMEOUT,0.31915629880550356,0.14403804903019174,-0.0037762101263793535,-2.204812206812816,-0.9364777133137607,0.009098438059592179,2.805310661955262,-2.2075092094352486,0.0032347818363245295,0.8071761737527319,0.14403804903019174,2.204812206812816,-0.9364777133137607,-2.805310661955262,-2.2075092094352486,-0.8071761737527319,3.011988380565548,81739.47,0.49185791
week-1,OIDB-1709063700000000000-000025,OIDB_R,SHORT,UP,0.6135973333562321,True,TARGET,0.3231080755606924,0.2269202250496606,0.000963496805267694,0.5174944975674851,-1.0075728419287435,-0.0001550217359840289,0.0913721045321633,-2.0066429591002795,0.019855484264257706,4.113356960348928,-0.2269202250496606,0.5174944975674851,1.0075728419287435,0.0913721045321633,2.0066429591002795,4.113356960348928,-3.595862462781443,82043.19,1.73778525
week-1,OIDB-1709121300000000000-000034,OIDB_R,LONG,DOWN,0.4447741097955135,True,TIMEOUT,0.3163089235714609,0.44315456656533625,0.003986216566913059,3.102944451864328,-0.935811958964114,0.0025777722705615513,0.8857898722596106,0.14861765655512016,-0.029610991725310842,-8.928172492806123,0.44315456656533625,-3.102944451864328,-0.935811958964114,-0.8857898722596106,0.14861765655512016,8.928172492806123,-12.031116944670451,83154.672,0.83280614
week-1,OIDB-1709136300000000000-000040,OIDB_R,SHORT,UP,-0.9999345300868661,False,STOP,0.3139886501921014,-0.3081061668211669,0.008797319578059348,6.279462606191211,0.5839685023271542,-0.029706662827572866,-8.794591577159302,3.1729446054911485,-0.01281374790860862,-3.8551300294761637,0.3081061668211669,6.279462606191211,-0.5839685023271542,-8.794591577159302,-3.1729446054911485,-3.8551300294761637,10.134592635667374,82792.704,1.56287236
week-1,OIDB-1709139900000000000-000041,OIDB_R,SHORT,UP,-0.9999177506748939,False,STOP,0.3290514491310832,2.847225405660652,0.008561843381032386,6.055980297969009,1.3963031615776496,-0.011037231817244558,-3.3146098076566455,7.810649104336386,0.02258444767422689,6.9862693897330495,-2.847225405660652,6.055980297969009,-1.3963031615776496,-3.3146098076566455,-7.810649104336386,6.9862693897330495,-0.9302890917640401,81318.469,1.52987262
week-1,OIDB-1709144100000000000-000043,OIDB_C,SHORT,DOWN,0.7253820059032354,True,TARGET,0.39405321949962147,15.052916376893364,0.015488979300743111,10.58816342380537,5.845404230583373,-0.005154119535180718,-1.5152411787749194,11.067367370719984,-0.023142242338938537,-6.990785671661196,15.052916376893364,-10.58816342380537,5.845404230583373,1.5152411787749194,11.067367370719984,6.990785671661196,-17.578949095466566,72665.91,0.84768262
week-1,OIDB-1709232900000000000-000052,OIDB_R,LONG,DOWN,1.3589672642298598,True,TARGET,0.43858675329138086,-0.21890810651300796,-0.0015584776200683326,-0.7636011530342568,4.102782299614852,0.006711920226161239,1.1453010147131553,1.6978246921785705,-0.0007597099005566543,-0.24088279233957796,-0.21890810651300796,0.7636011530342568,4.102782299614852,-1.1453010147131553,1.6978246921785705,0.24088279233957796,0.5227183606946788,74800.417,0.73258411
week-1,OIDB-1709298000000000000-000059,OIDB_R,LONG,DOWN,0.6373437925210879,True,TARGET,0.39298616901808014,-1.6562636924884937,0.0014935264578871399,0.9263031845584067,-1.5670709501074533,0.0008568302230343994,0.17445151550874535,-0.929017310646899,-0.0039356591373029826,-0.9378284510499165,-1.6562636924884937,-0.9263031845584067,-1.5670709501074533,-0.17445151550874535,-0.929017310646899,0.9378284510499165,-1.8641316356083233,74398.107,0.72234911
week-1,OIDB-1709317800000000000-000063,OIDB_R,SHORT,UP,-0.9999805843215531,False,STOP,0.4081403664113941,-0.07424248714223954,0.003972873812970401,2.7780580636801107,-1.145488714687165,-0.006492476528403332,-1.8805859732474093,-0.35598721269690986,-0.004652431210163233,-1.287791440123042,0.07424248714223954,2.7780580636801107,1.145488714687165,-1.8805859732474093,0.35598721269690986,-1.287791440123042,4.065849503803152,74910.777,1.43949056
week-2,OIDB-1727208300000000000-000013,OIDB_R,SHORT,UP,-0.07792246582000001,False,TIMEOUT,0.023032699110572784,-1.2026367446831001,-0.0022109834182745744,-2.692824385605689,-6.200853130894533,-0.019292771295820785,-9.834652667882505,-5.525908801593392,-0.016068749106530777,-7.996585096951626,1.2026367446831001,-2.692824385605689,6.200853130894533,-9.834652667882505,5.525908801593392,-7.996585096951626,5.303760711345937,90892.701,1.136563
week-2,OIDB-1727373600000000000-000029,OIDB_R,LONG,DOWN,-0.9999369345481346,False,STOP,0.0914637006702897,0.5264640461054687,-0.0004627924540633044,-0.25773293883868853,-2.5101134574444592,0.00801015015883988,3.371413233195004,-5.730670186736929,0.005857866945929935,2.071289343790884,0.5264640461054687,0.25773293883868853,-2.5101134574444592,-3.371413233195004,-5.730670186736929,-2.071289343790884,2.3290222826295723,90054.613,0.673764
