group,policy,horizon_min,count,mean,median,win_rate,profit_factor,gross_profit,gross_loss,q10,q90,best,worst,top1_positive_share,top2_positive_share,mean_without_best,mean_without_worst
all,direct_continuation,120,224,0.0025187855241151423,0.0006306272828289501,0.53125,1.4380645948413242,1.8521640352175743,1.2879560778157826,-0.01765113444394108,0.020674851447309732,0.1729920998311127,-0.1316102809181448,0.09339998863048393,0.14623681541688288,0.0017543311998685163,0.0031202611583853656
all,direct_continuation,240,224,0.0024756035920242285,7.098665457188629e-05,0.5,1.3674877634627107,2.0635247812682604,1.5089895766548331,-0.01879812724628205,0.0294574680470153,0.1242024582473258,-0.1550427757896575,0.060189467737329465,0.09650473177462733,0.001929743257247092,0.003181964037681995
all,direct_continuation,480,224,0.005893272942990489,0.00211889973048085,0.5446428571428571,1.6865077110517208,3.2430040082243408,1.9229108689944712,-0.02491138928074663,0.05069094040837313,0.1446565772189902,-0.1501504901992506,0.04460573494579021,0.08761944448149032,0.0052710159731429555,0.006593020759771839
all,direct_continuation,720,224,0.0065757441005938845,0.003383789243297,0.5535714285714286,1.5538749811394315,4.1323514290463015,2.6593847505132717,-0.04066318831088105,0.05232224706073818,0.2344420427553445,-0.1961073170731706,0.0567333264802822,0.10107465567909163,0.005553922133532222,0.007484636751597312
all,delayed_continuation,120,224,-0.00046641219996379957,-0.0003601508701714,0.48660714285714285,0.9293507717893641,1.3743272640485757,1.4788035968404671,-0.01562234928837474,0.015657410066422083,0.1403867513611614,-0.1310408036589351,0.10214943342359496,0.1580081040280217,-0.001098040736112343,0.00011912318774459192
all,delayed_continuation,240,224,0.00011781944052726434,-0.000745958103908,0.4642857142857143,1.0164799673475111,1.6278240163809516,1.6014324617028444,-0.01985418976687706,0.02306271459339484,0.0813023040398536,-0.1423181639986933,0.049945389195453924,0.08991847372464586,-0.000246236544223078,0.0007565458236627826
all,delayed_continuation,480,224,0.002639825070899729,0.00058850322448845,0.5133928571428571,1.2751760069350606,2.7402029893956192,2.1488821735140804,-0.02933934517546575,0.036663777701075415,0.1578035540835572,-0.1386200261352499,0.05758827163324949,0.10674683246709289,0.0019440235955066468,0.003273277318460939
all,delayed_continuation,720,224,0.003954578427957772,0.0042307015141206505,0.5580357142857143,1.3134611287733493,3.711775858187197,2.825950290324656,-0.04031213321640614,0.05282209759669078,0.214932504145937,-0.1853410587873192,0.05790557198432461,0.1097754166518559,0.00300848907496235,0.004803437787667535
all,delayed_reversal,120,224,-0.003333587800036191,-0.0034398491298285,0.4107142857142857,0.5918014294467876,1.0825910856488354,1.8293147528569422,-0.01945741006642208,0.011822349288374745,0.1272408036589351,-0.1441867513611614,0.11753357786303509,0.19039026224676922,-0.003919123187744582,-0.0027019592638876473
all,delayed_reversal,240,224,-0.003917819440527254,-0.0030540418960919,0.41517857142857145,0.5782654582726242,1.2033182780417655,2.08090983271987,-0.02686271459339484,0.016054189766877072,0.1385181639986933,-0.0851023040398536,0.11511348786632951,0.18517285886898108,-0.004556545823662771,-0.0035537634557769103
all,delayed_reversal,480,224,-0.006439825070899719,-0.00438850322448845,0.375,0.5525785476981314,1.7815552950428215,3.2240761109243583,-0.04046377770107536,0.02553934517546575,0.1348200261352499,-0.1616035540835573,0.07567546542640954,0.1386554343545389,-0.007073277318460928,-0.005744023595506636
all,delayed_reversal,720,224,-0.007754578427957766,-0.00803070151412065,0.38392857142857145,0.587332913585942,2.4722405089567276,4.209266076819267,-0.05662209759669078,0.03651213321640618,0.1815410587873192,-0.218732504145937,0.07343179521960368,0.13553716010339675,-0.008603437787667529,-0.006808489074962344
state:FLOW_ALIGNED_PRICE_ONLY,direct_continuation,120,6,0.0029657760303283993,0.002153243102783,0.8333333333333334,40.82906374538098,0.018241431840462598,0.0004467756584922,0.00049615229953195,0.0062479326886702505,0.0063577328353621,-0.0004467756584922,0.3485325544050532,0.6850265640673309,0.0022873846693216597,0.0036482863680925197
state:FLOW_ALIGNED_PRICE_ONLY,direct_continuation,240,6,0.0003040610126839835,0.0006496661400226,0.5,1.1697896810211015,0.0125692244510788,0.0107448583749749,-0.005239606626704949,0.0055021235247343,0.0066376930063578,-0.0093361200277256,0.5280908963152532,0.8754913314101984,-0.0009626653860507798,0.0022320972207659
state:FLOW_ALIGNED_PRICE_ONLY,direct_continuation,480,6,-0.005027853669056628,-0.0031363013009450998,0.16666666666666666,0.1760953672799193,0.0064477006438901,0.036614822658229865,-0.015133061829274649,0.0031858021230498656,0.0064477006438901,-0.020246957311535,1.0,1.0,-0.007322964531645973,-0.0019840329405609544
