event_id,event_time,entry_time,period_label,split,symbol,side,outside_band,squeeze_bars,volume_ratio,momentum_norm,risk_fraction,net19_60m,net19_120m,net19_240m,net19_480m,net19_720m,net19_1440m,outcome_720m,outcome_1440m,r_720m,r_1440m
ETHUSDT:2026-04-01T04:00:00+00:00:+1,2026-04-01 04:00:00+00:00,2026-04-01 08:00:00+00:00,postpub_2026_04,post_publication,ETHUSDT,1,False,9,1.368350045590072,2.5280500124536114,0.0335052991400255,0.0008697840037932,0.0006209728983677,1.292409383303909e-06,-0.0001160713195908,0.0028508837488792,-0.0354052991400255,TIME,STOP,0.0805213857282822,-0.9999999999999988
SOLUSDT:2026-04-08T00:00:00+00:00:+1,2026-04-08 00:00:00+00:00,2026-04-08 04:00:00+00:00,postpub_2026_04,post_publication,SOLUSDT,1,False,15,1.0901891227046103,2.146079484425345,0.0487085572341073,-0.0027280104092738,-0.0061583392476933,-0.0026097232079489,-0.0033194464158978,-0.0166859001656021,-0.0322998107404779,TIME,TIME,-0.3297051146590828,-0.6382282464814011
XRPUSDT:2026-04-06T04:00:00+00:00:+1,2026-04-06 04:00:00+00:00,2026-04-06 08:00:00+00:00,postpub_2026_04,post_publication,XRPUSDT,1,False,9,1.2887443414791784,1.3913136499785952,0.0254919784390648,-0.0059187541862021,0.0043513954007592,0.0021931755600208,0.0026397038029324,-0.0039093770931011,-0.0273919784390648,TIME,STOP,-0.1427197784124198,-0.9999999999999984
XRPUSDT:2026-04-07T20:00:00+00:00:+1,2026-04-07 20:00:00+00:00,2026-04-08 00:00:00+00:00,postpub_2026_04,post_publication,XRPUSDT,1,True,3,2.975039017943587,2.703428696221876,0.0368364311111572,-0.0106802046295624,-0.0082130396923301,-0.0079953486684567,-0.0010292359045063,-0.0022628183731225,-0.0280954865394383,TIME,TIME,-0.0584157680047818,-0.7252987880792671
XRPUSDT:2026-04-12T20:00:00+00:00:-1,2026-04-12 20:00:00+00:00,2026-04-13 00:00:00+00:00,postpub_2026_04,post_publication,XRPUSDT,-1,False,10,1.0572850745946347,-1.9056135121708973,0.0170303733275787,-0.0072625377643504,-0.0076401812688819,-0.0023531722054379,-0.0025042296072505,-0.0026552870090634,-0.0189303733275787,TIME,STOP,-0.1402659611152571,-0.9999999999999976
XRPUSDT:2026-04-14T00:00:00+00:00:+1,2026-04-14 00:00:00+00:00,2026-04-14 04:00:00+00:00,postpub_2026_04,post_publication,XRPUSDT,1,False,2,1.0747699364997312,1.167602476296254,0.0306886243192675,-0.0047535889368551,-0.0055584473549426,-0.0010951415819126,-0.0005829589522205,0.0032218262969194,-0.0089242189214897,TIME,TIME,0.0988635256694352,-0.2738446039961692
BTCUSDT:2026-07-21T08:00:00+00:00:+1,2026-07-21 08:00:00+00:00,2026-07-21 12:00:00+00:00,postpub_2026_07,post_publication,BTCUSDT,1,False,5,1.3070633586189786,3.366933373214678,0.0154858804550289,0.0012635501124132,0.0045959837389302,0.0030850794431067,-0.000518774116792,0.0011821241323988,-0.0069755527542336,TIME,TIME,0.0679933429576123,-0.4012194132058432
SOLUSDT:2026-07-19T20:00:00+00:00:+1,2026-07-19 20:00:00+00:00,2026-07-20 00:00:00+00:00,postpub_2026_07,post_publication,SOLUSDT,1,False,5,1.0042862196751583,0.0779923599320966,0.0230482053969084,0.0005888656012576,-0.0019,0.002946738276133,-0.0039958868221115,0.0079244694786482,0.0173559601781503,TIME,TIME,0.3176368541374216,0.695679705294598
XRPUSDT:2026-07-28T00:00:00+00:00:-1,2026-07-28 00:00:00+00:00,2026-07-28 04:00:00+00:00,postpub_2026_07,post_publication,XRPUSDT,-1,True,3,1.6122954637529383,-4.007228371357573,0.0279555951705696,-0.0001038192474947,-0.0013327850255245,0.0003688598979014,0.0067027604462092,-0.0084229722064661,-0.0144732652675363,TIME,TIME,-0.2821237412399381,-0.4847756403732136
ETHUSDT:2021-02-02T12:00:00+00:00:+1,2021-02-02 12:00:00+00:00,2021-02-02 16:00:00+00:00,source_bull_2021_02,source_history,ETHUSDT,1,False,2,1.4923433253619325,2.113031265751386,0.0657252120254431,0.0471408849061887,0.0314239988798654,0.0630607952954354,0.0625707364883785,0.0743031443773252,0.0743031443773252,TARGET,TARGET,1.0987491521559984,1.0987491521559984
ETHUSDT:2021-02-07T16:00:00+00:00:+1,2021-02-07 16:00:00+00:00,2021-02-07 20:00:00+00:00,source_bull_2021_02,source_history,ETHUSDT,1,False,7,1.6080703708724473,0.2465448864992564,0.0694277560349615,0.0083854516085784,0.0177132261586297,0.0265940847480352,0.0089919804123117,0.0452943254442026,0.0785959490260421,TIME,TARGET,0.6350168288204874,1.101898523031036
