abs_flow_open_10s,aligned_lag_consensus_3,aligned_ret_1m_bps,barrier_s100_t150_exit_min,barrier_s100_t150_gross_bps,barrier_s100_t150_outcome,barrier_s100_t200_exit_min,barrier_s100_t200_gross_bps,barrier_s100_t200_outcome,barrier_s50_t100_exit_min,barrier_s50_t100_gross_bps,barrier_s50_t100_outcome,barrier_s50_t75_exit_min,barrier_s50_t75_gross_bps,barrier_s50_t75_outcome,barrier_s75_t100_exit_min,barrier_s75_t100_gross_bps,barrier_s75_t100_outcome,barrier_s75_t150_exit_min,barrier_s75_t150_gross_bps,barrier_s75_t150_outcome,close_120m_bps,close_240m_bps,close_60m_bps,dir_bps_d1_h30,dir_bps_d30_h480,direction,entry_price,entry_time,event_time,exit_price,exit_time,flow_open_10s,gross_bps,mae_bps,mfe_bps,notional_open_10s_burst,path_ready,period_label,phase,phase_offset_minute,phase_priority,regime,sc_abs50,sc_all,sc_consensus_flow,sc_reversal30_realign_price,selection_score,state30_aligned_flow_3m,state30_aligned_ret_60s_bps,state30_notional_burst,symbol,symbol_priority,time_to_mae_min,time_to_mfe_min,scenario,selected_phase
0.6802416084532669,-3.0,-0.0,93,-100.0,STOP,93,-100.0,STOP,39,-50.0,STOP,39,-50.0,STOP,39,-75.0,STOP,39,-75.0,STOP,-130.675263086481,-194.51811646203953,-26.27201791353863,-3.5081564997587247,-254.53715970408416,-1,0.5702,2024-11-10 03:00:00+00:00,2024-11-10 02:30:00+00:00,0.5849,2024-11-10 10:30:00+00:00,-0.6802416084532669,-254.53715970408416,-393.7584236610915,28.09977261672396,0.6279050385783506,True,rep_2024_11,quarter_hour,0,0,era_2024,True,True,False,True,0.6802416084532669,0.3125451767854448,3.5069262151451435,1.4833886528856228,XRPUSDT,3,172,25,sc_reversal30_realign_price,quarter_hour
0.6226290767355291,-1.0,-2.7716780041960596,413,-100.0,STOP,413,-100.0,STOP,28,-50.0,STOP,28,-50.0,STOP,28,-75.0,STOP,28,-75.0,STOP,1.459205766955073,9.299791833941454,-55.242591376387146,-14.563857904926287,-162.55611209664696,-1,79501.1,2024-11-10 10:45:00+00:00,2024-11-10 10:15:00+00:00,80804.0,2024-11-10 18:15:00+00:00,-0.6226290767355291,-162.55611209664696,-186.53604967026996,37.94559222170265,1.4186019686953553,True,rep_2024_11,quarter_hour,0,0,era_2024,True,True,False,True,0.6226290767355291,0.2823927587913763,27.421074871033895,11.463261126076175,BTCUSDT,0,444,244,sc_reversal30_realign_price,quarter_hour
0.6534086427412772,3.0,10.23121256827635,90,150.0,TARGET,148,200.0,TARGET,89,100.0,TARGET,81,75.0,TARGET,89,100.0,TARGET,90,150.0,TARGET,165.3866621794832,54.78819784409982,7.267131777525299,-74.59314434226944,-66.11431226863363,-1,80804.0,2024-11-10 18:15:00+00:00,2024-11-10 17:45:00+00:00,81340.0,2024-11-11 01:45:00+00:00,-0.6534086427412772,-66.11431226863363,-110.25084630329656,283.01289198247235,7.505618558269034,True,rep_2024_11,quarter_hour,0,0,era_2024,True,True,True,True,0.6534086427412772,0.386586749967658,4.392382071751236,2.9440472964823527,BTCUSDT,0,247,177,sc_reversal30_realign_price,quarter_hour
0.5304871828209002,3.0,10.45278815301429,164,150.0,TARGET,219,200.0,TARGET,96,100.0,TARGET,91,75.0,TARGET,96,100.0,TARGET,164,150.0,TARGET,87.73903351703336,260.4862598871941,50.01997199574224,-72.03938549288671,188.2851574630988,-1,3216.75,2024-11-11 01:45:00+00:00,2024-11-11 01:15:00+00:00,3156.75,2024-11-11 09:15:00+00:00,-0.5304871828209002,188.2851574630988,-25.335097986221825,346.65625755650285,0.6488987620002408,True,rep_2024_11,quarter_hour,0,0,era_2024,True,True,True,True,0.5304871828209002,0.016512855599694506,2.362368720790566,1.0776074296562308,ETHUSDT,1,8,251,sc_reversal30_realign_price,quarter_hour
0.7104390282263161,1.0,20.2603222335041,76,150.0,TARGET,263,-100.0,STOP,72,-50.0,STOP,72,-50.0,STOP,76,100.0,TARGET,76,150.0,TARGET,59.14602836483018,25.305474246810952,-21.4297304436786,-8.992256925971143,-306.67355387649707,-1,3193.07,2024-11-11 11:00:00+00:00,2024-11-11 10:30:00+00:00,3292.51,2024-11-11 18:30:00+00:00,-0.7104390282263161,-306.67355387649707,-402.40190702796343,165.75340210264764,2.1313172998852266,True,rep_2024_11,quarter_hour,0,0,era_2024,True,True,True,True,0.7104390282263161,0.014948116445427649,2.2859397582188272,0.22686815947555172,ETHUSDT,1,409,137,sc_reversal30_realign_price,quarter_hour
0.6908068855567312,1.0,-4.4152686653269715,16,150.0,TARGET,17,200.0,TARGET,13,100.0,TARGET,9,75.0,TARGET,13,100.0,TARGET,16,150.0,TARGET,103.61473981376787,49.62976795667664,161.81566275018713,-29.125544493491187,146.3473535923559,1,87150.3,2024-11-11 22:45:00+00:00,2024-11-11 22:15:00+00:00,88435.1,2024-11-12 06:15:00+00:00,0.6908068855567312,146.3473535923559,-56.71800747081653,299.50761007257046,1.940378183767854,True,rep_2024_11,quarter_hour,0,0,era_2024,True,True,True,True,0.6908068855567312,0.39591299840706956,3.7758001500993825,0.36719198387969465,BTCUSDT,0,94,29,sc_reversal30_realign_price,quarter_hour
0.5424745334535968,-3.0,-14.213117485935374,91,-100.0,STOP,91,-100.0,STOP,54,-50.0,STOP,54,-50.0,STOP,60,-75.0,STOP,60,-75.0,STOP,-116.34018704714937,-136.0637562700657,-51.650178879654376,-42.682294142592234,-298.3712728767533,1,88980.3,2024-11-12 08:15:00+00:00,2024-11-12 07:45:00+00:00,86364.6,2024-11-12 15:45:00+00:00,0.5424745334535968,-298.3712728767533,-438.84331152006206,68.309420826239,3.080452403514563,True,rep_2024_11,quarter_hour,0,0,era_2024,True,True,False,True,0.5424745334535968,0.09520567034952623,7.060225815764612,0.5776926014400156,BTCUSDT,0,335,47,sc_reversal30_realign_price,quarter_hour
0.5329822214096793,1.0,64.5636872249191,5,-100.0,STOP,5,-100.0,STOP,0,-50.0,STOP,0,-50.0,STOP,0,-75.0,STOP,0,-75.0,STOP,250.65438305909313,851.79012975641,212.9458539676587,-147.34316953134143,451.29166655355687,1,0.6737,2024-11-12 16:30:00+00:00,2024-11-12 16:00:00+00:00,0.7048,2024-11-13 00:00:00+00:00,0.5329822214096793,451.29166655355687,-131.48254558204798,944.0567273272835,6.196616533338574,True,rep_2024_11,quarter_hour,0,0,era_2024,True,True,True,True,0.5329822214096793,0.19799297430033147,34.19823420679627,0.3489974749777096,XRPUSDT,3,6,241,sc_reversal30_realign_price,quarter_hour
0.5795641574476875,1.0,-14.148276270676838,33,-100.0,STOP,33,-100.0,STOP,20,100.0,TARGET,15,75.0,TARGET,20,100.0,TARGET,32,-75.0,STOP,-348.54897395267994,-626.5965020772967,-146.43248239932595,-164.1604204792675,-474.5254450115442,1,0.6948,2024-11-13 01:45:00+00:00,2024-11-13 01:15:00+00:00,0.6626,2024-11-13 09:15:00+00:00,0.5795641574476875,-474.5254450115442,-809.0663861280034,134.3837235400234,0.9474697019030172,True,rep_2024_11,quarter_hour,0,0,era_2024,True,True,True,True,0.5795641574476875,0.052052022858336336,8.63930939263878,0.5047218693623536,XRPUSDT,3,294,24,sc_reversal30_realign_price,quarter_hour
0.6323119761855716,1.0,-5.649717664405032,8,150.0,TARGET,43,200.0,TARGET,4,100.0,TARGET,4,75.0,TARGET,4,100.0,TARGET,8,150.0,TARGET,384.3670684107256,729.378820497917,150.58653002197474,-293.58630312383815,648.58513826183,-1,0.7293,2024-11-13 17:15:00+00:00,2024-11-13 16:45:00+00:00,0.6835,2024-11-14 00:45:00+00:00,-0.6323119761855716,648.58513826183,-5.483207813871956,866.0010821969541,0.8550757295877832,True,rep_2024_11,quarter_hour,0,0,era_2024,True,True,True,True,0.6323119761855716,0.006125713546349309,32.854238997969894,1.8541057364339406,XRPUSDT,3,0,246,sc_reversal30_realign_price,quarter_hour
