session_id,date,session,symbol,session_start,opening_end,prior_start,prior_end,prior_high,prior_low,prior_midpoint,session_start_price,direction,direction_sign,objective,opening_open,opening_high,opening_low,opening_close,opening_range,opening_body_fraction,opening_pressure,cross_market_opening_breadth,breakout_start,breakout_end,breakout_open,breakout_high,breakout_low,breakout_close,breakout_pressure,broken_boundary,entry_ts,entry_price,retest_open,retest_high,retest_low,retest_close,retest_pressure,route,stop_price,target_price,loss_fraction_with_cost,reward_fraction_after_cost,net_structural_r,exit_ts,exit_price,exit_reason,same_bar_ambiguous,gross_return,cost_return,net_return
2024-07-04-LONDON,2024-07-04,LONDON,ETHUSDT,2024-07-04 07:00:00+00:00,2024-07-04 07:15:00+00:00,2024-07-04 00:00:00+00:00,2024-07-04 07:00:00+00:00,3312.59,3152.54,3232.565,3203.46,SHORT,-1,3152.54,3203.46,3207.68,3194.22,3197.25,13.460000000000036,0.4613670133729584,-0.052989295861118675,0.75,2024-07-04 07:15:00+00:00,2024-07-04 07:20:00+00:00,3197.24,3198.51,3185.07,3186.96,-0.2567583580180706,3194.22,2024-07-04 07:32:00+00:00,3192.29,3195.0,3195.0,3191.14,3192.29,-0.03157926256543653,SESSION_PRIOR_RANGE_DELIVERY,3207.68,3152.54,0.006820990574164588,0.010451876239314097,1.5323106117316703,2024-07-04 08:41:00+00:00,3152.54,PRIOR_SESSION_OBJECTIVE,False,0.012451876239314097,0.002,0.010451876239314097
2024-08-02-LONDON,2024-08-02,LONDON,BTCUSDT,2024-08-02 07:00:00+00:00,2024-08-02 07:15:00+00:00,2024-08-02 00:00:00+00:00,2024-08-02 07:00:00+00:00,65577.0,63630.6,64603.8,64446.5,SHORT,-1,63630.6,64446.5,64486.3,64272.0,64307.2,214.3000000000029,0.6500233317778862,-0.18868916413821593,1.0,2024-08-02 07:45:00+00:00,2024-08-02 07:50:00+00:00,64304.4,64304.4,64172.5,64249.5,-0.01874881090693576,64272.0,2024-08-02 08:10:00+00:00,64263.3,64296.2,64307.4,64257.9,64263.3,-0.22829297981819074,SESSION_PRIOR_RANGE_DELIVERY,64486.3,63630.6,0.005470098796669327,0.007845432774227348,1.4342396848488972,2024-08-02 08:46:00+00:00,64486.3,STRUCTURAL_STOP,False,-0.003470098796669374,0.002,-0.005470098796669374
2024-08-28-ASIA,2024-08-28,ASIA,ETHUSDT,2024-08-28 00:00:00+00:00,2024-08-28 00:15:00+00:00,2024-08-27 16:00:00+00:00,2024-08-28 00:00:00+00:00,2590.96,2388.0,2489.48,2455.98,SHORT,-1,2388.0,2455.98,2456.0,2441.17,2444.17,14.829999999999927,0.7963587322993934,-0.12397821376400509,1.0,2024-08-28 00:15:00+00:00,2024-08-28 00:20:00+00:00,2444.17,2446.15,2438.56,2440.23,-0.18774543050908804,2441.17,2024-08-28 00:22:00+00:00,2438.0,2441.38,2441.68,2435.57,2438.0,-0.4712578036592834,SESSION_PRIOR_RANGE_DELIVERY,2456.0,2388.0,0.009383100902379,0.018508613617719445,1.9725476481902433,2024-08-28 02:48:00+00:00,2456.0,STRUCTURAL_STOP,False,-0.007383100902379036,0.002,-0.009383100902379036
2024-08-28-ASIA,2024-08-28,ASIA,BTCUSDT,2024-08-28 00:00:00+00:00,2024-08-28 00:15:00+00:00,2024-08-27 16:00:00+00:00,2024-08-28 00:00:00+00:00,62165.0,57928.2,60046.6,59384.4,SHORT,-1,57928.2,59384.4,59416.6,59180.0,59290.2,236.59999999999854,0.39814032121726517,-0.019377671036700704,1.0,2024-08-28 00:20:00+00:00,2024-08-28 00:25:00+00:00,59200.0,59246.3,58955.0,58973.3,-0.27960720276383655,59180.0,2024-08-28 00:29:00+00:00,59136.0,59162.6,59181.7,59129.6,59136.0,-0.0073603602158210935,SESSION_PRIOR_RANGE_DELIVERY,59416.6,57928.2,0.006744994588744564,0.018424107142857193,2.731522894562684,2024-08-28 01:59:00+00:00,59416.6,STRUCTURAL_STOP,False,-0.0047449945887445555,0.002,-0.0067449945887445555
2024-09-07-ASIA,2024-09-07,ASIA,ETHUSDT,2024-09-07 00:00:00+00:00,2024-09-07 00:15:00+00:00,2024-09-06 16:00:00+00:00,2024-09-07 00:00:00+00:00,2292.0,2150.0,2221.0,2223.7,LONG,1,2292.0,2223.7,2235.24,2222.56,2228.31,12.679999999999836,0.3635646687697308,0.040537317889890706,0.75,2024-09-07 00:40:00+00:00,2024-09-07 00:45:00+00:00,2233.2,2239.03,2233.0,2238.38,0.11468162389092912,2235.24,2024-09-07 01:06:00+00:00,2235.54,2235.2,2236.05,2235.19,2235.54,0.48561008276415163,SESSION_PRIOR_RANGE_DELIVERY,2222.56,2292.0,0.007806203422886649,0.023255642931909085,2.9791233551161294,2024-09-07 01:33:00+00:00,2222.56,STRUCTURAL_STOP,False,-0.005806203422886624,0.002,-0.007806203422886624
2024-10-31-ASIA,2024-10-31,ASIA,SOLUSDT,2024-10-31 00:00:00+00:00,2024-10-31 00:15:00+00:00,2024-10-30 16:00:00+00:00,2024-10-31 00:00:00+00:00,177.0,171.7,174.35,174.82,LONG,1,177.0,174.82,175.26,174.8,175.14,0.45999999999997954,0.6956521739130596,0.10021847804005454,1.0,2024-10-31 00:35:00+00:00,2024-10-31 00:40:00+00:00,175.08,175.44,175.07,175.31,0.31889936930242024,175.26,2024-10-31 00:46:00+00:00,175.34,174.92,175.34,174.92,175.34,0.7863288207135866,SESSION_PRIOR_RANGE_DELIVERY,174.8,177.0,0.005079730808714452,0.007467320634196398,1.4700229038487538,2024-10-31 01:40:00+00:00,174.8,STRUCTURAL_STOP,False,-0.003079730808714487,0.002,-0.005079730808714487
2024-11-06-LONDON,2024-11-06,LONDON,ETHUSDT,2024-11-06 07:00:00+00:00,2024-11-06 07:15:00+00:00,2024-11-06 00:00:00+00:00,2024-11-06 07:00:00+00:00,2637.32,2419.2,2528.26,2584.04,LONG,1,2637.32,2584.04,2598.99,2583.52,2597.07,15.4699999999998,0.8422753716871603,0.01949847841579838,1.0,2024-11-06 07:20:00+00:00,2024-11-06 07:25:00+00:00,2597.33,2604.6,2595.33,2604.44,0.13432217508685385,2598.99,2024-11-06 07:45:00+00:00,2601.7,2595.07,2601.89,2593.2,2601.7,0.23427949144538585,SESSION_PRIOR_RANGE_DELIVERY,2583.52,2637.32,0.008987738786178204,0.011691048160818061,1.3007774746187708,2024-11-06 08:05:00+00:00,2583.52,STRUCTURAL_STOP,False,-0.006987738786178199,0.002,-0.0089877387861782
2024-11-10-LONDON,2024-11-10,LONDON,SOLUSDT,2024-11-10 07:00:00+00:00,2024-11-10 07:15:00+00:00,2024-11-10 00:00:00+00:00,2024-11-10 07:00:00+00:00,209.5,198.74,204.12,205.86,LONG,1,209.5,205.86,206.75,205.71,206.27,1.039999999999992,0.39423076923076894,0.11009539525358164,1.0,2024-11-10 07:15:00+00:00,2024-11-10 07:20:00+00:00,206.27,206.8,206.21,206.8,0.19538886500639918,206.75,2024-11-10 07:21:00+00:00,206.8,206.8,206.86,206.72,206.8,-0.043881023461721735,SESSION_PRIOR_RANGE_DELIVERY,205.71,209.5,0.0072707930367504996,0.01105609284332683,1.5206171854216437,2024-11-10 07:26:00+00:00,205.71,STRUCTURAL_STOP,False,-0.005270793036750487,0.002,-0.007270793036750487
2024-11-30-NEW_YORK,2024-11-30,NEW_YORK,XRPUSDT,2024-11-30 14:30:00+00:00,2024-11-30 14:45:00+00:00,2024-11-30 07:00:00+00:00,2024-11-30 14:30:00+00:00,1.952,1.82,1.8860000000000001,1.8707,SHORT,-1,1.82,1.8707,1.8723,1.8581,1.8643,0.01419999999999999,0.45070422535211024,-0.17994826646013742,1.0,2024-11-30 14:55:00+00:00,2024-11-30 15:00:00+00:00,1.8583,1.861,1.8458,1.8498,-0.28428822665248976,1.8581,2024-11-30 15:24:00+00:00,1.857,1.8587,1.8599,1.8567,1.857,-0.06447578288417244,SESSION_PRIOR_RANGE_DELIVERY,1.8723,1.82,0.010239095315024281,0.017924609585352677,1.75060481750288,2024-11-30 15:30:00+00:00,1.8723,STRUCTURAL_STOP,False,-0.008239095315024203,0.002,-0.010239095315024203
2024-12-01-NEW_YORK,2024-12-01,NEW_YORK,XRPUSDT,2024-12-01 14:30:00+00:00,2024-12-01 14:45:00+00:00,2024-12-01 07:00:00+00:00,2024-12-01 14:30:00+00:00,1.9512,1.8696,1.9104,1.9136,LONG,1,1.9512,1.9136,1.9188,1.9016,1.9182,0.017200000000000104,0.26744186046511104,0.000584895299213375,0.75,2024-12-01 14:50:00+00:00,2024-12-01 14:55:00+00:00,1.919,1.923,1.9169,1.9193,0.03178804969458656,1.9188,2024-12-01 15:00:00+00:00,1.9194,1.9194,1.9194,1.9179,1.9194,0.1502293338167875,SESSION_PRIOR_RANGE_DELIVERY,1.9016,1.9512,0.01127373137438785,0.014567677399187273,1.2921788638926375,2024-12-01 15:18:00+00:00,1.9016,STRUCTURAL_STOP,False,-0.009273731374387806,0.002,-0.011273731374387806
