population,split,variant,horizon_hours,signals,mean_mfe_bps,mean_mae_bps,median_impulse_atr,median_volume_ratio,gross_n,gross_mean,gross_median,gross_win_rate,gross_t_stat_naive,gross_profit_factor,net10_n,net10_mean,net10_median,net10_win_rate,net10_t_stat_naive,net10_profit_factor,net15_n,net15_mean,net15_median,net15_win_rate,net15_t_stat_naive,net15_profit_factor,net20_n,net20_mean,net20_median,net20_win_rate,net20_t_stat_naive,net20_profit_factor
all_symbol_events,development,public_vectorized_no_ema,1,77,244.72522873060115,-88.9511164925549,2.006922478852532,4.016194445098744,77,47.44118918450157,2.143289540419424,0.5324675324675324,1.8213242080175722,2.1913256407927735,77,37.44118918450156,-7.856710459580576,0.42857142857142855,1.4374122025797793,1.8317498703521624,77,32.44118918450156,-12.856710459580576,0.4155844155844156,1.2454561998608829,1.6772487217373544,77,27.44118918450157,-17.856710459580576,0.38961038961038963,1.0535001971419868,1.5392196784113938
all_symbol_events,development,recursive_utbot_no_adx,1,32,234.69001175170547,-86.53399948400458,2.3640304982120135,5.542448859709102,32,40.324704024929794,-0.6902869656388866,0.5,1.0846657444807961,1.9784236828090542,32,30.324704024929794,-10.690286965638887,0.375,0.8156828044422958,1.6488794917717566,32,25.324704024929794,-15.690286965638887,0.34375,0.6811913344230457,1.5072088314333878,32,20.324704024929794,-20.690286965638887,0.34375,0.5466998644037956,1.3819658331157292
all_symbol_events,development,impulse_only_2atr,1,113,217.48198126655072,-89.55343474158458,1.9374913996697314,3.624289555132069,113,39.054613084048526,-2.0192954902409355,0.49557522123893805,1.9230351734714435,1.9080411894207168,113,29.054613084048523,-12.019295490240935,0.4247787610619469,1.4306387517394128,1.600220245747556,113,24.054613084048526,-17.019295490240935,0.415929203539823,1.1844405408733978,1.4688763291501652,113,19.054613084048523,-22.019295490240935,0.39823008849557523,0.9382423300073822,1.351115972353501
all_symbol_events,development,public_vectorized_no_adx,1,79,244.52499680919743,-86.5577856397016,1.981010279214897,4.269751963495765,79,37.06323497472368,0.397503044873293,0.5063291139240507,1.6342501400292662,1.8620866948817054,79,27.063234974723677,-9.602496955126707,0.4050632911392405,1.1933144955438917,1.5587706409015327,79,22.063234974723677,-14.602496955126707,0.3924050632911392,0.9728466733012042,1.4289386622694353,79,17.063234974723677,-19.602496955126707,0.3670886075949367,0.752378851058517,1.3128565618757384
all_symbol_events,development,public_vectorized_full,1,71,228.07931050522802,-84.44400857834603,1.988744893010492,4.016194445098744,71,30.599226915961985,1.7241379310339866,0.5211267605633803,1.407984103234456,1.7530586115783158,71,20.599226915961985,-8.275862068966013,0.4084507042253521,0.9478469543119171,1.4479731307060002,71,15.59922691596199,-13.275862068966013,0.39436619718309857,0.717778379850648,1.318528804656865,71,10.599226915961989,-18.275862068966013,0.36619718309859156,0.4877098053893784,1.2035431658574527
all_symbol_events,development,public_vectorized_no_volume,1,71,228.07931050522802,-84.44400857834603,1.988744893010492,4.016194445098744,71,30.599226915961985,1.7241379310339866,0.5211267605633803,1.407984103234456,1.7530586115783158,71,20.599226915961985,-8.275862068966013,0.4084507042253521,0.9478469543119171,1.4479731307060002,71,15.59922691596199,-13.275862068966013,0.39436619718309857,0.717778379850648,1.318528804656865,71,10.599226915961989,-18.275862068966013,0.36619718309859156,0.4877098053893784,1.2035431658574527
all_symbol_events,development,recursive_utbot_full,1,29,200.28816638691868,-77.45580286781342,2.377450100348179,5.272200987707683,29,26.738067414428578,2.143289540419424,0.5172413793103449,0.9328525261653823,1.7694351741940815,29,16.738067414428578,-7.856710459580576,0.3793103448275862,0.5839669796871839,1.4168713509945816,29,11.738067414428578,-12.856710459580576,0.3448275862068966,0.40952420644808474,1.2708807173378769,29,6.738067414428579,-17.856710459580576,0.3448275862068966,0.23508143320898559,1.1445663055558772
all_symbol_events,development,public_vectorized_no_ema,2,77,275.50403027950716,-115.65158124160835,2.006922478852532,4.016194445098744,77,62.70439602186707,28.19142343290504,0.5844155844155844,2.0124095449200565,2.303693626000813,77,52.70439602186706,18.19142343290504,0.5584415584415584,1.6914735862644201,2.0057803942802543,77,47.704396021867076,13.19142343290504,0.5584415584415584,1.5310056069366025,1.8735583030709155,77,42.70439602186707,8.19142343290504,0.5454545454545454,1.3705376276087842,1.7508844965305925
all_symbol_events,development,public_vectorized_full,2,71,259.18690031386404,-107.17921511309476,1.988744893010492,4.016194445098744,71,51.16140911156951,31.217010249584565,0.5915492957746479,2.247345016636406,2.1872594242342505,71,41.16140911156951,21.217010249584565,0.5633802816901409,1.8080793561196014,1.8695360909198617,71,36.16140911156951,16.217010249584565,0.5633802816901409,1.5884465258611988,1.7302339791078631,71,31.161409111569508,11.217010249584565,0.5492957746478874,1.3688136956027963,1.6020004480723107
all_symbol_events,development,public_vectorized_no_volume,2,71,259.18690031386404,-107.17921511309476,1.988744893010492,4.016194445098744,71,51.16140911156951,31.217010249584565,0.5915492957746479,2.247345016636406,2.1872594242342505,71,41.16140911156951,21.217010249584565,0.5633802816901409,1.8080793561196014,1.8695360909198617,71,36.16140911156951,16.217010249584565,0.5633802816901409,1.5884465258611988,1.7302339791078631,71,31.161409111569508,11.217010249584565,0.5492957746478874,1.3688136956027963,1.6020004480723107
