run_id,scenario_id,ts_event_ns,client_order_id,order_side,last_price,last_quantity,native_commission,extra_cost_to_composite_model,composite_cost_rate
baseline:development-2023,DEPTH-1677281100000000000-4284,1677281340000000000,O-20230224-232900-09-000-46,1,23169.1,15.582,64.98376492,205.78192223,0.00075
baseline:development-2023,DEPTH-1677281100000000000-4284,1677281340000000000,O-20230224-232900-09-000-46,1,23169.2,33.088,137.99204813,436.9748190700001,0.00075
baseline:development-2023,DEPTH-1677281100000000000-4284,1677281520000000000,O-20230224-232900-09-000-47,2,23155.4,34.478,143.70333862,455.06057228000003,0.00075
baseline:development-2023,DEPTH-1677281100000000000-4284,1677281520000000000,O-20230224-232900-09-000-47,2,23155.3,14.192,59.15160317,187.31341003,0.00075
baseline:development-2023,DEPTH-1677421920000000000-4437,1677422040000000000,O-20230226-143400-09-000-49,2,23192.4,41.989,175.28862305,555.0806396500001,0.00075
baseline:development-2023,DEPTH-1677421920000000000-4437,1677422520000000000,O-20230226-143400-09-000-50,1,23212.1,41.989,175.43751604,555.552134135,0.00075
baseline:development-2023,DEPTH-1677682260000000000-4706,1677682380000000000,O-20230301-145300-09-000-52,1,23791.2,28.759,123.15800174,390.00033886000006,0.00075
baseline:development-2023,DEPTH-1677682260000000000-4706,1677682440000000000,O-20230301-145300-09-000-53,2,23749.7,28.759,122.94317201,389.32004471500005,0.00075
baseline:development-2023,DEPTH-1678393800000000000-5426,1678394160000000000,O-20230309-203600-09-000-55,2,20684.4,41.51,154.54969992,489.40738308,0.00075
baseline:development-2023,DEPTH-1678393800000000000-5426,1678394520000000000,O-20230309-203600-09-000-57,1,20541.6,41.51,170.5363632,468.97499879999987,0.00075
baseline:development-2023,DEPTH-1678394580000000000-5427,1678394820000000000,O-20230309-204700-09-000-58,2,20454.1,21.754,80.09252845,253.62634010000002,0.00075
baseline:development-2023,DEPTH-1678394580000000000-5427,1678395120000000000,O-20230309-204700-09-000-59,1,20528.8,21.754,80.38503274,254.55260366000005,0.00075
baseline:development-2023,DEPTH-1678413300000000000-5446,1678413480000000000,O-20230310-015800-09-000-61,1,20095.1,54.966,198.81850799,629.5919419600001,0.00075
baseline:development-2023,DEPTH-1678413300000000000-5446,1678413600000000000,O-20230310-015800-09-000-62,2,20084.8,54.966,198.71660102,629.26923658,0.00075
baseline:development-2023,DEPTH-1678580040000000000-5619,1678580400000000000,O-20230312-002000-09-000-64,2,20368.0,36.921,135.36124704,428.64394895999993,0.00075
baseline:development-2023,DEPTH-1678580040000000000-5619,1678580400000000000,O-20230312-002000-09-000-64,2,20367.9,10.987,40.28078111,127.55580686500002,0.00075
baseline:development-2023,DEPTH-1678580040000000000-5619,1678580460000000000,O-20230312-002000-09-000-65,1,20382.5,47.908,175.7672658,556.5963417,0.00075
baseline:development-2023,DEPTH-1678608240000000000-5647,1678608540000000000,O-20230312-080900-09-000-67,1,20347.9,57.52,210.67401744,667.13438856,0.00075
baseline:development-2023,DEPTH-1678608240000000000-5647,1678608600000000000,O-20230312-080900-09-000-68,2,20342.0,50.576,185.18705856,586.4256854399999,0.00075
baseline:development-2023,DEPTH-1678608240000000000-5647,1678608600000000000,O-20230312-080900-09-000-68,2,20341.9,6.944,25.42574765,80.51486755000002,0.00075
baseline:development-2023,DEPTH-1678669800000000000-5707,1678669980000000000,O-20230313-011300-09-000-70,2,22311.3,40.995,164.63731383,521.3514937949999,0.00075
baseline:development-2023,DEPTH-1678669800000000000-5707,1678670160000000000,O-20230313-011300-09-000-71,1,22327.3,40.995,164.75537943,521.7253681949999,0.00075
baseline:development-2023,DEPTH-1678796880000000000-5841,1678796940000000000,O-20230314-122900-09-000-73,1,24683.3,32.89,146.13007266,462.74523008999995,0.00075
baseline:development-2023,DEPTH-1678796880000000000-5841,1678797000000000000,O-20230314-122900-09-000-74,2,24660.4,32.89,145.99450008,462.31591692000006,0.00075
baseline:development-2023,DEPTH-1678830120000000000-5877,1678830300000000000,O-20230314-214500-09-000-76,1,24498.1,16.843,74.27186969,235.194254035,0.00075
baseline:development-2023,DEPTH-1678830120000000000-5877,1678830720000000000,O-20230314-214500-09-000-77,2,24421.4,16.843,74.03933524,234.45789491000002,0.00075
baseline:development-2023,DEPTH-1678887120000000000-5936,1678887480000000000,O-20230315-133800-09-000-79,2,24919.3,21.67,97.20022158,307.80070167,0.00075
baseline:development-2023,DEPTH-1678887120000000000-5936,1678887780000000000,O-20230315-133800-09-000-80,1,24967.4,21.67,97.38784044,308.39482806,0.00075
baseline:development-2023,DEPTH-1678973940000000000-6022,1678974060000000000,O-20230316-134100-09-000-82,2,24756.6,26.481,118.00431443,373.68032902,0.00075
baseline:development-2023,DEPTH-1678973940000000000-6022,1678974840000000000,O-20230316-134100-09-000-83,1,24787.3,26.481,118.15064843,374.143720045,0.00075
baseline:development-2023,DEPTH-1678979040000000000-6028,1678979280000000000,O-20230316-150800-09-000-85,2,24813.1,26.104,116.58980923,369.20106257,0.00075
baseline:development-2023,DEPTH-1678979040000000000-6028,1678979340000000000,O-20230316-150800-09-000-86,1,24842.6,26.104,116.72842147,369.64000133,0.00075
baseline:development-2023,DEPTH-1679394540000000000-6388,1679394660000000000,O-20230321-103100-09-000-88,1,28045.8,26.618,134.37415879,425.51816950999995,0.00075
baseline:development-2023,DEPTH-1679394540000000000-6388,1679394780000000000,O-20230321-103100-09-000-89,2,28024.3,26.618,134.27114713,425.1919659199999,0.00075
baseline:development-2023,DEPTH-1679667240000000000-6663,1679667420000000000,O-20230324-141700-09-000-91,1,28090.4,11.775,59.5376028,188.53574220000002,0.00075
