symbol,side,ts,entry,stop,target,episode,scale,source,root_ts,entry_kind,predicted_value,rr,predicted_win,nav_before,quantity,planned_risk_pct,entry_ts,exit_ts,nav_after,net_r,hold_minutes
SOLUSDT,1,1722718740000000000,140.51,139.4,142.99,99,15.0,1722703500000000000,1722710700000000000,market,0.00439002237309399,2.240289069557438,0.4296598617405073,10000.0,222.37,2.999973790501288,1722718800000000000,1722721140000000000,10515.08956412,1.7169652137333384,39.0
SOLUSDT,-1,1722822120000000000,130.85,133.6,127.05,109,5.0,1722820500000000000,1722821100000000000,market,0.00039410821558692397,1.3793604651162856,0.45964511480219367,10515.08956412,106.76,2.999987303427173,1722822180000000000,1722824040000000000,10905.64410576,1.2380764464199632,31.0
XRPUSDT,-1,1722826980000000000,0.4755,0.4786,0.4681,111,5.0,1722823800000000000,1722825000000000000,market,0.005933363026056335,2.3870967741935427,0.45864832788933685,10905.64410576,79702.1,2.999999203544134,1722827040000000000,1722827400000000000,11436.11572174,1.6213977852068389,6.0
SOLUSDT,1,1722839460000000000,115.85,109.15,123.49,113,5.0,1722831300000000000,1722834900000000000,market,0.004965167651203381,1.1406389967154387,0.5639219893879789,11436.11572174,49.93,2.9998617068628843,1722839520000000000,1722843720000000000,11811.20925657,1.0933010938231735,70.0
SOLUSDT,1,1722858300000000000,113.05,110.47,115.98,115,5.0,1722855000000000000,1722856200000000000,market,0.0017530904923723223,1.1387485425573198,0.5307692550299601,11811.20925657,128.47,2.9999807222242385,1722858360000000000,1722858900000000000,12171.14891872,1.0158137475770657,9.0
BTCUSDT,1,1722862980000000000,50050.8,49500.899999999994,51317.9,117,5.0,1722858900000000000,1722861300000000000,market,0.0016290408323246623,2.3042371340243593,0.36574867769288727,12171.14891872,0.587,2.996886742105418,1722863040000000000,1722864840000000000,12876.32877075,1.931288099804037,30.0
BTCUSDT,-1,1722870120000000000,53580.4,54489.6,52506.5,118,5.0,1722864900000000000,1722866700000000000,market,0.002615450477123424,1.1811482622085403,0.5407504583541899,12876.32877075,0.391,2.9951454910414004,1722870180000000000,1722870720000000000,12543.45316418,-0.8617249333939629,9.0
SOLUSDT,1,1722902520000000000,130.27,129.34,134.63,120,15.0,1722893400000000000,1722895200000000000,market,0.013205363066786914,4.702265372168332,0.32262594040821474,12543.45316418,327.98,2.9999661675281146,1722902580000000000,1722903480000000000,13923.92468378,3.6685047345180672,15.0
SOLUSDT,1,1722949680000000000,138.3,137.46,140.47,128,5.0,1722945000000000000,1722946200000000000,market,0.0011265967552660794,2.5619834710744596,0.3722241807080343,13923.92468378,384.67,2.999976496928964,1722949740000000000,1722950400000000000,13503.4425697,-1.0066178026415666,11.0
ETHUSDT,1,1722967860000000000,2493.97,2479.47,2549.07,133,15.0,1722954600000000000,1722959100000000000,market,0.004675670775243803,3.7999999999999936,0.3113774140892246,13503.4425697,22.025,2.999938498485955,1722967920000000000,1722974520000000000,13096.84785893,-1.0036816134633884,110.0
BTCUSDT,-1,1723018740000000000,56914.899999999994,57219.5,56510.1,142,15.0,1722999600000000000,1723007700000000000,market,0.0010938061548484042,1.3289560078792018,0.5565906371870654,13096.84785893,0.997,2.9988942005628916,1723018800000000000,1723020600000000000,12733.01150671,-0.9260150639273101,30.0
SOLUSDT,1,1723033020000000000,152.39,150.63,154.46,144,15.0,1723023000000000000,1723025700000000000,market,0.00043948238041940577,1.1715909090909218,0.5249992182479654,12733.01150671,190.78,2.9999411535971716,1723033080000000000,1723040340000000000,12349.60465129,-1.003708235656986,121.0
SOLUSDT,1,1723051560000000000,147.18,145.22,149.37,147,15.0,1723038300000000000,1723045500000000000,market,0.0004795291737704644,1.1157572667006497,0.532823019556819,12349.60465129,168.85,2.9999965141271856,1723051620000000000,1723054080000000000,11977.402406840001,-1.0046266121054046,41.0
XRPUSDT,-1,1723066380000000000,0.6231,0.6442,0.576,150,5.0,1723061400000000000,1723062600000000000,market,0.00143988954486262,2.2322274881516595,0.34814822404913837,11977.402406840001,16237.0,2.9999835608006884,1723066440000000000,1723209360000000000,12732.5963952,2.1017188944872998,2382.0
SOLUSDT,1,1723219560000000000,151.68,150.62,154.32,171,5.0,1723212600000000000,1723214400000000000,market,0.002098811474831541,2.4867924528302727,0.3789317517199637,12732.5963952,291.72,2.999910426948798,1723219620000000000,1723234680000000000,13452.85478832,1.8856023044169445,251.0
