symbol,side,ts,root_ts,source,scale,entry,stop,target,rr,root_low,root_high,entry_kind,pool,shift,delivery_minutes,flow,accepted_pools,rejected_pools,shift_ts,origin_ts,contact_ts,prior_plan_ts,aggressor_vwap,response_minutes,response_flow,relative_strength,market_direction,market_breadth,episode
BTCUSDT,-1,1722721260000000000,1722717600000000000,1722715200000000000,15.0,60575.4,60690.1,59800.0,6.760244115083009,60576.0,60616.0,market,60621.0,60132.8,40,-0.00559349990792235,0,1,1722719400000000000,1722717600000000000,1722721080000000000,1722719700000000000,60596.75366761873,4.0,-0.014260456699841217,-0.19547300536158674,-1.5593163144646967,0.0,100
BTCUSDT,1,1722952080000000000,1722950700000000000,1722938400000000000,60.0,54672.7,54287.9,55413.2,1.9243762993763212,54484.2,54692.3,market,54531.6,54977.4,15,0.06527563362460387,0,0,1722951000000000000,1722950700000000000,1722951780000000000,1722951300000000000,54608.293995278575,6.0,-0.1480182588135105,-0.06867804387977872,-2.0763922472672123,0.0,129
BTCUSDT,-1,1723072080000000000,1723062300000000000,1723058100000000000,15.0,55298.7,55550.1,54519.8,3.098249801113722,55255.7,55390.0,market,55126.0,54663.3,130,0.08929529009656201,0,1,1723069500000000000,1723068000000000000,1723071480000000000,1723069800000000000,55300.82982699378,11.0,-0.12552988644148866,0.14342377154847608,-0.6935893269679205,0.25,150
BTCUSDT,-1,1723216020000000000,1723212300000000000,1723203000000000000,15.0,60368.2,61089.799999999996,59500.0,1.2031596452328144,60544.6,60777.9,market,60775.0,59764.3,45,0.03840469190872797,0,0,1723214100000000000,1723212900000000000,1723215900000000000,1723214700000000000,60485.93684469797,3.0,-0.05171691841828241,-0.19032187286788682,-0.531917222113921,0.0,170
ETHUSDT,-1,1722845280000000000,1722829800000000000,1722826800000000000,15.0,2332.55,2384.98,2150.37,3.474728209040642,2287.54,2288.0,market,2337.15,2284.12,165,0.04070429003166598,1,0,1722838500000000000,1722838200000000000,1722841800000000000,1722839400000000000,2333.103828995213,59.0,-0.011201322324142726,0.1831697280133986,0.3573776111579162,1.0,112
ETHUSDT,1,1722989940000000000,1722942300000000000,1722940200000000000,15.0,2448.81,2412.3399999999997,2558.24,3.0005483959418444,2432.0,2435.46,market,2444.69,2473.98,205,0.023079823324832383,2,1,1722953400000000000,1722952200000000000,1722989880000000000,1722954300000000000,2437.816168467943,2.0,-0.15784882427949953,0.12729751818668789,-0.9626010584002769,0.0,127
ETHUSDT,1,1723111860000000000,1723104300000000000,1723097700000000000,15.0,2428.61,2407.0699999999997,2451.51,1.0631383472608935,2413.73,2424.84,market,2410.04,2439.0,115,0.04372133582365123,1,0,1723110300000000000,1723108200000000000,1723111680000000000,1723110900000000000,2427.0781153444686,4.0,-0.09571567805735204,-0.2303693394541817,-0.9556221724993403,0.25,156
SOLUSDT,1,1723125480000000000,1723111500000000000,1723108500000000000,15.0,154.03,152.49,158.8,3.09740259740262,152.946,152.952,market,153.82,155.686,160,0.04286979408470093,1,1,1723120500000000000,1723120200000000000,1723125120000000000,1723120800000000000,153.3120077078049,7.0,-0.0035800905754330703,-0.3744695932291964,-1.3227813689917403,0.0,156
XRPUSDT,-1,1722836160000000000,1722831300000000000,1722826800000000000,15.0,0.4757,0.48059999999999997,0.4595,3.3061224489796173,0.4764,0.477,market,0.4785,0.4677,75,-0.0031323588931975177,0,2,1722834900000000000,1722834000000000000,1722835920000000000,1722835500000000000,0.476183065969944,5.0,-0.008633039629250883,-0.1614058956632649,-1.745348922827882,0.0,112
XRPUSDT,1,1722952140000000000,1722950700000000000,1722942900000000000,15.0,0.4981,0.4941,0.504,1.4750000000000028,0.4945,0.4979,market,0.497,0.5011,20,-0.06599980227376934,0,0,1722951000000000000,1722950700000000000,1722951840000000000,1722951600000000000,0.4974469860891767,6.0,-0.06558551827240244,-0.004339378959813178,-1.4496804077407197,0.0,129
XRPUSDT,1,1723176840000000000,1723152000000000000,1723134600000000000,15.0,0.6127,0.6058,0.6241,1.6521739130434692,0.6094,0.6104,market,0.6071,0.6208,315,0.046359585940941805,0,0,1723170300000000000,1723167300000000000,1723176540000000000,1723170600000000000,0.6117467721848231,6.0,-0.03617766061168093,-0.17249410842407087,-0.3065422894023149,0.25,161
