ts,symbol,role,price,quantity,cost
1763392380000000000,ETHUSDT-PERP.BINANCE,entry,3133.17,6.777,15.40634853
1763395380000000000,ETHUSDT-PERP.BINANCE,exit,3093.41,6.777,15.15971898
1763451780000000000,ETHUSDT-PERP.BINANCE,entry,3026.44,10.723,24.37505286
1763454960000000000,ETHUSDT-PERP.BINANCE,exit,3049.02,10.723,24.4781863
1763471580000000000,SOLUSDT-PERP.BINANCE,entry,137.69,266.23,32.11426355
1763472360000000000,SOLUSDT-PERP.BINANCE,exit,136.86,266.23,29.58307642
1763478420000000000,BTCUSDT-PERP.BINANCE,entry,91413.1,0.581,38.78015172
1763479260000000000,BTCUSDT-PERP.BINANCE,exit,92409.90000000001,0.581,10.73803038
1763511060000000000,BTCUSDT-PERP.BINANCE,entry,92608.3,0.796,59.89432888
1763511480000000000,BTCUSDT-PERP.BINANCE,exit,92420.09999999999,0.796,57.81718715
1763649300000000000,XRPUSDT-PERP.BINANCE,entry,2.1237,11670.5,19.96217401
1763653260000000000,XRPUSDT-PERP.BINANCE,exit,2.0926,11670.5,4.88433766
1763765880000000000,XRPUSDT-PERP.BINANCE,entry,1.916,8541.2,13.6583351
1763862300000000000,XRPUSDT-PERP.BINANCE,exit,1.9975,8541.2,3.4122094
