ts_ns,bid_near,ask_near,bid_total,ask_total
1708906923000000000,357098285.03232,414789191.48623,1766223983.18828,1487105943.62214
1708906952000000000,358909078.33632,413841251.98109996,1770402410.36658,1481503652.11994
1708906983000000000,373420376.19171,396424088.32878,1809772330.55897,1453641281.36535
1708907011000000000,372307266.46986,388634613.92828,1818760403.8299599,1427301621.54468
1708907044000000000,382575369.42051,394643500.18248,1834939588.0285702,1446653476.41155
1708907071000000000,372369972.15866,399304040.45168,1816664624.07446,1454902368.6669
1708907105000000000,368032586.21286,404000037.29410994,1797614201.761,1467336921.11038
1708907132000000000,361230993.92612004,407971561.66093,1781285163.94218,1471330995.7498798
1708907163000000000,362191003.83252,413976405.70113,1779714291.5869799,1481369127.40904
1708907191000000000,375482015.26866,400354780.67288,1823038335.70306,1458989422.3782
1708907228000000000,375482015.26866,400354780.67288,1823038335.70306,1458989422.3782
1708907251000000000,373839775.22926,402194838.40437996,1818928662.5725598,1460741553.117
1708907283000000000,375735787.75296,403708228.45897996,1821900116.62006,1463851688.1647
1708907312000000000,374249359.94556,403644171.93968,1818218235.56076,1463863845.0674
1708907343000000000,373245351.61156,406088084.78058004,1817028139.4988601,1470841259.6697
1708907371000000000,379531492.01689005,402086008.57038003,1827235112.0729902,1460207578.2025
1708907409000000000,379567410.91886,399617436.36568,1833803017.65646,1454351407.5415
1708907442000000000,385000447.91029,400321181.00268,1846279379.68059,1455092682.7518
1708907464000000000,386896974.10201,399931086.11798,1843704413.06807,1455128320.41355
1708907501000000000,488839910.88506997,606413148.8257899,2284555814.74439,2115217914.20937
1708907523000000000,395566687.96131,397334279.12058,1861345431.0696099,1458371682.75831
1708907551000000000,390335336.75661004,400763479.64888,1852877517.67341,1456418025.12485
1708907583000000000,389306025.58351,397771186.46078,1849845346.1779099,1449144898.65605
1708907611000000000,374041338.75622,411430228.40900993,1809518775.47124,1478623280.34919
1708907653000000000,482248153.30631995,616348795.1794701,2264579824.2268,2127724117.68542
1708907672000000000,373655659.77481997,414880254.41573,1808404391.22128,1481378508.35568
1708907705000000000,367844902.96272,416557608.29262996,1790039446.72058,1486223554.00191
1708907731000000000,366542699.53032,423165953.5376,1783143192.3694801,1502146485.30708
1708907763000000000,373610630.26222,417061910.03643,1807081011.09738,1492340663.63328
1708907791000000000,370786827.20151997,416091347.89979994,1799435462.05498,1485962270.41288
1708907823000000000,359852724.88912,408526285.26283,1775894231.00876,1464607392.95991
1708907852000000000,360396793.27872,410781732.28703,1778689372.29966,1468265530.27634
1708907883000000000,366175934.39842,411109596.31653,1779609146.2455602,1474031019.15041
1708907911000000000,370107065.00442,403551638.41073,1792379835.44646,1454481307.85131
1708907943000000000,370838172.35512,396063035.32953,1797014487.86348,1444149244.62138
1708907971000000000,375991578.86452,393209939.79723,1811325005.73048,1436453283.8710802
1708908007000000000,374910351.73812,398005815.11829996,1806659264.63958,1441317433.84448
1708908073000000000,484787915.55752003,594159730.2778699,2269613164.1731,2081123852.87592
1708908075000000000,375034716.83342004,403179002.83449996,1808611305.54968,1454037331.58798
1708908092000000000,376577022.46602005,399060988.94531,1814156242.31794,1453468047.63289
1708908123000000000,380692532.41296,392852471.77821004,1827149063.64688,1442861601.84948
1708908151000000000,381393794.51739,394222786.86731,1828081230.5062099,1439180395.90342
1708908183000000000,378732231.57312,393105630.94491,1817932346.5120401,1434166847.4677901
1708908211000000000,382107388.63246,388198690.22890997,1830266959.01418,1430237931.18308
1708908243000000000,381810195.07566,390624849.11820996,1828807017.63438,1436042241.0504801
1708908271000000000,380874586.63166004,389486858.81711,1837556428.66296,1434441090.5634
1708908306000000000,380401139.89056,387834399.20091,1826034500.8905,1429057891.50828
1708908331000000000,381275345.98436,384984187.32751,1828386319.07636,1421232528.30428
1708908363000000000,390958688.31061,378021699.38998,1854122674.94697,1406453611.77045
1708908391000000000,385358736.67526,383983192.70018,1848444614.92686,1415659007.2569
1708908423000000000,389091126.68591,381850096.61858,1847559488.59551,1413726572.80985
1708908451000000000,394309955.95791006,378586757.88838,1861394673.39361,1405631812.16435
1708908494000000000,493673699.43867,586773271.86869,2294383704.62049,2067116959.99307
1708908511000000000,393357872.23438996,387166974.49818003,1862691193.3899899,1422073790.4841
1708908543000000000,384294181.94659,387265638.57078004,1846731255.16099,1422945756.0116
1708908571000000000,385228149.10356003,391774804.25558,1848501621.51716,1433729592.1111999
1708908607000000000,395728239.11676,389305840.26801,1875660837.32416,1426183602.0447
1708908643000000000,396994799.25676,388236396.40958,1877470886.38656,1423114892.5928001
1708908663000000000,387053113.63139,395319798.89981,1844285043.10551,1437174210.48122
1708908691000000000,396126232.16415995,389065503.76961,1866598852.942,1426355062.86008
1708908723000000000,391113566.86329,393971346.60971,1852778174.39931,1432759184.12542
1708908752000000000,398004199.24916005,387657068.81591,1881812498.21986,1423381321.137
1708908783000000000,395256159.29046,388497704.05291,1864368344.79648,1424888162.51618
1708908811000000000,393818193.68759,395827562.27661,1859597939.25631,1438262103.24652
1708908844000000000,399154975.25326,386581238.26018,1882989017.16976,1423627540.8784
1708908872000000000,397384235.69156003,387035412.61917996,1878168204.62166,1422799898.4031
1708908905000000000,398706745.10956,385656038.86478,1881538378.93786,1421259000.7747002
1708908931000000000,398714481.81475997,388359875.54958,1881701728.28926,1427537716.1532
1708908963000000000,405383097.05691004,385490975.41718,1886317020.2517102,1422945057.97035
1708908991000000000,415184928.21641,381806037.73218,1912271232.70271,1419385244.3254101
1708909023000000000,410050036.71491003,385991987.41148,1901736238.46667,1420858810.41685
1708909051000000000,415973646.43451,383670514.00258,1913865161.68041,1424596802.05344
1708909083000000000,413958141.47801,380139514.17088,1907272030.09821,1413354708.17965
1708909112000000000,411796575.26241004,384245005.57418,1905066859.34811,1416326342.38335
1708909143000000000,413910362.83401,383535586.55698,1910964256.11791,1414758710.73315
1708909171000000000,414016108.84751004,385009144.15768,1911499479.69971,1417897355.52285
1708909210000000000,406550478.30331,387692373.51078,1893100883.62011,1425226026.07885
1708909244000000000,403202022.07881004,386842840.49228,1884468224.78211,1422621641.41555
1708909273000000000,501701246.91647,592564976.13879,2317539224.09279,2077544798.10934
1708909291000000000,405591760.87361,385325941.15268004,1886976078.30811,1423172389.12105
1708909323000000000,412325066.91291,381360703.20198,1902662770.73691,1415745876.6754398
1708909351000000000,410452236.10831,381218946.23078,1898242567.1003098,1412914668.71644
1708909384000000000,413594522.53541,381713204.93468,1906335895.7569098,1418442737.44364
1708909412000000000,407086625.05741,383693583.49828,1898594995.31457,1412821101.94915
1708909443000000000,403690017.15211,387528462.45778,1886023895.23267,1422413991.1487498
1708909480000000000,407548860.52259,383578290.11048,1896667747.57055,1414821005.60295
1708909505000000000,400690455.33071,388146473.43798,1876680151.4721699,1425615592.47785
1708909530000000000,406432785.81681,384429588.65978,1888656278.36431,1421656597.27235
1708909564000000000,402825896.10571,387300680.57558,1880126463.77311,1423853690.41285
1708909592000000000,407164725.69321,379814038.69848,1889652015.21061,1410534800.39964
1708909623000000000,410809506.45831,378168331.89137995,1897746751.19381,1409007807.73584
1708909651000000000,409922601.28981,382069245.64968,1896201035.24051,1418891194.64234
1708909683000000000,410093360.97021,378942334.8864,1894448055.05571,1412464447.10271
1708909712000000000,408901981.26081,381258612.4568,1893417821.7095098,1417986871.36011
1708909744000000000,407132796.09321,378943974.3079,1888265371.02161,1412290599.41101
1708909772000000000,411475333.49021,380222857.39688003,1900164465.70521,1412681726.37224
1708909807000000000,405200797.48530996,397846209.8265,1886402022.8664,1459007406.9999099
1708909835000000000,404175315.7735,404319561.98340005,1872648610.73877,1489912956.1767101
1708909871000000000,405683418.60330003,403151833.02760005,1875300658.10187,1485199046.75441
1708909891000000000,411223874.46709996,395005850.21419,1887663009.5764,1466137430.23073
1708909930000000000,411190722.03391,396356151.94675004,1898409206.4114301,1477454207.49635
1708909951000000000,419271702.24105,392085703.33325,1908334923.94737,1470202470.03923
1708909983000000000,411374619.55975,386101177.57305,1899534493.16201,1446889384.87735
1708910012000000000,415516661.57133996,382544670.42975,1912154945.52106,1448952387.47159
1708910043000000000,415507112.59382,380892292.13415,1909285033.02332,1451636030.3311899
1708910082000000000,486504393.84144,614468622.99366,2289259776.75649,2150445654.73697
1708910106000000000,413921310.61212,384829850.56885004,1906252741.15562,1475150376.0378401
1708910134000000000,413938803.05572003,380574137.82025,1910585046.57374,1446295575.93129
1708910163000000000,410803760.78394,390203153.13395,1900080799.0002599,1458906808.07379
1708910191000000000,410106907.11638,384633344.23915,1898760495.456,1455501286.46599
1708910223000000000,411772851.83905005,388043470.62225,1896554909.33267,1450841978.47773
1708910251000000000,412154858.22284,388380173.42985,1900737043.8738601,1455156572.86229
1708910283000000000,414853319.17272,371249964.20836,1917752200.21492,1437348979.30614
1708910311000000000,417388726.93792,367035948.28476,1929607395.99875,1430142156.02394
1708910343000000000,410161760.45602,382617982.17755,1897875005.6755202,1446522046.19889
1708910371000000000,409361530.63122,377854359.13514996,1895310376.77792,1434336572.09669
1708910410000000000,406120971.83064,382770977.62654996,1886314732.85816,1438553441.07709
1708910435000000000,393819975.19184995,396154159.58384997,1860859845.39011,1464486974.98885
1708910501000000000,477398341.60555005,605447361.39696,2273155474.4654,2115098572.03709
1708910502000000000,398042048.36695,395257964.34761,1862298499.68537,1462970328.36043
1708910523000000000,398679313.39454997,396810895.13425,1862053365.10617,1467208017.03118
1708910551000000000,396627617.53065,392518095.13025,1861561493.49547,1456031604.98902
1708910583000000000,405326904.39914995,391989049.42455,1880368571.24697,1476868810.08643
1708910612000000000,404012865.92335,390950217.46005,1877021299.87707,1474531394.64483
1708910643000000000,407265901.99832,378867403.64735,1890502815.96814,1459316569.49879
1708910672000000000,414880349.58662,366655858.29866,1924723092.1231499,1444808638.50664
1708910704000000000,416619610.56962,367907523.18436,1927591473.30855,1447634738.62534
1708910741000000000,515046298.88272,601266047.29336,2314857829.79327,2128340760.49233
1708910763000000000,415748025.02112,377193853.70145,1911294064.4999201,1450244577.10464
1708910791000000000,414327647.33942,372370876.82846,1905934866.90342,1453408509.56625
1708910824000000000,418059553.38922,368290242.48635995,1933485528.89195,1448279709.53544
1708910851000000000,419367776.72112,366121950.15106,1937362034.02385,1441849470.61104
1708910883000000000,412565080.74192,361912253.16686,1915342349.56585,1424906874.79684
1708910911000000000,415074948.20202,370016267.08845997,1926756231.00705,1450176079.78974
1708910953000000000,518274248.26442003,597208288.70396,2325402057.54897,2121204461.91923
1708910971000000000,422186128.06842,368056293.62975997,1944121432.54065,1445941895.07594
1708911009000000000,422571290.69992,368604378.93786,1941034540.80322,1442899802.01884
1708911040000000000,417897735.53812003,371897534.42286,1929319833.60052,1450996195.57554
1708911063000000000,415273197.75931,356830088.51172,1925213913.34997,1431966601.1192899
1708911092000000000,419406573.01311004,358169412.14032,1939746543.42627,1435334945.99829
1708911123000000000,421596382.98761,357370635.90112,1949803078.13977,1433815978.29572
1708911152000000000,422396880.82300997,359215374.59136,1952826299.52613,1435954777.1278
1708911187000000000,422396880.82300997,359215374.59136,1952826299.52613,1435954777.1278
1708911212000000000,427512678.23951,361807401.50622,1960149223.29397,1438194847.51569
1708911243000000000,423017565.07061005,362300698.86972,1946751879.34777,1439783315.31849
1708911270000000000,425989591.32001,361672634.33942,1960039444.02207,1438750713.81282
1708911306000000000,425361391.22097,362973421.51742,1955750680.98143,1435610411.9642901
1708911332000000000,426429204.39646995,365365330.28852,1958293188.37183,1440263323.21479
1708911364000000000,424721183.06407,365088545.98061997,1953631914.18623,1439392264.23369
1708911402000000000,515925932.81744003,594872035.62869,2334434145.30746,2112853313.52269
1708911422000000000,423340221.08131,361620665.88031995,1950734637.45717,1435608047.53949
1708911452000000000,424058786.72901,373056128.96692,1959011560.09657,1465260849.02039
1708911483000000000,428239549.99571,378753031.07386,1967235556.31263,1479569179.28689
1708911511000000000,429062623.35221004,376110443.66982,1969409617.03377,1472848550.1858602
1708911544000000000,430067574.19771004,375907000.98452,1972104056.16627,1472382574.95856
1708911571000000000,427165006.92881,364801132.05816,1964188835.46843,1463728831.013
1708911608000000000,424344342.00811,366975500.43152,1949583951.43227,1446214287.69859
1708911635000000000,432420597.05251,360662722.83011997,1971110804.11727,1429633587.15209
1708911663000000000,423498546.23991,362566401.98412,1947457072.33517,1435020616.82919
1708911691000000000,425131536.17841005,364364092.33842003,1952962670.38417,1436208935.76959
1708911723000000000,420619000.36211,368014897.47552,1941770138.3134701,1448077669.52629
1708911752000000000,434409522.91231,362794522.32502,1976057363.61827,1435709731.46959
1708911783000000000,436637525.40841,363911831.80072,1981721085.36977,1434551609.49369
1708911811000000000,433233066.02616996,366924644.48382,1975244310.63203,1440594848.7651901
1708911843000000000,431213174.37924,372290705.77452,1971084353.5393999,1448153136.94869
1708911871000000000,434489660.05754,372289472.78812,1974029373.75417,1445690325.48809
1708911906000000000,427381143.11654,381593441.30581,1948374422.07397,1456353907.2966402
1708911931000000000,424907395.81384003,383986764.49792004,1949663566.57257,1476274179.59639
1708911963000000000,429956092.42554,378122614.11072,1966641810.1,1463190719.43419
1708911992000000000,431195338.46137,373356978.26592,1968314547.78933,1457427542.38769
1708912023000000000,434045889.30431,370874962.01342,1974306172.48417,1457410133.33069
1708912052000000000,435858089.42291003,366914220.84582,1978742807.59137,1448082022.91419
1708912084000000000,435990398.49041,370044627.86872,1978684262.23717,1454661152.11719
1708912111000000000,437610025.62670994,367623488.40992,1990774993.53067,1450062659.4735901
1708912143000000000,439376350.81721,364165364.33422,1996337435.62577,1440720714.52339
1708912172000000000,440286839.35001004,363164217.96922004,1990328114.59127,1436659115.59849
1708912207000000000,437617767.65060997,366967089.91352,1984805183.24717,1446804730.98969
1708912234000000000,437805802.53040993,367280697.38782,1985327691.67367,1447403961.40909
1708912263000000000,436995101.70430994,370441873.51041996,1988856060.57227,1455059297.66456
1708912291000000000,439657488.83351,368659613.72202003,1995435018.09097,1451114060.55056
1708912323000000000,439302264.55811,364469181.85546,1995677719.30453,1440523235.3101
1708912351000000000,446627069.33461,372975890.42406,2016948199.79773,1462147520.8165
1708912383000000000,449046423.85020995,372363615.82616,2022619626.96553,1459654852.3212
1708912412000000000,450081417.09891,374276881.54182,2026384929.90657,1465172999.09466
1708912443000000000,448243755.53741,374721832.58762,2020463864.10507,1465250285.76286
1708912472000000000,446459262.96431005,377817397.79912,2015553629.6661701,1472848077.55806
1708912505000000000,449999967.47191,375669855.28692,2024900331.19207,1466668337.76386
1708912530000000000,443776690.69991,377426322.99582,2005482445.3056698,1471288541.99879
1708912563000000000,447703689.55130994,376758696.25602,2020292443.3162699,1470691576.2214599
1708912592000000000,449202808.89991003,377530513.45232,2023760782.98277,1472017035.17026
1708912623000000000,448780300.53201,376008471.32412,2022449029.14117,1468442708.06512
1708912651000000000,447113517.46211004,377617219.13092,2018981754.03327,1472291288.7406201
1708912683000000000,454516080.18881,358306820.80666,2019095566.55137,1449709120.30566
1708912711000000000,472705948.04181,343489414.00913,2050304944.96507,1425074108.53403
1708912743000000000,467948915.26811004,349304917.37387,2034833366.77286,1439706946.05669
1708912771000000000,462630435.29831,353006416.06493,2024089197.84136,1445306524.29273
1708912811000000000,466500881.04871,351666003.45813,2034014741.78327,1441896076.63803
1708912845000000000,450313981.89501,360864038.61076,2011615093.60827,1449690809.741
1708912866000000000,446540447.66461,368531192.34635997,1999345406.51407,1467990131.748
1708912891000000000,463714708.71310997,355891663.99886,2028685404.80437,1451044078.96226
1708912923000000000,446252213.13620996,367498406.66616,2001042877.16067,1464916802.02
1708912951000000000,450052753.29121,359478879.96656,2010622407.53517,1444909053.7795
1708912983000000000,458889068.92531,362208527.13616,2016125482.98307,1456039986.76426
1708913010000000000,464286773.46950996,354250304.36243,2029076154.24317,1447080159.38233
1708913043000000000,451749407.96481,355797106.06255996,2013603293.39287,1439991351.31396
1708913072000000000,434621198.47041,368311589.25146,1993447636.53553,1460870733.2428
1708913105000000000,435119140.71551,365174985.19076,1994178502.34073,1460338375.9422998
1708913131000000000,449833522.97541,365534786.56806,2009268117.37217,1460435536.6993
1708913163000000000,466644506.19331,351203692.21696,2034447965.9981701,1440007610.54776
1708913192000000000,454279625.80661,362835728.15426004,2020182896.92623,1454586197.5101
1708913223000000000,450171512.42351,362260880.16996,2010589624.4004302,1452880811.1069
1708913251000000000,451467352.61950994,363413891.12826,2013770382.92033,1456234684.4413
1708913283000000000,451348243.71851,362173707.95436,2011913670.97927,1453898024.7388
1708913312000000000,449359009.21631,364243632.40006,2006924220.62067,1458785399.1482
1708913343000000000,454560817.89771,358594383.91456,2020595204.17307,1446944893.35556
1708913371000000000,452928295.96061003,365096090.24206,2016265949.28537,1460810604.00016
1708913407000000000,454388799.40731,360625948.60966,2020709438.78607,1449331528.9356
1708913435000000000,459523462.87621,349993200.35275,2021583027.15219,1444064782.08117
1708913464000000000,459523462.87621,349993200.35275,2021583027.15219,1444064782.08117
1708913492000000000,461736917.41031003,351934017.00469,2025718994.9002101,1440756281.15163
1708913523000000000,458506375.88381004,354162427.55952,2015928624.84322,1445598314.35196
1708913552000000000,459341666.65661,355650117.91222,2019277098.61332,1449435992.82296
1708913583000000000,427308489.68971,383632233.77322,1978921393.38758,1479040125.24609
1708913611000000000,422993061.59751,379219749.95668,1959655454.39632,1468905537.58159
1708913643000000000,424153563.73031,383955066.93457997,1960754571.98642,1481071143.46539
1708913671000000000,425093128.86551,386342219.99468,1963690434.26592,1486851986.3297899
1708913706000000000,420955338.24174,395026239.69298,1953258074.7564502,1501370033.90279
1708913730000000000,419999912.35694,393934811.04927,1935722847.07442,1495777458.73109
1708913763000000000,422167595.72517,391540803.65388,1952279492.32368,1501008147.37649
1708913801000000000,514974918.49454,618638465.34495,2341505000.9742103,2165377308.4310503
1708913822000000000,424595909.40791,389184597.97468,1960410657.90832,1493511868.94089
1708913851000000000,424678080.52921,389724386.16767997,1959066692.84392,1498319895.73989
1708913884000000000,423618059.66711,389257784.98728,1955891832.33002,1496505169.05209
1708913911000000000,424172922.23640996,388632395.89618,1958042416.42022,1495415751.99919
1708913943000000000,441939962.42231,364540206.19612,1988540629.40782,1461807241.3608
1708913971000000000,441649642.42561,359904198.93061996,1990315894.25958,1450873724.7775
1708914007000000000,440445543.34090996,361089066.16612,1987523688.55212,1453039848.8842
1708914046000000000,519279184.84234,608703301.2401199,2349891898.73923,2150422527.37743
1708914063000000000,453209188.12861,359145855.90822,2000253883.44192,1449874253.87986
1708914092000000000,468114632.24791,358549500.30742,2038583203.84022,1447285691.94626
1708914123000000000,454665066.29181004,361173432.35942,2003540388.08512,1455559039.4974601
1708914151000000000,457750549.98901004,361189696.50222,2011645488.29552,1455853696.83676
1708914183000000000,461321581.84781,356696307.54942,2021085916.03562,1444430568.99476
1708914212000000000,449053698.66651,360933861.07112,2006049785.1284199,1450024318.6814
1708914249000000000,459950463.43301004,360496129.99742,2018158480.33552,1453235879.87936
1708914272000000000,462183276.22141004,354629414.08819,2026422426.50361,1445736426.98823
1708914305000000000,460026039.03791,354385045.08399,2019240296.80861,1447492014.34263
1708914331000000000,463009665.85901,341647013.15859,2028059752.5010102,1394729396.56293
1708914363000000000,463218792.64050996,336245367.12998,2028589663.12637,1386478126.48843
1708914392000000000,464066160.55331,331995823.05209,2029425174.66349,1383958968.79491
1708914423000000000,459918471.87161005,337611965.66668,2022556104.19007,1390458780.446
1708914452000000000,468207490.15351,330934720.87849003,2041272793.95099,1380939315.99241
1708914483000000000,463300297.26242995,324738181.23713005,2027244215.19352,1377868032.8784
1708914512000000000,464158063.58682996,328226335.46152997,2031373495.47172,1384865839.627
1708914543000000000,465619577.15433,321629514.04023004,2039105344.52622,1369453271.6474
1708914572000000000,464140720.09961,333579082.62993,2034624609.0987,1384242400.77955
1708914610000000000,463841688.24141,327779205.27223,2034760440.2569,1381182712.72015
1708914641000000000,465803768.47461,325733225.21843,2039182004.0314,1375573251.40505
1708914663000000000,466963999.12511003,340746005.24525,2044801781.65589,1391880914.16127
1708914694000000000,462445568.13871,346134143.74305,2035435468.00789,1406483095.24837
1708914723000000000,461945737.54611003,341881530.47488,2033946740.55707,1395231993.4969
1708914752000000000,463197121.96501005,340655717.15863,2037394072.4047701,1390648430.7979898
1708914783000000000,454122588.56551003,348623210.92942,2010515041.11442,1400629615.41736
1708914812000000000,460107787.51621,344988958.16385,2027666865.13419,1404783543.18037
1708914843000000000,462410387.53751,339372392.98428,2034841488.07617,1391133979.8384001
1708914871000000000,459107558.30360997,345629187.80667996,2025266254.8515701,1406885151.292
1708914905000000000,460832285.61030996,340790633.86718,2029771792.61947,1393595656.8669
1708914931000000000,458806131.21891,347861506.72018003,2024417592.35587,1412332273.4279
1708914963000000000,469764709.21511,336376175.92493,2047911056.8943,1391375005.37125
1708914991000000000,466501644.46510994,336341406.61483,2039465721.89167,1390923595.97715
1708915023000000000,464691057.24751,344448444.12508,2038027298.17367,1401407031.13034
1708915051000000000,468075347.34010994,341285252.95505,2047021385.7833898,1395179997.10447
1708915083000000000,467805496.86231005,341249287.12519,2048082350.67171,1392304200.14315
1708915111000000000,465803624.56481,344359154.49943,2041999496.46841,1400691503.97089
1708915143000000000,468996146.53791,337805052.42689,2045547974.69649,1392056884.08921
1708915172000000000,470695024.90130997,339545434.71255,2053550562.77789,1391297395.03947
1708915208000000000,471365240.86151,340860100.28045,2055527194.08989,1394508298.9867702
1708915239000000000,470586204.38991,343195484.12458,2053029725.21457,1398490931.8415399
1708915263000000000,465581885.11291003,344716936.90449,2040184989.85362,1398945349.82483
1708915290000000000,452968897.82421005,350452012.63252,2022876383.97352,1403685434.9363
1708915324000000000,432917345.53861004,355245925.19832003,1992939600.51718,1416213053.1411
1708915351000000000,436933054.80441,358464565.54472,2001826826.01788,1416350633.0337899
1708915383000000000,431216957.86931,366078315.00628,1987838118.79302,1436375070.27632
1708915411000000000,437410844.40050995,361402749.98668,2001565017.1333199,1426281615.16696
1708915443000000000,433464649.31161,364787061.19668,1990044322.81662,1434863131.18789
1708915481000000000,531345163.62014,592472732.70745,2380861396.61961,2098639860.43606
1708915505000000000,443725924.91471,359235162.46142,2015830769.83308,1418182710.8558
1708915532000000000,430366275.68411005,360489857.73058,1976959715.60302,1420373217.03019
1708915563000000000,432128712.50830996,359849215.86058,1986453480.79582,1420429193.77949
1708915592000000000,434964701.82261,361154654.66688,1992537220.65992,1424311980.87086
1708915623000000000,434005521.57360995,361768367.58602,1989368966.27088,1426752948.6527
1708915662000000000,436467938.03541005,358656788.07638,1996420535.43482,1417801686.54499
1708915684000000000,463089866.46981,342617095.03189003,2030450719.0345101,1400016560.90383
1708915712000000000,452381297.51081,350417069.59242,2013447985.50062,1405857063.5793
1708915743000000000,452478603.02831006,349768660.15272,2013017297.20042,1404326257.392
1708915771000000000,451671356.69440997,350451937.16332,2011522754.38252,1405849219.675
1708915813000000000,452407038.56391,350170404.82632,2013223414.51912,1403304935.2467
1708915834000000000,458803097.24921,353273487.02952003,2016819431.53752,1412373300.82066
1708915863000000000,459078728.91481006,353369108.03752,2017306290.48832,1413491775.54706
1708915900000000000,524733962.83794,585673859.5749199,2364968250.47023,2094694393.37463
1708915923000000000,462835722.51611006,337315193.23445,2027144245.35199,1392119537.60387
1708915951000000000,465434663.39120996,339149656.63369,2035221645.2389898,1397456124.05481
1708915983000000000,467958721.32381,332430528.59283,2036688993.2301,1386533570.32905
1708916011000000000,464649945.05391,331603157.68703,2030217874.8589,1394602703.6447499
1708916044000000000,461560348.46751,336422396.71319,2022234031.26139,1392049409.86661
1708916071000000000,469187049.93031,341302769.81349003,2046888645.9533901,1404256626.65421
1708916105000000000,470701922.80521,338839448.71653,2051203147.37197,1398884087.25495
1708916142000000000,535366861.59424,580340957.00175,2394636645.41233,2084068898.00043
1708916163000000000,474704196.02470994,334186867.57863,2059391593.1127,1389324644.84775
1708916191000000000,473405405.26631004,339453406.58093,2056462496.7198,1401706943.19715
1708916223000000000,473029435.61333,328419604.38103,2054405076.0545201,1387724654.4038
1708916251000000000,475263735.12531,333108755.01253,2061039926.2936,1396068817.70845
1708916283000000000,472432847.87901,335685678.12793,2054190795.9714,1393584332.30695
1708916312000000000,472047450.93073,329516891.49463,2055044296.38002,1389533092.0874
1708916345000000000,471869870.89893,329529105.39953,2058706683.92402,1392590024.07999
1708916372000000000,473827044.51883006,329396654.10643,2062303693.10122,1390774486.5418901
