ts_ns,bid_near,ask_near,bid_total,ask_total
1708905612000000000,354531058.80129,404466488.41669,1762702706.21181,1466753838.36983
1708905649000000000,366559184.45592,415840767.26829,1793517301.95614,1495781121.77414
1708905668000000000,364704887.90199,423173277.69939,1788395913.93721,1514012215.07627
1708905692000000000,372014781.18472004,417685191.18658996,1806103295.46014,1499914960.85974
1708905723000000000,368963007.30262,420636559.56308997,1797698743.5418398,1505742327.11204
1708905751000000000,375911398.41836,420149773.86749005,1826447133.10626,1514716754.4804502
1708905784000000000,377101952.44516,413269905.11139,1828171744.3887599,1496853122.19275
1708905811000000000,374484835.54896003,416548484.69679,1812107501.5635,1503309682.87883
1708905843000000000,377659422.26901,408923880.46796,1822059803.06987,1486658108.1267
1708905871000000000,381837475.18329,413888105.69746006,1833612836.1457899,1498405339.06515
1708905905000000000,382002868.43051004,405280016.46946,1830135506.94247,1475466606.3353
1708905930000000000,379349464.36781,405488789.93196,1825353356.79477,1477012289.5281
1708905963000000000,371372739.64276,411801233.78556,1812575242.56386,1489905627.74635
1708906001000000000,482277157.38017,618507750.61959,2263689279.6391897,2144270857.54545
1708906022000000000,373041644.96436,413263955.64816004,1818370520.07886,1494044211.50355
1708906051000000000,375093953.97699,411279324.52196,1823636118.22389,1488839443.66155
1708906083000000000,371427152.93615997,413852701.64766,1812864660.55446,1495308889.63995
1708906112000000000,371941518.86465997,412830729.77576,1815019131.81256,1491748167.59515
1708906144000000000,373830790.56018996,411414832.02956,1819234100.82439,1488842303.33645
1708906172000000000,382715416.78631,408156413.53945994,1834208320.6923702,1480990269.5095
1708906207000000000,377866539.29021,410694251.09196,1821811808.55817,1488173321.1989
1708906236000000000,390464339.30789995,397983827.04690003,1847403463.29957,1465313201.07099
1708906273000000000,480449710.17837,615812724.84849,2264482567.96049,2136143122.27314
1708906291000000000,391929970.68514,400067400.7231,1855965430.42603,1467930455.98861
1708906323000000000,383912620.78431,408483891.6953,1834825470.4716,1487900470.02721
1708906350000000000,385496975.86111,409128238.8772,1838845664.5531,1489823559.96331
1708906383000000000,382580570.84571,401680112.60469997,1836111159.41331,1469991261.29871
1708906411000000000,384989681.5132,402228701.5679,1837149190.0843701,1473126143.77429
1708906443000000000,392392196.3613,399960976.6651,1846339234.26167,1473509644.68369
1708906471000000000,402829541.77320004,389429287.3018,1879489838.48317,1449229663.37271
1708906506000000000,399684665.3119,389831701.2386,1866743566.66367,1448372204.02611
1708906532000000000,397464136.66569996,384354378.86649,1860358902.8579,1444977624.9765902
1708906577000000000,396131986.41111,384819810.12099,1857559472.35151,1447156318.8664901
1708906592000000000,389708006.11441004,395495612.3266,1854655487.6081,1451970940.2202098
1708906623000000000,381518774.52201,399646101.56229997,1833745933.12731,1460919143.20511
1708906652000000000,384118959.33611,397356605.92468,1840065565.95071,1453351772.33345
1708906684000000000,364830440.94796,405628916.23390996,1802948545.57986,1469737335.6745
1708906711000000000,358783690.64922,413276461.94690996,1778559003.49814,1485688495.83719
1708906743000000000,352418947.97052,417785146.1613,1755707183.58018,1492664253.73564
1708906774000000000,354937296.86472,418636976.8864,1764016599.74898,1492511034.95758
1708906808000000000,362267182.95046,399638721.98881,1781223350.44626,1459264213.95318
1708906845000000000,468895942.96942,609874199.52957,2233848039.413,2118547884.49912
1708906860000000000,358047673.92061996,405858007.75521004,1772092847.09034,1470459281.89999
1708906891000000000,354568371.75361997,412296263.0249,1761708219.40638,1478368527.44468
