event_ts,entry_ts,exit_ts,symbol,route,direction,direction_value,short_prediction,long_prediction,conservative_prediction,prediction_threshold,confirmation_return,confirmation_body_fraction,confirmation_taker_pressure,entry_price,initial_stop,final_stop,exit_price,exit_reason,trailing_updates,holding_minutes,rank_score,gross_return,net_return
2025-02-01 00:30:00+00:00,2025-02-01 00:45:00+00:00,2025-02-01 03:40:00+00:00,ETHUSDT,PRIOR_ONLY_WALKFORWARD_ENSEMBLE,LONG,1.0,0.0036230893288394365,0.0028371936473825903,0.0028371936473825903,0.002202173203811283,0.005109367173150803,0.7423908248787237,0.143993547032629,3310.78,3284.243125,3284.243125,3284.243125,TRAILING_STOP,0,175.0,0.0028371936473825903,-0.008015293979062421,-0.010015293979062421
2025-02-01 23:30:00+00:00,2025-02-01 23:45:00+00:00,2025-02-02 00:00:00+00:00,SOLUSDT,PRIOR_ONLY_WALKFORWARD_ENSEMBLE,LONG,1.0,0.0037391192999676843,0.0026410093643603597,0.0026410093643603597,0.002202173203811283,0.004589304111641823,0.5939393939394132,0.0753809105180081,214.52,212.71720833333333,212.71720833333333,212.71720833333333,TRAILING_STOP,0,15.0,0.0026410093643603597,-0.008403839579837258,-0.010403839579837258
2025-02-02 04:00:00+00:00,2025-02-02 04:15:00+00:00,2025-02-02 08:15:00+00:00,SOLUSDT,PRIOR_ONLY_WALKFORWARD_ENSEMBLE,LONG,1.0,0.005232327168555119,0.005193329889178679,0.005193329889178679,0.002202173203811283,0.010290849357425857,0.6000000000000096,0.06351444553637586,209.11,206.53300000000002,210.27937500000002,211.16,FOUR_HOUR_CAP,3,240.0,0.005193329889178679,0.009803452728229134,0.007803452728229134
2025-02-02 05:30:00+00:00,2025-02-02 05:45:00+00:00,2025-02-02 07:35:00+00:00,XRPUSDT,PRIOR_ONLY_WALKFORWARD_ENSEMBLE,LONG,1.0,0.0033051764843731535,0.0031142059605042513,0.0031142059605042513,0.002202173203811283,0.0031480264295846716,0.5260115606936451,0.04702303480749803,2.8998,2.83199125,2.8733125,2.8733125,TRAILING_STOP,2,110.0,0.0031142059605042513,-0.009134250637975017,-0.011134250637975017
2025-02-02 06:00:00+00:00,2025-02-02 06:15:00+00:00,2025-02-02 10:15:00+00:00,SOLUSDT,PRIOR_ONLY_WALKFORWARD_ENSEMBLE,LONG,1.0,0.0030402815524500568,0.002601366366824328,0.002601366366824328,0.002202173203811283,0.005421715147800654,0.5528846153846086,0.1400745446789835,213.26,209.75518749999998,211.5365625,212.56,FOUR_HOUR_CAP,2,240.0,0.002601366366824328,-0.0032823783175466303,-0.00528237831754663
2025-02-02 08:30:00+00:00,2025-02-02 08:45:00+00:00,2025-02-02 10:20:00+00:00,XRPUSDT,PRIOR_ONLY_WALKFORWARD_ENSEMBLE,LONG,1.0,0.00297973487761156,0.003209972943195143,0.00297973487761156,0.002202173203811283,0.0037649822113225984,0.5589743589743814,0.01165352122640817,2.906,2.870539791666667,2.870539791666667,2.870539791666667,TRAILING_STOP,0,95.0,0.00297973487761156,-0.0122024116769901,-0.0142024116769901
2025-02-02 12:00:00+00:00,2025-02-02 12:15:00+00:00,2025-02-02 12:40:00+00:00,XRPUSDT,PRIOR_ONLY_WALKFORWARD_ENSEMBLE,LONG,1.0,0.005659449292267082,0.004629289603869393,0.004629289603869393,0.002202173203811283,0.008934337997847264,0.6747967479674808,0.1543545480908075,2.8119,2.77807375,2.77807375,2.77807375,TRAILING_STOP,0,25.0,0.004629289603869393,-0.01202967744229888,-0.01402967744229888
2025-02-02 12:00:00+00:00,2025-02-02 12:15:00+00:00,2025-02-02 15:35:00+00:00,SOLUSDT,PRIOR_ONLY_WALKFORWARD_ENSEMBLE,LONG,1.0,0.003964232992120808,0.002805259560633051,0.002805259560633051,0.002202173203811283,0.011120697919662526,0.8169014084507008,0.2295045782553855,210.94,207.35679166666665,209.8584375,209.8584375,TRAILING_STOP,3,200.0,0.002805259560633051,-0.005127346638854613,-0.007127346638854613
2025-02-02 13:00:00+00:00,2025-02-02 13:15:00+00:00,2025-02-02 15:05:00+00:00,XRPUSDT,PRIOR_ONLY_WALKFORWARD_ENSEMBLE,LONG,1.0,0.007789144707186861,0.006423419405763849,0.006423419405763849,0.002202173203811283,0.01222144974203232,0.7803738317757053,0.1673167635805699,2.7663,2.7267029166666665,2.7959125,2.7959125,TRAILING_STOP,3,110.0,0.006423419405763849,0.010704731952427382,0.008704731952427382
2025-02-02 13:00:00+00:00,2025-02-02 13:15:00+00:00,2025-02-02 15:35:00+00:00,SOLUSDT,PRIOR_ONLY_WALKFORWARD_ENSEMBLE,LONG,1.0,0.004672113757922536,0.0026889235781833738,0.0026889235781833738,0.002202173203811283,0.009940930701628048,0.7016949152542473,0.10194485072433479,210.3,207.95035416666664,209.8584375,209.8584375,TRAILING_STOP,3,140.0,0.0026889235781833738,-0.0020996790299572243,-0.004099679029957224
