run_id,scenario_id,branch,side,signal_observed_ns,opened_ns,closed_ns,entry_reference,stop_price,target_price,planned_loss,gross_realized_pnl,native_commissions,extra_composite_cost,net_pnl,realized_r,nav_before,nav_after,net_reward_to_risk_at_signal,reason_code
baseline:week-a,breach-a49de423478895d1-1644612540000000000,REVERSAL,SELL,1644612600000000000,1644612600000000000,1644613320000000000,42505.21,42638.26475,42221.0,2199.3141048620623,-1657.76809527,171.17419526999998,542.0516183550001,-2370.993908895,-1.0780606115576679,73314.0887004,70943.09479150499,1.120627201423341,ABSORPTION_RECLAIM_FAILED_RETEST
baseline:week-a,breach-af61ea717df87b69-1644614040000000000,REVERSAL,SELL,1644614160000000000,1644614160000000000,1644614340000000000,42553.91,42644.0096,42283.26,2128.252908654,-1457.1202960399999,211.93829604,671.1379374599999,-2340.1965295399996,-1.0995857306357646,70943.09479150499,68602.89826196499,1.3443166088562188,ABSORPTION_RECLAIM_FAILED_RETEST
baseline:week-a,breach-e57f9c7038cd0294-1644649080000000000,CONTINUATION,SELL,1644649440000000000,1644649440000000000,1644649980000000000,42100.0,42150.74225,41711.0,2058.037060003,-1189.78763606,273.94283606,867.4856475400002,-2331.21611966,-1.1327376775501805,68602.89826196499,66271.68214230498,2.8626426056638934,DEPLETION_ACCEPTANCE_DEFENDED_RETEST
baseline:week-a,breach-405f928978e43496-1644690240000000000,REVERSAL,SELL,1644690420000000000,1644690420000000000,1644696180000000000,42850.87,42940.247650000005,42571.0,1988.0735408756523,3410.07822725,209.86847275,618.702601775,2581.507152725,1.2984968109318373,66271.68214230498,68853.18929502998,1.4038655356975815,ABSORPTION_RECLAIM_FAILED_RETEST
baseline:week-a,breach-1af43fde566f2c77-1644778320000000000,REVERSAL,BUY,1644778440000000000,1644778440000000000,1644783960000000000,41889.94,41842.86805,42312.84,2065.585253505,7649.6684504,300.8515496,886.4065204000001,6462.410380400001,3.1286098549717196,68853.18929502998,75315.59967542998,3.274258852556826,ABSORPTION_RECLAIM_FAILED_RETEST
baseline:week-b,breach-0ec10a648c483189-1686863820000000000,REVERSAL,SELL,1686863940000000000,1686863940000000000,1686864840000000000,25647.1,25739.9755,25370.0,2999.9600336355,-2331.87284938,211.15164938,668.64688972,-3211.67138848,-1.0705713917754889,100000.0,96788.32861152,1.8174158888019158,ABSORPTION_RECLAIM_FAILED_RETEST
baseline:week-b,breach-877d1f44908abef0-1686940080000000000,CONTINUATION,SELL,1686940320000000000,1686940320000000000,1686941100000000000,26329.6,26376.7815,26151.6,2903.61412718175,-1898.22597187,317.68677187000003,1006.0081109299999,-3221.92085467,-1.10962432112052,96788.32861152,93566.40775685,1.5988587667831247,DEPLETION_ACCEPTANCE_DEFENDED_RETEST
baseline:week-c,breach-2e96f30768930b2a-1728877860000000000,REVERSAL,SELL,1728877920000000000,1728877920000000000,1728878220000000000,64033.0,64193.6335,63176.8,2999.97819641025,-2145.75896542,269.62976542,853.82759048,-3269.21632132,-1.0897466939032818,100000.0,96730.78367868,2.962548110494486,ABSORPTION_RECLAIM_FAILED_RETEST
baseline:week-c,breach-aaf4cfd6a9ce2c56-1729015020000000000,CONTINUATION,SELL,1729015140000000000,1729015140000000000,1729015380000000000,66814.3,66868.58,66510.7,2901.83813832,-1471.4205864,451.8294864,1430.7933735750003,-3354.0434463750003,-1.1558340908417455,96730.78367868,93376.740232305,1.317480291462261,DEPLETION_ACCEPTANCE_DEFENDED_RETEST
baseline:week-c,breach-f0836c88d78e1452-1729262580000000000,REVERSAL,SELL,1729262700000000000,1729262700000000000,1729265400000000000,68458.9,68559.452,67930.0,2801.284596392,-1725.87791274,339.81111274,1076.06852366,-3141.7575491400003,-1.1215417216753067,93376.740232305,90234.982683165,2.0982550325019163,ABSORPTION_RECLAIM_FAILED_RETEST
