episode_id,symbol,side,family,source_id,source_kind,source_side,source_price,source_lower,source_upper,source_timeframe_minutes,source_semantic_weight,source_strength_ratio,source_defense_count,source_accumulated,line_slope_atr_per_hour,interaction_index,interaction_time_ns,confirmation_index,confirmation_time_ns,departure_index,departure_time_ns,touch_index,touch_time_ns,response_index,response_time_ns,location_kind,zone_lower,zone_upper,event_extreme,event_strength,event_outside_close_ratio,event_outside_volume_ratio,event_path_efficiency,event_activity_ratio,event_flow_signed,event_volume_clock,response_kind,response_strength,response_flow_signed,response_activity_ratio,response_body_atr,response_delay_minutes,target_level_id,target_kind,target_structure_price,target_timeframe_minutes,target_semantic_weight,route_clarity,route_barrier_count,route_strongest_barrier_ratio,route_volume_congestion,structure_multiscale_trend_vote,arbitration_score,outcome,entry_index,entry_time_ns,resolution_index,resolution_time_ns,entry,stop,stop_fill,target,gross_rr,target_net_r,net_r,holding_minutes,mfe_r,mae_r,nav_before,nav_after,drawdown,diagnostic_role,diagnostic_period
CLR:XRPUSDT:1754347980000000000:68f9d3ff39adfdf7,XRPUSDT,LONG,ACCEPTED_AUCTION_CONTINUATION,XRPUSDT:ACTIVE_POOL:HIGH:1754347800000000000:1e7f4c9f4bb1c514,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,3.0796,3.078017,3.080122,5,4.794679501415152,0.957421896366166,3,True,0.0,92092,1754347980000000000,92094,1754348100000000000,92094,1754348100000000000,92095,1754348160000000000,92097,1754348280000000000,DIRECTIONAL_FVG,3.0788,3.0794,3.0829,2.5380850409390274,0.6666666666666666,0.732714377394881,0.0,1.4959171082537894,0.2764804269003592,4.487751324761368,ADVERSE_FLOW_ABSORBED,0.6285128597531315,-0.1760866385277562,0.7476075447764934,0.3793103448276337,2.0,XRPUSDT:ACTIVE_POOL:HIGH:1754337600000000000:5f19a0eef1c23b67,ACCUMULATED_EQUAL_HIGH_LOW_POOL,3.0883,60,51.68018542737138,1.0,0,0.0,0.6144702793519347,0.3333333333333333,5.935241833553936,STOP_FIRST,92098,1754348340000000000,92102.0,1.75434858e+18,3.083,3.077817,3.077617,3.0882,1.00327995369463,0.3592992031425273,-1.0,4.0,0.283577043185853,-0.6498640573009918,0.2743390727077686,0.2661089005265356,-0.7388793745580382,dev,2025-08-01_2025-08-08
CLR:XRPUSDT:1762495140000000000:be9516bd2077da41,XRPUSDT,SHORT,FAILED_AUCTION_REVERSAL,XRPUSDT:15m:HIGH:c6348:s4:1762488900000000000,DEFENDED_INTRADAY_SWING,HIGH,2.2361,2.23529,2.23691,15,2.873921339966148,1.6592592592592657,1,False,0.0,95398,1762495140000000000,95399,1762495200000000000,95399,1762495200000000000,95401,1762495320000000000,95403,1762495440000000000,TRANSFERRED_BOUNDARY_OB_OVERLAP,2.2356,2.2365,2.2373,2.761541969304018,0.0,0.0,1.0,1.1736323869389151,0.1197561741878234,2.3472647738778303,ALIGNED_INITIATIVE,1.1859454176294069,0.2801002820697564,1.1021507912944744,0.5384615384614925,2.0,XRPUSDT:5m:LOW:c19077:s2:1762495200000000000,MINOR_ROUTE_STRUCTURE,2.2247,5,1.680022008617651,1.0,0,0.0,0.5102164793856062,0.0,6.80927368582552,STOP_FIRST,95404,1762495500000000000,95422.0,1.76249658e+18,2.2333,2.2375,2.2377,2.2248,2.023809523809468,1.0456468992539782,-1.0,18.0,0.527465903096957,-0.8288749905809802,0.3738294766820439,0.3626145923815826,-0.6373854076184173,dev,2025-11-01_2025-11-08
CLR:SOLUSDT:1707327000000000000:42e784264656a5bc,SOLUSDT,LONG,ACCEPTED_AUCTION_CONTINUATION,SOLUSDT:15m:HIGH:c6342:s4:1707273900000000000,DEFENDED_INTRADAY_SWING,HIGH,97.455,97.43322,97.47678,15,3.111011367864769,1.7961432506887105,1,False,0.0,96089,1707327000000000000,96091,1707327120000000000,96091,1707327120000000000,96092,1707327180000000000,96093,1707327240000000000,TRANSFERRED_BOUNDARY_OB_OVERLAP,97.472,97.47678,97.538,2.7787834761893797,0.6666666666666666,0.6671688130489877,-0.2244897959182489,2.331336871221513,0.0196073999193628,6.994010613664539,ALIGNED_INITIATIVE,0.8403517030841121,0.1678210721938872,0.8277184749492756,0.3966244725737997,1.0,SOLUSDT:ACTIVE_POOL:HIGH:1707264000000000000:18382bdf4d7a1a5c,ACCUMULATED_EQUAL_HIGH_LOW_POOL,97.869,1440,418.9029730875568,0.9957904562059768,1,0.0050933529402505,0.6138461395543556,0.0,6.897641716886275,STOP_FIRST,96094,1707327300000000000,96095.0,1.70732736e+18,97.538,97.41587,97.41387,97.868,2.702038811102942,1.1807328174672107,-1.0,1.0,0.2256257261340881,-0.6137019750847352,0.5362660692949196,0.520178087216072,-0.5004404468545425,dev,2024-02-01_2024-02-08
CLR:XRPUSDT:1738599960000000000:1b6f1d04bab13737,XRPUSDT,SHORT,FAILED_AUCTION_REVERSAL,XRPUSDT:15m:HIGH:c5944:s4:1738538100000000000,DEFENDED_INTRADAY_SWING,HIGH,2.6522,2.64869,2.65571,15,2.374538030205539,1.3709401709401718,1,False,0.0,90265,1738599960000000000,90269,1738600200000000000,90269,1738600200000000000,90280,1738600860000000000,90282,1738600980000000000,TRANSFERRED_BOUNDARY_OB_OVERLAP,2.64869,2.65571,2.663,3.351986240874034,0.2,0.2354380695940596,0.3075170842824528,2.015155541754297,0.1268134601890305,10.07577770877148,ADVERSE_FLOW_ABSORBED,0.4742169912766482,-0.0456594387767973,0.7902602283287009,0.2107969151670812,2.0,XRPUSDT:5m:LOW:c18034:s2:1738595100000000000,MINOR_ROUTE_STRUCTURE,2.3279,5,2.466560090198415,1.0,0,0.0,0.4522503036433236,0.0,7.364086211702177,STOP_FIRST,90283,1738601040000000000,90350.0,1.73860506e+18,2.6391,2.663686,2.663886,2.3280000000000003,12.653542666558309,11.273437044703847,-1.0,67.0,1.7676542095154484,-1.1990891441867682,1.0161741535369533,0.9856889289308448,-0.1116046577249365,dev,2025-02-01_2025-02-08
CLR:XRPUSDT:1722799260000000000:84d475ad9c798bcd,XRPUSDT,LONG,ACCEPTED_AUCTION_CONTINUATION,XRPUSDT:15m:HIGH:c6112:s4:1722791700000000000,DEFENDED_INTRADAY_SWING,HIGH,0.5334,0.533115,0.533685,15,3.0265308848045698,1.7473684210526348,1,False,0.0,91880,1722799260000000000,91882,1722799380000000000,91882,1722799380000000000,91894,1722800100000000000,91895,1722800160000000000,DIRECTIONAL_FVG,0.533,0.5335,0.5347,2.653829493922764,0.6666666666666666,0.652694238171235,0.7142857142857596,0.9479504838792288,0.2912081512952223,2.8438514516376863,ADVERSE_FLOW_ABSORBED,1.0848559231361228,-0.1380172389434369,1.0945677694082936,0.7200000000000248,1.0,XRPUSDT:5m:HIGH:c18306:s2:1722779100000000000,MINOR_ROUTE_STRUCTURE,0.548,5,1.8570001335174025,1.0,0,0.0,0.5022970835458941,0.0,7.378144974348933,STOP_FIRST,91896,1722800220000000000,91958.0,1.72280394e+18,0.5346,0.532,0.5318,0.5479,5.115384615384777,3.8770910836434735,-1.0,62.0,1.590063602544168,-0.9300372014880812,0.7383348589658191,0.7161848131968445,-0.29096823781496,dev,2024-08-01_2024-08-08
CLR:BTCUSDT:1754424540000000000:42de4738d9ac9860,BTCUSDT,LONG,ACCEPTED_AUCTION_CONTINUATION,BTCUSDT:ACTIVE_POOL:HIGH:1754423100000000000:f28ea09bc098b612,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,113731.7,113712.785,113750.615,15,10.713746837830662,1.2351637176333987,3,True,0.0,93368,1754424540000000000,93373,1754424840000000000,93373,1754424840000000000,93375,1754424960000000000,93377,1754425080000000000,TRANSFERRED_BOUNDARY_OB_OVERLAP,113735.5,113737.6,113769.2,1.6277929752925913,0.5,0.5293174250470639,-0.0515021459226154,0.5687690081336431,0.0050362356058574,3.412614048801858,ALIGNED_INITIATIVE,1.1316673814248257,0.1746733681012292,1.114172701449099,0.5856031128405635,2.0,BTCUSDT:ACTIVE_POOL:HIGH:1754406000000000000:dcabdb17ca166659,ACCUMULATED_EQUAL_HIGH_LOW_POOL,114530.0,15,28.16580356341596,1.0,0,0.0,0.5112025965397641,-0.3333333333333333,7.536752890743333,STOP_FIRST,93378,1754425140000000000,93398.0,1.75442634e+18,113768.2,113711.0805,113710.8805,114529.9,13.33520076331179,3.9864009467339794,-1.0,20.0,1.0510990809794705,-0.7389261614894148,0.1943774032382549,0.1885460811411072,-0.8149882603145495,dev,2025-08-01_2025-08-08
CLR:BTCUSDT:1762109040000000000:5741b679d17f950d,BTCUSDT,LONG,ACCEPTED_AUCTION_CONTINUATION,BTCUSDT:ACTIVE_POOL:HIGH:1762108500000000000:9a4340125a4bd0be,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,110234.3,110208.449,110239.571,15,12.553072647065946,1.1639074066573427,4,True,0.0,88963,1762109040000000000,88965,1762109160000000000,88965,1762109160000000000,88967,1762109280000000000,88970,1762109460000000000,TRANSFERRED_BOUNDARY_OB_OVERLAP,110231.2,110239.571,110250.0,2.177934940317589,0.6666666666666666,0.8469937013055615,0.2824427480912554,0.7919350686142383,-0.0132763584905122,2.375805205842715,ADVERSE_FLOW_ABSORBED,0.3299020947739882,-0.2321874748656902,0.4558984551404424,0.1779359430605074,3.0,BTCUSDT:ACTIVE_POOL:HIGH:1762101900000000000:1f838c64fb29a385,ACCUMULATED_EQUAL_HIGH_LOW_POOL,110510.0,15,13.657753478254218,1.0,0,0.0,0.5028335582285465,0.3333333333333333,7.6768666496552544,STOP_FIRST,88971,1762109520000000000,88987.0,1.76211048e+18,110244.5,110207.483,110207.283,110509.9,7.169678796227228,1.276262070592863,-1.0,16.0,0.2828213661287014,-0.5059586070312769,0.7088179905034585,0.6875534507883547,-0.3124465492116453,dev,2025-11-01_2025-11-08
CLR:BTCUSDT:1738960440000000000:7a05de9107aec34e,BTCUSDT,SHORT,ACCEPTED_AUCTION_CONTINUATION,BTCUSDT:15m:LOW:c6328:s4:1738883700000000000,DEFENDED_INTRADAY_SWING,LOW,96036.0,96007.797,96064.203,15,6.783399654360043,1.866184448462912,3,False,0.0,96273,1738960440000000000,96275,1738960560000000000,96275,1738960560000000000,96284,1738961100000000000,96288,1738961340000000000,TRANSFERRED_BOUNDARY_OB_OVERLAP,96059.3,96064.203,95953.3,3.952820520380446,0.6666666666666666,0.5384246334909558,1.0,3.425039996821277,0.2795573731081379,10.275119990463832,ADVERSE_FLOW_ABSORBED,0.9957605434589109,-0.0693643063251949,1.4156329400839511,0.5238828967642605,4.0,BTCUSDT:ACTIVE_POOL:LOW:1738900800000000000:1beb4445eb9c840c,ACCUMULATED_EQUAL_HIGH_LOW_POOL,95550.0,1440,262.8350470881116,0.9968768536719744,1,0.0061321019890558,0.6891508128534712,0.3333333333333333,7.774654246111829,STOP_FIRST,96289,1738961400000000000,96434.0,1.7389701e+18,95886.7,96133.60175,96133.80175,95550.1,1.3632953188869057,0.7855937108366816,-1.0,145.0,0.966739721006838,-0.7638905061076279,0.6248362389316804,0.60609115176373,-0.494483688107652,dev,2025-02-01_2025-02-08
CLR:SOLUSDT:1738615440000000000:3ea3ba37bdcc66e3,SOLUSDT,LONG,FAILED_AUCTION_REVERSAL,SOLUSDT:ACTIVE_POOL:LOW:1738614600000000000:6f27c3a3fe7e2fba,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,210.49,210.4009,210.6391,5,6.629583326737513,1.323823258453278,3,True,0.0,90523,1738615440000000000,90527,1738615680000000000,90527,1738615680000000000,90534,1738616100000000000,90540,1738616460000000000,ORDER_BLOCK,210.69,210.9,210.37,2.5276294193812867,0.0,0.0,0.4939759036144462,0.8925484613461679,-0.0770539971405687,4.462742306730839,ADVERSE_FLOW_ABSORBED,0.8801956924836418,-0.1014227646292174,0.9062120774508672,0.5781250000000194,6.0,SOLUSDT:ACTIVE_POOL:HIGH:1738615500000000000:dcbd85eb134c1617,ACCUMULATED_EQUAL_HIGH_LOW_POOL,215.65,240,108.69773665967674,0.991384703420674,1,0.0131328336499746,0.3985021626496404,0.3333333333333333,7.780763339850271,STOP_FIRST,90541,1738616520000000000,90553.0,1.73861724e+18,211.842,210.349,210.347,215.649,2.5498995311453454,2.144048409979622,-1.0,12.0,0.5380710154097417,-0.909679973764652,1.0781634054260012,1.0458185032632212,-0.0574102438465056,dev,2025-02-01_2025-02-08
CLR:BTCUSDT:1738920180000000000:9807550de33e867c,BTCUSDT,SHORT,FAILED_AUCTION_REVERSAL,BTCUSDT:ACTIVE_POOL:HIGH:1738909800000000000:afd4b2c8c38673e3,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,97327.6,97306.042,97335.214,5,5.094137608142074,1.4336520136852904,2,True,0.0,95602,1738920180000000000,95603,1738920240000000000,95603,1738920240000000000,95623,1738921440000000000,95627,1738921680000000000,TRANSFERRED_BOUNDARY,97306.042,97335.214,97349.9,3.731429888824245,0.0,0.0,1.0,1.162509251037525,0.2582594382477499,2.32501850207505,ADVERSE_FLOW_ABSORBED,1.2207438263346475,-0.0887162130138723,1.317053814028674,0.7817258883250894,4.0,BTCUSDT:5m:LOW:c19122:s2:1738921500000000000,MINOR_ROUTE_STRUCTURE,97114.9,5,2.443913964792321,1.0,0,0.0,0.4604920189031432,0.0,7.8518067049762035,STOP_FIRST,95628,1738921740000000000,95661.0,1.73892372e+18,97242.2,97351.93,97352.13,97115.0,1.159208967465614,0.2854640220552121,-1.0,33.0,0.2036412552379342,-0.8579956204101374,0.6890425210745372,0.6683712454423011,-0.4425383607932971,dev,2025-02-01_2025-02-08
