source_id,symbol,source_kind,source_side,source_price,source_timeframe_minutes,source_semantic_weight,source_accumulated,source_interaction_index,source_interaction_time_ns,line_slope_atr_per_hour,branch,side,confirmation_index,confirmation_time_ns,event_extreme,zone_lower,zone_upper,location_kind,event_strength,reason,counterfactual_mfe_r,counterfactual_mae_r,episode_id,response_index,response_time_ns,diagnostic_role,diagnostic_period
BTCUSDT:ACTIVE_POOL:HIGH:1738492200000000000:233ebd9571f9d0c8,BTCUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,99824.4,15,15.080586231687722,True,90410,1738608660000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,LONG,90415.0,1.73860896e+18,99900.2,99803.721,99844.5,TRANSFERRED_BOUNDARY_OB_OVERLAP,2.643237015283676,NO_FIRST_DEFENDED_RETURN,44.82454776342552,-5.877779505518777,,,,dev,2025-02-01_2025-02-08
ETHUSDT:ACTIVE_POOL:LOW:1722768300000000000:94cf0520e8441916,ETHUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,2903.15,15,17.72521597918592,True,91571,1722780720000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,91572.0,1.72278078e+18,2895.01,2900.65,2903.6,DIRECTIONAL_FVG,6.83977900552452,NO_FIRST_DEFENDED_RETURN,44.53046796797199,-0.2611986986986624,,,,dev,2024-08-01_2024-08-08
XRPUSDT:ACTIVE_POOL:HIGH:1754585100000000000:3d2ab7ac1076fdf0,XRPUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,3.0666,15,25.034900299695977,True,96222,1754595780000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,LONG,96223.0,1.75459584e+18,3.0706,3.0673,3.068,DIRECTIONAL_FVG,5.53754262645066,NO_FIRST_DEFENDED_RETURN,44.37499999999892,-0.0506756756757063,,,,dev,2025-08-01_2025-08-08
XRPUSDT:ACTIVE_POOL:LOW:1722518400000000000:35ad16da24ab3818,XRPUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,0.6096,5,9.33304259661197,True,87200,1722518460000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,87205.0,1.72251876e+18,0.6084,0.6087,0.6091,ORDER_BLOCK,3.271757410529143,NO_FIRST_DEFENDED_RETURN,41.87499999999877,-0.7500000000000346,,,,dev,2024-08-01_2024-08-08
ETHUSDT:15m:LOW:c5965:s4:1767414600000000000,ETHUSDT,DEFENDED_INTRADAY_SWING,LOW,3117.09,15,4.149223969633525,False,89558,1767415140000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,89568.0,1.76741574e+18,3112.6,3116.49,3116.6,DIRECTIONAL_FVG_OB_OVERLAP,3.4434715660368416,NO_FIRST_DEFENDED_RETURN,40.32118472929236,-1.2501202038656714,,,,dev,2026-01-01_2026-01-08
SOLUSDT:ACTIVE_POOL:LOW:1722513600000000000:3a6cc87b8cfbbbbb,SOLUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,168.465,15,14.953482869699409,True,87263,1722522240000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,87268.0,1.72252254e+18,167.963,168.467,168.667,DIRECTIONAL_FVG,3.927063552981769,NO_FIRST_DEFENDED_RETURN,39.98923350863413,-0.11594683009645,,,,dev,2024-08-01_2024-08-08
SOLUSDT:ACTIVE_POOL:LOW:1722769200000000000:59c925bf8fff7813,SOLUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,142.522,15,15.420118567657584,True,91572,1722780780000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,91573.0,1.72278084e+18,142.18,142.572,142.818,DIRECTIONAL_FVG,5.059665871121666,NO_FIRST_DEFENDED_RETURN,39.5118710444424,-0.1678380362949827,,,,dev,2024-08-01_2024-08-08
XRPUSDT:ACTIVE_POOL:LOW:1738428300000000000:ea677c648515d814,XRPUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,2.9643,5,8.956840147151413,True,87417,1738429080000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,87419.0,1.7384292e+18,2.9618,2.9652,2.9672,DIRECTIONAL_FVG,3.1508416310921845,NO_FIRST_DEFENDED_RETURN,39.31777378814066,-21.72351885098208,,,,dev,2025-02-01_2025-02-08
BTCUSDT:ACTIVE_POOL:LOW:1767465900000000000:8ea8fae63766f0d2,BTCUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,89981.6,15,19.551771546795106,True,90487,1767470880000000000,0.0,FAILED_AUCTION_REVERSAL,LONG,90488.0,1.76747094e+18,89972.9,90001.9,90008.4,DIRECTIONAL_FVG,8.557575757576464,NO_FIRST_DEFENDED_RETURN,38.14939759036173,-0.3999999999997896,,,,dev,2026-01-01_2026-01-08
SOLUSDT:ACTIVE_POOL:HIGH:1762077600000000000:8ab7632d3c0a6698,SOLUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,188.27,60,51.57099054701846,True,89285,1762128360000000000,0.0,FAILED_AUCTION_REVERSAL,SHORT,89287.0,1.76212848e+18,188.45,188.1929,188.23,TRANSFERRED_BOUNDARY_OB_OVERLAP,5.270270270269924,NO_FIRST_DEFENDED_RETURN,38.00000000000181,-2.969696969697082,,,,dev,2025-11-01_2025-11-08
SOLUSDT:ACTIVE_POOL:HIGH:1707336000000000000:9f9e692a9bdb783a,SOLUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,97.763,15,9.813388461341134,True,96258,1707337140000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,LONG,96259.0,1.7073372e+18,97.85,97.541,97.62,DIRECTIONAL_FVG,4.4681513588540245,NO_FIRST_DEFENDED_RETURN,35.666666666669784,-1.263157894736875,,,,dev,2024-02-01_2024-02-08
ETHUSDT:15m:HIGH:c6247:s2:1754447400000000000,ETHUSDT,DEFENDED_INTRADAY_SWING,HIGH,3593.12,15,4.950210962128512,False,93771,1754448720000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,LONG,93774.0,1.7544489e+18,3595.37,3593.01,3593.42,DIRECTIONAL_FVG_OB_OVERLAP,2.839910633628286,NO_FIRST_DEFENDED_RETURN,35.44717160012674,-13.746971452649362,,,,dev,2025-08-01_2025-08-08
SOLUSDT:ACTIVE_POOL:LOW:1754135100000000000:6910b7270c2f320a,SOLUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,162.13,15,27.808105078352963,True,88773,1754148840000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,88775.0,1.75414896e+18,161.77,162.23,162.38,DIRECTIONAL_FVG,3.1402942338386124,NO_FIRST_DEFENDED_RETURN,35.28089887640504,-2.30337078651687,,,,dev,2025-08-01_2025-08-08
ETHUSDT:15m:HIGH:c5826:s2:1738430100000000000,ETHUSDT,DEFENDED_INTRADAY_SWING,HIGH,3264.86,15,2.3306581550962364,False,87440,1738430460000000000,0.0,FAILED_AUCTION_REVERSAL,SHORT,87444.0,1.7384307e+18,3265.91,3265.14,3265.25,TRANSFERRED_BOUNDARY_OB_OVERLAP,3.2794498316401204,NO_FIRST_DEFENDED_RETURN,34.012084592145555,-1.0271903323263285,,,,dev,2025-02-01_2025-02-08
ETHUSDT:15m:LOW:c5987:s4:1706954400000000000,ETHUSDT,DEFENDED_INTRADAY_SWING,LOW,2305.45,15,5.004806781124642,False,89967,1706959680000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,89969.0,1.7069598e+18,2304.41,2305.81,2306.28,DIRECTIONAL_FVG,3.2884746488383154,NO_FIRST_DEFENDED_RETURN,33.977570985438696,-5.392507754712082,,,,dev,2024-02-01_2024-02-08
XRPUSDT:ACTIVE_POOL:HIGH:1722515400000000000:42b2c8445ebb89f9,XRPUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,0.6135,15,18.21131857882511,True,87157,1722515880000000000,0.0,FAILED_AUCTION_REVERSAL,SHORT,87158.0,1.72251594e+18,0.6138,0.6128,0.613797,TRANSFERRED_BOUNDARY,5.083333333333519,NO_FIRST_DEFENDED_RETURN,33.72727272727306,-0.2727272727272452,,,,dev,2024-08-01_2024-08-08
BTCUSDT:15m:LOW:c5868:s2:1762055100000000000,BTCUSDT,DEFENDED_INTRADAY_SWING,LOW,109918.2,15,3.657344116600645,False,88071,1762055520000000000,0.0,FAILED_AUCTION_REVERSAL,LONG,88072.0,1.76205558e+18,109911.7,109920.2,109924.464,TRANSFERRED_BOUNDARY_OB_OVERLAP,4.3240935631342285,NO_FIRST_DEFENDED_RETURN,33.630508474576466,0.0,,,,dev,2025-11-01_2025-11-08
