configuration,status,episodes,episodes_per_day,mean_r,median_r,win_rate_r,profit_factor_r,mean_r_without_best,mean_net_fraction,reasons
direct:acceptance_extreme:time_only:480m,geometry_rejected,39,0.2785714285714286,0.4785760853085621,-0.9999999999999862,0.48717948717948717,1.933223366351696,0.2572509225559878,0.006365675402519946,post-publication R expectancy is non-positive | fewer than 60% of periods are positive (4/8) | median trade R is non-positive
delayed15:acceptance_extreme:time_only:480m,geometry_rejected,38,0.2714285714285714,0.4658796421033015,-0.7935551676894964,0.39473684210526316,1.8971839168392652,0.05487437380356306,0.0031230551915722516,post-publication R expectancy is non-positive | fewer than 60% of periods are positive (4/8) | median trade R is non-positive
delayed15:impulse_origin:time_only:480m,geometry_rejected,39,0.2785714285714286,0.2820816524506174,0.04279010635030689,0.5384615384615384,2.3926200417302987,0.17909160087308804,0.004978058597378705,post-publication R expectancy is non-positive
direct:acceptance_extreme:two_r:240m,geometry_rejected,40,0.2857142857142857,0.2534207525468141,0.49075753829019464,0.55,1.6163335419921292,0.2104272355780765,0.008654445228415563,post-publication R expectancy is non-positive | fewer than 60% of periods are positive (4/8)
delayed15:impulse_origin:two_r:480m,geometry_rejected,39,0.2785714285714286,0.24819277221945746,0.07867771759579599,0.5641025641025641,2.2309922646011286,0.20762943580585844,0.004590936349398513,post-publication R expectancy is non-positive
direct:acceptance_extreme:time_only:240m,geometry_rejected,40,0.2857142857142857,0.24008945521214656,-0.18351415674957283,0.475,1.5129978974279004,0.12255781851877323,0.004844800958822637,post-publication R expectancy is non-positive | fewer than 60% of periods are positive (4/8) | median trade R is non-positive
direct:acceptance_extreme:impulse_extension:480m,geometry_rejected,39,0.2785714285714286,0.2223054261466394,0.044616565402603,0.5128205128205128,1.4563111378799436,0.14357405594671238,0.004476497044986396,post-publication R expectancy is non-positive | fewer than 60% of periods are positive (4/8)
direct:acceptance_extreme:impulse_extension:240m,geometry_rejected,40,0.2857142857142857,0.20495967608924612,0.06922113467250811,0.5,1.444429585810658,0.12780229614938404,0.005616966535871062,post-publication R expectancy is non-positive
delayed15:acceptance_extreme:two_r:240m,geometry_rejected,39,0.2785714285714286,0.1758519514954166,0.02768287457447676,0.5128205128205128,1.4430588313386492,0.12868674262818475,0.011960578522654431,post-publication R expectancy is non-positive | fewer than 60% of periods are positive (4/8)
delayed15:acceptance_extreme:impulse_extension:480m,geometry_rejected,38,0.2714285714285714,0.14886809284120495,-0.34876114590968293,0.4473684210526316,1.302342388232371,0.054922533420875795,0.003798479874355402,post-publication R expectancy is non-positive | median trade R is non-positive
delayed15:impulse_origin:two_r:240m,geometry_rejected,40,0.2857142857142857,0.13213005468577083,0.041329167687529214,0.525,1.599666476343148,0.08509487049187714,0.009059155489738461,post-publication R expectancy is non-positive
delayed15:acceptance_extreme:two_r:480m,geometry_rejected,38,0.2714285714285714,0.11505516865116312,0.027790240976559296,0.5,1.2779072283705801,0.06757771473763431,0.0020973767338504316,post-publication R expectancy is non-positive
delayed15:acceptance_extreme:impulse_extension:240m,geometry_rejected,39,0.2785714285714286,0.1057622243508872,-0.2522242415300432,0.4358974358974359,1.2232083484919674,0.013154551533979477,0.003330094793077396,post-publication R expectancy is non-positive | median trade R is non-positive
delayed15:acceptance_extreme:time_only:240m,geometry_rejected,39,0.2785714285714286,0.08762850153751305,-0.2522242415300432,0.41025641025641024,1.1831983661818655,-0.018421236900407097,-6.821551244185e-05,one-slot net return is non-positive | best episode removal eliminates R expectancy | post-publication R expectancy is non-positive | fewer than 60% of periods are positive (4/8) | median trade R is non-positive
delayed15:impulse_origin:impulse_extension:240m,geometry_rejected,40,0.2857142857142857,0.08301131890298823,0.041329167687529214,0.525,1.3767432415095568,0.04895246450193205,0.003238573366233724,post-publication R expectancy is non-positive
delayed15:impulse_origin:time_only:240m,geometry_rejected,40,0.2857142857142857,0.055197524304473146,0.006477875333895036,0.5,1.2453777451488341,0.0039651690781328285,-0.00034126069779452943,one-slot net return is non-positive | post-publication R expectancy is non-positive
direct:impulse_origin:two_r:480m,geometry_survives_initial_falsification,39,0.2785714285714286,0.38245267910087244,0.11892740880970626,0.6666666666666666,3.33397643080745,0.3421632783478242,0.010537940559784468,
direct:impulse_origin:time_only:480m,geometry_survives_initial_falsification,39,0.2785714285714286,0.37866312095753674,0.11531142473760882,0.6666666666666666,3.3108500680623547,0.2584630116155756,0.008533515287868955,
direct:impulse_origin:two_r:240m,geometry_survives_initial_falsification,40,0.2857142857142857,0.2798192154301793,0.1047580749758289,0.525,2.3351159024578023,0.23769640157335287,0.010479024950816134,
direct:impulse_origin:impulse_extension:480m,geometry_survives_initial_falsification,39,0.2785714285714286,0.271177892018219,0.4005089618756456,0.6923076923076923,2.8117523603614782,0.2535167855324404,0.007067076507885269,
direct:acceptance_extreme:two_r:480m,geometry_survives_initial_falsification,39,0.2785714285714286,0.2256898253158465,0.5072798114286785,0.5897435897435898,1.5501189492073753,0.18237934958554483,0.004856070317911898,
delayed15:impulse_origin:impulse_extension:480m,geometry_survives_initial_falsification,39,0.2785714285714286,0.19203974658599698,0.24440583947742162,0.6153846153846154,2.0423204209005634,0.15995377569236063,0.006202663993987421,
direct:impulse_origin:impulse_extension:240m,geometry_survives_initial_falsification,40,0.2857142857142857,0.15940027304476295,0.1738110070219638,0.55,1.7774862911235896,0.13918330499551151,0.005055822362414797,
direct:impulse_origin:time_only:240m,geometry_survives_initial_falsification,40,0.2857142857142857,0.15566458469361857,0.1047580749758289,0.525,1.742730488163339,0.09337577587316649,0.0041046628692580885,
