scenario_id,family,source_family,source_direction,direction,signal_ts_ns,signal_day_utc,signal_hour_utc,submission_ts_ns,reference_entry_price,expected_entry_price,entry_execution_mode,entry_order_type,entry_expiry_ts_ns,entry_client_order_id,stop_price,target_price,target_reason,liquidity_level,atr_at_signal,quantity,equity_before_entry,planned_loss_budget,loss_per_unit,net_rr_at_submission,fee_rate_per_fill,sac_entry_confirmation,failed_acceptance_trap,favorable_drift_guard_enabled,causal_exit_reason_codes,causal_exit_open_position,actual_entry_price,opened_ts_ns,opened_bar_index,forced_exit_reason,path_observations,mfe_price,mae_price,mfe_price_distance,mae_price_distance,mfe_stop_units,mae_stop_units,mfe_atr,mae_atr,mfe_close_net_r_after_cost,mfe_intrabar_net_r_after_cost,first_close_half_r_ts_ns,first_close_one_r_ts_ns,actual_exit_price,closed_ts_ns,closed_day_utc,closed_hour_utc,duration_minutes,realized_pnl_after_cost,realized_return,realized_r_multiple,outcome
OIIR-1708963800000000000-000007:ENTRY,OIIR_UR,OIIR_UR,SHORT,SHORT,1708964640000000000,2024-02-26,16,1708964640000000000,53184.3,53184.3,MARKET_AFTER_DEFENSE,MARKET,,O-20240226-162400-001-000-1,53697.4,52550.0,PRE_SHOCK_FAST_RANGE_LIQUIDITY,53688.5,111.6049999999992,5.1,100000.0,3000.0,588.1456098799943,0.9522913723937909,0.0007,,False,True,"('COUNTER_INVENTORY_REVERSAL_THESIS_INVALIDATED',)",True,53184.2,1708964640000000000,983,TIMEOUT,46,53143.5,53499.0,40.69999999999709,314.8000000000029,0.07930631332813083,0.6134060795011695,0.36467900183681184,2.8206621567134555,-0.06211252687485895,-0.05768875841294791,,,53438.2,1708967340000000000,2024-02-26,17,45.0,-1676.041968,-0.004775854483098364,-0.558680656,TIMEOUT
OIIR-1708970700000000000-000009:ENTRY,OIIR_UR,OIIR_UR,SHORT,SHORT,1708970760000000000,2024-02-26,18,1708970760000000000,53569.5,53569.5,MARKET_AFTER_DEFENSE,MARKET,,O-20240226-180600-001-000-5,53678.1,53373.0,PRE_SHOCK_FAST_RANGE_LIQUIDITY,53674.0,51.21000000000058,16.042,98323.958032,2949.7187409599996,183.87011775999935,0.6604675706930947,0.0007,,False,True,"('COUNTER_INVENTORY_REVERSAL_THESIS_INVALIDATED',)",True,53569.4,1708970760000000000,1085,,32,53326.8,53674.0,242.59999999999854,104.59999999999854,2.2318307267709754,0.9622815087396628,4.737355985159066,2.0425698105838186,0.828639377926953,0.9113642936734645,1.70897262e+18,,53373.100000000006,1708972620000000000,2024-02-26,18,31.0,1948.1444905,0.0036644054254853634,0.6604509316254225,OTHER_EXIT
OIIR-1708977900000000000-000011:ENTRY,OIIR_UR,OIIR_UR,SHORT,SHORT,1708978560000000000,2024-02-26,20,1708978560000000000,54555.0,54555.0,MARKET_AFTER_DEFENSE,MARKET,,O-20240226-201600-001-000-8,54998.2,53963.4,PRE_SHOCK_DEALING_RANGE_EQUILIBRIUM,54991.8,79.72000000000044,5.784,100272.1025225,3008.163075675,520.0648243200027,0.9911978870595719,0.0007,,False,True,"('COUNTER_INVENTORY_REVERSAL_THESIS_INVALIDATED',)",True,54554.899999999994,1708978560000000000,1215,TIMEOUT,46,54321.0,54716.9,233.89999999999418,162.00000000000728,0.5276336566658981,0.36544101060231493,2.9340190667334785,2.0321123933768988,0.30262919666943955,0.3028216149898468,,,54433.6,1708981260000000000,2024-02-26,21,45.0,260.3265612,0.002223448306201563,0.08654004276067563,TIMEOUT
OIIR-1708998600000000000-000013:ENTRY,OIIR_UC,OIIR_UC,LONG,LONG,1708998900000000000,2024-02-27,1,1708998900000000000,55772.8,55772.8,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-015500-001-000-12,55363.4,56412.1,INVENTORY_IMPULSE_RANGE_EXTENSION,55808.0,86.31000000000022,6.187,100532.4290837,3015.972872511,487.40013663999656,1.150123949214342,0.0007,,False,True,"('DELEVERAGING_CONTINUATION_THESIS_INVALIDATED',)",True,55772.899999999994,1708998900000000000,1554,,13,56605.8,55494.1,832.9000000000087,278.79999999999563,2.0339438339438916,0.6808302808302823,9.650098482215348,3.2302166608735363,1.2011752890262968,1.5470551879573105,1.70899962e+18,1.70899962e+18,56412.0,1708999620000000000,2024-02-27,2,12.0,3468.25011659,0.01145897021671826,1.149960647259552,TARGET
OIIR-1709037900000000000-000016:ENTRY,OIIR_UR,OIIR_UR,SHORT,SHORT,1709038140000000000,2024-02-27,12,1709038140000000000,57265.6,57265.6,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-124900-001-000-15,57505.0,56870.0,PRE_SHOCK_DEALING_RANGE_EQUILIBRIUM,57494.3,133.12999999999994,9.753,104000.67920029,3120.0203760087,319.88978528000297,0.9862930750471873,0.0007,,False,True,"('COUNTER_INVENTORY_REVERSAL_THESIS_INVALIDATED',)",True,57265.5,1709038140000000000,2208,,11,56808.1,57342.8,457.40000000000146,77.30000000000291,1.909812108559505,0.3227557411273608,3.4357395027416935,0.5806354690903849,1.1264397820161558,1.1796202859985176,1.70903868e+18,1.70903874e+18,56870.1,1709038740000000000,2024-02-27,12,10.0,3077.12104524,0.006904680828771275,0.9862503042933395,TARGET
OIIR-1709050200000000000-000018:ENTRY,OIIR_UR,OIIR_UR,LONG,LONG,1709050560000000000,2024-02-27,16,1709050560000000000,56614.1,56614.1,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-161600-001-000-18,56223.6,56977.9,PRE_SHOCK_DEALING_RANGE_EQUILIBRIUM,56231.0,92.16499999999978,6.839,107077.80024553,3212.3340073659,469.6596087600003,0.6048755198473388,0.0007,,False,True,"('COUNTER_INVENTORY_REVERSAL_THESIS_INVALIDATED',)",True,56614.2,1709050560000000000,2415,,7,56985.8,56511.3,371.6000000000058,102.89999999999418,0.9513568868407762,0.2634408602150398,4.031899311018355,1.1164758856398245,0.4052959131456222,0.6214713689572542,,,56977.8,1709050920000000000,2024-02-27,16,6.0,1942.8614184,0.0064224169907904,0.604813015690463,TARGET
OIIR-1709055600000000000-000019:ENTRY,OIIR_UR,OIIR_UR,LONG,LONG,1709055720000000000,2024-02-27,17,1709055720000000000,56908.8,56908.8,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-174200-001-000-21,56684.899999999994,57255.8,PRE_SHOCK_FAST_RANGE_LIQUIDITY,56690.0,63.4650000000016,10.773,109020.66166393,3270.6198499179,303.59280596000264,0.8790879584780452,0.0007,,False,True,"('COUNTER_INVENTORY_REVERSAL_THESIS_INVALIDATED',)",True,56908.899999999994,1709055720000000000,2501,TIMEOUT,46,57126.9,56700.0,218.00000000000728,208.89999999999418,0.9732142857143182,0.9325892857142597,3.4349641534704447,3.2915780351373027,0.3251145879030088,0.4544736808361165,,,57010.1,1709058420000000000,2024-02-27,18,45.0,231.1530291,0.0017782807258619369,0.07067560270136637,TIMEOUT
OIIR-1709063700000000000-000020:ENTRY,OIIR_UR,OIIR_UR,SHORT,SHORT,1709063820000000000,2024-02-27,19,1709063820000000000,57446.3,57446.3,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-195700-001-000-25,57686.8,57168.700000000004,PRE_SHOCK_FAST_RANGE_LIQUIDITY,57679.5,91.57500000000036,10.2,109251.81469303,3277.5544407908997,321.319188199998,0.6136250408963503,0.0007,,False,True,"('COUNTER_INVENTORY_REVERSAL_THESIS_INVALIDATED',)",True,57446.2,1709063820000000000,2636,,8,57152.6,57542.2,293.59999999999854,96.0,1.2202826267663818,0.3990024937655764,3.206115206115178,1.0483210483210441,0.5986766027812243,0.6634550559965591,1.70906418e+18,,57168.8,1709064240000000000,2024-02-27,20,7.0,2011.1289,0.004828865965024565,0.6136065582833458,TARGET
OIIR-1709107500000000000-000025:ENTRY,OIIR_UR,OIIR_UR,SHORT,SHORT,1709107920000000000,2024-02-28,8,1709107920000000000,58404.6,58404.6,MARKET_AFTER_DEFENSE,MARKET,,O-20240228-081200-001-000-28,58833.2,57916.8,PRE_SHOCK_DEALING_RANGE_EQUILIBRIUM,58823.0,127.65000000000146,6.533,111262.94359303,3337.8883077909,510.87846840000094,0.7950521408194757,0.0007,,False,True,"('COUNTER_INVENTORY_REVERSAL_THESIS_INVALIDATED',)",True,58404.5,1709107920000000000,3371,,12,58226.9,58848.3,177.59999999999854,443.8000000000029,0.414275717284814,1.0352227665033962,1.3913043478260596,3.476694085389721,0.156685072774152,0.18743796406197957,,,58833.299999999996,1709108580000000000,2024-02-28,8,11.0,-3337.49058318,-0.00734190002482678,-0.9998808454405226,STOP
OIIR-1709121300000000000-000028:ENTRY,OIIR_UR,OIIR_UR,LONG,LONG,1709121540000000000,2024-02-28,11,1709121540000000000,59061.6,59061.6,MARKET_AFTER_DEFENSE,MARKET,,O-20240228-115900-001-000-31,58545.8,59588.99999999999,PRE_SHOCK_FAST_RANGE_LIQUIDITY,58555.2,117.63999999999979,5.411,107925.45300985,3237.7635902955,598.3363721600037,0.7422991492170742,0.0007,,False,True,"('COUNTER_INVENTORY_REVERSAL_THESIS_INVALIDATED',)",True,59061.7,1709121540000000000,3598,TIMEOUT,46,59488.8,58893.8,427.1000000000058,167.89999999999418,0.8278736189184157,0.3254506687342432,3.6305678340701,1.4272356341380015,0.5181673627507566,0.5747847966495309,1.70912382e+18,,59410.8,1709124240000000000,2024-02-28,12,45.0,1440.24181175,0.005910767891882655,0.44482611888861034,TIMEOUT
