client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,trigger_price,trigger_type,expire_time_ns,trigger_instrument_id
O-20250102-155200-001-000-1,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-e23ba9cd20328102-29024,MARKET,BUY,13.820,GTC,False,False,13.820,TAKER,96495.8,0.0,['1133.53616260 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250102-155200-001-000-1,"['O-20250102-155200-001-000-2', 'O-20250102-155200-001-000-3']",,,,,"['v144-retest-rotation-1735833120000000000', 'candidate-02-v53']",ae286987-cb79-463c-a9f8-a0ec648b477e,2025-01-02 15:52:00+00:00,2025-01-02 15:52:00+00:00,,,,
O-20250102-155200-001-000-2,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-002,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-008cff49cd75c752-29028,STOP_MARKET,SELL,13.820,GTC,True,False,13.820,TAKER,96433.1,0.0,['1132.79962570 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250102-155200-001-000-1,['O-20250102-155200-001-000-3'],O-20250102-155200-001-000-1,,,,"['v144-retest-rotation-1735833120000000000', 'auction-rotation-invalidation']",a073e370-53a4-4afb-a72a-7af6494cd90e,2025-01-02 15:52:00+00:00,2025-01-02 15:53:00+00:00,96433.1,DEFAULT,,
