symbol,event_direction,basis_z,relative_z,volume_z,basis_repair,index_follow_ratio,futures_follow,entry_ts,entry_price,index_entry_price,return_reversal,return_continuation,event_score,cross_market_breadth,route,horizon_minutes,gross_return,net_return,state_quality,rank_score
BTCUSDT,-1.0,2.2607725934717386,3.359214158445198,3.6296998035953805,0.9503236457323788,-0.3067193281088162,-0.004051105541838185,2024-01-05 01:55:00+00:00,43348.3,43320.23818182,0.00406705683959907,-0.0028097987695017146,27.565462259834398,1.0,REFLEXIVE_BASIS_REPAIR,60,0.00406705683959907,0.0024670568395990704,0.9503236457323788,26.196110591064123
SOLUSDT,-1.0,-2.410555668573835,-2.9022988010780777,1.5950259848896207,0.8108585589540686,-0.13394302234417643,-0.003683340714417005,2024-01-07 02:45:00+00:00,92.92,92.91015516,-0.001958674128282434,-0.018887214808437358,11.159045553058894,1.0,REFLEXIVE_BASIS_REPAIR,60,-0.001958674128282434,-0.0035586741282824337,0.8108585589540686,9.048407596456142
SOLUSDT,-1.0,-2.7022310209532288,-1.9380213886747444,1.0912001472442652,0.9510634300172948,0.0013392163273014148,-0.0018629706526007705,2024-01-08 10:00:00+00:00,89.271,89.23792053,0.01647791556048439,-0.032709390507555725,5.714595001099438,1.0,REFLEXIVE_BASIS_REPAIR,60,0.01647791556048439,0.01487791556048439,0.9510634300172948,5.434942322905318
SOLUSDT,1.0,36.866039748977016,35.36041673041843,4.27505757461213,0.9484435376044771,-0.5164872337772041,-0.05440448884423632,2024-01-09 21:20:00+00:00,99.766,99.67093531,0.015345909428061688,-0.019816370306517284,5572.958764474754,0.75,REFLEXIVE_BASIS_REPAIR,60,0.015345909428061688,0.013745909428061687,0.9484435376044771,5285.6367255023115
XRPUSDT,-1.0,-2.443321038635643,-3.057742496292525,2.057015328145872,0.5084358405751981,0.1839202896507276,-0.00018070112034695995,2024-01-10 13:00:00+00:00,0.5535,0.55331877,0.003252032520325354,-0.0005420054200542257,15.368057315734807,1.0,REFLEXIVE_BASIS_REPAIR,60,0.003252032520325354,0.001652032520325354,0.5084358405751981,7.813671139333449
ETHUSDT,1.0,3.9716722170988845,3.1992131769128695,1.378771944606377,0.4401197368520372,-0.24737140328503365,-0.0012197414315251454,2024-01-10 14:35:00+00:00,2391.03,2389.64227273,-0.015085548905701573,0.016988494498186846,17.518988056539634,1.0,REFLEXIVE_BASIS_REPAIR,60,-0.015085548905701573,-0.016685548905701574,0.4401197368520372,7.710452413358206
BTCUSDT,-1.0,-4.090179995007904,-4.324974025143242,2.9373071932719967,0.8133774167463724,-0.22324431980856735,-0.0034434007268437927,2024-01-10 18:15:00+00:00,46276.0,46266.68893617,0.0004062581035526591,0.01560636182902575,51.960735833898426,1.0,REFLEXIVE_BASIS_REPAIR,60,0.0004062581035526591,-0.001193741896447341,0.8133774167463724,42.26368908481697
ETHUSDT,1.0,2.6515274555266823,2.072994236140128,2.2252783495021986,0.5933328572648005,-0.3189102796196649,-0.0028664500366873957,2024-01-10 19:50:00+00:00,2473.31,2472.50340909,0.0014231940193505377,0.01847726326259158,12.231467495498851,1.0,REFLEXIVE_BASIS_REPAIR,60,0.0014231940193505377,-0.0001768059806494624,0.5933328572648005,7.257331557645866
SOLUSDT,1.0,-2.2719446076242367,-1.547931341757733,2.181469578597516,0.5663467846747925,-1.3864352998532306,-0.00968154168583557,2024-01-10 21:20:00+00:00,96.868,96.91744439,-0.06184704959326104,0.08446545814923412,7.6718233324113925,0.5,REFLEXIVE_BASIS_REPAIR,60,-0.06184704959326104,-0.06344704959326104,0.5663467846747925,4.344912476904244
SOLUSDT,-1.0,3.5680709895858502,1.7637200134964692,2.8759214103864457,0.6756137807508098,-0.8511293770111485,-0.011142223777855564,2024-01-11 15:25:00+00:00,103.998,103.92423225,-0.04509702109655955,0.04441431565991649,18.09839837261657,1.0,REFLEXIVE_BASIS_REPAIR,60,-0.04509702109655955,-0.04669702109655955,0.6756137807508098,12.227527350057784
