plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,move_3,flow_3,efficiency_3,location_3,move_15,flow_15,efficiency_15,location_15,move_60,flow_60,efficiency_60,location_60,move_240,flow_240,efficiency_240,location_240,context_scale,context_age,source_strength,body,wick,activity,range_expansion,impact_residual,flow_change,basis,basis_change,basis_dislocation,market_5,market_15,market_60,relative_15,relative_60,context_15,context_60,channel_location,source_age,source_kind,event_age,penetration,event_flow,event_activity,return_depth,return_activity,origin_overlap,entry_distance,risk_range,risk_bps,cost_r,planned_rr,target_range,is_origin_return,controller_age,controller_progress,controller_distance,controller_scale,context_240,pullback_depth,pullback_effort,initiative_effort,defense_frame,defense_body,return_effort,return_progress,peer_direction,peer_flow,m_opponent_markout_1,m_own_markout_1,m_trapped_opponent_1,m_trapped_self_1,m_extreme_flow_1,m_extreme_share_1,m_late_flow_1,m_late_progress_1,m_flow_price_alignment_1,m_opponent_markout_5,m_own_markout_5,m_trapped_opponent_5,m_trapped_self_5,m_extreme_flow_5,m_extreme_share_5,m_late_flow_5,m_late_progress_5,m_flow_price_alignment_5,x_spot_move_15,x_relative_move_15,x_spot_flow_15,x_relative_flow_15,x_oi_change_15,x_spot_move_60,x_relative_move_60,x_spot_flow_60,x_relative_flow_60,x_oi_change_60,x_index_basis,x_premium,x_premium_change,x_spot_activity,x_futures_activity,label_closed,label_net_r,label_win,label_target,label_hold,label_ambiguous,month,forecast,utility
XRPUSDT:60:1723838400000000000:1:PULLBACK:1723908600000000000:1723912260000000000:1,XRPUSDT:60:1723838400000000000:1:PULLBACK:1723908600000000000,XRPUSDT,-1,1723912260000000000,1723908300000000000,0.5679,0.5684,0.5670999999999999,1.5999999999998669,0.5685,3.584962500721156,60:1723838400000000000:1,OBSERVED_OPPOSING_STRUCTURE,0.5679,0.5681,0.5683,0.567,DIRECTED_RENEWED_DEFENSE,-0.375,-0.0004185504892068536,-0.4285714285712926,1.850741782050136e-13,0.3750000000001388,0.5089697523131761,0.11111111111113853,-0.4999999999999074,-1.1250000000001388,0.2598573019024076,-0.08571428571428813,-0.6190476190475536,-1.7500000000001388,0.08470112184177718,-0.031111111111109816,-0.545454545454541,0.0,0.0,2.8045977011494094,0.5000000000001388,-0.4999999999998612,0.731319242401133,0.8167611365272214,0.25795350064319367,-0.06694306841671654,1.1888003736548747,-0.5720730195479806,0.3894237130262559,-0.1294344042837996,0.07135390878584336,-1.0029283801874658,0.3036460912142954,-0.122071619812673,-0.5,-1.0,0.6446215139441791,3.0163515607567266,0.0,4.204692619390966,-0.25,0.16684331085622245,3.4263437974133386,0.5999999999999852,0.5059301429888616,1.0,0.7500000000001388,0.6250000000001388,8.80436696601613,1.3635599999998471,1.5999999999998669,1.0000000000001388,1.0,0.7014459833746404,2.8750000000002776,1.3750000000001388,3.584962500721156,-0.0,2.3750000000002776,0.4670487380260493,0.5254515092243108,5.0,1.0000000000001388,0.32038250031365556,-0.375,-0.08219178082191887,-0.06401644962302948,,,,,,,,,,,,,,,,,,,-0.0,0.37490098574057146,0.1598870318070281,0.34908272050614686,-18.140508094575125,-1.3751215007149624,0.24922911560857067,0.06878177429806515,0.1910755276043427,-37.670886344649546,8.248517221617346,4.7737,-1.1475,0.6602355598306304,0.48679972412321776,1723913100000000000,0.27924816118586643,1,1,14.0,False,2024-08,0.24578737938297968,-0.020922225491492672
BTCUSDT:60:1723921200000000000:-1:PULLBACK:1723931100000000000:1723935060000000000:1,BTCUSDT:60:1723921200000000000:-1:PULLBACK:1723931100000000000,BTCUSDT,-1,1723935060000000000,1723930800000000000,59273.9,59307.1,59222.0,1.5632530120483736,59265.3,3.584962500721156,60:1723921200000000000:-1,OBSERVED_OPPOSING_STRUCTURE,59267.0,59278.8,59278.9,59214.6,DIRECTED_RENEWED_DEFENSE,0.18871595330733104,-0.0074565883554648,0.18130841121489888,0.8592375366568001,-0.013618677042886104,-0.06688667056996175,-0.0038910505836818226,-0.24343675417664112,-0.4649805447470969,-0.03829817452321459,-0.02586860049789051,-0.1167608286252444,1.268482490272281,0.009045467006926159,0.019035384795047468,0.23430012610339013,0.0,0.0,1.3110151187904846,0.8248175182480317,-0.17518248175196824,0.544722053029191,0.49062134404841296,0.12012010413213083,0.4938065629978533,1.0522438965721026,0.2760533721701819,1.0573890036501765,-0.1453283482639215,0.09807692307695219,-0.7095238095238882,-0.1116956001198383,0.24454326477679128,1.0,-1.0,-1.0379139072847225,1.2992829841302609,0.0,4.276666119016055,1.5077821011672725,-0.08507068115251559,3.6339318586987295,1.1696252465482802,0.5501155754277595,1.0,-0.16731517509724322,0.6459143968870846,5.601116174234712,2.1430301204821154,1.5632530120483736,1.0097276264591437,1.0,0.7419373447293773,2.7859922178988388,2.58365758754848,3.584962500721156,-0.0,3.865758754863789,0.6531242153840033,0.6362668462994672,5.0,0.5019455252918712,0.44149843237110814,-0.41245136186777753,0.19615384615390438,0.07026670515303521,,,,,,,,,,,,,,,,,,,-0.01730625100808463,0.0036874935481849475,0.13872916986424783,-0.20561584043420225,0.8789927271202203,-0.607235243861775,0.14216093083492068,0.06376101539434217,-0.10205918991755591,7.964280456942419,6.143201110436758,6.7458,2.1304000000000007,0.4804435488131903,0.3228629169561666,1723935720000000000,-0.9462495114303441,0,0,11.0,False,2024-08,0.25011993216146217,-0.022535135284359496
BTCUSDT:60:1723921200000000000:-1:PULLBACK:1723931100000000000:1723935240000000000:1,BTCUSDT:60:1723921200000000000:-1:PULLBACK:1723931100000000000,BTCUSDT,-1,1723935240000000000,1723930800000000000,59275.2,59307.1,59222.0,1.6677115987459141,59265.3,3.584962500721156,60:1723921200000000000:-1,OBSERVED_OPPOSING_STRUCTURE,59267.0,59278.8,59278.9,59214.6,DIRECTED_RENEWED_DEFENSE,-0.02529182879368867,-0.11681643132220801,-0.04693140794207327,0.8884120171677358,-0.5428015564201049,-0.062369954762373093,-0.16858006042292556,-0.27446300715983196,-0.021400778210087814,-0.02420553877550406,-0.0012091898428036956,-0.1412429378530331,1.5758754863812783,0.030091613689825655,0.023840357899693656,0.22774274905423175,0.0,0.0,1.3110151187904846,0.9927007299271159,-0.007299270072884156,0.20214371053090718,0.4855370614483514,0.15969561480535477,0.2252620265552582,0.6326134362744096,0.49404849153278363,0.36698045304721516,0.31263736263737063,-0.22939560439559603,-0.23511904761901842,-0.3134059520245088,0.2137182694089306,1.0,-1.0,-1.0841887417217801,1.2992829841302609,0.0,4.31748811353631,1.5077821011672725,-0.08507068115251559,3.6339318586987295,1.1952662721892175,0.5237834406641191,1.0,-0.19260700389093188,0.620622568093396,5.381677328798799,2.230388087774193,1.6677115987459141,1.0350194552528325,1.0,0.7654678421395714,2.7859922178988388,2.558365758754791,3.584962500721156,-0.0,3.865758754863789,0.6531242153840033,0.6362668462994672,5.0,0.5019455252918712,0.4220226832667875,-0.4377431906614662,-0.18571428571428222,0.010740747084384073,,,,,,,,,,,,,,,,,,,-0.5566279235175089,0.013698582482504662,0.05977166802849872,-0.12214162279086396,0.8789927271202203,-0.2115725330354246,0.19017155625061868,0.09498107991592253,-0.11918661869142573,7.964280456942419,5.902862255925401,5.914499999999999,0.2136999999999994,0.44585534709681246,0.3109277252619993,1723935720000000000,-0.945607569998762,0,0,8.0,False,2024-08,0.23818497031157604,-0.02282471206831936
BTCUSDT:60:1723921200000000000:-1:PULLBACK:1723931100000000000:1723935300000000000:1,BTCUSDT:60:1723921200000000000:-1:PULLBACK:1723931100000000000,BTCUSDT,-1,1723935300000000000,1723930800000000000,59273.3,59307.1,59222.0,1.517751479290223,59265.3,3.584962500721156,60:1723921200000000000:-1,OBSERVED_OPPOSING_STRUCTURE,59267.0,59278.8,59278.9,59214.6,DIRECTED_RENEWED_DEFENSE,0.08560311284035126,0.10408271877138293,0.17054263565866987,0.9884393063577105,-0.44552529182880946,-0.07201640735207619,-0.13937918441875877,-0.2291169451074626,0.1964980544746743,-0.0006904412248208249,0.01119361631386283,-0.10546139359702367,1.6108949416341107,0.03126614085293502,0.024357239512853707,0.2373266078183891,0.0,0.0,1.3110151187904846,0.10982658959502078,0.8786127167626897,0.41008691287241605,0.5873759134780437,-0.08079514241218413,0.17703190618805578,0.800197016808113,-0.7604768549884788,0.623182563036759,0.11549381802025131,-0.1461538461538132,-0.0023809523809724398,-0.2993714456749963,0.19887900685564674,1.0,-1.0,-1.0802980132450095,1.2992829841302609,0.0,4.330733340286331,1.5077821011672725,-0.08507068115251559,3.6339318586987295,1.1577909270216826,0.5291117027642608,1.0,-0.1556420233462991,0.6575875486380287,5.70239888786277,2.104977514793171,1.517751479290223,0.9980544747081995,1.0,0.7731898882334818,2.7859922178988388,2.595330739299424,3.584962500721156,-0.0,3.865758754863789,0.6531242153840033,0.6362668462994672,5.0,0.5019455252918712,0.418141436347598,-0.4007782101168334,0.10000000000007309,0.03674119007222115,,,,,,,,,,,,,,,,,,,-0.5165728241519082,0.07096144670079955,-0.017128202127489955,-0.05488820522457839,0.2608192080089111,0.16138156356929392,0.03509975145478039,0.11848528299498828,-0.11917572421980822,13.856037926007758,5.998563861673301,5.968100000000001,1.3524,0.4139757196103809,0.31121516770677327,1723935720000000000,-0.9465407184828808,0,0,7.0,False,2024-08,0.2557010484435507,-0.022401447601973542
BTCUSDT:60:1723921200000000000:-1:PULLBACK:1723931100000000000:1723935540000000000:1,BTCUSDT:60:1723921200000000000:-1:PULLBACK:1723931100000000000,BTCUSDT,-1,1723935540000000000,1723930800000000000,59275.9,59307.1,59222.0,1.7275641025643103,59265.3,3.584962500721156,60:1723921200000000000:-1,OBSERVED_OPPOSING_STRUCTURE,59267.0,59278.8,59278.9,59214.6,DIRECTED_RENEWED_DEFENSE,0.33073929961088555,0.13162914917970242,0.5592105263158965,0.658666666666589,-0.9630350194552256,-0.06816535171464141,-0.2601156069364321,-0.22924411400248657,-0.42023346303497927,-0.007529465337845847,-0.023396880415942855,-0.15442561205273808,2.315175097276199,0.04525205633985709,0.03489122148595534,0.22421185372003571,0.0,0.0,1.3110151187904846,0.7866666666666181,-0.21333333333338184,0.9078246239685613,0.8605948127971575,0.0466665843537194,0.8368487643847714,0.10688891227461639,-0.5257245239997932,-0.4722626728248847,0.07045009784736139,-0.5533268101761764,-0.6857142857142675,-0.4097082092790493,0.26548082267928824,1.0,-1.0,-1.1491721854304378,1.2992829841302609,0.0,4.382026634673881,1.5077821011672725,-0.08507068115251559,3.6339318586987295,1.2090729783037009,0.5723404403326864,1.0,-0.206225680933818,0.6070038910505099,5.263521937245506,2.28044230769252,1.7275641025643103,1.0486381322957186,1.0,0.8034952377288107,2.7859922178988388,2.5447470817119053,3.584962500721156,-0.0,3.865758754863789,0.6531242153840033,0.6362668462994672,5.0,0.5019455252918712,0.4498649888448598,-0.4513618677043523,-0.5000000000000925,-0.1332999340174141,,,,,,,,,,,,,,,,,,,-0.9252121186254961,-0.03822522950771969,-0.0736108734980381,0.005445521783402726,0.2608192080089111,-0.24154182398696092,-0.17876822370175718,0.09590423335679593,-0.10343369869464092,13.856037926007758,4.801339363192936,4.8086,-1.1179999999999994,0.4134164764775422,0.39686550605500803,1723935720000000000,-0.9452555289705424,0,0,3.0,False,2024-08,0.23184611650070217,-0.02298064274246642
ETHUSDT:240:1723737600000000000:1:PULLBACK:1724002200000000000:1724005020000000000:1,ETHUSDT:240:1723737600000000000:1:PULLBACK:1724002200000000000,ETHUSDT,-1,1724005020000000000,1724002200000000000,2652.29,2655.34,2648.0200000000004,1.3999999999997614,2674.17,5.584962500721156,240:1723737600000000000:1,OBSERVED_OPPOSING_STRUCTURE,2652.28,2654.0,2655.0,2643.64,DIRECTED_RENEWED_DEFENSE,-0.15202369200395027,-0.14424612116702135,-0.3515981735159647,0.10047846889953194,-0.8351431391905553,-0.02082553515697704,-0.2891319207108762,-0.7149938042131183,1.719644619940836,0.1019527953296498,0.12279712392499491,-0.1011351909184739,2.7620927936822732,0.08984951053619886,0.05236758375444611,0.40240828899467584,0.0,0.0,2.704405694549742,0.7029702970299035,0.27722772277254026,0.3070637118357066,0.3689474610050596,0.08372655312632045,0.25848594361390437,1.213612277990439,1.9675525583795483,0.6887807902865549,0.021043203719187373,-0.7939907799315269,2.445426023777973,-0.04115235925902838,-0.7257814038371369,1.0,-0.0,-0.0007027116402265055,2.9639835752394106,0.0,3.8712010109078907,-3.7196446199409254,-0.2829763691460582,2.5262186898510097,0.2833278742220778,0.2907095186204309,1.0,4.319842053307178,0.6021717670286842,11.499496661376327,1.0441239344261672,1.3999999999997614,0.8430404738400143,1.0,1.6160824551527688,6.426456071076267,7.099703849950891,5.584962500721156,-1.0,2.7068114511353416,0.5693257153700475,0.6570432261506299,5.0,0.9338598223100059,0.2330137837478018,-0.2724580454097051,-0.6287978863936302,-0.18709900039897776,,,,,,,,,,,,,,,,,,,-0.8807356573710997,0.04492584598241279,0.00667524900165022,-0.027500784158630172,20.764052673047928,1.6075663686820711,0.10926080038025375,0.03327402242801475,0.06867877290163499,24.314814950869845,5.7960866891726415,6.0195,-2.636,0.5087231372985005,0.5138515191248265,1724005860000000000,-0.9591943503092036,0,0,14.0,False,2024-08,0.2713713406301199,-0.019514855003908996
BTCUSDT:240:1723953600000000000:1:PULLBACK:1724002200000000000:1724006580000000000:1,BTCUSDT:240:1723953600000000000:1:PULLBACK:1724002200000000000,BTCUSDT,-1,1724006580000000000,1724002200000000000,59553.9,59605.7,59497.0,1.0984555984557192,60249.8,5.584962500721156,240:1723953600000000000:1,OBSERVED_OPPOSING_STRUCTURE,59543.7,59571.5,59574.5,59364.2,DIRECTED_RENEWED_DEFENSE,0.25279642058164536,-0.11220803163888851,0.9576271186440651,0.991379310344952,-0.2673378076062868,-0.3835684027721422,-0.11698482623594551,0.09504685408297364,0.20469798657713736,-0.022765547731663553,0.01588403784393379,-0.6452732003469175,2.740492170022438,0.03147962868052154,0.056182351862044184,0.23121387283237105,0.0,0.0,1.2291008174386968,0.995689655172476,-0.004310344827524024,0.33666847386669835,0.5521231259461413,0.06686998285994514,0.8463295411798429,1.1992238224767249,1.0396742311569174,0.8574500810408059,-0.02194787379975207,-0.4112600922722508,-0.6934797157788384,0.14392228466596402,0.8981777023559757,1.0,-1.0,-3.816422889402202,1.4759065198095778,0.0,4.304065093204169,-7.2058165548100686,-0.15532820617206378,2.597100391990158,0.21420505871725737,0.5038301563249996,1.0,7.784116331096403,0.579418344518981,8.698002985530021,1.3802270270271435,1.0984555984557192,0.6364653243848193,1.0,1.9045919997245824,10.313199105145666,7.787472035794341,5.584962500721156,-1.0,3.1073825503355974,0.6033958721988116,1.0135568437267923,5.0,1.1017897091722864,0.30582170535404973,-0.166666666666687,-0.44752018454441483,-0.20339544871995835,,,,,,,,,,,,,,,,,,,-0.32697146494292745,0.0595799993597509,-0.17887991875305237,-0.2046884840190878,-10.444032281391458,0.15269570765503723,0.05197083508704539,-0.02101931152293937,-0.0017462362087239149,-25.52246239853062,5.541555981445345,5.541399999999999,1.2672999999999996,0.45173429002636806,0.3964260276290632,1724007000000000000,0.07173040777586086,1,1,7.0,False,2024-08,0.3218879512696491,-0.019962825190098763
BTCUSDT:240:1723953600000000000:1:PULLBACK:1724002200000000000:1724007660000000000:1,BTCUSDT:240:1723953600000000000:1:PULLBACK:1724002200000000000,BTCUSDT,-1,1724007660000000000,1724002200000000000,59555.4,59605.7,59497.0,1.1610337972168294,60249.8,5.584962500721156,240:1723953600000000000:1,OBSERVED_OPPOSING_STRUCTURE,59543.7,59571.5,59574.5,59364.2,DIRECTED_RENEWED_DEFENSE,0.10850111856820276,0.02649425358608466,0.9797979797968217,0.22159090909075763,-0.39821029082773396,-0.027537896187413834,-0.23328964613367553,-0.5682730923694717,-0.61856823266224,-0.0938041486155259,-0.061794613923349055,-0.5345540460720521,2.1767337807606633,0.038350725142692596,0.04688478774153151,0.22611356681400996,0.0,0.0,1.2291008174386968,0.4043478260867667,-0.5956521739132333,0.6347635557016729,0.6321331805755143,0.08476671538869829,0.38821037335143505,-0.0,-0.08121690711737628,-0.547474856955798,-0.3387992800525893,-0.5889619604721076,-1.7895209580837894,0.19075166964437362,1.1709527254215493,1.0,-1.0,-4.5863997947139685,1.4759065198095778,0.0,4.5217885770490405,-7.2058165548100686,-0.15532820617206378,2.597100391990158,0.2158988256549267,0.6222900345456208,1.0,7.76733780760647,0.5626398210290476,8.445917582619819,1.4214047713718925,1.1610337972168294,0.6532438478747525,1.0,1.9482882714602807,10.313199105145666,7.770693512304407,5.584962500721156,-1.0,3.1073825503355974,0.6033958721988116,1.0135568437267923,5.0,1.1017897091722864,0.28561204272433094,-0.1834451901566203,-0.6634730538922184,0.0548940263358652,,,,,,,,,,,,,,,,,,,-0.424958899719207,0.026629543801043078,-0.012299116933081776,-0.015238779254328967,8.567776613901401,-0.6241118657459279,0.0052562702831067355,-0.049897092441244274,-0.043907056174281194,-3.2983787183127333,4.880679663048504,4.8808,-0.8129000000000003,0.4939299461705657,0.3789655917880556,1724008320000000000,0.08430647589629903,1,1,11.0,False,2024-08,0.30991544075546423,-0.02023658198197109
BTCUSDT:240:1723953600000000000:1:PULLBACK:1724002200000000000:1724007960000000000:1,BTCUSDT:240:1723953600000000000:1:PULLBACK:1724002200000000000,BTCUSDT,-1,1724007960000000000,1724002200000000000,59561.1,59605.7,59497.0,1.4372197309417183,60249.8,5.584962500721156,240:1723953600000000000:1,OBSERVED_OPPOSING_STRUCTURE,59543.7,59571.5,59574.5,59364.2,DIRECTED_RENEWED_DEFENSE,-0.013422818791914082,-0.042127247720442185,-0.07999999999980598,0.49056603773581664,-0.5268456375838892,-0.22556903295605854,-0.4035989717223375,-0.5190258751902022,-0.585011185682292,-0.11504759699340114,-0.064290104486783,-0.5645994832040861,1.8277404921700833,0.0384363300569315,0.0397141746062617,0.20673240394424752,0.0,0.0,1.2291008174386968,0.3736263736264439,0.0329670329669451,0.5152391172230559,0.5696580896116377,0.04355190753631914,0.24790071371222644,0.22492041245825156,0.22492041245825156,-0.1806257480589184,-0.4677928075581056,-1.1032210834553595,-2.5121268656716333,0.5763754458714703,1.9271156799893414,1.0,-1.0,-4.84095458044658,1.4759065198095778,0.0,4.574710978503383,-7.2058165548100686,-0.15532820617206378,2.597100391990158,0.22233514001806703,0.6629392063304839,1.0,7.703579418344756,0.49888143176733374,7.488108849567679,1.6031408071749398,1.4372197309417183,0.7170022371364666,1.0,1.9600947840472698,10.313199105145666,7.706935123042694,5.584962500721156,-1.0,3.1073825503355974,0.6033958721988116,1.0135568437267923,5.0,1.1017897091722864,0.26819294103088703,-0.2472035794183343,-1.206442166910719,-0.056604570552567554,,,,,,,,,,,,,,,,,,,-0.5874063912734212,0.06035233310054783,-0.15890739444387694,-0.06666163851217796,6.730994455494965,-0.6486150264583409,0.06334684411595885,-0.05150755527154826,-0.0635400417218524,-0.5636361585636962,5.018963663731002,4.677,0.1844999999999999,0.42272930110781337,0.2933801952011768,1724008320000000000,0.13491260095042756,1,1,6.0,False,2024-08,0.2662145065248617,-0.021275228450513148
SOLUSDT:60:1724090400000000000:1:PULLBACK:1724115900000000000:1724119020000000000:1,SOLUSDT:60:1724090400000000000:1:PULLBACK:1724115900000000000,SOLUSDT,1,1724119020000000000,1724115900000000000,145.71,145.37,146.161,1.3264705882352614,146.2,3.584962500721156,60:1724090400000000000:1,OBSERVED_OPPOSING_STRUCTURE,145.7,145.754,146.171,145.679,DIRECTED_RENEWED_DEFENSE,0.5223665223665682,0.36237769983385637,0.585760517799395,0.5462686567164681,-0.3924963924963893,-0.033039548833080794,-0.1118421052631562,-0.28055555555551404,-2.1212121212121287,-0.0051756095838208374,-0.09400179051029368,-0.73599999999999,5.78643578643591,-0.019111253865575092,0.07039780906569347,0.1676256233218305,0.0,0.0,2.815829528158302,0.5957446808510735,-0.40425531914892654,0.3157172002573445,0.5852760720252475,-0.41763130050017383,0.6574733287385309,-0.3826166137521625,0.19892668795096213,0.21450712808189165,0.19240958788900084,-0.4684398654331663,0.07966155810977871,0.075943472936777,-2.2008736793219073,1.0,1.0,-1.67378410438908,2.0898043287153825,0.0,3.970291913552122,4.464646464646644,-0.1609910313723468,3.724677422955238,15.896551724139384,0.38814537364831375,1.0,-1.4141414141413917,0.9812409812410142,23.334019628028507,0.513670588235289,1.3264705882352614,1.3015873015873134,1.0,0.8960880245566356,4.848484848484983,6.782106782106926,3.584962500721156,-1.0,7.215007215007385,0.7682262566001294,0.5636426635836254,5.0,1.0822510822511078,0.4462498699414542,-0.49350649350648285,-0.6051724137931696,-0.06316045161262122,,,,,,,,,,,,,,,,,,,-0.37475603143492714,-0.01755730458709849,-0.023191540124606124,-0.00984800870847467,9.620685074942514,-2.0426874986850154,-0.07319256678228378,0.07919024721882302,-0.08436585680264386,5.549798045372256,-6.252728479988479,-5.9787,1.7347999999999995,0.3699933059217319,0.4504479887254741,1724119440000000000,-0.9724670070424146,0,0,7.0,False,2024-08,0.28216949072144926,-0.01656677060435122
