scenario_id,family,source_family,source_direction,direction,signal_ts_ns,signal_day_utc,signal_hour_utc,submission_ts_ns,reference_entry_price,expected_entry_price,entry_execution_mode,entry_order_type,entry_expiry_ts_ns,entry_client_order_id,stop_price,target_price,target_reason,liquidity_level,atr_at_signal,quantity,equity_before_entry,planned_loss_budget,loss_per_unit,net_rr_at_submission,fee_rate_per_fill,sac_entry_confirmation,failed_acceptance_trap,favorable_drift_guard_enabled,causal_exit_reason_codes,causal_exit_open_position,actual_entry_price,opened_ts_ns,opened_bar_index,path_observations,mfe_price,mae_price,mfe_price_distance,mae_price_distance,mfe_stop_units,mae_stop_units,mfe_atr,mae_atr,mfe_close_net_r_after_cost,mfe_intrabar_net_r_after_cost,first_close_half_r_ts_ns,first_close_one_r_ts_ns,actual_exit_price,closed_ts_ns,closed_day_utc,closed_hour_utc,duration_minutes,realized_pnl_after_cost,realized_return,realized_r_multiple,outcome
OIIR-1708998600000000000-000014:ENTRY,OIIR_UC,OIIR_UC,LONG,LONG,1708998900000000000,2024-02-27,1,1708998900000000000,55772.8,55772.8,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-015500-001-000-1,55363.4,56412.1,INVENTORY_IMPULSE_RANGE_EXTENSION,55808.0,86.31000000000022,6.155,100000.0,3000.0,487.40013663999656,1.150123949214342,0.0007,,False,True,"('DELEVERAGING_CONTINUATION_THESIS_INVALIDATED',)",True,55772.899999999994,1708998900000000000,1554,13,56605.8,55494.1,832.9000000000087,278.79999999999563,2.0339438339438916,0.6808302808302823,9.650098482215348,3.2302166608735363,1.2011752890262968,1.5470551879573105,1.70899962e+18,1.70899962e+18,56412.0,1708999620000000000,2024-02-27,2,12.0,3450.31185835,0.01145897021671826,1.1501039527833332,TARGET
OIIR-1709136300000000000-000034:ENTRY,OIIR_UR,OIIR_UR,SHORT,SHORT,1709136600000000000,2024-02-28,16,1709136600000000000,61048.1,61048.1,MARKET_AFTER_DEFENSE,MARKET,,O-20240228-161000-001-000-4,61395.5,60626.1,PRE_SHOCK_DEALING_RANGE_EQUILIBRIUM,61387.7,97.74499999999935,7.161,103450.31185835,3103.5093557505,433.3301337200011,0.7768397205847378,0.0007,,False,True,"('COUNTER_INVENTORY_REVERSAL_THESIS_INVALIDATED',)",True,61048.0,1709136600000000000,3849,19,61022.2,61644.9,25.80000000000291,596.9000000000015,0.07424460431655514,1.7176978417266229,0.263952120313091,6.106706225382428,-0.19792593066102712,-0.13811441979862168,,,61395.6,1709137680000000000,2024-02-28,16,18.0,-3102.93663372,-0.005693880225396386,-0.9998154598666058,STOP
OIIR-1709144100000000000-000037:ENTRY,OIIR_UC,OIIR_UC,SHORT,SHORT,1709144400000000000,2024-02-28,18,1709144400000000000,60274.9,60274.9,MARKET_AFTER_DEFENSE,MARKET,,O-20240228-182000-001-000-7,60921.7,59659.80000000001,INVENTORY_IMPULSE_RANGE_EXTENSION,60100.0,290.91500000000013,4.113,100347.37522463,3010.4212567389,731.8108012399961,0.7255231941102162,0.0007,,False,True,"('DELEVERAGING_CONTINUATION_THESIS_INVALIDATED',)",True,60274.8,1709144400000000000,3979,5,59385.8,60555.9,889.0,281.09999999999854,1.3742464059360149,0.4345339310558063,3.0558754275303768,0.9662616228107812,0.968925914728973,1.1000624459709079,1.70914452e+18,,59659.9,1709144640000000000,2024-02-28,18,4.0,2183.77970523,0.010201609959717849,0.7254066853074324,TARGET
OIIR-1709232900000000000-000046:ENTRY,OIIR_UR,OIIR_UR,LONG,LONG,1709233800000000000,2024-02-29,19,1709233800000000000,60899.8,60899.8,MARKET_AFTER_DEFENSE,MARKET,,O-20240229-191000-001-000-10,60440.4,61463.2,PRE_SHOCK_DEALING_RANGE_EQUILIBRIUM,60452.0,144.9600000000002,5.648,102531.15492986,3075.9346478958,544.5349422400024,0.8768875933576793,0.0007,,False,True,"('COUNTER_INVENTORY_REVERSAL_THESIS_INVALIDATED',)",True,60899.9,1709233800000000000,5469,27,61540.0,60843.9,640.0999999999985,56.0,1.3930359085962971,0.12187159956474429,4.4157008830021915,0.38631346578366393,1.0116786587355313,1.0177346337413549,1.70923446e+18,1.70923536e+18,61463.100000000006,1709235360000000000,2024-02-29,19,26.0,2697.1792432,0.009247962640332815,0.8768649376361424,TARGET
OIIR-1709298000000000000-000052:ENTRY,OIIR_UR,OIIR_UR,LONG,LONG,1709298300000000000,2024-03-01,13,1709298300000000000,62391.9,62391.9,MARKET_AFTER_DEFENSE,MARKET,,O-20240301-130500-001-000-13,62211.2,62650.5,PRE_SHOCK_FAST_RANGE_LIQUIDITY,62218.4,89.59499999999971,11.775,105228.33417306,3156.8500251918,268.08979268000064,0.6373622743778018,0.0007,,False,True,"('COUNTER_INVENTORY_REVERSAL_THESIS_INVALIDATED',)",True,62392.0,1709298300000000000,6544,18,62698.8,62313.4,306.8000000000029,78.59999999999854,1.6969026548672455,0.4347345132743212,3.4242982309281085,0.87728109827556,0.8170264067511547,0.8170264067511547,1.70929926e+18,,62650.4,1709299320000000000,2024-03-01,13,17.0,2011.998018,0.004141556609821796,0.6373435551084685,TARGET
