scenario_id,family,direction,signal_ts_ns,signal_day_utc,signal_hour_utc,submission_ts_ns,reference_entry_price,expected_entry_price,stop_price,target_price,target_reason,liquidity_level,atr_at_signal,quantity,equity_before_entry,planned_loss_budget,loss_per_unit,net_rr_at_submission,fee_rate_per_fill,actual_entry_price,opened_ts_ns,opened_bar_index,actual_exit_price,closed_ts_ns,closed_day_utc,closed_hour_utc,duration_minutes,realized_pnl_after_cost,realized_return,realized_r_multiple,outcome
SLT-1709191980000000000-000004,SAC,LONG,1709192220000000000,2024-02-29,7,1709192280000000000,62811.4,62791.4,62788.8,64300.0,NEXT_PREVIOUS_DAY_HIGH,62800.0,111.6150000000005,33.087,100000.0,3000.0,90.66766695000344,15.655371619771724,0.0007,62791.5,1709192280000000000,4777,62788.700000000004,1709192340000000000,2024-02-29,7,1.0,-3001.19405418,-4.4592022805564995e-05,-1.00039801806,STOP
SLT-1709281200000000000-000005,SAC,LONG,1709281440000000000,2024-03-01,8,1709281500000000000,61872.1,61858.6,61820.0,62839.6,ACCEPTED_SESSION_RANGE_PROJECTION,61842.2,58.884999999999124,23.21,96998.80594582,2909.9641783746,125.37501999999854,7.126708813286754,0.0007,61858.700000000004,1709281500000000000,6264,61819.9,1709281560000000000,2024-03-01,8,1.0,-2909.9542142,-0.0006272359425594607,-0.9999965758428664,STOP
