plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,move_3,flow_3,efficiency_3,location_3,move_15,flow_15,efficiency_15,location_15,move_60,flow_60,efficiency_60,location_60,move_240,flow_240,efficiency_240,location_240,body,wick,activity,range_expansion,impact_residual,flow_change,basis,basis_change,basis_dislocation,market_5,market_15,market_60,relative_15,relative_60,context_15,context_60,channel_location,source_age,source_kind,event_age,penetration,event_flow,event_activity,return_depth,return_activity,origin_overlap,entry_distance,risk_range,risk_bps,cost_r,planned_rr,target_range,is_origin_return,nav_before,score,position_id,opened,closed,entry_fill,exit_fill,quantity,pnl_ex_funding,holding_minutes,evaluation_censored,funding,pnl,net_r,probability
BTCUSDT:EVENT:1723766520000000000:-1:1723766640000000000:0,BTCUSDT:EVENT:1723766520000000000:-1,BTCUSDT,1,1723766640000000000,1723766520000000000,57536.6,57439.4,57849.9,3.2232510288067107,57447.4,1.584962500721156,15:1723763700000000000:-1,OBSERVED_OPPOSING_STRUCTURE,57447.4,57447.4,57540.0,57439.5,LIQUIDITY_RECLAIM,0.45003353454056044,0.1911638027614984,0.6161616161615946,0.9323383084576824,-0.6297786720321937,-0.015312127117006942,-0.28308712692191806,0.010931806350851447,-0.08987256874581663,-0.02025398045255375,-0.008475648323846627,-0.44434907010015134,3.753856472166257,0.0034354032811879523,0.055424072882110834,0.6667729930887809,0.7559523809523809,0.16309523809520346,0.9387565145154478,0.9914302141578384,0.2189690513317932,0.6160178207823689,-0.5908932916232068,-0.5908932916232068,-0.09650218604078811,0.17493265604555305,-0.4680327868852339,-0.1169951079023219,-0.1617458851469598,0.027122539156505268,0.0,0.0,-2.2238655360019486,1.4190841839428814,0.0,1.0986122886681096,0.052984574111343656,0.19116380276149847,2.081029291715687,0.036717062635005494,0.0,0.0,0.5982562038899785,0.6519114688128482,16.89359468581687,0.7097283950617496,3.2232510288067107,2.101274312541907,0.0,100000.0,0.29027160493825044,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1723766640000000000,1723766760000000000,57546.5,57429.6,16.653,-2904.08419665,2.0,False,0.0,-2904.08419665,-0.9680280655500001,0.5
BTCUSDT:EVENT:1723767420000000000:-1:1723767480000000000:0,BTCUSDT:EVENT:1723767420000000000:-1,BTCUSDT,1,1723767480000000000,1723767420000000000,57428.0,57346.9,57788.9,4.450061652281232,57386.4,1.584962500721156,CHANNEL:15:15:1723765500000000000:1:-1,OBSERVED_OPPOSING_STRUCTURE,57386.4,57386.4,57433.0,57347.0,LIQUIDITY_RECLAIM,-0.25601750547044483,-0.3157903750908885,-0.35276381909548854,0.3846153846153846,-0.32968636032090715,-0.05213172686987849,-0.10386029411764107,-0.20821114369500904,-1.1998541210794849,-0.02075711923072022,-0.10850207769936082,-0.6334841628959276,3.5098468271334022,0.009019189107861942,0.04978892475788389,0.5513024986709196,0.8617886178862237,-0.13279132791331333,0.5940760359022722,0.5586448132373405,0.23863507319838115,0.04615364599216215,0.2437894634188531,0.3984338150042621,0.35453910550532597,-0.15847630087584913,0.0351449275362115,-1.078187930104962,-0.36483128785711866,-0.12166619097452291,0.0,0.0,-0.7600107497984325,1.1420974006078486,1.0,0.6931471805599453,0.28738147337710307,-0.14873262973987922,1.4912480777884045,0.10729613733905914,0.0,0.0,0.3034281546316403,0.5915390226112126,14.122031064985467,0.8491361282367599,4.450061652281232,2.632385120350078,0.0,97095.91580335,0.15086387176324012,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1723767480000000000,1723768200000000000,57437.9,57337.100000000006,17.761,-2809.5681875,12.0,False,0.0,-2809.5681875,-0.9645335969263856,0.5
ETHUSDT:EVENT:1723771260000000000:-1:1723771380000000000:0,ETHUSDT:EVENT:1723771260000000000:-1,ETHUSDT,1,1723771380000000000,1723771260000000000,2557.98,2550.99,2580.2099999999996,3.1802575107294437,2555.56,1.584962500721156,CHANNEL:15:15:1723765500000000000:1:-1,OBSERVED_OPPOSING_STRUCTURE,2555.56,2555.56,2558.06,2551.0,LIQUIDITY_RECLAIM,0.2667706708268448,-0.2665042020989464,0.20777642770353913,0.9773371104816069,-1.9251170046802537,-0.2760071465558692,-0.5469858156028556,-0.29530540131246463,-2.9048361934477867,-0.22461466443852784,-0.22025076886680742,-0.4962107542403458,4.00468018720759,-0.01253079798159072,0.06696929378309996,-0.08501158438780909,0.7039660056656994,0.2733711048159074,1.6155644660570938,1.3312904229963018,0.8213328953957693,0.2085059224451341,0.8992278369657214,-0.5855879677274523,1.2894496902613723,-0.08958823174777156,-1.6940914412999137,-2.84484653624372,-0.23102556338033997,-0.05998965720406657,-1.0,-1.0,-1.6559827805498828,2.0014800002101243,1.0,1.0986122886681096,0.7113884555382292,-0.26650420209894626,2.4552617879043717,0.0319999999999709,0.0,0.0,0.3775351014040761,1.0904836193448355,27.326249618840787,0.43853819742487776,3.1802575107294437,3.4680187207488404,0.0,94286.34761585,0.5614618025751222,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1723771380000000000,1723775400000000000,2558.4,2580.21,265.647,5316.86041843,67.0,False,0.0,5316.86041843,1.8796855016212373,0.5
SOLUSDT:EVENT:1723775580000000000:1:1723775700000000000:0,SOLUSDT:EVENT:1723775580000000000:1,SOLUSDT,-1,1723775700000000000,1723775580000000000,143.773,144.368,140.683,5.193277310924385,144.069,1.584962500721156,15:1723764600000000000:1,OBSERVED_OPPOSING_STRUCTURE,144.069,144.069,144.358,143.507,LIQUIDITY_RECLAIM,-0.26035502958580614,0.07302995981567964,-0.10855263157895075,0.3748531139835689,-4.088757396449679,-0.0777583169660032,-0.5479777954004796,-0.5868644067796545,-4.972386587771128,-0.1125475202453921,-0.30304123091717844,-0.6462050196552735,-0.22090729783036225,0.003974664650053828,-0.0035696073431920818,-0.5026660203586963,0.4592592592592483,0.3111111111111801,1.3452284210199836,1.2326842547823782,0.36395923608461367,0.25268283055923735,-1.0144741711592964,-3.752238470712266,-1.313412467173936,-3.09692060059603,-4.957284478113964,-6.267973079968295,0.8685270816642854,1.2955864921971667,-0.0,1.0,0.05573435579374275,2.580216829592325,0.0,1.0986122886681096,0.570019723865903,0.07302995981567964,3.0765430488670793,0.47330960854092347,0.0,0.0,0.5838264299802551,1.173570019723852,41.38468279857824,0.290562352941177,5.193277310924385,6.094674556212964,0.0,99603.20803428,0.7094376470588231,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1723775700000000000,1723790520000000000,143.74,144.4,3716.82,-2988.5834574,247.0,False,0.0,-2988.5834574,-1.0001630524361667,0.5
ETHUSDT:EVENT:1723791060000000000:1:1723791180000000000:0,ETHUSDT:EVENT:1723791060000000000:1,ETHUSDT,-1,1723791180000000000,1723791060000000000,2622.32,2627.13,2592.23,6.255717255717357,2625.77,3.584962500721156,CHANNEL:60:60:1723773600000000000:-1:1,OBSERVED_OPPOSING_STRUCTURE,2625.77,2625.77,2627.12,2621.03,LIQUIDITY_RECLAIM,-0.1578421578421543,0.08378023045051308,-0.10491367861885662,0.5763546798029461,-1.8421578421579365,-0.011432474953415392,-0.35625965996910897,-0.3984962406015393,-4.7192807192809,-0.09202644151552616,-0.268531150522973,-0.724928366762194,-7.330669330669514,-0.04356680988731265,-0.1222307359163159,-0.8158096699923354,0.30897009966774397,-0.16611295681064428,0.6896679552684774,0.7694178006365497,-0.014785129951724485,0.32720255635994555,0.5472820832619352,-0.3806925835370123,-0.011713221178707817,-0.42506701864245877,-1.7864680322780693,-3.4874862486248137,-0.05568980987986727,-1.2317944706560864,-1.0,-1.0,-0.0427051502241762,1.766441661243765,1.0,1.0986122886681096,0.26973026973025793,0.08378023045051322,1.7477790741688755,0.27215189873418205,0.0,0.0,0.6893106893106693,0.9610389610389728,18.34253637999918,0.6548170478170552,6.255717255717357,6.0119880119881834,0.0,96614.62457688,0.3451829521829448,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1723791180000000000,1723791660000000000,2621.86,2627.58,336.497,-2807.97324584,8.0,False,0.0,-2807.97324584,-0.9687881995565405,0.5
XRPUSDT:EVENT:1723795320000000000:1:1723795440000000000:0,XRPUSDT:EVENT:1723795320000000000:1,XRPUSDT,-1,1723795440000000000,1723795320000000000,0.5694,0.5715,0.5646,2.2857142857143082,0.5712999999999999,1.584962500721156,CHANNEL:15:15:1723788900000000000:-1:1,OBSERVED_OPPOSING_STRUCTURE,0.5712999999999999,0.5712999999999999,0.5714,0.5694,LIQUIDITY_RECLAIM,0.26666666666664696,-0.26233616409340205,0.2,1.0,-3.8666666666668243,-0.3109852569639243,-0.5272727272727559,-0.2592592592592684,-1.3333333333333828,-0.1566967443145238,-0.07575757575757844,-0.2592592592592684,-9.466666666667003,-0.009945604761619502,-0.14285714285714476,-0.6491228070175425,0.8,0.2,0.822646506603743,0.7862818700210703,0.2178964919351205,0.7244424058194245,3.51123595505598,1.7481894106274876,2.316539032604242,-0.5035106761053585,-0.45476060381350136,-0.8289806072365395,-3.411906062853323,-0.5043527260968432,-1.0,-0.0,0.032712215321001104,2.0959708436310467,1.0,1.0986122886681096,0.1333333333334715,-0.26233616409340216,2.4257527901055758,-0.0,0.0,0.0,2.5333333333332937,2.8000000000000886,36.88092729188603,0.32597142857142997,2.2857142857143082,6.400000000000267,0.0,93806.65133104,0.6740285714285701,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1723795440000000000,1723809180000000000,0.5692,0.5646,915552.1,3847.58938921,229.0,False,0.0,3847.58938921,1.36720560664439,0.5
BTCUSDT:EVENT:1723810800000000000:-1:1723810920000000000:0,BTCUSDT:EVENT:1723810800000000000:-1,BTCUSDT,1,1723810920000000000,1723810800000000000,58192.4,58063.9,58599.9,3.1712062256809337,58138.433333333334,1.584962500721156,CHANNEL:15:15:1723807800000000000:1:-1,OBSERVED_OPPOSING_STRUCTURE,58138.433333333334,58138.433333333334,58223.7,58064.0,LIQUIDITY_RECLAIM,-0.31143552311433476,-0.051722204215606055,-0.16842105263156132,0.6080150281778809,-3.0729927007298823,-0.05603529409862697,-0.48502304147465564,-0.3885714285714217,-4.07177615571769,-0.07205733093131422,-0.2010572475521101,-0.5208955223880543,-2.3807785888077295,-0.0003428762424979812,-0.03265748852732574,-0.5663627152988784,0.5523329129886672,0.4476670870113329,0.8661157712179042,0.9394082828754404,0.5223128455114172,-0.07417447386312216,0.429627822009504,0.41246185457088913,0.7685443812569337,-0.8626729674151469,-3.3428184281842905,-5.007776599505109,0.26982572745440825,0.9360004437874192,-1.0,1.0,-0.730831539013633,1.4663370687934272,1.0,1.0986122886681096,0.9055150040551538,-0.05172220421560601,2.622608894591243,0.36708365910864416,0.0,0.0,0.656528791565288,1.5632603406325896,22.081921350554367,0.5428309727626458,3.1712062256809337,4.957420924574166,0.0,97654.24072025,0.4571690272373542,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1723810920000000000,1723811040000000000,58200.8,58055.6,14.004,-2847.4081128,2.0,False,0.0,-2847.4081128,-0.971935300095148,0.5
ETHUSDT:EVENT:1723811340000000000:-1:1723811400000000000:0,ETHUSDT:EVENT:1723811340000000000:-1,ETHUSDT,1,1723811400000000000,1723811340000000000,2590.62,2586.49,2623.99,8.079903147699518,2587.0849999999996,3.584962500721156,CHANNEL:60:60:1723777200000000000:1:-1,OBSERVED_OPPOSING_STRUCTURE,2587.0849999999996,2587.0849999999996,2590.77,2586.5,LIQUIDITY_RECLAIM,-0.30977130977137707,-0.05057151887365195,-0.22272047832589303,0.46880570409974953,-2.415800415800535,-0.07874040627046719,-0.4553291536050036,-0.5607675906183536,-5.721413721414053,-0.10828331019800139,-0.3109604519773993,-0.7469287469287532,-4.733887733888007,-0.05175662755347235,-0.07914219179034475,-0.7886637599384502,0.7898550724637765,0.10144927536223526,0.6094844856809717,0.6817802178842506,0.4877224142962643,-0.1253377245962264,0.0,0.24461935693054215,0.38611029312579354,-0.19398312339495255,-2.070132986997673,-5.13848463848477,-0.34566742880286183,-0.582929082929283,-1.0,1.0,-3.0665480799414295,2.3497866944783397,1.0,0.6931471805599453,0.12162162162154178,0.12581973832983356,1.0753708776215911,0.04070556309364306,0.0,0.0,0.7349272349273422,0.8586278586279317,15.942129683242271,0.7521225181597864,8.079903147699518,6.937629937630321,0.0,94806.83260745,0.24787748184021363,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1723811400000000000,1723811460000000000,2591.03,2586.08,364.911,-2750.90164361,1.0,False,0.0,-2750.90164361,-0.9671952846831112,0.5
BTCUSDT:EVENT:1723811520000000000:-1:1723811820000000000:0,BTCUSDT:EVENT:1723811520000000000:-1,BTCUSDT,1,1723811820000000000,1723811520000000000,57846.3,57701.0,58599.9,5.186510667584194,57766.3,1.584962500721156,15:1723782600000000000:-1,OBSERVED_OPPOSING_STRUCTURE,57766.3,57766.3,57965.8,57701.1,LIQUIDITY_RECLAIM,0.6263800116211727,0.07660389286564949,0.5667718191377737,0.2522639068564334,-4.022080185938425,-0.1010252336188174,-0.35119228817859066,-0.4089151231426684,-6.125508425334143,-0.06431629175252929,-0.23444380198372083,-0.6290714012006537,-5.989540964555474,-0.012559648789931214,-0.07743854798966275,-0.6959480682650936,0.3320839580210077,-0.6319340329834686,1.3193654262678038,1.1254347375441573,0.46403198455906974,0.040498874241620596,-1.6592949033722437,-0.07111373333090754,-0.7978360852897686,-0.8942144504137064,-4.068286596355939,-8.30869221204923,0.04620641041751394,2.1831837867150874,-1.0,1.0,-2.284507331077596,3.500539824994419,0.0,1.791759469228055,0.7576990122022652,0.018092152248321846,3.2292157640145307,0.5989974937343359,0.0,0.0,0.9296920395119196,1.6885531667635576,25.118287600071724,0.4771395732966181,5.186510667584194,8.757699012202265,0.0,92055.93096384,0.5228604267033818,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1723811820000000000,1723811880000000000,57853.7,57693.6,12.343,-2689.21446195,1.0,False,0.0,-2689.21446195,-0.9737610724963631,0.5
XRPUSDT:EVENT:1723812120000000000:-1:1723812360000000000:0,XRPUSDT:EVENT:1723812120000000000:-1,XRPUSDT,1,1723812360000000000,1723812120000000000,0.5583,0.5564,0.5699,6.105263157894666,0.5578,3.584962500721156,60:1723773600000000000:-1,OBSERVED_OPPOSING_STRUCTURE,0.5578,0.5578,0.5587,0.5565,LIQUIDITY_RECLAIM,0.6666666666667078,0.15814524570431093,0.37500000000004335,0.5555555555556104,-0.555555555555487,0.09193795991076507,-0.06172839506171993,-0.21739130434782394,-8.555555555555364,0.01782079985828668,-0.27017543859648374,-0.6814159292035349,-12.111111111110974,0.005418564718297984,-0.1684698608964429,-0.733333333333329,0.5625000000000303,-0.06249999999999566,1.181582333805761,1.0729004527712351,0.4375588522556817,0.48813519891388346,-1.7908309455583193,-0.00032065012423032613,-0.5771655142689774,0.666495429412417,0.28267101082876156,-8.14825721475606,-0.8382265663842485,-0.40729834079930427,0.0,1.0,-5.774337517434101,2.4595888418037104,0.0,1.6094379124341003,1.4444444444443896,0.05171641748429762,2.5535944721437227,0.44444444444438963,0.0,0.0,0.5555555555556104,2.1111111111110974,34.03188250044801,0.3520105263157871,6.105263157894666,12.888888888888657,0.0,89366.71650189,0.6479894736842129,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1723812360000000000,1723812960000000000,0.5584,0.5562,963797.0000000001,-2657.4774681000004,10.0,False,0.0,-2657.4774681000004,-0.9912256569046778,0.5
