scenario_id,family,source_family,source_direction,direction,signal_ts_ns,signal_day_utc,signal_hour_utc,submission_ts_ns,reference_entry_price,expected_entry_price,entry_execution_mode,entry_order_type,entry_expiry_ts_ns,entry_client_order_id,stop_price,target_price,target_reason,liquidity_level,atr_at_signal,quantity,equity_before_entry,planned_loss_budget,loss_per_unit,net_rr_at_submission,fee_rate_per_fill,sac_entry_confirmation,failed_acceptance_trap,favorable_drift_guard_enabled,causal_exit_reason_codes,causal_exit_open_position,actual_entry_price,opened_ts_ns,opened_bar_index,forced_exit_reason,causal_context_invalidation_reason,path_observations,mfe_price,mae_price,mfe_price_distance,mae_price_distance,mfe_stop_units,mae_stop_units,mfe_atr,mae_atr,mfe_close_net_r_after_cost,mfe_intrabar_net_r_after_cost,first_close_half_r_ts_ns,first_close_one_r_ts_ns,actual_exit_price,closed_ts_ns,closed_day_utc,closed_hour_utc,duration_minutes,realized_pnl_after_cost,realized_return,realized_r_multiple,outcome
HSP-1708979280000000000-000003,PHML,PHML,LONG,LONG,1708979400000000000,2024-02-26,20,1708979460000000000,54423.0,54383.0,MARKET_AFTER_DEFENSE,MARKET,,O-20240226-203100-001-000-1,54311.9,54991.8,HIGHER_TIMEFRAME_ACCEPTED_EXTREME,54338.2,93.25500000000102,20.35,100000.0,3000.0,147.41703356249795,3.6090648898754547,0.0007,,False,True,"('PRESSURE_REGIME_TERMINATED_BY_OPPOSITE_CUSUM', 'PRESSURE_REGIME_ORIGIN_LOST', 'PRESSURE_REGIME_EXPIRED')",True,54383.100000000006,1708979460000000000,1230,CAUSAL_CONTEXT_INVALIDATION_PRESSURE_REGIME_TERMINATED_BY_OPPOSITE_CUSUM,PRESSURE_REGIME_TERMINATED_BY_OPPOSITE_CUSUM,26,54716.9,54321.0,333.79999999999563,62.10000000000582,4.688202247190662,0.8721910112359833,3.5794327381908957,0.6659160366736919,1.602560398149912,1.7449136899837434,1.70898018e+18,1.7089803e+18,54553.9,1708980960000000000,2024-02-26,20,25.0,1923.972435,0.0031406815720324073,0.641324145,CAUSAL_CONTEXT_INVALIDATION_PRESSURE_REGIME_TERMINATED_BY_OPPOSITE_CUSUM
HSP-1709013660000000000-000012,PHML,PHML,LONG,LONG,1709013720000000000,2024-02-27,6,1709013780000000000,56212.2,56210.4,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-060300-001-000-5,56089.8,57780.0,HIGHER_TIMEFRAME_ACCEPTED_EXTREME,56111.1,56.19499999999971,15.331,101923.972435,3057.71917305,199.43408156250388,7.469168300269414,0.0007,,False,True,"('PRESSURE_REGIME_TERMINATED_BY_OPPOSITE_CUSUM', 'PRESSURE_REGIME_ORIGIN_LOST', 'PRESSURE_REGIME_EXPIRED')",True,56210.5,1709013780000000000,1802,CAUSAL_CONTEXT_INVALIDATION_PRESSURE_REGIME_EXPIRED,PRESSURE_REGIME_EXPIRED,12,56321.2,56173.0,110.69999999999709,37.5,0.9171499585749773,0.3106876553438352,1.9699261500133047,0.6673191565085896,0.07541088204267893,0.15908920757886308,,,56275.9,1709014440000000000,2024-02-27,6,11.0,-204.52289888,0.001163483690769544,-0.06688740440345718,CAUSAL_CONTEXT_INVALIDATION_PRESSURE_REGIME_EXPIRED
HSP-1709016180000000000-000014,PHML,PHML,LONG,LONG,1709016300000000000,2024-02-27,6,1709016360000000000,56491.2,56474.4,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-064600-001-000-9,56416.5,56643.0,EQUAL_LTF_BUYSIDE_LIQUIDITY,56438.2,50.89000000000014,22.25,101719.44953612,3051.5834860836,137.14757156250678,0.6505242417605357,0.0007,,False,True,"('PRESSURE_REGIME_TERMINATED_BY_OPPOSITE_CUSUM', 'PRESSURE_REGIME_ORIGIN_LOST', 'PRESSURE_REGIME_EXPIRED')",True,56474.5,1709016360000000000,1845,,,3,56497.0,56380.3,22.5,94.19999999999709,0.3879310344827586,1.6241379310344326,0.44213008449597047,1.851051287089739,-0.5786776178084005,-0.4140069660228855,,,56416.4,1709016480000000000,2024-02-27,6,2.0,-3051.0007675,-0.001028782902017699,-0.9998090438664854,STOP
HSP-1709017800000000000-000016,PHML,PHML,LONG,LONG,1709017980000000000,2024-02-27,7,1709018040000000000,56252.9,56253.1,MARKET_AFTER_DEFENSE,MARKET,,O-20240227-071400-001-000-12,56162.700000000004,56465.0,PRIOR_FAST_BUYSIDE_LIQUIDITY,56183.7,47.54500000000007,17.482,98668.44876862,2960.0534630586,169.3150015624995,0.7843211102058301,0.0007,,False,True,"('PRESSURE_REGIME_TERMINATED_BY_OPPOSITE_CUSUM', 'PRESSURE_REGIME_ORIGIN_LOST', 'PRESSURE_REGIME_EXPIRED')",True,56253.2,1709018040000000000,1873,,,5,56272.5,56146.2,19.30000000000291,107.0,0.2132596685083366,1.1823204419890454,0.4059312230519062,2.2504995267641146,-0.4669072986472323,-0.35240817086117293,,,56162.6,1709018280000000000,2024-02-27,7,4.0,-2959.54631092,-0.0016105750428419814,-0.999828667912614,STOP
HSP-1709116080000000000-000026,PHML,PHML,LONG,LONG,1709116260000000000,2024-02-28,10,1709116320000000000,59231.4,59179.1,MARKET_AFTER_DEFENSE,MARKET,,O-20240228-103200-001-000-15,59155.6,59566.200000000004,HIGHER_TIMEFRAME_ACCEPTED_EXTREME,59186.1,55.8799999999992,26.956,95708.9024577,2871.2670737309995,106.51305487500204,2.8520287053685234,0.0007,,False,True,"('PRESSURE_REGIME_TERMINATED_BY_OPPOSITE_CUSUM', 'PRESSURE_REGIME_ORIGIN_LOST', 'PRESSURE_REGIME_EXPIRED')",True,59179.2,1709116320000000000,3511,CAUSAL_CONTEXT_INVALIDATION_PRESSURE_REGIME_ORIGIN_LOST,PRESSURE_REGIME_ORIGIN_LOST,40,59422.3,59164.6,243.10000000000582,14.599999999998545,10.300847457628,0.6186440677965866,4.350393700787568,0.2612741589119319,1.4860156831080373,1.501026800776967,1.70911668e+18,1.70911812e+18,59315.80000000001,1709118660000000000,2024-02-28,11,39.0,1446.283746,0.0023082434368834506,0.5037092366753125,CAUSAL_CONTEXT_INVALIDATION_PRESSURE_REGIME_ORIGIN_LOST
