variant,scenario_id,branch,side,signal_observed_ns,opened_ns,closed_ns,entry_reference,stop_price,target_price,planned_loss,gross_realized_pnl,native_net_realized_pnl,native_commissions,extra_composite_cost,net_pnl,realized_r,nav_before,nav_after,net_reward_to_risk_at_signal,reason_code
baseline,opening-drive-044e5e9fa677c3531d,CONTINUATION,BUY,1641144420000000000,1641144420000000000,1641145740000000000,47624.99,47492.15926666667,48036.34,2999.849170497968,-1951.2304000000001,-2202.79066353,251.56026353,796.6075011699999,-2999.3981647,-0.9998496571752996,100000.0,97000.6018353,1.663350830369987,SESSION_OPENING_DRIVE_EDGE_HOLD_REEXPANSION
baseline,opening-drive-b2ca986bc77056b47a,CONTINUATION,SELL,1641226860000000000,1641226860000000000,1641229440000000000,46370.66,46572.609833333336,45544.78,2909.9928445076953,-2162.7528,-2341.96235333,179.20955333,567.4969188700002,-2909.4592722,-0.999816641367795,97000.6018353,94091.1425631,2.78639101479025,SESSION_OPENING_DRIVE_EDGE_HOLD_REEXPANSION
baseline,opening-drive-f9a0b2ea00949bc658,CONTINUATION,SELL,1641229920000000000,1641229920000000000,1641230820000000000,46502.94,46577.212133333334,45544.78,2822.7153094664463,-1455.6113,-1783.84710304,328.23580304,1039.4133762850001,-2823.2604793250002,-1.0001931366782635,94091.1425631,91267.882083775,6.170949064432161,SESSION_OPENING_DRIVE_EDGE_HOLD_REEXPANSION
baseline,opening-drive-c6e302ba58c9df673b,CONTINUATION,BUY,1641373560000000000,1641373560000000000,1641381720000000000,46652.51,46568.238066666665,47449.77,2737.9073377648797,-1496.9151,-1794.87269458,297.95759458,943.532382845,-2738.405077425,-1.000181795655848,91267.882083775,88529.47700634999,4.712984622432043,SESSION_OPENING_DRIVE_EDGE_HOLD_REEXPANSION
baseline,opening-drive-d2a7bcfaa909215063,CONTINUATION,SELL,1641661920000000000,1641661920000000000,1641662340000000000,41196.93,41320.3335,40408.16,2655.782318809125,-1768.6922,-1981.58162497,212.88942497,674.1498457299999,-2655.7314706999996,-0.9999808538114117,88529.47700634999,85873.74553564998,3.926604232551909,SESSION_OPENING_DRIVE_EDGE_HOLD_REEXPANSION
baseline,opening-drive-92e1fa2da5332b8594,CONTINUATION,SELL,1641663060000000000,1641663060000000000,1641666360000000000,41236.76,41308.5147,40408.16,2576.099642569825,-1381.8741,-1668.23530204,286.36120203999997,906.8104731349999,-2575.045775175,-0.9995909058107032,85873.74553564998,83298.69976047499,5.741024395266326,SESSION_OPENING_DRIVE_EDGE_HOLD_REEXPANSION
baseline,opening-drive-c4eea5b887e89b9b30,CONTINUATION,SELL,1642095960000000000,1642095960000000000,1642097100000000000,42712.19,42872.585699999996,41299.04,2498.9493033103804,-1784.7707999999998,-1956.1851725299998,171.41437253,542.81217967,-2498.9973522,-1.0000192276368136,83298.69976047499,80799.70240827498,6.011736737892816,SESSION_OPENING_DRIVE_EDGE_HOLD_REEXPANSION
baseline,opening-drive-7b93f63e858aea1fd1,CONTINUATION,SELL,1643016060000000000,1643016060000000000,1643016660000000000,34566.39,34813.81,33346.869999999995,2423.7899841,-2002.4555999999998,-2103.53700099,101.08140099,320.09110311000006,-2423.6281040999997,-0.999933212035258,80799.70240827498,78376.07430417498,3.9023708725664292,SESSION_OPENING_DRIVE_EDGE_HOLD_REEXPANSION
baseline,opening-drive-2c27d72e26142eaa61,CONTINUATION,SELL,1643818080000000000,1643818080000000000,1643820840000000000,37204.59,37351.932433333335,35950.78,2351.106397606461,-1703.8191000000002,-1859.05020639,155.23110638999998,491.565170235,-2350.615376625,-0.9997911532281308,78376.07430417498,76025.45892754997,5.898575734609753,SESSION_OPENING_DRIVE_EDGE_HOLD_REEXPANSION
baseline,opening-drive-af386188ea23ebc45e,CONTINUATION,BUY,1644256080000000000,1644256080000000000,1644259500000000000,44002.78,43882.058099999995,45573.939999999995,2280.686159186561,-1474.9540000000002,-1668.2656260400001,193.31162604,612.1534824600001,-2280.4191085,-0.9998829077444589,76025.45892754997,73745.03981904997,8.058366332943868,SESSION_OPENING_DRIVE_EDGE_HOLD_REEXPANSION
baseline,opening-drive-be4461df1767b65438,CONTINUATION,SELL,1644539040000000000,1644539040000000000,1644541440000000000,43174.15,43296.137866666664,40729.22,2212.1924975893016,-1443.2959999999998,-1627.58150336,184.28550336,583.5707606399999,-2211.152264,-0.9995297725715844,73745.03981904997,71533.88755504997,12.748849526039809,SESSION_OPENING_DRIVE_EDGE_HOLD_REEXPANSION
baseline,opening-drive-42d6e7746952aa4235,CONTINUATION,BUY,1644913440000000000,1644913440000000000,1644924240000000000,43846.5,43766.7,45147.77,2145.9800052,4965.651599999999,4731.964437189999,233.68716281000002,740.00934889,3991.9550882999993,1.8602014364658346,71533.88755504997,75525.84264334997,8.484125805185572,SESSION_OPENING_DRIVE_EDGE_HOLD_REEXPANSION
baseline,opening-drive-3d9a6adf125e6ce514,CONTINUATION,BUY,1645407120000000000,1645407120000000000,1645414440000000000,39090.6,38949.278666666665,39890.2,2265.7135343330187,-1601.9180999999999,-1761.1710023399999,159.25290234,504.300857385,-2265.471859725,-0.9998933339963959,75525.84264334997,73260.37078362497,3.7045774214660097,SESSION_OPENING_DRIVE_EDGE_HOLD_REEXPANSION
baseline,opening-drive-fe893be7692fdcf690,CONTINUATION,SELL,1646963400000000000,1646963400000000000,1646974200000000000,38773.5,38890.786,38075.899999999994,2197.68836554,3894.9719999999998,3720.91317576,174.05882424,551.1862767599999,3169.726899,1.4423004410915,73260.37078362497,76430.09768262497,3.6458017704577226,SESSION_OPENING_DRIVE_EDGE_HOLD_REEXPANSION
baseline,opening-drive-279ad16eceaabdd39c,CONTINUATION,SELL,1647768660000000000,1647768660000000000,1647769380000000000,41624.2,41739.39,41188.3,2292.849158635,-1486.3103999999998,-1679.91069009,193.60029009,613.0675853099999,-2292.9782754,-1.0000563128038813,76430.09768262497,74137.11940722496,2.1033423091037196,SESSION_OPENING_DRIVE_EDGE_HOLD_REEXPANSION
baseline,opening-drive-0a21a8e6539a131e55,CONTINUATION,BUY,1648142280000000000,1648142280000000000,1648142760000000000,44122.1,44015.51266666667,45515.0,2224.081501150457,-1372.9014,-1577.22374707,204.32234706999998,647.02076573,-2224.2445128,-1.0000732939190666,74137.11940722496,71912.87489442497,7.676576570145257,SESSION_OPENING_DRIVE_EDGE_HOLD_REEXPANSION
