group,policy,horizon_min,count,mean,median,win_rate,profit_factor,gross_profit,gross_loss,q10,q90
all,cont,15,377,0.0015947282639203063,-0.0013910172431401563,0.41379310344827586,1.4712315733914092,1.877045053670957,1.2758324981730014,-0.009772310995375332,0.01678541687591271
all,rev,15,377,-0.005394728263920306,-0.0024089827568598435,0.27055702917771884,0.2420105517545859,0.6493548160344623,2.6831673715324174,-0.020585416875912695,0.005972310995375331
all,delayed_cont,15,377,0.0023888255554737063,-0.0010671083516318053,0.41909814323607425,1.820469543350589,1.998235820777705,1.0976485863641177,-0.0077823529411764495,0.014865125873747343
all,delayed_rev,15,377,-0.006188825555473707,-0.0027328916483681945,0.23342175066312998,0.1701509595377571,0.47839309001982333,2.811580324433411,-0.018665125873747343,0.00398235294117645
all,cont,30,377,0.005811815437552288,-0.00044188759278894593,0.47214854111405835,2.760570792323689,3.435568091040754,1.2445136710835412,-0.011290931043735008,0.02700810119348806
all,rev,30,377,-0.00961181543755229,-0.003358112407211054,0.2891246684350133,0.15357116601230697,0.6574549591803847,4.281109379137599,-0.030808101193488056,0.007490931043735007
all,delayed_cont,30,377,-0.0008285548896992737,-0.0017469002076415535,0.38726790450928383,0.8169280609302422,1.3938776912321378,1.706242884648764,-0.013489855467684763,0.011354590471021277
all,delayed_rev,30,377,-0.0029714451103007252,-0.0020530997923584463,0.35543766578249336,0.4747328582551407,1.0124605736418584,2.1326953802252318,-0.015154590471021242,0.009689855467684761
all,cont,60,377,0.0021626396490971207,-0.0010670873296314426,0.46153846153846156,1.4886759541893484,2.4837318985647254,1.6684167508551115,-0.013020768467813802,0.01673078944884522
all,rev,60,377,-0.005962639649097121,-0.002732912670368557,0.3183023872679045,0.31391038558995354,1.0285010820310851,3.2764162297407005,-0.02053078944884522,0.009220768467813804
all,delayed_cont,60,377,-0.0006063225234094348,-0.0016076615687755519,0.41909814323607425,0.8907080662860823,1.8629119432279708,2.091495534553328,-0.015394039041006323,0.013977340023771058
all,delayed_rev,60,377,-0.0031936774765905646,-0.002192338431224448,0.3687002652519894,0.5387162990831017,1.4061265603515936,2.610142969026237,-0.017777340023771057,0.011594039041006322
all,cont,120,377,0.0031554070299888094,0.0007012404005537615,0.5358090185676393,1.5577040094298336,3.3225988468456094,2.133010396539828,-0.017082562675890797,0.023226196860972322
all,rev,120,377,-0.00695540702998881,-0.004501240400553761,0.3448275862068966,0.37104600095708556,1.546937518041652,4.1691259683474335,-0.027026196860972303,0.01328256267589082
all,delayed_cont,120,377,-0.00019155360107062113,-0.0003025806052674312,0.4880636604774536,0.9708853261318596,2.40817297649044,2.4803886840940645,-0.016240164273385222,0.015687660335782852
all,delayed_rev,120,377,-0.0036084463989293795,-0.0034974193947325686,0.41114058355437666,0.5711069497988337,1.8114654070993539,3.1718496994957306,-0.01948766033578285,0.01244016427338527
all,cont,240,377,0.003211604013460261,0.00039709035222058767,0.5039787798408488,1.502039210591632,3.6224881560298416,2.4117134429553237,-0.017720028839553974,0.03048412318711824
all,rev,240,377,-0.007011604013460263,-0.0041970903522205874,0.33687002652519893,0.4056602183661591,1.8042069477187033,4.447581660793222,-0.0342841231871182,0.013920028839554038
all,delayed_cont,240,377,0.00028220765791599754,-0.0007205907808764827,0.46949602122015915,1.0397883001518726,2.780351381246185,2.6739590942118543,-0.020203607548237787,0.023050619916601216
all,delayed_rev,240,377,-0.004082207657915997,-0.003079409219123517,0.41379310344827586,0.565754822654791,2.0050707615021626,3.544063048536495,-0.02685061991660121,0.016403607548237803
all,cont,480,377,0.006656650072122945,0.0026231813041838322,0.5596816976127321,1.8163212849061445,5.583784251701524,3.0742271745111753,-0.024291116443981436,0.05088878117825609
all,rev,480,377,-0.010456650072122946,-0.006423181304183832,0.3183023872679045,0.3904159705358757,2.5248054524150247,6.466962529605377,-0.05468878117825607,0.02049111644398151
all,delayed_cont,480,377,0.0029802204086286396,0.00100901299578894,0.5251989389920424,1.3220977356345782,4.611748597390229,3.4882055033372326,-0.02923644859813089,0.04016826763815653
all,delayed_rev,480,377,-0.0067802204086286405,-0.00480901299578894,0.363395225464191,0.5304598815476511,2.887785962484921,5.44392905653792,-0.04396826763815647,0.025436448598130892
all,cont,720,377,0.0073149127294030135,0.0037685528620585848,0.5755968169761273,1.632477461245272,7.117912410834645,4.36019031184971,-0.04091255664013494,0.05364528406539694
all,rev,720,377,-0.011114912729403015,-0.007568552862058584,0.35809018567639256,0.4751532946322222,3.7935750201722414,7.983897119157179,-0.05744528406539694,0.037112556640134964
all,delayed_cont,720,377,0.004221161178467205,0.004359389083625444,0.5676392572944297,1.3407164528906257,6.26205847482883,4.670680710546693,-0.045451928629471325,0.05442055316894742
all,delayed_rev,720,377,-0.008021161178467209,-0.008159389083625445,0.3713527851458886,0.5749282035863936,4.0900622397733795,7.114040004055518,-0.05822055316894728,0.04165192862947133
split:confirmation,cont,15,73,-0.0014642514599817063,-0.0025499242806663472,0.2876712328767123,0.7009459437954182,0.25053785534814943,0.35742821192681407,-0.014488479591580249,0.014430618010932117
split:confirmation,rev,15,73,-0.002335748540018293,-0.0012500757193336526,0.410958904109589,0.5309945452824545,0.19304613552802327,0.36355577894935875,-0.018230618010932117,0.010688479591580237
split:confirmation,delayed_cont,15,73,-0.0014871940985887618,7.535327192088772e-05,0.5068493150684932,0.6053965351196349,0.1665595543781015,0.2751247235750812,-0.009848568088836928,0.008671319280825483
split:confirmation,delayed_rev,15,73,-0.002312805901411238,-0.0038753532719208875,0.410958904109589,0.4669050949865861,0.14787206175070255,0.316706892553723,-0.012471319280825488,0.006048568088836927
split:confirmation,cont,30,73,-0.0010694549695444938,-0.003638986144528387,0.3835616438356164,0.7969005641860889,0.3063238278264938,0.3843940406032419,-0.013794650273921315,0.01033442005414705
split:confirmation,rev,30,73,-0.002730545030455506,-0.00016101385547161282,0.4931506849315068,0.5452509707718839,0.23899943265785759,0.4383292198811096,-0.014134420054147055,0.009994650273921312
split:confirmation,delayed_cont,30,73,-0.0033470631633010805,-0.0030754191154564884,0.3698630136986301,0.37076562251683615,0.14397059049522787,0.38830620141620675,-0.014871082943602008,0.008706211346037045
split:confirmation,delayed_rev,30,73,-0.0004529368366989192,-0.0007245808845435114,0.4657534246575342,0.8739505750125816,0.22924850193433752,0.26231289101335875,-0.012506211346037053,0.011071082943602003
split:confirmation,cont,60,73,-0.0019421343812159007,-0.0025917822039028685,0.3972602739726027,0.6081494542371776,0.22003511875566512,0.361810928584426,-0.01436009097844203,0.011289325328298681
split:confirmation,rev,60,73,-0.001857865618784099,-0.0012082177960971313,0.4520547945205479,0.6126188275419865,0.21448108033190813,0.3501052705031473,-0.015089325328298684,0.010560090978442028
split:confirmation,delayed_cont,60,73,-0.003719426113482548,-0.003193049072789154,0.3287671232876712,0.38634431446922946,0.17094191272363385,0.44246001900785986,-0.016118805352563388,0.011232952916005129
split:confirmation,delayed_rev,60,73,-8.057388651745198e-05,-0.0006069509272108458,0.4794520547945205,0.9793314124544804,0.2786994161013602,0.28458130981713425,-0.015032952916005137,0.01231880535256339
split:confirmation,cont,120,73,-0.0002735193133482919,-0.0019,0.4383561643835616,0.9530631854777718,0.4054328552708937,0.42539976514531896,-0.02013393222748013,0.015666809942066942
split:confirmation,rev,120,73,-0.0035264806866517067,-0.0019,0.3424657534246575,0.5309915811665709,0.29145490375285366,0.5488879938784282,-0.01946680994206694,0.016333932227480124
split:confirmation,delayed_cont,120,73,-0.0008723181641739047,-0.00027365318154080995,0.4931506849315068,0.8339689054122235,0.31985872600434906,0.38353795198904417,-0.01514137931034497,0.009852309106175839
split:confirmation,delayed_rev,120,73,-0.002927681835826095,-0.00352634681845919,0.4246575342465753,0.5421286468033198,0.2530495808522566,0.46677035486756163,-0.01365230910617584,0.011341379310344969
split:confirmation,cont,240,73,0.0027620856696365984,-0.0012042133745650979,0.4931506849315068,1.4971844281311737,0.6071804619023164,0.40554820801884484,-0.01650255853182544,0.027204425173099366
split:confirmation,rev,240,73,-0.0065620856696365975,-0.002595786625434902,0.3972602739726027,0.36554980260522313,0.2760029811129189,0.7550352349963907,-0.031004425173099367,0.01270255853182543
split:confirmation,delayed_cont,240,73,0.0027823169672163595,0.00045417211613908606,0.5068493150684932,1.5878245813448821,0.5486359250880627,0.34552678648126856,-0.016453978596650817,0.026759986818602935
split:confirmation,delayed_rev,240,73,-0.006582316967216358,-0.004254172116139086,0.3561643835616438,0.31773734788099006,0.22377848011951562,0.70428761872631,-0.030559986818602933,0.012653978596650815
split:confirmation,cont,480,73,0.004138915407467264,0.001078131697212394,0.5068493150684932,1.45918842863314,0.9601295847068729,0.6579887599617628,-0.03206428357001761,0.04441618042692598
split:confirmation,rev,480,73,-0.007938915407467263,-0.004878131697212394,0.4246575342465753,0.47673142354909326,0.5279990712598681,1.1075398960049785,-0.04821618042692598,0.028264283570017604
split:confirmation,delayed_cont,480,73,0.0024803660373566554,0.002227781765972838,0.5205479452054794,1.2408744846104218,0.9327724110158343,0.7517056902887985,-0.03142680678880519,0.04103983360874165
split:confirmation,delayed_rev,480,73,-0.006280366037356655,-0.0060277817659728375,0.3972602739726027,0.5780669065065495,0.6281195835874712,1.086586304314507,-0.04483983360874165,0.02762680678880519
split:confirmation,cont,720,73,0.004143102215351564,-0.001697283600243336,0.4657534246575342,1.424553210469081,1.0148341065732294,0.7123876448525652,-0.025914202952719054,0.05209189573978747
split:confirmation,rev,720,73,-0.007943102215351565,-0.0021027163997566637,0.4520547945205479,0.49836401650411977,0.5760643596676629,1.1559108213883271,-0.055891895739787464,0.022114202952719056
split:confirmation,delayed_cont,720,73,0.005344204804101989,0.0038083385896303798,0.589041095890411,1.5299999105456197,1.1262156611632275,0.7360887104637823,-0.03626278715089125,0.051064520836497276
split:confirmation,delayed_rev,720,73,-0.00914420480410199,-0.007608338589630379,0.3561643835616438,0.4827115611773821,0.6229077480129017,1.290434698712347,-0.054864520836497274,0.03246278715089125
split:development,cont,15,55,0.001575596099095644,-0.001966985645932993,0.45454545454545453,1.2859532219174505,0.38970660185868977,0.3030488164084294,-0.01657903308259699,0.02365464730748205
split:development,rev,15,55,-0.005375596099095645,-0.0018330143540670068,0.4727272727272727,0.4017634683369751,0.19855774603586884,0.4942155314861293,-0.027454647307482045,0.012779033082596992
split:development,delayed_cont,15,55,0.006013252951999584,0.0017548223350254538,0.5818181818181818,2.8786430586065443,0.5067756131128549,0.1760467007528777,-0.011216154608523198,0.025514879715140257
split:development,delayed_rev,15,55,-0.009813252951999587,-0.005554822335025454,0.2727272727272727,0.16218024967994252,0.1044775677973527,0.64420648015733,-0.029314879715140248,0.007416154608523197
split:development,cont,30,55,0.009388479590310455,-0.0004974754558204491,0.45454545454545453,3.215537895361432,0.7494322972819277,0.2330659198148527,-0.012672700558330904,0.04784966643065038
split:development,rev,30,55,-0.013188479590310456,-0.0033025245441795506,0.34545454545454546,0.1639660274973375,0.14226149571096736,0.8676278731780425,-0.05164966643065037,0.00887270055833091
split:development,delayed_cont,30,55,0.0032228350421107882,-0.0021448857697474602,0.41818181818181815,1.6873773042576243,0.43512875235434767,0.25787282503825437,-0.012881308411214919,0.025526827681034106
split:development,delayed_rev,30,55,-0.007022835042110789,-0.0016551142302525395,0.38181818181818183,0.28497951685749573,0.1539466772561622,0.5402026045722556,-0.029326827681034104,0.009081308411214918
