accepted_last15,adx,atr,breadth,cont_120m,cont_15m,cont_240m,cont_30m,cont_480m,cont_60m,cont_720m,delayed_cont_120m,delayed_cont_15m,delayed_cont_240m,delayed_cont_30m,delayed_cont_480m,delayed_cont_60m,delayed_cont_720m,delayed_entry_price,delayed_entry_time,delayed_rev_120m,delayed_rev_15m,delayed_rev_240m,delayed_rev_30m,delayed_rev_480m,delayed_rev_60m,delayed_rev_720m,entry_price,entry_time,event_id,event_time,family,impulse_atr,impulse_breadth,last15_aligned_return,mae_12h,mfe_12h,oi_abs_baseline,oi_change_1h,oi_material,oi_mode,period_label,premium_aligned,premium_change_1h,rev_120m,rev_15m,rev_240m,rev_30m,rev_480m,rev_60m,rev_720m,side,split,state,symbol,taker_1h,taker_aligned,transition15,volume_ratio
True,51.8292267299126,218.4817301656671,4,-0.004272470738333021,-0.000505904656780341,-0.0071395048632066785,-0.005093159256578148,0.001078131697212394,-0.005609225399055271,0.009410449622626616,-0.005199656792747907,-0.006480868432448315,-0.009333174792339959,-0.005228287220450754,-0.0009874051169731373,-0.00555753713903294,0.01307013488510257,27942.3,2023-10-16 06:15:59.999000+00:00,0.001399656792747907,0.0026808684324483153,0.0055331747923399585,0.001428287220450754,-0.0028125948830268624,0.0017575371390329403,-0.01687013488510257,27903.4,2023-10-16 06:00:59.999000+00:00,BTCUSDT:impulse_only_2atr:2023-10-16T05:59:59.999000+00:00,2023-10-16 05:59:59.999000+00:00,impulse_only_2atr,3.043732761983135,4,0.002061337355454995,-0.009891267730814168,0.10094110395148981,0.002160761654055321,-0.0302332230457516,True,UNWIND,confirm_expansion_2023_10,False,-0.0004911399999999999,0.00047247073833302125,-0.0032940953432196588,0.003339504863206679,0.0012931592565781486,-0.004878131697212394,0.0018092253990552715,-0.013210449622626618,1,confirmation,FORCED_UNWIND_ACCEPTED,BTCUSDT,0.07571698288272874,True,PERSISTENT_15,16.342244329548862
True,29.56695316048727,201.62508177804813,4,0.00982003106930175,-0.0008401915940276933,0.00844952964529201,0.009133054284974585,0.028116397687063102,0.006916777422974154,0.018871554328126386,0.007207461842459142,0.008062687339214015,0.008576512335248377,0.004776276458538855,0.030791684311439985,0.004828003807132899,0.01704255505514142,28998.2,2023-10-20 03:15:59.999000+00:00,-0.011007461842459142,-0.011862687339214016,-0.012376512335248379,-0.008576276458538855,-0.03459168431143998,-0.008628003807132899,-0.020842555055141418,28967.5,2023-10-20 03:00:59.999000+00:00,BTCUSDT:impulse_only_2atr:2023-10-20T02:59:59.999000+00:00,2023-10-20 02:59:59.999000+00:00,impulse_only_2atr,1.6119026320235534,3,0.0024501067595954495,-0.002171398981617334,0.04403210494519727,0.003287924473386994,0.01994735699846828,True,BUILD,confirm_expansion_2023_10,True,0.00041955,-0.013620031069301751,-0.0029598084059723065,-0.012249529645292011,-0.012933054284974587,-0.0319163976870631,-0.010716777422974154,-0.022671554328126384,1,confirmation,SPONSORED_BUILD_BROAD,BTCUSDT,0.4072494565818683,True,PERSISTENT_15,3.420838391529378
False,41.49830399553868,265.16678255502904,4,0.0020434989468301043,-0.0026705300843208194,-0.009336120027725646,-0.00015032469935859325,-0.010019166347014373,0.00032747124812427977,-0.007078365937859586,0.0064948156204856075,0.0006221487764715,-0.009446242200364373,-0.00044867006320535694,-0.012200738460916837,0.004268994070087974,-0.005237048648175522,29696.9,2023-10-20 09:15:59.999000+00:00,-0.010294815620485608,-0.0044221487764715,0.005646242200364373,-0.003351329936794643,0.008400738460916836,-0.008068994070087975,0.0014370486481755224,29719.8,2023-10-20 09:00:59.999000+00:00,BTCUSDT:impulse_only_2atr:2023-10-20T08:59:59.999000+00:00,2023-10-20 08:59:59.999000+00:00,impulse_only_2atr,1.8527961732840412,4,-0.002898725768464283,-0.013990672884743427,0.017604425332606644,0.0066359644617932645,-0.0013928289480134026,False,UNWIND,confirm_expansion_2023_10,True,1.305999999999996e-05,-0.005843498946830104,-0.0011294699156791804,0.005536120027725646,-0.0036496753006414065,0.006219166347014373,-0.0041274712481242795,0.003278365937859586,1,confirmation,FLOW_ALIGNED_PRICE_ONLY,BTCUSDT,0.025079429199338563,True,MIXED_15,4.4624641969926
True,36.07960861767333,166.20017897020847,4,-0.0020261096822368077,-0.006755222766116274,-0.007229793412428341,-0.003638986144528387,-0.009045109101468484,0.00017085372936210988,-0.0028690533477142436,0.0010080043486671148,0.0012314404626128223,-0.0016031968038632144,0.002141859255257352,-0.005775115886641245,0.0006611781419452306,0.0027154564432971947,29986.2,2023-10-21 18:15:59.999000+00:00,-0.0048080043486671145,-0.005031440462612822,-0.0021968031961367854,-0.005941859255257352,0.001975115886641245,-0.00446117814194523,-0.006515456443297194,30132.5,2023-10-21 18:00:59.999000+00:00,BTCUSDT:impulse_only_2atr:2023-10-21T17:59:59.999000+00:00,2023-10-21 17:59:59.999000+00:00,impulse_only_2atr,1.6901305506437092,4,0.0023351584381714474,-0.010088774578942972,0.008034514228822731,0.004510288813548868,0.015258441753395857,True,BUILD,confirm_expansion_2023_10,True,0.00020792,-0.001773890317763192,0.002955222766116274,0.003429793412428341,-0.00016101385547161282,0.005245109101468483,-0.00397085372936211,-0.0009309466522857562,1,confirmation,SPONSORED_BUILD_BROAD,BTCUSDT,0.1940608542330586,True,MIXED_15,1.5763594885126566
True,16.784036572976827,146.1701192701558,4,0.0008944869668323769,-0.003065757375913401,0.00958437552042747,-0.004614549318198478,0.019213531445472457,-0.00329890885109617,0.015523076666866377,0.0027317909591708786,-0.0034505995651652336,0.008260595430232843,-0.0019233423590455528,0.01983840551679973,-0.002780340398287438,0.016730537141027804,29988.4,2023-10-22 23:15:59.999000+00:00,-0.006531790959170878,-0.0003494004348347662,-0.012060595430232844,-0.0018766576409544472,-0.02363840551679973,-0.001019659601712562,-0.020530537141027802,30023.4,2023-10-22 23:00:59.999000+00:00,BTCUSDT:impulse_only_2atr:2023-10-22T22:59:59.999000+00:00,2023-10-22 22:59:59.999000+00:00,impulse_only_2atr,1.935416085124331,4,0.0022533123691828028,-0.005129332454019253,0.03219488798736969,0.003002172062252839,-0.00445059692373917,True,UNWIND,confirm_expansion_2023_10,False,-0.00016287000000000002,-0.004694486966832377,-0.000734242624086599,-0.01338437552042747,0.0008145493181984781,-0.023013531445472454,-0.00050109114890383,-0.019323076666866376,1,confirmation,FORCED_UNWIND_ACCEPTED,BTCUSDT,0.2976376030566581,True,MIXED_15,1.615201229653272
False,36.78347375923603,882.1505740975206,4,0.002464665395637735,-0.015314751130136571,0.03428835209899629,-0.009969834646330377,0.016706784416705492,-0.010437477367291491,0.030673114140796334,0.01897428937781244,0.003517592134008498,0.05174418907791557,-0.005956357542850053,0.028114007347020534,0.0002512368092417855,0.05196903586306202,32911.3,2023-10-23 23:15:59.999000+00:00,-0.022774289377812437,-0.007317592134008497,-0.05554418907791557,0.0021563575428500533,-0.03191400734702053,-0.004051236809241785,-0.05576903586306202,33358.8,2023-10-23 23:00:59.999000+00:00,BTCUSDT:impulse_only_2atr:2023-10-23T22:59:59.999000+00:00,2023-10-23 22:59:59.999000+00:00,impulse_only_2atr,1.9725657400157588,4,-0.019478858956835987,-0.02511481228341561,0.05819154166217011,0.009011181663989731,-0.04021962758256947,True,UNWIND,confirm_expansion_2023_10,True,0.00066644,-0.006264665395637734,0.01151475113013657,-0.03808835209899629,0.006169834646330376,-0.02050678441670549,0.006637477367291491,-0.03447311414079633,1,confirmation,FORCED_UNWIND_REJECTED,BTCUSDT,0.18401342936335383,True,MIXED_15,9.567399451879828
True,23.613171283083794,8.494182136413531,4,-0.0060084738061129,-0.0017800906262423904,-0.0026762554195881453,-0.005989540747098552,-0.005503592232397035,-0.006399757025742568,-0.005951674629069857,-0.004392553889646198,-0.006108945428845534,-0.003622701802211124,-0.0056041243879045724,-0.005503160179716291,-0.0067021101519512,-0.003679494169316886,1584.72,2023-10-16 06:15:59.999000+00:00,0.0005925538896461985,0.0023089454288455344,-0.00017729819778887598,0.0018041243879045727,0.0017031601797162915,0.0029021101519512,-0.00012050583068311358,1584.53,2023-10-16 06:00:59.999000+00:00,ETHUSDT:public_vectorized_no_ema:2023-10-16T05:59:59.999000+00:00,2023-10-16 05:59:59.999000+00:00,public_vectorized_no_ema,2.6936083583510753,4,0.0004545971133083082,-0.012325421418338589,0.0362694300518136,0.001655576251360813,0.027420080421105553,True,BUILD,confirm_expansion_2023_10,False,-0.00024974999999999997,0.0022084738061129002,-0.0020199093737576094,-0.0011237445804118545,0.0021895407470985525,0.0017035922323970349,0.002599757025742568,0.002151674629069857,1,confirmation,MIXED_SPONSORSHIP,ETHUSDT,0.03951970780008591,True,MIXED_15,11.899121284793557
False,22.05348128280914,9.80767678311625,4,-0.0018612550771992403,-0.002222874356672775,-0.003927650959905536,-0.00024688329383503013,-0.0009120044685810718,-0.0008215996487128546,-0.00512228607959496,0.00023673834315630807,7.535327192088772e-05,-0.0027714793846711364,2.3710049125615388e-05,-0.003294367015473685,-0.0020936620854825486,-0.0071998857393695695,1549.09,2023-10-19 02:15:59.999000+00:00,-0.004036738343156308,-0.0038753532719208875,-0.0010285206153288634,-0.003823710049125615,-0.0005056329845263146,-0.0017063379145174512,0.00339988573936957,1548.59,2023-10-19 02:00:59.999000+00:00,ETHUSDT:public_vectorized_no_ema:2023-10-19T01:59:59.999000+00:00,2023-10-19 01:59:59.999000+00:00,public_vectorized_no_ema,1.7292576391991619,4,-0.0029013289122608032,-0.007213013128071433,0.005204734629566166,0.003609062967026233,-0.01080754161109354,True,UNWIND,confirm_expansion_2023_10,False,0.00010848000000000005,-0.0019387449228007597,-0.0015771256433272246,0.0001276509599055359,-0.0035531167061649696,-0.002887995531418928,-0.002978400351287145,0.0013222860795949604,-1,confirmation,FORCED_UNWIND_REJECTED,ETHUSDT,-0.27700746016536837,True,MIXED_15,2.8009336033989847
True,29.49037105783537,8.928177481949923,4,-0.003572135285209375,-0.0025499242806663472,-0.003275567895002594,0.0016966683493184881,0.017130792529025843,-0.0010670873296314426,0.01058738011105499,-0.0027081981600863706,0.0023493543885790965,-0.002240958598786467,0.0009350076084280307,0.01964984625292822,-0.0029607600851133545,0.012527599967166804,1583.77,2023-10-20 03:15:59.999000+00:00,-0.0010918018399136292,-0.006149354388579096,-0.0015590414012135328,-0.0047350076084280305,-0.023449846252928216,-0.0008392399148866453,-0.016327599967166803,1584.8,2023-10-20 03:00:59.999000+00:00,ETHUSDT:public_vectorized_no_ema:2023-10-20T02:59:59.999000+00:00,2023-10-20 02:59:59.999000+00:00,public_vectorized_no_ema,2.2770604685111877,3,0.003552544090175136,-0.004221352852094906,0.028527258960121094,0.0035827767362892615,0.01942113604179241,True,BUILD,confirm_expansion_2023_10,True,0.00021127,-0.00022786471479062484,-0.0012500757193336526,-0.000524432104997406,-0.005496668349318488,-0.02093079252902584,-0.002732912670368557,-0.014387380111054992,1,confirmation,SPONSORED_BUILD_BROAD,ETHUSDT,0.3650006054474983,True,MIXED_15,3.2672239705985437
True,41.454353681040025,12.058066072745989,4,0.0007012404005537615,-0.0037997125598315676,-0.0047371524177877026,-0.0018130850462820685,-0.006506492547042817,0.0025202462176474724,-0.007251477864623644,0.004438207761350079,9.040871799027741e-05,-0.004070789508058046,0.00033298978049513153,-0.006148278607460243,0.006074074926448083,-0.0035109870561233917,1607.71,2023-10-20 09:15:59.999000+00:00,-0.00823820776135008,-0.003890408717990277,0.0002707895080580464,-0.004132989780495131,0.002348278607460243,-0.009874074926448083,-0.0002890129438766081,1610.77,2023-10-20 09:00:59.999000+00:00,ETHUSDT:public_vectorized_no_ema:2023-10-20T08:59:59.999000+00:00,2023-10-20 08:59:59.999000+00:00,public_vectorized_no_ema,2.3220970785096675,4,0.00048447806805040905,-0.008977073076851472,0.01194459792521596,0.0038438184109885754,0.0236030982551938,True,BUILD,confirm_expansion_2023_10,False,-2.8499999999999988e-05,-0.004501240400553761,-2.8744016843215876e-07,0.0009371524177877028,-0.0019869149537179312,0.0027064925470428177,-0.006320246217647472,0.003451477864623644,1,confirmation,MIXED_SPONSORSHIP,ETHUSDT,0.16861969562186274,True,MIXED_15,4.92367322622554
True,31.281628298923952,11.626331595035712,4,0.0018877196247095846,-0.002500272523725742,0.005825507380350605,-0.005063436200034786,0.0078004039834083235,-0.00375484209831277,0.0017496569442525662,0.004388628214137671,-0.004464703197169837,0.005397691767122361,-0.0028910445609673244,0.008953439525259522,-0.0014915695142680857,0.002869026553987699,1664.91,2023-10-22 23:15:59.999000+00:00,-0.008188628214137671,0.0006647031971698375,-0.009197691767122361,-0.0009089554390326754,-0.012753439525259523,-0.002308430485731914,-0.006669026553987698,1665.91,2023-10-22 23:00:59.999000+00:00,ETHUSDT:public_vectorized_no_ema:2023-10-22T22:59:59.999000+00:00,2023-10-22 22:59:59.999000+00:00,public_vectorized_no_ema,2.646578565945802,4,0.006300325587295541,-0.005798632579190999,0.023614721083371704,0.003560755059263343,0.027731622281809365,True,BUILD,confirm_expansion_2023_10,False,-0.00014565999999999998,-0.005687719624709584,-0.0012997274762742577,-0.009625507380350605,0.001263436200034786,-0.011600403983408324,-4.515790168722997e-05,-0.005549656944252566,1,confirmation,MIXED_SPONSORSHIP,ETHUSDT,0.3047321376921229,True,MIXED_15,3.347274864071468
True,38.97964506518065,24.78009203274241,4,-0.007386599819726101,-0.01652346809094328,0.02488356483425426,-0.013953723889663304,0.012656285236007715,-0.012996368206833685,0.02206748349821132,0.005508880429533138,0.0007078804579416914,0.039536322831737816,-0.0016840970426976614,0.025587855458651734,9.994318343232891e-05,0.03869543762961293,1760.05,2023-10-23 23:15:59.999000+00:00,-0.009308880429533139,-0.004507880457941691,-0.043336322831737814,-0.0021159029573023383,-0.029387855458651732,-0.0038999431834323287,-0.04249543762961293,1786.17,2023-10-23 23:00:59.999000+00:00,ETHUSDT:public_vectorized_no_ema:2023-10-23T22:59:59.999000+00:00,2023-10-23 22:59:59.999000+00:00,public_vectorized_no_ema,2.8256553651003884,4,0.02069190152917777,-0.021817632140277765,0.035735680254399105,0.00634428033689538,-0.016389973301844663,True,UNWIND,confirm_expansion_2023_10,True,0.00067844,0.0035865998197261014,0.01272346809094328,-0.028683564834254258,0.010153723889663303,-0.016456285236007714,0.009196368206833684,-0.025867483498211316,1,confirmation,FORCED_UNWIND_ACCEPTED,ETHUSDT,0.10330180401298074,True,MIXED_15,7.549214617648419
True,23.613171283083794,8.494182136413531,4,-0.0060084738061129,-0.0017800906262423904,-0.0026762554195881453,-0.005989540747098552,-0.005503592232397035,-0.006399757025742568,-0.005951674629069857,-0.004392553889646198,-0.006108945428845534,-0.003622701802211124,-0.0056041243879045724,-0.005503160179716291,-0.0067021101519512,-0.003679494169316886,1584.72,2023-10-16 06:15:59.999000+00:00,0.0005925538896461985,0.0023089454288455344,-0.00017729819778887598,0.0018041243879045727,0.0017031601797162915,0.0029021101519512,-0.00012050583068311358,1584.53,2023-10-16 06:00:59.999000+00:00,ETHUSDT:impulse_only_2atr:2023-10-16T05:59:59.999000+00:00,2023-10-16 05:59:59.999000+00:00,impulse_only_2atr,2.6936083583510753,4,0.0004545971133083082,-0.012325421418338589,0.0362694300518136,0.001655576251360813,0.027420080421105553,True,BUILD,confirm_expansion_2023_10,False,-0.00024974999999999997,0.0022084738061129002,-0.0020199093737576094,-0.0011237445804118545,0.0021895407470985525,0.0017035922323970349,0.002599757025742568,0.002151674629069857,1,confirmation,MIXED_SPONSORSHIP,ETHUSDT,0.03951970780008591,True,MIXED_15,11.899121284793557
False,22.05348128280914,9.80767678311625,4,-0.0018612550771992403,-0.002222874356672775,-0.003927650959905536,-0.00024688329383503013,-0.0009120044685810718,-0.0008215996487128546,-0.00512228607959496,0.00023673834315630807,7.535327192088772e-05,-0.0027714793846711364,2.3710049125615388e-05,-0.003294367015473685,-0.0020936620854825486,-0.0071998857393695695,1549.09,2023-10-19 02:15:59.999000+00:00,-0.004036738343156308,-0.0038753532719208875,-0.0010285206153288634,-0.003823710049125615,-0.0005056329845263146,-0.0017063379145174512,0.00339988573936957,1548.59,2023-10-19 02:00:59.999000+00:00,ETHUSDT:impulse_only_2atr:2023-10-19T01:59:59.999000+00:00,2023-10-19 01:59:59.999000+00:00,impulse_only_2atr,1.7292576391991619,4,-0.0029013289122608032,-0.007213013128071433,0.005204734629566166,0.003609062967026233,-0.01080754161109354,True,UNWIND,confirm_expansion_2023_10,False,0.00010848000000000005,-0.0019387449228007597,-0.0015771256433272246,0.0001276509599055359,-0.0035531167061649696,-0.002887995531418928,-0.002978400351287145,0.0013222860795949604,-1,confirmation,FORCED_UNWIND_REJECTED,ETHUSDT,-0.27700746016536837,True,MIXED_15,2.8009336033989847
True,29.49037105783537,8.928177481949923,4,-0.003572135285209375,-0.0025499242806663472,-0.003275567895002594,0.0016966683493184881,0.017130792529025843,-0.0010670873296314426,0.01058738011105499,-0.0027081981600863706,0.0023493543885790965,-0.002240958598786467,0.0009350076084280307,0.01964984625292822,-0.0029607600851133545,0.012527599967166804,1583.77,2023-10-20 03:15:59.999000+00:00,-0.0010918018399136292,-0.006149354388579096,-0.0015590414012135328,-0.0047350076084280305,-0.023449846252928216,-0.0008392399148866453,-0.016327599967166803,1584.8,2023-10-20 03:00:59.999000+00:00,ETHUSDT:impulse_only_2atr:2023-10-20T02:59:59.999000+00:00,2023-10-20 02:59:59.999000+00:00,impulse_only_2atr,2.2770604685111877,3,0.003552544090175136,-0.004221352852094906,0.028527258960121094,0.0035827767362892615,0.01942113604179241,True,BUILD,confirm_expansion_2023_10,True,0.00021127,-0.00022786471479062484,-0.0012500757193336526,-0.000524432104997406,-0.005496668349318488,-0.02093079252902584,-0.002732912670368557,-0.014387380111054992,1,confirmation,SPONSORED_BUILD_BROAD,ETHUSDT,0.3650006054474983,True,MIXED_15,3.2672239705985437
True,41.454353681040025,12.058066072745989,4,0.0007012404005537615,-0.0037997125598315676,-0.0047371524177877026,-0.0018130850462820685,-0.006506492547042817,0.0025202462176474724,-0.007251477864623644,0.004438207761350079,9.040871799027741e-05,-0.004070789508058046,0.00033298978049513153,-0.006148278607460243,0.006074074926448083,-0.0035109870561233917,1607.71,2023-10-20 09:15:59.999000+00:00,-0.00823820776135008,-0.003890408717990277,0.0002707895080580464,-0.004132989780495131,0.002348278607460243,-0.009874074926448083,-0.0002890129438766081,1610.77,2023-10-20 09:00:59.999000+00:00,ETHUSDT:impulse_only_2atr:2023-10-20T08:59:59.999000+00:00,2023-10-20 08:59:59.999000+00:00,impulse_only_2atr,2.3220970785096675,4,0.00048447806805040905,-0.008977073076851472,0.01194459792521596,0.0038438184109885754,0.0236030982551938,True,BUILD,confirm_expansion_2023_10,False,-2.8499999999999988e-05,-0.004501240400553761,-2.8744016843215876e-07,0.0009371524177877028,-0.0019869149537179312,0.0027064925470428177,-0.006320246217647472,0.003451477864623644,1,confirmation,MIXED_SPONSORSHIP,ETHUSDT,0.16861969562186274,True,MIXED_15,4.92367322622554
True,31.281628298923952,11.626331595035712,4,0.0018877196247095846,-0.002500272523725742,0.005825507380350605,-0.005063436200034786,0.0078004039834083235,-0.00375484209831277,0.0017496569442525662,0.004388628214137671,-0.004464703197169837,0.005397691767122361,-0.0028910445609673244,0.008953439525259522,-0.0014915695142680857,0.002869026553987699,1664.91,2023-10-22 23:15:59.999000+00:00,-0.008188628214137671,0.0006647031971698375,-0.009197691767122361,-0.0009089554390326754,-0.012753439525259523,-0.002308430485731914,-0.006669026553987698,1665.91,2023-10-22 23:00:59.999000+00:00,ETHUSDT:impulse_only_2atr:2023-10-22T22:59:59.999000+00:00,2023-10-22 22:59:59.999000+00:00,impulse_only_2atr,2.646578565945802,4,0.006300325587295541,-0.005798632579190999,0.023614721083371704,0.003560755059263343,0.027731622281809365,True,BUILD,confirm_expansion_2023_10,False,-0.00014565999999999998,-0.005687719624709584,-0.0012997274762742577,-0.009625507380350605,0.001263436200034786,-0.011600403983408324,-4.515790168722997e-05,-0.005549656944252566,1,confirmation,MIXED_SPONSORSHIP,ETHUSDT,0.3047321376921229,True,MIXED_15,3.347274864071468
True,38.97964506518065,24.78009203274241,4,-0.007386599819726101,-0.01652346809094328,0.02488356483425426,-0.013953723889663304,0.012656285236007715,-0.012996368206833685,0.02206748349821132,0.005508880429533138,0.0007078804579416914,0.039536322831737816,-0.0016840970426976614,0.025587855458651734,9.994318343232891e-05,0.03869543762961293,1760.05,2023-10-23 23:15:59.999000+00:00,-0.009308880429533139,-0.004507880457941691,-0.043336322831737814,-0.0021159029573023383,-0.029387855458651732,-0.0038999431834323287,-0.04249543762961293,1786.17,2023-10-23 23:00:59.999000+00:00,ETHUSDT:impulse_only_2atr:2023-10-23T22:59:59.999000+00:00,2023-10-23 22:59:59.999000+00:00,impulse_only_2atr,2.8256553651003884,4,0.02069190152917777,-0.021817632140277765,0.035735680254399105,0.00634428033689538,-0.016389973301844663,True,UNWIND,confirm_expansion_2023_10,True,0.00067844,0.0035865998197261014,0.01272346809094328,-0.028683564834254258,0.010153723889663303,-0.016456285236007714,0.009196368206833684,-0.025867483498211316,1,confirmation,FORCED_UNWIND_ACCEPTED,ETHUSDT,0.10330180401298074,True,MIXED_15,7.549214617648419
False,15.019491169529916,20.31304083523976,4,-0.007384796576189943,-0.004288453287365477,-0.022255890347298343,-0.011032321392868015,-0.04108792588229569,-0.004709945043959483,-0.033279520904370016,-0.0045487555182407305,-0.008660014083362687,-0.01664419738374455,-0.0030754191154564884,-0.04081341440294671,-0.0011849985104135246,-0.027883804132925336,1846.15,2023-10-26 08:15:59.999000+00:00,0.0007487555182407307,0.004860014083362687,0.01284419738374455,-0.0007245808845435114,0.03701341440294671,-0.002615001489586475,0.024083804132925338,1850.57,2023-10-26 08:00:59.999000+00:00,ETHUSDT:impulse_only_2atr:2023-10-26T07:59:59.999000+00:00,2023-10-26 07:59:59.999000+00:00,impulse_only_2atr,1.8190284901066076,2,-0.0008260937643418398,-0.050427706058133404,0.011926055215420117,0.006479176301345646,0.07926141393716435,True,BUILD,confirm_expansion_2023_10,True,0.00046146,0.0035847965761899433,0.0004884532873654774,0.018455890347298345,0.007232321392868015,0.037287925882295694,0.0009099450439594831,0.02947952090437002,1,confirmation,SPONSORED_BUILD_BROAD,ETHUSDT,0.029855426742931013,True,MIXED_15,3.75144462885028
True,23.058520874547337,0.20853289055325505,4,0.002724735729386931,-0.0029570824524313014,0.00457463002114157,-0.008462720225510966,0.024262790697674244,-0.006877096546863957,0.03404080338266381,0.004405114638448073,-0.007411463844797171,0.007844268077601425,-0.004060493827160437,0.017323985890652663,-0.007896472663139297,0.03906119929453268,22.68,2023-10-16 06:15:59.999000+00:00,-0.008205114638448073,0.003611463844797171,-0.011644268077601426,0.0002604938271604368,-0.02112398589065266,0.004096472663139296,-0.04286119929453268,22.704,2023-10-16 06:00:59.999000+00:00,SOLUSDT:public_vectorized_no_ema:2023-10-16T05:59:59.999000+00:00,2023-10-16 05:59:59.999000+00:00,public_vectorized_no_ema,2.728586356283629,4,0.0003524850193865614,-0.008456659619450302,0.10324171952078909,0.003235356585543414,-0.001155570133711592,False,UNWIND,confirm_expansion_2023_10,False,-0.00032201,-0.0065247357293869305,-0.0008429175475686984,-0.00837463002114157,0.004662720225510965,-0.028062790697674242,0.0030770965468639574,-0.03784080338266381,1,confirmation,MIXED_SPONSORSHIP,SOLUSDT,0.09239312642422565,True,MIXED_15,7.845374136905143
