plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,move_3,flow_3,efficiency_3,location_3,move_15,flow_15,efficiency_15,location_15,move_60,flow_60,efficiency_60,location_60,move_240,flow_240,efficiency_240,location_240,context_scale,context_age,source_strength,body,wick,activity,range_expansion,impact_residual,flow_change,basis,basis_change,basis_dislocation,market_5,market_15,market_60,relative_15,relative_60,context_15,context_60,channel_location,source_age,source_kind,event_age,penetration,event_flow,event_activity,return_depth,return_activity,origin_overlap,entry_distance,risk_range,risk_bps,cost_r,planned_rr,target_range,is_origin_return,auction_rejection,higher_strength,lower_strength,trigger_strength,setup_age,trigger_age,overlap_width,peer_progress,peer_flow,m_opponent_markout_1,m_own_markout_1,m_trapped_opponent_1,m_trapped_self_1,m_extreme_flow_1,m_extreme_share_1,m_late_flow_1,m_late_progress_1,m_flow_price_alignment_1,m_opponent_markout_5,m_own_markout_5,m_trapped_opponent_5,m_trapped_self_5,m_extreme_flow_5,m_extreme_share_5,m_late_flow_5,m_late_progress_5,m_flow_price_alignment_5,x_spot_move_15,x_relative_move_15,x_spot_flow_15,x_relative_flow_15,x_oi_change_15,x_spot_move_60,x_relative_move_60,x_spot_flow_60,x_relative_flow_60,x_oi_change_60,x_index_basis,x_premium,x_premium_change,x_spot_activity,x_futures_activity,nav_before,score,position_id,opened,closed,entry_fill,exit_fill,quantity,pnl_ex_funding,holding_minutes,evaluation_censored,funding,pnl,net_r,probability
ACCEPTANCE:ec-re1-efficient-pullback-SOLUSDT-00000008,SOLUSDT:EFFICIENT_PULLBACK:SOLUSDT:SOLUSDT:5m:PIVOT:LOW:1646:s2:1775514900000000000,SOLUSDT,-1,1775589720000000000,1775514900000000000,80.81,81.16000000000001,79.47,3.8285714285713452,81.245,1.584962500721156,SOLUSDT:15m:PIVOT:LOW:511:s2:SNAP:1775589720000000000,ObjectKind.HORIZONTAL_SUPPORT,81.11999999999999,81.13,81.15,78.3,AUCTION_ACCEPTANCE,-0.5142857142857212,-0.06943307951682524,-0.2727272727272727,0.4166666666666692,-4.9714285714284765,-0.04776710156086447,-0.6641221374045825,-0.45161290322580494,-4.571428571428444,0.008942829070327861,-0.2547770700636933,-0.5952380952380929,-11.885714285713986,-0.051207011699765236,-0.1805555555555559,-0.7333333333333318,0.0,0.0,2.0615384615384937,0.5909090909090733,0.13636363636364224,0.8829886202115547,1.122398311823909,0.653548015137317,0.1053289997319216,-0.0695673692452381,-2.1589822344625365,-0.6664310863208219,-0.6698380566801545,-2.646212624079487,-0.17930624312776924,-2.3252159473489895,-4.392122328300675,-0.0,-0.0,0.0,3.0757749812275277,0.0,7.129297548929373,16.82857142857106,0.007365930242176947,6.710593446721577,0.852292020373514,0.0,0.0,2.4857142857142382,2.0,43.31147135255643,0.2776628571428504,3.8285714285713452,7.6571428571426905,0.0,0.0,2.0615384615384937,1.3913043478261171,4.264813962083611,7.351158226430694,0.0,0.05714285714288499,-2.4939271255059405,-0.13686575393287956,,,,,,,,,,,,,,,,,,,-4.881046680980912,-0.11733671452544496,-0.25948760942022614,0.21172050785936175,41.92314802693886,-4.534804653832913,-0.059402410774611655,-0.09971636351230673,0.10865919258263464,-69.41663294764311,4.82260939196677,5.9553,1.5239000000000003,1.1032140617115898,1.1258784194258218,100000.0,0.004116052412809438,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1775589720000000000,1775590860000000000,80.8,81.18,6427.22,-2962.8841478,19.0,False,0.0,-2962.8841478,-0.9876280492666667,0.3110095134967338
REJECTION:h4-liquidity-SOLUSDT-00000042,SOLUSDT:H4_SWEEP:SOLUSDT:1775678400000000000:PREVIOUS_H4_LOW:41,SOLUSDT,1,1775687160000000000,1775687100000000000,82.89,82.67,83.455,2.568181818181821,82.74,5.584962500721156,PREVIOUS_H4:1775678400000000000:PREVIOUS_H4_LOW:SNAP:1775687100000000000,H4LiquidityKind.PREVIOUS_H4_MIDPOINT,82.735,82.74499999999999,82.94,82.84,AUCTION_REJECTION,0.3124999999999889,-0.16574358124290414,0.45454545454543105,0.0,-1.3750000000000222,-0.21725290627820168,-0.3666666666666856,-0.06666666666667087,-3.3125000000000777,-0.18062461735567553,-0.2465116279069799,-0.5333333333333428,-1.8125000000000777,-0.03130606225116321,-0.030818278427205824,-0.5333333333333428,0.0,0.0,1.0,0.6000000000000568,-0.3999999999999432,0.44880355632524904,0.5491078103369872,0.3026075119416375,-0.29528470966511366,-1.005342277196064,-0.1265617456802648,-0.129180170327964,0.19396423801752957,-1.3718003412969315,-2.9823369565217948,-0.003199658703090691,-0.33016304347828296,-1.0,0.0,-0.4921855921856092,0.47260441094579286,0.0,0.6931471805599453,-0.6250000000000666,-0.35209567448449697,1.4006313250489468,0.24999999999998224,0.0,0.0,0.9375000000000555,1.3750000000000222,26.541199179635523,0.45152727272727505,2.568181818181821,3.5312500000000613,0.0,1.0,1.0,1.0,1.0,4.990432586778736,0.0,0.06249999999994449,-1.368600682593841,-0.19263564715326495,,,,,,,,,,,,,,,,,,,-1.3723517958876876,-0.0008267189166869148,-0.3159469443468006,0.09869403806859842,26.568379134044307,-3.2999705954449685,-0.0019842420365915195,-0.17231744636702878,-0.008307170988647,19.844435339777533,-5.311766229070258,-4.2688999999999995,0.6036000000000002,0.8619270395022292,0.8715441483996149,97037.1158522,0.0005103622202053994,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1775687160000000000,1775687280000000000,82.91,82.65,8212.33,-2815.0224774000003,2.0,False,0.0,-2815.0224774000003,-0.9669916686613128,0.41237249999402914
REJECTION:h4-liquidity-SOLUSDT-00000054,SOLUSDT:H4_SWEEP:SOLUSDT:1775851200000000000:PREVIOUS_H4_HIGH:53,SOLUSDT,-1,1775851560000000000,1775851500000000000,85.38,85.49000000000001,85.07,2.8181818181814893,85.44,5.584962500721156,PREVIOUS_H4:1775851200000000000:PREVIOUS_H4_HIGH:SNAP:1775851500000000000,ObjectKind.HORIZONTAL_SUPPORT,85.435,85.445,85.45,85.36,AUCTION_REJECTION,0.1250000000000555,0.16834832818031012,0.2500000000000888,0.5555555555556608,-0.68749999999995,-0.15025595275059717,-0.22448979591836854,-0.09090909090900867,-1.437499999999839,-0.03682190756548255,-0.10407239819004024,-0.5238095238094851,-7.499999999999423,-0.04687711519055431,-0.12605042016806628,-0.8518518518518401,0.0,0.0,1.0,0.5714285714286005,-0.14285714285699785,0.3516081172842723,0.7375989431308272,0.02264013297079842,0.7288423047455201,-0.0,2.3424689622864037,-0.09213075685017258,-0.3901495448634861,-1.0357607282184476,-1.270871261378426,0.3482607282184975,-0.16662873862141292,-1.0,-1.0,-0.17292724196274478,0.02061928720273568,0.0,0.6931471805599453,0.06250000000002776,0.36478769496401997,0.7119218711015187,0.2499999999999556,0.0,0.0,0.3749999999999889,0.6875000000000389,12.883579292575972,0.9320181818180662,2.8181818181814893,1.9374999999998834,0.0,1.0,1.0,1.0,1.0,1.9459101490553132,0.0,0.06249999999993894,-1.0715214564368951,-0.17570245385678893,,,,,,,,,,,,,,,,,,,-0.7501758498832648,0.0622325960911322,-0.01782450955939168,-0.13243144319120534,-38.847997125976974,-1.5014077900024783,0.061968108758073376,0.08614789820385012,-0.12296980576933256,-15.570927344459307,5.269746694326338,3.226,-0.1416000000000004,0.6399360079863416,0.7485561121186769,94222.09337480001,0.0016172662438710649,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1775851560000000000,1775853060000000000,85.36,85.52,11200.62,-2749.0801728,25.0,False,0.0,-2749.0801728,-0.972553277875997,0.5112443174164818
