plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,control_scale,defeated_scale,impulse_efficiency,impulse_activity,impulse_flow,break_distance,control_age,pullback_depth,pullback_activity,pullback_flow,opponent_value_reclaim,response_flow,response_activity,risk_bps,risk_range,cost_r,planned_rr,market_move,relative_move,nav_before,score,position_id,opened,closed,entry_fill,exit_fill,quantity,pnl_ex_funding,holding_minutes,evaluation_censored,funding,pnl,net_r,probability
SOLUSDT:60:ORIGIN:1724504400000000000:1:1724536860000000000,SOLUSDT:60:ORIGIN:1724504400000000000:1,SOLUSDT,1,1724536860000000000,1724500860000000000,158.005,156.87800000000001,160.591,2.294587400177512,157.2585,60,SOLUSDT:60:ORIGIN:1724504400000000000:1,OPPOSING_ORIGIN,157.228,157.289,162.325,158.005,AUCTION_CONTROL_SURVIVAL,2.4849066497880004,1.0986122886681098,0.3593536017529494,0.5587647505172766,0.017515630588985507,0.039299749910683884,7.016666666666667,0.7930971176794591,2.0531453543860825,0.13574263500866013,0.3820645542247358,0.22679402400195933,1.5626427722270195,71.32685674503851,0.6710730022627017,0.16823957409050855,2.294587400177512,-1.0022511873499513,0.03825180118337823,10000.0,1.0,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1724536860000000000,1724543640000000000,158.02,160.59,224.35,551.6479332,113.0,False,0.0,551.6479332,1.838826444,
SOLUSDT:15:ORIGIN:1724568300000000000:-1:1724587080000000000,SOLUSDT:15:ORIGIN:1724568300000000000:-1,SOLUSDT,-1,1724587080000000000,1724567460000000000,157.242,158.202,156.226,1.0583333333333154,157.70499999999998,15,SOLUSDT:15:ORIGIN:1724568300000000000:-1,15M_OPPOSING_LIQUIDITY,157.65,157.76,157.242,155.21,AUCTION_CONTROL_SURVIVAL,1.0986122886681098,2.4849066497880004,0.46016949152542647,1.8058233057885853,0.1995104786261662,0.4761904761904951,18.866666666666667,0.6791443850267342,0.9010835329024084,-0.007378053915468181,0.04474548920191904,0.4852791878172589,0.5647423064610916,61.05239058266927,1.4109347442680917,0.19655249999999835,1.0583333333333154,-0.026247474288672825,-0.3661909056409112,10551.6479332,1.0,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1724587080000000000,1724591220000000000,157.22,158.22,267.75,-309.97953,69.0,False,0.0,-309.97953,-0.9792452387924221,
ETHUSDT:15:ORIGIN:1724619600000000000:1:1724625180000000000,ETHUSDT:15:ORIGIN:1724619600000000000:1,ETHUSDT,1,1724625180000000000,1724618760000000000,2770.28,2767.35,2781.72,3.904436860067735,2769.015,15,ETHUSDT:15:ORIGIN:1724619600000000000:1,OPPOSING_ORIGIN,2768.58,2769.45,2791.66,2770.28,AUCTION_CONTROL_SURVIVAL,1.0986122886681098,2.4849066497880004,0.5119760479041942,1.9696934796917815,0.33114523077401314,0.8101892800282748,5.2,0.8794734677087496,1.0687512284815088,0.04804898252067115,0.002372062113778654,-0.03688669114820161,0.7327153046345157,10.576548218953647,0.5183088625508993,1.1345856655288975,3.904436860067735,-0.023484851212080046,-0.6119198778289793,10241.6684032,1.0,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1724625180000000000,1724625300000000000,2770.67,2766.96,45.447,-294.44270531,2.0,False,0.0,-294.44270531,-0.9583162095543003,
SOLUSDT:15:ORIGIN:1724664600000000000:1:1724676360000000000,SOLUSDT:15:ORIGIN:1724664600000000000:1,SOLUSDT,1,1724676360000000000,1724663760000000000,159.218,158.354,160.298,1.2500000000000493,159.1165,15,SOLUSDT:15:ORIGIN:1724664600000000000:1,OPPOSING_ORIGIN,158.992,159.241,162.0,159.218,AUCTION_CONTROL_SURVIVAL,1.0986122886681098,1.0986122886681098,0.3506656618939936,1.746259497618398,0.11038772795974233,0.8354828562441241,11.066666666666666,0.7630279758639662,2.096966285300611,-0.09982494036711335,0.24327495900858412,0.677256999056307,1.137419392541477,54.2652212689505,1.087134318968202,0.22113611111111725,1.2500000000000493,-0.9598256040072066,0.1389853042786976,9947.225697889999,1.0,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1724676360000000000,1724678400000000000,159.24,160.3,277.09,262.7699888,34.0,False,0.0,262.7699888,0.8805469879430425,
SOLUSDT:15:ORIGIN:1724693400000000000:-1:1724695380000000000,SOLUSDT:15:ORIGIN:1724693400000000000:-1,SOLUSDT,-1,1724695380000000000,1724692560000000000,157.055,157.89499999999998,155.547,1.7952380952381604,157.28199999999998,15,SOLUSDT:15:ORIGIN:1724693400000000000:-1,OPPOSING_ORIGIN,157.14,157.424,157.055,155.451,AUCTION_CONTROL_SURVIVAL,1.0986122886681098,1.0986122886681098,0.3234767025089558,0.6756685182315335,0.21458976340320615,0.36949022614028265,1.2,0.6563011456628564,1.775788288846686,0.07355671902268761,0.16232181920136154,0.17783970571842603,2.224167084013071,53.48444812326732,0.6439248754311797,0.2243642857142924,1.7952380952381604,0.8806485041128218,-0.7113847875007986,10209.99568669,1.0,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1724695380000000000,1724696040000000000,157.04,157.91,291.77,-299.78638075000003,11.0,False,0.0,-299.78638075000003,-0.9787349245759522,
ETHUSDT:60:ORIGIN:1724727600000000000:1:1724740860000000000,ETHUSDT:60:ORIGIN:1724727600000000000:1,ETHUSDT,1,1724740860000000000,1724724060000000000,2679.6,2665.1499999999996,2695.1899999999996,1.078892733563972,2677.2200000000003,60,ETHUSDT:60:ORIGIN:1724727600000000000:1,OPPOSING_ORIGIN,2675.88,2678.56,2699.11,2679.6,AUCTION_CONTROL_SURVIVAL,2.4849066497880004,1.0986122886681098,0.26882067851372937,0.7668951048147505,0.09020811396130271,0.09934479740756956,0.6833333333333333,0.5744994110718473,2.565196159694877,-0.16919102757752916,0.1338306487900635,0.5127158640102922,0.5211384465447342,53.925959098373916,0.6835868202568901,0.2225273356401342,1.078892733563972,-0.9016721352421279,-0.06160591177451813,9910.209305940001,1.0,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1724740860000000000,1724753220000000000,2679.91,2664.83,16.512,-293.12713344,206.0,False,-2.2595735158656,-295.38670695586563,-0.9935434521341413,
BTCUSDT:15:ORIGIN:1724825700000000000:-1:1724835420000000000,BTCUSDT:15:ORIGIN:1724825700000000000:-1,BTCUSDT,-1,1724835420000000000,1724824860000000000,59214.4,59336.299999999996,58475.6,6.0607054963087625,59277.6,15,BTCUSDT:15:ORIGIN:1724825700000000000:-1,OPPOSING_ORIGIN,59267.0,59288.2,59214.4,58475.2,AUCTION_CONTROL_SURVIVAL,1.0986122886681098,1.0986122886681098,0.26995481927709897,1.1571584246037465,0.3653237063180909,0.14598141060687253,9.8,0.8584368830565621,0.7443712787228837,-0.03946459143968875,0.24043622024267255,0.2670143138402596,0.5225451619999061,20.58620876003036,0.6664844177145637,0.5829145200984691,6.0607054963087625,-0.7214379813049152,-0.5879418731194017,9614.82259898,1.0,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1724835420000000000,1724836140000000000,59207.100000000006,59343.5,1.429,-279.6200037,12.0,False,0.0,-279.6200037,-0.9694060076562198,
BTCUSDT:60:ORIGIN:1724850000000000000:-1:1724854500000000000,BTCUSDT:60:ORIGIN:1724850000000000000:-1,BTCUSDT,-1,1724854500000000000,1724846460000000000,59758.0,60131.1,59157.1,1.6105601715357916,59908.649999999994,60,BTCUSDT:60:ORIGIN:1724850000000000000:-1,IMPULSE_EXTERNAL_LIQUIDITY,59900.2,59917.1,59758.0,59157.0,AUCTION_CONTROL_SURVIVAL,2.4849066497880004,1.0986122886681098,0.5886853231326704,1.1239431016657788,0.10343688625941248,0.5055886820686053,0.25,0.6169797762036761,1.1749586847766373,0.0931961496613099,0.19542636635413357,0.19281290534738846,1.1802188235706328,62.43515512567331,0.5639316510606754,0.19219941034575255,1.6105601715357916,0.20294751115744092,-0.14992381473128594,9335.20259528,1.0,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1724854500000000000,1724856360000000000,59751.6,59157.100000000006,0.619,342.17873082,31.0,False,0.0,342.17873082,1.2218221916005338,
ETHUSDT:15:ORIGIN:1724870700000000000:1:1724872500000000000,ETHUSDT:15:ORIGIN:1724870700000000000:1,ETHUSDT,1,1724872500000000000,1724869860000000000,2521.31,2511.99,2545.1899999999996,2.5622317596565702,2516.8450000000003,15,ETHUSDT:15:ORIGIN:1724870700000000000:1,IMPULSE_EXTERNAL_LIQUIDITY,2514.43,2519.26,2545.2,2521.31,AUCTION_CONTROL_SURVIVAL,1.0986122886681098,1.0986122886681098,0.34479025710419064,0.9978386458152769,-0.038687479785971944,0.07049131597944105,1.0,0.7193616380608204,0.9428571676628422,0.13397080278979304,0.13356612098443754,0.4447857325724007,1.2263029688570384,36.96491109780298,0.39577052104124083,0.32463218884119593,2.5622317596565702,0.7381527843203106,-0.49368166359816834,9677.3813261,1.0,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1724872500000000000,1724872920000000000,2521.6,2511.69,22.931,-284.9553965,7.0,False,0.0,-284.9553965,-0.9815168893933194,
SOLUSDT:15:ORIGIN:1724881500000000000:-1:1724887920000000000,SOLUSDT:15:ORIGIN:1724881500000000000:-1,SOLUSDT,-1,1724887920000000000,1724880660000000000,143.758,144.76,142.221,1.533932135728578,144.167,15,SOLUSDT:15:ORIGIN:1724881500000000000:-1,OPPOSING_ORIGIN,143.879,144.455,143.758,141.508,AUCTION_CONTROL_SURVIVAL,1.0986122886681098,1.0986122886681098,0.38354919336514315,0.9473618514507531,0.12234744380338748,0.3166699085781062,5.133333333333334,0.6918819188191923,1.9959657106844355,-0.0990205344101727,0.1341473639150096,0.18461300787888152,0.6475298731049522,69.70046884347174,0.7796148609219855,0.17216526946108107,1.533932135728578,-0.9322286553156671,-0.42789192156265354,9392.4259296,1.0,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1724887920000000000,1724890620000000000,143.74,144.78,235.3,-278.656378,45.0,False,-0.5832171651699453,-279.23959516517,-0.9910098387011789,
