run_id,scenario_id,branch,side,signal_observed_ns,opened_ns,closed_ns,entry_reference,stop_price,target_price,planned_loss,gross_realized_pnl,native_net_realized_pnl,native_commissions,extra_composite_cost,net_pnl,realized_r,nav_before,nav_after,net_reward_to_risk_at_signal,reason_code
baseline:development-2023,QH-1673492460000000000-1069,QUARTER_HOUR_DELIVERY,SELL,1673492460000000000,1673492460000000000,1673492520000000000,18198.7,18204.343,17501.4,2159.06907225375,-366.996,-796.4167089,429.4207089,1359.8322448499998,-2156.2489537499996,-0.9986938266403831,71969.52125875003,69813.27230500003,20.352684184394825,PERIODIC_ALGORITHMIC_FLOW_DELIVERY
baseline:development-2023,QH-1673498760000000000-1076,QUARTER_HOUR_DELIVERY,BUY,1673498760000000000,1673498760000000000,1673498820000000000,18223.0,18214.695,18400.0,2094.38115099,-489.5345999999999,-875.0335010499999,385.49890105000003,1220.74652,-2095.78002105,-1.0006679157035665,69813.27230500003,67717.49228395004,4.196436216896555,PERIODIC_ALGORITHMIC_FLOW_DELIVERY
baseline:development-2023,QH-1673499660000000000-1077,QUARTER_HOUR_DELIVERY,BUY,1673499660000000000,1673499660000000000,1673500860000000000,18207.6,18205.7185,18400.0,2031.523285277875,-140.2946,-596.4347176,456.1401176,1444.4437056999998,-2040.8784232999997,-1.004604986853914,67717.49228395004,65676.61386065003,5.6504243653452315,PERIODIC_ALGORITHMIC_FLOW_DELIVERY
baseline:development-2023,QH-1673502360000000000-1080,QUARTER_HOUR_DELIVERY,BUY,1673502360000000000,1673502360000000000,1673502540000000000,18152.4,18140.548499999997,18400.0,1970.283047218651,-600.0932,-929.52530502,329.43210502,1043.20166588,-1972.7269709000002,-1.001240392178575,65676.61386065003,63703.88688975003,5.635497141019326,PERIODIC_ALGORITHMIC_FLOW_DELIVERY
baseline:development-2023,QH-1673503260000000000-1081,QUARTER_HOUR_DELIVERY,BUY,1673503260000000000,1673503260000000000,1673511180000000000,18097.4,18077.773,18400.0,1911.108497142,-801.0912,-1067.23069939,266.13949938999997,842.77508141,-1910.0057808,-0.9994229964736961,63703.88688975003,61793.88110895003,5.886152417417675,PERIODIC_ALGORITHMIC_FLOW_DELIVERY
baseline:development-2023,QH-1673517660000000000-1097,QUARTER_HOUR_DELIVERY,SELL,1673517660000000000,1673517660000000000,1673518920000000000,18151.7,18160.1555,18070.0,1853.814069177375,-443.0471999999999,-782.5542996199999,339.50709962,1075.1058154300001,-1857.66011505,-1.0020746664601223,61793.88110895003,59936.22099390003,1.5280093752508923,PERIODIC_ALGORITHMIC_FLOW_DELIVERY
baseline:development-2023,QH-1673535660000000000-1117,QUARTER_HOUR_DELIVERY,BUY,1673535660000000000,1673535660000000000,1673544540000000000,18013.9,17978.2965,18220.0,1798.0548231995,5920.0164,5722.20851655,197.80788345,582.77902425,5139.4294923,2.858327469211857,59936.22099390003,65075.65048620003,2.8583274692117846,PERIODIC_ALGORITHMIC_FLOW_DELIVERY
baseline:development-2023,QH-1673555460000000000-1139,QUARTER_HOUR_DELIVERY,SELL,1673555460000000000,1673555460000000000,1673555640000000000,18936.1,18943.102499999997,18070.0,1952.2581503685844,-385.9100000000001,-761.80045328,375.89045328,1190.31976872,-1952.120222,-0.999929349318604,65075.65048620003,63123.53026420003,23.674114651037208,PERIODIC_ALGORITHMIC_FLOW_DELIVERY
baseline:development-2023,QH-1673556360000000000-1140,QUARTER_HOUR_DELIVERY,SELL,1673556360000000000,1673556360000000000,1673556720000000000,18920.8,18946.5445,18070.0,1893.66752290725,-898.8317999999999,-1137.21857104,238.38677103999999,754.8914416099999,-1892.1100126499998,-0.9991775165183913,63123.53026420003,61231.42025155003,15.20097465494184,PERIODIC_ALGORITHMIC_FLOW_DELIVERY
baseline:development-2023,QH-1673558160000000000-1142,QUARTER_HOUR_DELIVERY,SELL,1673558160000000000,1673558160000000000,1673559300000000000,18817.1,18849.112,18070.0,1836.895889638,-975.424,-1182.08939952,206.66539952,654.4404317799999,-1836.5298312999998,-0.9998007190608542,61231.42025155003,59394.89042025003,11.938514254975445,PERIODIC_ALGORITHMIC_FLOW_DELIVERY
baseline:development-2023,QH-1673564460000000000-1149,QUARTER_HOUR_DELIVERY,SELL,1673564460000000000,1673564460000000000,1673567700000000000,18893.8,18909.2475,18070.0,1781.819079010625,1430.3661,1153.92084189,276.44525811,875.409984015,278.51085787500006,0.1563070354088061,59394.89042025003,59673.40127812503,18.175366354888688,PERIODIC_ALGORITHMIC_FLOW_DELIVERY
