plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,move_3,flow_3,efficiency_3,location_3,move_15,flow_15,efficiency_15,location_15,move_60,flow_60,efficiency_60,location_60,move_240,flow_240,efficiency_240,location_240,context_scale,context_age,source_strength,body,wick,activity,range_expansion,impact_residual,flow_change,basis,basis_change,basis_dislocation,market_5,market_15,market_60,relative_15,relative_60,context_15,context_60,channel_location,source_age,source_kind,event_age,penetration,event_flow,event_activity,return_depth,return_activity,origin_overlap,entry_distance,risk_range,risk_bps,cost_r,planned_rr,target_range,is_origin_return,controller_age,controller_progress,controller_distance,controller_scale,context_240,pullback_depth,pullback_effort,initiative_effort,defense_frame,defense_body,return_effort,return_progress,peer_direction,peer_flow,m_opponent_markout_1,m_own_markout_1,m_trapped_opponent_1,m_trapped_self_1,m_extreme_flow_1,m_extreme_share_1,m_late_flow_1,m_late_progress_1,m_flow_price_alignment_1,m_opponent_markout_5,m_own_markout_5,m_trapped_opponent_5,m_trapped_self_5,m_extreme_flow_5,m_extreme_share_5,m_late_flow_5,m_late_progress_5,m_flow_price_alignment_5,x_spot_move_15,x_relative_move_15,x_spot_flow_15,x_relative_flow_15,x_oi_change_15,x_spot_move_60,x_relative_move_60,x_spot_flow_60,x_relative_flow_60,x_oi_change_60,x_index_basis,x_premium,x_premium_change,x_spot_activity,x_futures_activity,nav_before,score,position_id,opened,closed,entry_fill,exit_fill,quantity,pnl_ex_funding,holding_minutes,evaluation_censored,funding,pnl,net_r,probability
BTCUSDT:240:1723449600000000000:-1:PULLBACK:1723755600000000000:1723775340000000000:1,BTCUSDT:240:1723449600000000000:-1:PULLBACK:1723755600000000000,BTCUSDT,-1,1723775340000000000,1723755900000000000,57715.3,57789.1,57342.1,5.05691056910605,57615.0,5.584962500721156,240:1723449600000000000:-1,OBSERVED_OPPOSING_STRUCTURE,57691.2,57718.3,57752.6,57062.1,DIRECTED_RENEWED_DEFENSE,-0.668417596848348,-0.4168847473903226,-0.7485294117647273,-0.4902564102564402,-2.305975049244951,-0.3968273647900846,-0.6189636940430093,-0.7755194218608998,-3.198292843072936,-0.22169547167376455,-0.24962845282632726,-0.8442494515825845,-0.5541694024950877,0.013457709764269209,-0.01191282746160826,-0.6580784363497987,0.0,0.0,2.600801295712211,-0.6696113074205089,0.25500588928147755,2.185628794867457,1.4814938143225043,-0.49149552152428705,-0.1292747432257625,0.13860950410671258,0.13860950410671258,-0.431901138589333,-1.0274705196137837,-2.041160100633906,-3.1665558628619968,-0.2648149486110447,-0.03173698021093907,1.0,1.0,-3.522538007287321,3.1032779001171544,0.0,5.783825182329737,5.92317793827973,-0.11066900999544448,4.039174706162884,1.181407126062584,2.185628794867457,1.0,-0.658568614576516,0.4845699277741037,12.786903992528087,0.9390601626016816,5.05691056910605,2.4504267892318197,1.0,1.943526357700037,10.807616546290268,1.7380170715692604,5.584962500721156,-0.0,12.350623768877275,0.31616973677422466,0.20970900814959134,5.0,0.5167432698620976,1.0021470642964374,-0.7465528562048911,-1.8954635108481326,-0.2459814749935264,,,,,,,,,,,,,,,,,,,-2.304638984748158,-0.008380633722438897,-0.17405185125362116,-0.22277551353646308,-7.651098113026222,-3.2445052213052428,0.03263963656006041,-0.13746488490259845,-0.08423058677116599,-52.93812277869847,3.987701141640043,3.777,0.030100000000000134,0.7530971050203756,0.9118985652075571,100000.0,0.06093983739831843,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1723775340000000000,1723775400000000000,57706.0,57798.4,19.236,-2888.3277192,1.0,False,0.0,-2888.3277192,-0.9627759064,0.5
BTCUSDT:60:1723791600000000000:1:PULLBACK:1723806900000000000:1723813080000000000:1,BTCUSDT:60:1723791600000000000:1:PULLBACK:1723806900000000000,BTCUSDT,-1,1723813080000000000,1723806900000000000,57939.1,58122.2,57515.4,2.3140360458765725,58619.9,3.584962500721156,60:1723791600000000000:1,OBSERVED_OPPOSING_STRUCTURE,57933.0,58035.7,57933.0,57500.0,DIRECTED_RENEWED_DEFENSE,-1.0049369171694689,-0.3121601920242285,-1.0,-0.41085271317825955,-3.506308283049846,-0.14739338670655253,-0.5750269881252117,-0.780577427821507,4.714207350521091,0.05207559541044459,0.16341509792736383,0.10752032520325494,4.24136039495329,0.010485052826727674,0.05358132830690762,0.24044282996021515,0.0,0.0,1.6525021779111408,-0.37080291970805046,0.591240875912515,0.8501838835922173,0.6157747980786468,0.31508914675033006,-0.34014934728773133,0.26538533784092877,-2.496409049715931,-0.3085053511558898,-0.710165784672544,-1.2684878806078288,7.360451346787917,-2.237820402442017,-2.6462439962668256,1.0,-1.0,1.79582692504873,1.6582280766035324,0.0,4.6443908991413725,-0.2183214481623822,0.050547012254367266,4.598664438098999,0.392088579337439,0.8501838835922173,1.0,7.469007131102491,2.00877674163462,31.602147772402155,0.38032102676133556,2.3140360458765725,4.648381788261002,1.0,1.312827209238018,12.286341195830868,7.86834887547982,3.584962500721156,1.0,4.652770159078352,0.8378334242438472,1.9871043781579747,5.0,4.850246845858382,1.5404564692318823,-0.27866154690072464,-0.4720670391060916,-0.08874333377344301,,,,,,,,,,,,,,,,,,,-3.6390556349409033,0.12304100304417884,-0.12737306962521644,-0.020020317081335726,7.668909002269686,4.7085239289026575,-0.011711866652632807,0.06438069839040234,-0.012305102979957704,12.053055005569746,4.833224430076388,5.6378,2.1691000000000007,0.955599530309725,1.0273385488777178,97111.67228079999,0.6196789732386645,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1723813080000000000,1723814160000000000,57931.100000000006,58130.4,11.082,-2851.7393715,18.0,False,0.0,-2851.7393715,-0.9788522514074137,0.5
SOLUSDT:240:1723752000000000000:-1:PULLBACK:1723829400000000000:1723830420000000000:1,SOLUSDT:240:1723752000000000000:-1:PULLBACK:1723829400000000000,SOLUSDT,-1,1723830420000000000,1723829100000000000,138.282,138.623,137.772,1.4956011730206733,137.65,5.584962500721156,240:1723752000000000000:-1,OBSERVED_OPPOSING_STRUCTURE,138.229,138.385,138.6,137.762,DIRECTED_RENEWED_DEFENSE,-0.5203252032520349,0.047619047619047616,-0.8669950738915618,-0.7275747508305876,-0.43015521064300805,0.13428096805960352,-0.09426627793974662,0.10344827586204863,-0.2453806356245318,0.03015516381234683,-0.01585482330467969,-0.5543175487465253,3.7132298595713,0.04708351893775285,0.0605563859023188,0.08053553038104877,0.0,0.0,2.4417611903890744,-0.5277777777778216,0.033950617283935995,0.44626865001969607,0.66503599625935,-0.16133693353022396,-0.2191749858556155,-0.8554397412185999,-1.7244903349755702,-0.41885379436070713,0.09374273371432659,-0.3517049073101969,-0.1659293939446293,-0.07845030333281117,-0.0794512416799025,1.0,-1.0,-0.9055159186804789,1.8491107656995207,0.0,3.1354942159291497,2.088691796008872,0.0031409732515133466,3.3903651130538153,4.642857142857451,0.44626865001969607,1.0,-0.9342202512934235,0.5040650406503734,24.659753257833973,0.48722287390032204,1.4956011730206733,0.7538802660754118,1.0,0.24946085963158315,2.365114560236488,2.2232076866222927,5.584962500721156,1.0,4.24538063562449,1.068766539586068,0.7923350606577906,5.0,0.7139689578713984,0.5686428718693124,-0.2527716186253061,-0.29268292682929076,-0.054343707356611655,,,,,,,,,,,,,,,,,,,-0.3993933695342997,-0.031215085406342685,0.22515098910535555,-0.09087002104575204,-104.61067823964498,-0.20699544276418677,-0.03853259387250762,0.245853004327156,-0.21569784051480917,53.31554428664731,2.2328418952943796,3.6432,1.0769000000000002,0.6529859655379782,0.8282559675118647,94259.9329093,0.512777126099678,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1723830420000000000,1723830480000000000,138.26,138.64,5209.69,-2700.9637804999998,1.0,False,0.0,-2700.9637804999998,-0.9551473594119628,0.5
BTCUSDT:60:1723816800000000000:1:PULLBACK:1723833600000000000:1723835520000000000:1,BTCUSDT:60:1723816800000000000:1:PULLBACK:1723833600000000000,BTCUSDT,1,1723835520000000000,1723833600000000000,59402.4,59254.9,59594.9,1.305084745762712,58908.5,3.584962500721156,60:1723816800000000000:1,OBSERVED_OPPOSING_STRUCTURE,59382.4,59402.8,59595.0,59372.7,DIRECTED_RENEWED_DEFENSE,-0.3443335891532125,-0.38312444603968737,-1.0,-0.7086494688922012,-0.03479150677920496,0.03423888406144003,-0.017302798982177507,-0.8186968838526525,1.4044512663085136,0.006438384988641968,0.12248449422158968,0.2907383538943138,6.678946022000495,0.040493908315488526,0.12793774624144905,0.8067913928875972,0.0,0.0,2.7496339677891655,-0.5491452991452028,0.36965811965815887,0.4196573700011867,0.47761099525034145,0.03968566902828863,-0.1713461335691366,-0.38184787034878376,-0.38184787034878376,0.006454739691729188,-0.7756515690800284,0.08261690397214133,1.4462471135982518,-0.11740841075134628,-0.041795847289738175,-1.0,1.0,2.508140902536433,1.7346010553881064,0.0,3.4965075614664802,3.0324891276541055,-0.1414068656944079,2.509011980787377,0.2805535324107772,0.569786584394917,1.0,2.5269889997441783,0.7546687132258861,24.83064657320243,0.48267376271186435,1.305084745762712,0.9849066257354786,1.0,0.6678293725756554,3.5124072652852263,4.265029419288798,3.584962500721156,-1.0,1.4648247633665994,0.5612441208015342,0.3619283203252476,5.0,0.252750063954945,0.6008622384250589,-0.30954208237400754,0.20512820512818178,0.04875278182735492,,,,,,,,,,,,,,,,,,,-0.04381369518427302,0.009024179605492363,0.09260871729729697,-0.058369833235857524,9.64926969187374,1.478074001641601,-0.07036770123565747,0.10031132517547996,-0.09387294018683807,88.33471068237841,-6.82814098970419,-5.2603,-4.076700000000001,0.6592840345343738,0.5318197281499899,91558.9691288,0.5173262372881356,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1723835520000000000,1723835760000000000,59411.5,59594.899999999994,11.898,1686.84216246,4.0,False,0.0,1686.84216246,0.6141186670953178,0.5
SOLUSDT:240:1722960000000000000:-1:PULLBACK:1723840500000000000:1723844880000000000:1,SOLUSDT:240:1722960000000000000:-1:PULLBACK:1723840500000000000,SOLUSDT,1,1723844880000000000,1723840200000000000,140.083,139.81400000000002,140.466,1.4237918215614962,136.052,5.584962500721156,240:1722960000000000000:-1,OBSERVED_OPPOSING_STRUCTURE,140.067,140.165,140.476,140.067,DIRECTED_RENEWED_DEFENSE,-0.2960389159138161,-0.39924389964486195,-0.8554216867469797,-0.5955056179775066,-0.13898540653230415,0.19292972663517963,-0.08665511265164393,-0.2055214723926645,-0.9117442668519752,-0.10610883438653569,-0.11221347930208893,-0.39959155888358844,2.269631688672669,-0.03685684771981776,0.05074422796059833,0.07445181030086734,0.0,0.0,2.0501562619102076,0.5454545454543106,-0.45454545454568945,0.2575437987186241,0.18238892181140637,-0.05022699208872135,0.3301758260544402,0.0,-0.07125603004087822,0.5103641426471555,-0.48681262219535304,0.14204745026662227,-1.413463124896853,-0.2810328567989264,0.5017188580448778,1.0,0.0,-2.7789014475510587,4.129148484416793,0.0,4.3694478524670215,-4.989576094510007,-0.2008480969435158,3.227848658571074,0.08883363471971069,0.32305584743792776,1.0,5.602501737317507,0.3738707435718875,19.202901137181318,0.6243055762082318,1.4237918215614962,0.5323141070187687,1.0,0.9360933591703348,8.125086865878966,5.605281445448127,5.584962500721156,-1.0,3.13551077136896,0.31677770086036056,0.24689219968656628,5.0,0.37248088950659725,0.11975106782621892,-0.14176511466296365,0.19318580962416282,0.25017586161410876,,,,,,,,,,,,,,,,,,,-0.13886942602503322,-6.639586900996546e-05,-0.010149883440260157,0.2030796100754398,-20.993820203294433,-0.8732282750015266,-0.0363878124279239,-0.19684056962249213,0.09073173523595644,-187.29648394462117,-5.51303586429186,-5.0761,-1.1729000000000003,0.22546092372338516,0.24803186864706075,93245.81129125999,0.3756944237917682,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1723844880000000000,1723845180000000000,140.12,139.76,5468.3,-2733.821902,5.0,False,0.0,-2733.821902,-0.9772813971095213,0.5
SOLUSDT:240:1723809600000000000:1:PULLBACK:1723989600000000000:1723992180000000000:1,SOLUSDT:240:1723809600000000000:1:PULLBACK:1723989600000000000,SOLUSDT,-1,1723992180000000000,1723989600000000000,145.271,145.60999999999999,144.771,1.4749262536873216,144.863,5.584962500721156,240:1723809600000000000:1,OBSERVED_OPPOSING_STRUCTURE,145.263,145.357,145.495,144.761,DIRECTED_RENEWED_DEFENSE,-0.7058823529410951,-0.13654246702152278,-0.3717948717948111,0.16626506024107612,0.9127789046654159,0.08526194359361948,0.13880320789637107,-0.2608158220024537,3.3346855983773267,0.10915417919152945,0.14350558659217902,0.145847871598066,-1.6754563894522787,0.05222317176582602,-0.01763675961907945,-0.13217115689381198,0.0,0.0,2.1558219178082196,0.7977528089887855,0.20224719101121444,0.38473296278204083,0.6837314366684984,0.1115854329694006,0.6466977794843276,4.272624885450771,4.272624885450771,2.8839885913222427,-1.0326975788031052,0.5453484957253822,2.233000093431743,0.36743040894003365,1.1016855049455838,-0.0,-1.0,0.799303701622082,2.6026896854443837,0.0,3.784189633918261,2.9898580121703944,-0.017878017146995908,2.928719421760849,4.999999999999721,0.5435136979612368,1.0,-1.6551724137930677,1.3752535496957488,23.335696732314,0.514833628318586,1.4749262536873216,2.0283975659229414,1.0,0.5403844260075351,0.8275862068965915,8.819472616632977,5.584962500721156,1.0,3.817444219066986,0.4638108193534527,0.2816097751833413,5.0,0.9127789046653006,0.4156819831136898,-0.7018255578092298,0.5062814070351072,0.1941252060771909,,,,,,,,,,,,,,,,,,,1.0126376002562298,-0.1005648359719425,0.24020610256782546,-0.154944158974206,-30.849617922150685,3.3149658139929095,0.010320747205947313,0.2290323069068239,-0.11987812771529446,-147.41582522640684,9.190874540595528,7.7874,1.8044999999999998,0.7166020178664546,0.4935097941109275,90511.98938926001,0.48516637168141397,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1723992180000000000,1723992360000000000,145.23,145.65,4748.28,-2684.8674432,3.0,False,0.0,-2684.8674432,-0.9887704606194347,0.5
SOLUSDT:240:1723809600000000000:1:PULLBACK:1723993500000000000:1723998000000000000:1,SOLUSDT:240:1723809600000000000:1:PULLBACK:1723993500000000000,SOLUSDT,-1,1723998000000000000,1723993500000000000,145.813,146.143,145.38799999999998,1.2878787878787736,144.863,5.584962500721156,240:1723809600000000000:1,OBSERVED_OPPOSING_STRUCTURE,145.728,145.99,146.133,145.334,DIRECTED_RENEWED_DEFENSE,-0.39350912778896946,0.023709433327728267,-0.37451737451727624,-0.6967213114753592,0.7180527383368062,0.09005486057062587,0.1177644710578948,-0.19899874843549692,-1.3793103448274988,0.033625755147670265,-0.07169970476591428,-0.19899874843549692,-6.924949290060896,0.04384683196933011,-0.07432403013018601,-0.3992008717762423,0.0,0.0,2.1558219178082196,-0.7747252747252773,0.1813186813187783,0.5921457420864183,0.8172779783123191,-0.4755521697544689,-0.18849192353634708,0.3645543406727292,0.6394230908446374,-0.06198575120524857,-0.8337610746895514,0.5884492893564974,-1.0836735500556143,0.12960344898030873,-0.29563679477188454,1.0,-0.0,-1.0922379332974437,2.6225528289437956,0.0,4.330733340286331,5.152129817444313,-0.027646528254735327,3.1189111693490745,1.0169851380042065,0.4985115383987248,1.0,-3.8539553752535425,1.338742393509192,22.631726937928203,0.5308290909090707,1.2878787878787736,1.7241379310345464,1.0,1.2039728043259361,0.8600405679512829,6.620689655172502,5.584962500721156,-0.0,5.432048681541632,0.30775102445500685,0.5464989234850011,5.0,2.2028397565923403,0.21224471073882148,-0.39350912778896946,0.6945606694561052,0.3005970769790446,,,,,,,,,,,,,,,,,,,0.7293878464946173,-0.011770571990558231,0.2381419833010072,-0.14808712273038133,4.127924670385141,-1.298914334715884,-0.08200662028533323,-0.025648520654270472,0.05927427580194074,-26.182865896444696,5.5383860796554,5.865799999999999,1.5588999999999995,0.4321874483377732,0.4818815463283699,87827.12194606,0.4691709090909293,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1723998000000000000,1723998180000000000,145.77,146.18,4644.77,-2582.37600075,3.0,False,0.0,-2582.37600075,-0.9800981532546005,0.5
ETHUSDT:240:1723968000000000000:-1:PULLBACK:1724062500000000000:1724064420000000000:1,ETHUSDT:240:1723968000000000000:-1:PULLBACK:1724062500000000000,ETHUSDT,-1,1724064420000000000,1724062200000000000,2579.75,2583.4300000000003,2576.01,1.0163043478259473,2593.0,5.584962500721156,240:1723968000000000000:-1,OBSERVED_OPPOSING_STRUCTURE,2578.59,2580.0,2578.59,2576.0,DIRECTED_RENEWED_DEFENSE,-0.23559539052498826,-0.18713666157939543,-0.26744186046516855,-1.0,-0.35851472471193363,0.14874972129656217,-0.07692307692308077,-0.9867841409690761,5.984635083226646,0.04858032520190327,0.17266346509050598,0.2315707215420657,12.650448143406,0.08396892404233036,0.1549074945123848,0.5606850335070743,0.0,0.0,1.9679752066115759,-0.7524271844661277,-0.24757281553387234,0.0800185807338163,0.37636737208608095,-0.062205308604613874,-0.1477319072606535,-0.0,0.4656541276348847,-0.1791320494868709,-0.23184658478778758,-0.1772526622504174,4.655077542778145,-0.18126206246151624,1.3295575404485014,1.0,1.0,-1.275986471251405,2.0204432009178803,0.0,3.6375861597263857,5.772087067861746,-0.2854530909400745,3.5149698954193918,0.22058823529411764,0.11110192270555462,1.0,3.393085787452008,0.942381562099953,14.264948153892009,0.84182282608689,1.0163043478259473,0.9577464788731902,1.0,0.4274440148269396,6.862996158770901,10.5019206145968,5.584962500721156,-1.0,4.409731113956562,0.9672673791034123,0.8411874433907774,5.0,0.8809218950064222,0.3910747202464749,-0.6683738796415225,-0.023926812104111288,-0.054185100199269434,,,,,,,,,,,,,,,,,,,-0.19201419713129056,-0.1665978436539788,-0.03081336085848229,0.17956308215504302,51.22036300953425,6.125315873725677,-0.16762564003297156,0.17476452586851016,-0.1261842006666069,-172.3743176197523,2.5489276870827027,2.1403,-3.7462999999999993,0.5699715673096222,0.43549556328699,85244.74594531,0.15817717391311004,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1724064420000000000,1724064960000000000,2579.21,2576.01,336.361,469.28851267000005,9.0,False,0.0,469.28851267000005,0.18350632932109737,0.5
XRPUSDT:240:1723305600000000000:1:PULLBACK:1724092200000000000:1724096880000000000:1,XRPUSDT:240:1723305600000000000:1:PULLBACK:1724092200000000000,XRPUSDT,1,1724096880000000000,1724091900000000000,0.6013,0.5996,0.6088,4.411764705882587,0.6018,5.584962500721156,240:1723305600000000000:1,OBSERVED_OPPOSING_STRUCTURE,0.6004,0.6014,0.6089,0.5998,DIRECTED_RENEWED_DEFENSE,-0.8333333333333796,-0.33796661218787044,-1.0,-0.7692307692307988,-1.5555555555555967,-0.09668770814101596,-0.4827586206896479,-0.8064516129032466,0.3333333333333025,-0.07894612109369208,0.02173913043477981,-0.6521739130434919,11.777777777777983,-0.008517303050948928,0.14095744680850938,0.5159235668789774,0.0,0.0,1.1546961325966865,-0.6000000000000444,0.1999999999999778,0.9354972377765566,0.6898304279339544,0.0076008754438340875,-0.7508090669877114,1.3231419523385135,1.3231419523385135,1.1678225267422655,-0.3726186648702888,0.1977612271744114,-1.0860253328638203,-1.753316782730008,1.4193586661971227,1.0,1.0,-0.9601659751037406,4.018258138496633,0.0,4.430816798843313,3.055555555555581,-0.02285459431037581,2.8003658310798403,1.0704225352112755,0.6539181927765176,1.0,-0.27777777777781376,0.9444444444444188,28.272077166138768,0.42384705882354834,4.411764705882587,4.166666666666774,1.0,0.832909122935104,3.9444444444445113,3.055555555555581,5.584962500721156,0.0,2.6666666666667282,0.48120722973847785,0.40948064129866324,5.0,1.5000000000000462,0.38596903480938366,-0.5000000000000154,0.2340585146287185,0.02288799153526461,,,,,,,,,,,,,,,,,,,-1.6067053298831346,0.054760352476178234,-0.21370831544800117,0.11702060730698538,5.712372949560063,0.22222223041717026,0.1112775199664558,-0.030229945739476755,-0.04871617535421535,43.541866806897644,-2.764078616215304,-2.9995,3.3819000000000004,0.5607737787432152,0.5380156600977528,85714.03445798,0.5761529411764517,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1724096880000000000,1724098200000000000,0.6015,0.5994,950380.3,-2566.4544811299997,22.0,False,0.0,-2566.4544811299997,-0.9980685572124385,0.5
SOLUSDT:60:1724090400000000000:1:PULLBACK:1724114400000000000:1724116260000000000:1,SOLUSDT:60:1724090400000000000:1:PULLBACK:1724114400000000000,SOLUSDT,1,1724116260000000000,1724114400000000000,146.627,146.288,147.87,3.6666666666666665,146.2,3.584962500721156,60:1724090400000000000:1,OBSERVED_OPPOSING_STRUCTURE,146.493,146.727,147.88,146.456,DIRECTED_RENEWED_DEFENSE,-0.7849927849927786,-0.18114104595879557,-0.6044444444444406,-0.6112311015118592,0.10101010101009356,0.09338812771384249,0.013784954706575965,-0.5840707964601655,8.937950937951173,0.036161551713137244,0.2996613449443611,0.4443458980044397,9.246753246753487,-0.007294220604679914,0.12272100505592237,0.5193709244342208,0.0,0.0,2.815829528158302,-0.6577946768060775,0.3422053231939225,0.6805535025200374,0.6155498184161604,0.12833485240863196,-0.30126951953426373,-0.37320246408789615,0.3937699811118467,0.16379977284869485,-1.4555614973261983,1.1209090909091097,6.552492668621673,-1.019898989899016,2.385458269329501,1.0,1.0,3.016811065511516,2.03688192726104,0.0,3.4657359027997265,4.848484848484983,-0.09604433732386905,3.228301032772682,0.7458333333333219,0.6805535025200374,1.0,1.2323232323233217,0.9783549783549975,23.119889242772384,0.5184336283185861,3.6666666666666665,3.5873015873016576,1.0,0.5207759546191588,4.848484848484983,9.42857142857164,3.584962500721156,-1.0,2.943722943722961,0.7938234852540527,1.500268494500689,5.0,3.2640692640693416,1.105600906680392,-0.4992784992785163,1.7600000000000213,0.09936762341896567,,,,,,,,,,,,,,,,,,,0.11537480684006045,-0.014352648309094669,0.24922217659910428,-0.1558340488852618,-24.979894285905857,9.124518487758731,-0.09082498243619594,0.16931611534348562,-0.1331545636303484,-111.17225306341183,-5.682156204045441,-5.126399999999999,2.3857,1.2029113959075797,1.2445270501715358,83147.57997685,0.4815663716814139,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1724116260000000000,1724116380000000000,146.66,146.26,4504.9,-2461.7476540000002,2.0,False,0.0,-2461.7476540000002,-0.9868988989959786,0.5
