trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,price,expire_time_ns,is_post_only,display_qty,trigger_instrument_id,trigger_price,trigger_type
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-c42037aaf0c5530a-3353,MARKET,BUY,20.220,GTC,False,False,20.220,TAKER,52939.6,0.0,['749.30709840 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240226-160600-001-000-1,"['O-20240226-160600-001-000-2', 'O-20240226-160600-001-000-3']",,,,,"['scenario=SLT-1708963320000000000-000024', 'family=SAC']",891ab316-b5fd-42fa-8634-111bd0faf63c,2024-02-26 16:06:00+00:00,2024-02-26 16:06:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-003,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-341eec81ea085bc7-3365,LIMIT,SELL,20.220,GTC,True,False,20.220,MAKER,53363.0,0.10000000000582077,['755.29990200 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240226-160600-001-000-1,['O-20240226-160600-001-000-2'],O-20240226-160600-001-000-1,,,,"['scenario=SLT-1708963320000000000-000024', 'family=SAC']",e8e15ee9-422b-425b-b83d-d85b6c09cd95,2024-02-26 16:06:00+00:00,2024-02-26 16:09:00+00:00,53363.1,,True,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-004,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-e7c8fbff4f774960-12269,MARKET,BUY,19.932,GTC,False,False,19.932,TAKER,58486.5,0.0,['816.02704260 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240228-080900-001-000-2,"['O-20240228-080900-001-000-5', 'O-20240228-080900-001-000-6']",,,,,"['scenario=SLT-1709107380000000000-000089', 'family=SAC']",57077562-336f-4fcb-84b4-19995206f885,2024-02-28 08:09:00+00:00,2024-02-28 08:09:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-005,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-2d3b27bc99af7a95-12281,STOP_MARKET,SELL,19.932,GTC,True,False,19.932,TAKER,58407.2,0.09999999999854481,['814.92061728 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240228-080900-001-000-2,['O-20240228-080900-001-000-6'],O-20240228-080900-001-000-4,,,,"['scenario=SLT-1709107380000000000-000089', 'family=SAC']",764b5b84-4a99-45bb-841c-873c8a382c57,2024-02-28 08:09:00+00:00,2024-02-28 08:12:00+00:00,,,,,,58407.3,DEFAULT
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-007,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-2245ba3b54371b00-12414,MARKET,BUY,19.642,GTC,False,False,19.642,TAKER,58896.1,0.0,['809.78603734 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240228-084600-001-000-3,"['O-20240228-084600-001-000-8', 'O-20240228-084600-001-000-9']",,,,,"['scenario=SLT-1709109720000000000-000090', 'family=SAC']",97aa2cfa-d3d4-4035-a1e9-a08885df9baa,2024-02-28 08:46:00+00:00,2024-02-28 08:46:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-009,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-4f990c9c0a166292-12457,LIMIT,SELL,19.642,GTC,True,False,19.642,MAKER,59469.6,0.09999999999854481,['817.67131824 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240228-084600-001-000-3,['O-20240228-084600-001-000-8'],O-20240228-084600-001-000-7,,,,"['scenario=SLT-1709109720000000000-000090', 'family=SAC']",d1480a30-7bf1-4d93-9d5c-0d1eb3341d3a,2024-02-28 08:46:00+00:00,2024-02-28 08:57:00+00:00,59469.7,,True,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-010,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-e6cc13e696ce7d67-14479,MARKET,SELL,6.135,GTC,False,False,6.135,TAKER,61019.5,0.0,['262.04824275 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240228-173600-001-000-4,"['O-20240228-173600-001-000-11', 'O-20240228-173600-001-000-12']",,,,,"['scenario=SLT-1709141460000000000-000102', 'family=SAC']",b18e4699-129f-4b5f-8be0-91acd083902b,2024-02-28 17:36:00+00:00,2024-02-28 17:36:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-011,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-7f66e8d048f16033-14514,STOP_MARKET,BUY,6.135,GTC,True,False,6.135,TAKER,61488.600000000006,0.10000000000582077,['264.06279270 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240228-173600-001-000-4,['O-20240228-173600-001-000-12'],O-20240228-173600-001-000-10,,,,"['scenario=SLT-1709141460000000000-000102', 'family=SAC']",2ff2eafc-2860-4747-a711-5600f30d1009,2024-02-28 17:36:00+00:00,2024-02-28 17:45:00+00:00,,,,,,61488.5,DEFAULT
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-013,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-dfa93be90484cc03-35359,MARKET,BUY,26.232,GTC,False,False,26.232,TAKER,62958.899999999994,0.0,['1156.07650536 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240303-170500-001-000-5,"['O-20240303-170500-001-000-14', 'O-20240303-170500-001-000-15']",,,,,"['scenario=SLT-1709485260000000000-000261', 'family=SAC']",0ac87d75-f3c6-4b88-abcf-b7c0e01288db,2024-03-03 17:05:00+00:00,2024-03-03 17:05:00+00:00,,,,,,,
BACKTESTER-001,LRBStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-014,BTCUSDT-PERP.BINANCE-LRBStrategy-000,BINANCE-001,T-c2a1a77f1d0cb891-35375,STOP_MARKET,SELL,26.232,GTC,True,False,26.232,TAKER,62921.100000000006,0.09999999999126885,['1155.38240664 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240303-170500-001-000-5,['O-20240303-170500-001-000-15'],O-20240303-170500-001-000-13,,,,"['scenario=SLT-1709485260000000000-000261', 'family=SAC']",b13faed4-0778-4a3e-8205-79df810e50cb,2024-03-03 17:05:00+00:00,2024-03-03 17:09:00+00:00,,,,,,62921.2,DEFAULT
