symbol,funding_actual_ts,event_ts,pre_ts,entry_ts,next_funding_boundary,crowd_direction,directional_premium_z,absolute_premium_bps,open_interest_1h_z,directional_pre_futures_taker_pressure,post_open_interest_5m_z,post_directional_price_extension,post_directional_futures_taker_pressure,post_directional_return_z,post_directional_spot_follow,post_directional_index_follow,premium_repair_fraction,entry_price,reversal_return,continuation_return,context_score,maximum_target_ts,peer_spot_breadth,route,direction,horizon_minutes,gross_return,cost_return,net_return,state_quality,rank_score
BTCUSDT,2024-06-04 16:00:00+00:00,2024-06-04 16:00:00+00:00,2024-06-04 15:55:00+00:00,2024-06-04 16:05:00+00:00,2024-06-05 00:00:00+00:00,1.0,1.8247779876511372,7.8565000000000005,2.1588672774181292,0.30577925063520706,0.8632263670435162,0.0017156574300019045,0.17113159124506128,2.155092113362222,0.001632021562776309,0.0015278033231005406,0.2847833004518552,70647.9,-0.0012017342341386072,0.0009582733527819798,1.2046031348897541,2024-06-04 18:05:00+00:00,0.5,SPOT_CONFIRMED_FUNDING_CONTINUATION,1.0,120,0.0009582733527819798,0.0016,-0.0006417266472180203,1.19955268200118,1.4449849212040338
SOLUSDT,2024-06-17 16:00:00+00:00,2024-06-17 16:00:00+00:00,2024-06-17 15:55:00+00:00,2024-06-17 16:05:00+00:00,2024-06-18 00:00:00+00:00,-1.0,2.577045397981438,8.3097,1.1220608963477565,0.1435137761962363,-1.2629897976984457,-0.005037087415783015,-0.19577719477009992,-2.0092293972075628,-0.004815864022662986,-0.004924324247049139,0.8260466683514447,141.864,0.01476766480572933,-0.020491456606327008,0.4149847035032527,2024-06-17 18:05:00+00:00,0.0,FUNDING_CROWD_UNWIND_REVERSAL,1.0,60,0.01476766480572933,0.0016,0.01316766480572933,0.4103893211787033,0.17030529077024534
ETHUSDT,2024-09-14 00:00:00+00:00,2024-09-14 00:00:00+00:00,2024-09-13 23:55:00+00:00,2024-09-14 00:05:00+00:00,2024-09-14 08:00:00+00:00,-1.0,1.520095631055169,6.817200000000001,0.8279378259427276,0.12843557065272249,0.17104654030138924,0.0012871279011615888,0.24484017528145563,0.4665961574148296,0.001355984973556379,0.0013274291399266724,0.010561520859003748,2436.4,-0.0017197504514858686,0.005122311607289487,0.16164190314037327,2024-09-14 02:05:00+00:00,0.75,SPOT_CONFIRMED_FUNDING_CONTINUATION,-1.0,120,0.005122311607289487,0.0016,0.003522311607289487,0.1473440233480773,0.02381696835034281
ETHUSDT,2024-10-28 16:00:00+00:00,2024-10-28 16:00:00+00:00,2024-10-28 15:55:00+00:00,2024-10-28 16:05:00+00:00,2024-10-29 00:00:00+00:00,-1.0,2.5466736155503438,6.2407,2.8580704691223615,0.32873084846757916,0.7143427788420128,0.0011661341853035356,0.0826850455677095,-0.2318596816378231,0.0012215568862274928,0.0012025857142109464,-0.14197125322479853,2501.08,-0.00041981863834816835,0.00042781518384049644,2.3926913645431256,2024-10-28 18:05:00+00:00,0.75,SPOT_CONFIRMED_FUNDING_CONTINUATION,-1.0,120,0.00042781518384049644,0.0016,-0.0011721848161595036,0.0,0.0
SOLUSDT,2024-12-19 08:00:00+00:00,2024-12-19 08:00:00+00:00,2024-12-19 07:55:00+00:00,2024-12-19 08:05:00+00:00,2024-12-19 16:00:00+00:00,-1.0,1.8276902434424187,6.7345999999999995,1.3194579539493405,0.10666619781321807,-0.22316031368316244,0.005287757896227818,0.3145076116616786,1.9215747645971173,0.00542606398037182,0.005394273804605221,0.3396192795414723,210.69,-0.008780673026721697,0.004081826379989439,0.2572319817652516,2024-12-19 10:05:00+00:00,1.0,SPOT_CONFIRMED_FUNDING_CONTINUATION,-1.0,120,0.004081826379989439,0.0016,0.0024818263799894396,0.0515744639161376,0.013266601561628533
XRPUSDT,2025-04-03 00:00:00+00:00,2025-04-03 00:00:00+00:00,2025-04-02 23:55:00+00:00,2025-04-03 00:05:00+00:00,2025-04-03 08:00:00+00:00,-1.0,4.8248241656679784,15.264700000000001,1.3416641256543644,0.28818200307758235,0.5291668103717826,0.006124364103323954,0.005157897890031182,1.600116680752264,0.006164620012822253,0.006335904283629068,0.11117152646301598,2.0123,0.024052079709784735,-0.020474084381056468,1.8654866860903945,2025-04-03 02:05:00+00:00,1.0,SPOT_CONFIRMED_FUNDING_CONTINUATION,-1.0,120,-0.020474084381056468,0.0016,-0.02207408438105647,1.2467578103644255,2.3258100960140484
XRPUSDT,2025-05-31 00:00:00+00:00,2025-05-31 00:00:00+00:00,2025-05-30 23:55:00+00:00,2025-05-31 00:05:00+00:00,2025-05-31 08:00:00+00:00,-1.0,2.346749739262495,7.9935,0.9073067395320376,0.11508341617025131,2.4641200119160276,0.005377098237246858,0.026660594716887198,3.283066221146264,0.005373580673800227,0.00500932516971786,-0.24825170450991418,2.1272,-0.007239563745769173,0.01020120345994735,0.24503812479192183,2025-05-31 02:05:00+00:00,1.0,SPOT_CONFIRMED_FUNDING_CONTINUATION,-1.0,120,0.01020120345994735,0.0016,0.00860120345994735,8.910635731258605,2.183445470291504
ETHUSDT,2025-06-14 08:00:00+00:00,2025-06-14 08:00:00+00:00,2025-06-14 07:55:00+00:00,2025-06-14 08:05:00+00:00,2025-06-14 16:00:00+00:00,-1.0,1.7125244587567914,7.162400000000001,0.8085164477772148,0.24765282266018862,-0.18621567679001022,0.0016643856957486713,0.3143438758333442,0.8930860949100161,0.0016556878791820218,0.0016940807834785465,0.1999050597565062,2531.25,-0.00020543209876544566,0.0030854320987654393,0.3429011364470444,2025-06-14 10:05:00+00:00,0.75,SPOT_CONFIRMED_FUNDING_CONTINUATION,-1.0,120,0.0030854320987654393,0.0016,0.0014854320987654393,0.04272366909906605,0.014649994687257223
XRPUSDT,2026-01-31 00:00:00+00:00,2026-01-31 00:00:00+00:00,2026-01-30 23:55:00+00:00,2026-01-31 00:05:00+00:00,2026-01-31 08:00:00+00:00,-1.0,1.9874009854399837,8.1972,0.8511992115920365,0.14643085450394722,-0.24481298277831542,0.00046136101499416604,0.14302321306449817,0.1286859473099987,0.00040334197637581504,0.0007801186812003147,0.0031474161908944254,1.7332,0.0024232633279483995,-0.004731133164089574,0.24771329160843503,2026-01-31 02:05:00+00:00,1.0,SPOT_CONFIRMED_FUNDING_CONTINUATION,-1.0,120,-0.004731133164089574,0.0016,-0.006331133164089574,0.001286859473099987,0.0003187721959190941
XRPUSDT,2026-03-18 16:00:00.005000+00:00,2026-03-18 16:00:00+00:00,2026-03-18 15:55:00+00:00,2026-03-18 16:05:00+00:00,2026-03-19 00:00:00+00:00,-1.0,3.96112029731303,12.7409,0.9065014184200929,0.20905782089269798,-2.935052968118905,-0.002223766504516833,-0.12705666186557374,-0.8574958693612905,-0.002222376553927319,-0.0024177151048587753,0.4930970339614942,1.4422,0.0003466925530439813,-0.016086534461239754,0.750676705138,2026-03-18 18:05:00+00:00,0.75,FUNDING_CROWD_UNWIND_REVERSAL,1.0,60,0.0003466925530439813,0.0016,-0.0012533074469560188,0.15768043564424952,0.11836702989414968
