scenario_id,family,source_family,source_direction,direction,signal_ts_ns,signal_day_utc,signal_hour_utc,submission_ts_ns,reference_entry_price,expected_entry_price,stop_price,target_price,target_reason,liquidity_level,atr_at_signal,quantity,equity_before_entry,planned_loss_budget,loss_per_unit,net_rr_at_submission,fee_rate_per_fill,sac_entry_confirmation,failed_acceptance_trap,favorable_drift_guard_enabled,actual_entry_price,opened_ts_ns,opened_bar_index,actual_exit_price,closed_ts_ns,closed_day_utc,closed_hour_utc,duration_minutes,realized_pnl_after_cost,realized_return,realized_r_multiple,outcome
SLT-1708963320000000000-000045,SAC,SAC,LONG,LONG,1708963500000000000,2024-02-26,16,1708963560000000000,52914.7,52939.5,52865.4,53221.0,ACCEPTED_SESSION_RANGE_PROJECTION,52885.5,92.09499999999971,20.22,100000.0,3000.0,148.36342999999852,1.3951392873567434,0.0007,DIRECTIONAL_BODY,False,True,52939.6,1708963560000000000,965,53220.899999999994,1708963680000000000,2024-02-26,16,2.0,4185.290283,0.00531360267172392,1.395096761,OTHER_EXIT
SLT-1708981260000000000-000056,SAC,SAC,SHORT,SHORT,1708981440000000000,2024-02-26,21,1708981500000000000,54420.1,54412.9,54456.8,54182.899999999994,ACCEPTED_SESSION_RANGE_PROJECTION,54449.9,69.13000000000065,25.976,104185.290283,3125.55870849,120.32179910000048,1.27809707925153,0.0007,DIRECTIONAL_BODY,False,True,54412.8,1708981500000000000,1264,54456.899999999994,1708981800000000000,2024-02-26,21,5.0,-3125.14112904,-0.0008104710656314556,-0.9998663984621804,STOP
SLT-1709063160000000000-000121,SAC,SAC,LONG,LONG,1709063340000000000,2024-02-27,19,1709063400000000000,57331.7,57343.0,57282.8,57652.5,ACCEPTED_SESSION_RANGE_PROJECTION,57328.1,78.73500000000095,21.557,101060.14915396,3031.8044746187998,140.63805999999707,1.62689353081239,0.0007,DIRECTIONAL_BODY,False,True,57343.100000000006,1709063400000000000,2629,57652.4,1709063700000000000,2024-02-27,19,5.0,4932.30950455,0.005393848606022269,1.6268560673491843,TARGET
SLT-1709107380000000000-000156,SAC,SAC,LONG,LONG,1709107680000000000,2024-02-28,8,1709107740000000000,58481.0,58486.4,58407.299999999996,59101.7,ACCEPTED_SESSION_RANGE_PROJECTION,58472.8,131.2850000000013,19.734,105992.45865851,3179.7737597553,161.12558999999854,3.3066648817236777,0.0007,DIRECTIONAL_BODY,False,True,58486.5,1709107740000000000,3368,58407.2,1709107920000000000,2024-02-28,8,3.0,-3179.65239306,-0.0013558684482744378,-0.9999618316570708,STOP
SLT-1709141460000000000-000178,SAC,SAC,SHORT,SHORT,1709141700000000000,2024-02-28,17,1709141760000000000,61118.4,61019.6,61488.5,58536.0,ACCEPTED_SESSION_RANGE_PROJECTION,61418.0,705.2249999999997,5.558,102812.80626545,3084.3841879634997,554.8781857500006,4.324752966737071,0.0007,DIRECTIONAL_BODY,False,True,61019.5,1709141760000000000,3935,61488.600000000006,1709142300000000000,2024-02-28,17,9.0,-3083.88781386,-0.007687706388941336,-0.9998390686525249,STOP
SLT-1709174880000000000-000200,SAC,SAC,LONG,LONG,1709175300000000000,2024-02-29,2,1709175360000000000,61621.2,61632.8,61592.899999999994,61879.2,ACCEPTED_SESSION_RANGE_PROJECTION,61600.0,63.50000000000036,23.677,99728.91845159,2991.8675535477,126.35799000000146,1.2641986470344482,0.0007,DIRECTIONAL_BODY,False,True,61632.92594500992,1709175360000000000,4495,61592.8,1709176380000000000,2024-02-29,3,17.0,-2992.39285924,-0.0006510472185876433,-1.0001755778566057,STOP
SLT-1709247660000000000-000263,SAC,SAC,LONG,LONG,1709247840000000000,2024-02-29,23,1709247900000000000,61350.6,61379.2,61323.399999999994,61938.3,ACCEPTED_SESSION_RANGE_PROJECTION,61333.3,98.80500000000029,20.455,96736.52559235,2902.0957677704996,141.87233364999346,3.3310070951950372,0.0007,DIRECTIONAL_BODY,False,True,61379.299999999996,1709247900000000000,5704,61323.299999999996,1709248140000000000,2024-02-29,23,4.0,-2902.3971781,-0.0009123597043302873,-1.000103859539319,STOP
SLT-1709362380000000000-000347,SAC,SAC,SHORT,SHORT,1709362560000000000,2024-03-02,6,1709362620000000000,62112.6,62103.2,62135.7,61936.8,ACCEPTED_SESSION_RANGE_PROJECTION,62131.9,38.4799999999992,23.514,93834.12841425,2815.0238524274996,119.7152636000025,0.6630065174077979,0.0007,DIRECTIONAL_BODY,False,True,62103.07599727822,1709362620000000000,7616,61936.899999999994,1709363160000000000,2024-03-02,7,9.0,1865.78920308,0.0026758094443744907,0.6627969427225495,TARGET
SLT-1709485260000000000-000455,SAC,SAC,LONG,LONG,1709485440000000000,2024-03-03,17,1709485500000000000,62950.7,62958.8,62921.2,63289.40000000001,ACCEPTED_SESSION_RANGE_PROJECTION,62929.9,86.70499999999956,22.806,95699.91761733,2870.9975285199,125.88652065000163,1.9225748614730294,0.0007,DIRECTIONAL_BODY,False,True,62958.899999999994,1709485500000000000,9664,62921.100000000006,1709485740000000000,2024-03-03,17,4.0,-2871.640296,-0.000600391684098489,-1.0002238829792485,STOP
