client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,account_id,trade_id,order_side,order_type,last_qty,last_px,currency,liquidity_side,event_id,ts_event,ts_init,reconciliation,info,position_id,commission,causation_id
O-20250610-090000-001-140727019229752-1,TRADER-001,DataActor-140727019229752,BTCUSDT-PERP.BINANCE,BINANCE-1-1,BINANCE-001,T-acd6963036a85f6c-29756,BUY,MARKET,13.093,109051.7,USDT,TAKER,2949a7c6-b8b3-4aa1-9882-a2956973e56a,2025-06-10 09:00:00+00:00,2025-06-10 09:00:00+00:00,False,{},P-20250610-090000-001-140727019229752-1,856.68834486 USDT,
O-20250610-090000-001-140727019229752-2,TRADER-001,DataActor-140727019229752,BTCUSDT-PERP.BINANCE,BINANCE-1-2,BINANCE-001,T-11e59fa852f6d7d9-33859,SELL,STOP_MARKET,13.093,108888.0,USDT,TAKER,ae847953-d54b-4239-b581-11b8f243a504,2025-06-10 13:44:10+00:00,2025-06-10 13:44:10+00:00,False,{},P-20250610-090000-001-140727019229752-1,855.40235040 USDT,
O-20250611-110000-001-140727019229752-4,TRADER-001,DataActor-140727019229752,BTCUSDT-PERP.BINANCE,BINANCE-1-4,BINANCE-001,T-f2abd47c3a765e3e-52439,BUY,MARKET,10.710,109322.6,USDT,TAKER,7d1b473e-f0dd-470e-aabd-3592a1aecf1f,2025-06-11 11:00:00+00:00,2025-06-11 11:00:00+00:00,False,{},P-20250611-110000-001-140727019229752-2,702.50702760 USDT,
O-20250611-110000-001-140727019229752-5,TRADER-001,DataActor-140727019229752,BTCUSDT-PERP.BINANCE,BINANCE-1-5,BINANCE-001,T-99737bd53fcffd3d-52555,SELL,STOP_MARKET,10.710,109239.2,USDT,TAKER,cee95ab6-9f73-4c9f-9537-5570825bda7d,2025-06-11 11:08:20+00:00,2025-06-11 11:08:20+00:00,False,{},P-20250611-110000-001-140727019229752-2,701.97109920 USDT,
O-20250615-131500-001-140727019229752-7,TRADER-001,DataActor-140727019229752,BTCUSDT-PERP.BINANCE,BINANCE-1-7,BINANCE-001,T-e1248d1953cc33b7-140275,SELL,MARKET,8.600,105371.6,USDT,TAKER,7e7db865-f90a-45ec-b03b-1604679803b9,2025-06-15 13:15:00+00:00,2025-06-15 13:15:00+00:00,False,{},P-20250615-131500-001-140727019229752-3,543.71745600 USDT,
O-20250615-131500-001-140727019229752-8,TRADER-001,DataActor-140727019229752,BTCUSDT-PERP.BINANCE,BINANCE-1-8,BINANCE-001,T-3d4250936538e920-140428,BUY,STOP_MARKET,8.600,105528.9,USDT,TAKER,97beff63-aec4-44aa-9169-6bc16c76654e,2025-06-15 13:25:00+00:00,2025-06-15 13:25:00+00:00,False,{},P-20250615-131500-001-140727019229752-3,544.52912400 USDT,
