client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,account_id,trade_id,position_id,order_side,order_type,last_qty,last_px,currency,commission,liquidity_side,event_id,ts_event,ts_init,info,reconciliation
O-20250304-054800-001-000-1,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BINANCE-001,T-09b40b9d3752b751-17382,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,SELL,MARKET,11.094,84112.6,USDT,793.17340674 USDT,TAKER,29cdcb73-6ee1-4d7f-919f-b6691b2a95c6,2025-03-04 05:48:00+00:00,2025-03-04 05:48:00+00:00,{},False
O-20250304-054800-001-000-2,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-002,BINANCE-001,T-48f2de6e41ad8b69-17406,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BUY,STOP_MARKET,11.094,84248.3,USDT,794.45304417 USDT,TAKER,a9aa56c1-8507-47d9-9821-f1766c92383c,2025-03-04 05:55:00+00:00,2025-03-04 05:55:00+00:00,{},False
O-20250307-155100-001-000-4,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-004,BINANCE-001,T-66b63dac83471c49-36040,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BUY,MARKET,4.478,88677.6,USDT,337.53354888 USDT,TAKER,09c4e8fa-2a55-4f20-8eef-d888983b3b7b,2025-03-07 15:51:00+00:00,2025-03-07 15:51:00+00:00,{},False
O-20250307-155100-001-000-5,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-005,BINANCE-001,T-a3483744f8fa19ab-36087,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,SELL,STOP_MARKET,4.478,88169.9,USDT,335.60109037 USDT,TAKER,f6fab67d-7ff4-46b1-b937-62543c973e9c,2025-03-07 16:03:00+00:00,2025-03-07 16:03:00+00:00,{},False
O-20250307-195700-001-000-7,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-007,BINANCE-001,T-52ad3ddf3702e6c2-36998,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BUY,MARKET,5.602,87733.1,USDT,417.75870227 USDT,TAKER,e682bf03-0a47-4a54-8260-9335862eefce,2025-03-07 19:57:00+00:00,2025-03-07 19:57:00+00:00,{},False
O-20250307-195700-001-000-9,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-009,BINANCE-001,T-8ac41b381a2aa827-37044,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,SELL,LIMIT,5.602,88225.7,USDT,148.27211142 USDT,MAKER,fd1b22a7-a123-4686-9ef6-e0753e7b4427,2025-03-07 20:09:00+00:00,2025-03-07 20:09:00+00:00,{},False
O-20250309-191800-001-000-10,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-010,BINANCE-001,T-571a48855a955cfc-47238,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BUY,MARKET,9.943,82437.8,USDT,696.72718859 USDT,TAKER,9329c9fc-5b8d-4270-8019-1d32e9a2ebcf,2025-03-09 19:18:00+00:00,2025-03-09 19:18:00+00:00,{},False
O-20250309-191800-001-000-12,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-012,BINANCE-001,T-4a30dc197d0adb24-47280,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,SELL,LIMIT,9.943,82751.2,USDT,246.83855448 USDT,MAKER,568c1d8b-b33b-4492-b997-b24f181f80fa,2025-03-09 19:29:00+00:00,2025-03-09 19:29:00+00:00,{},False
