acceptance_range_fraction,accepted_last15,adx,atr,bars_held,breadth,causal_episode_id,cont_120m,cont_15m,cont_240m,cont_30m,cont_480m,cont_60m,cont_720m,delayed_cont_120m,delayed_cont_15m,delayed_cont_240m,delayed_cont_30m,delayed_cont_480m,delayed_cont_60m,delayed_cont_720m,delayed_entry_price,delayed_entry_time,delayed_rev_120m,delayed_rev_15m,delayed_rev_240m,delayed_rev_30m,delayed_rev_480m,delayed_rev_60m,delayed_rev_720m,entry_mode,entry_price,entry_price_geometry,entry_time,entry_time_geometry,event_id,event_time,exit_price_geometry,exit_time_geometry,family,family_priority,gross_fraction,hold_min,impulse_atr,impulse_body_fraction,impulse_breadth,last15_aligned_return,mae_12h,mae_fraction,mfe_12h,mfe_fraction,net_fraction,oi_abs_baseline,oi_change_1h,oi_material,oi_mode,outcome,period_label,planned_loss_fraction,premium_aligned,premium_change_1h,price_risk_fraction,r_multiple,rev_120m,rev_15m,rev_240m,rev_30m,rev_480m,rev_60m,rev_720m,side,split,state,stop_mode,stop_price,symbol,taker_1h,taker_aligned,target_mode,target_price,transition15,volume_ratio,market_episode_id
0.0035108138181539,True,11.95941984487138,14.588741076214092,480,4,ETHUSDT:2022-11-02T07:59:59.999000+00:00,0.0016108138181538,6.963689615914373e-05,0.0036955593640886,-0.0040039303208973,0.001988114392418,-0.008103077237904,0.0163319311394477,0.0070641561903297,-0.0059816064998141,0.00156007458383,-0.0048731011238833,0.0005092371176297,-0.0068850704189253,0.028503803519024,1560.66,2022-11-02 08:15:59.999000+00:00,-0.0108641561903297,0.0021816064998141,-0.00536007458383,0.0010731011238833,-0.0043092371176297,0.0030850704189253,-0.032303803519024,direct,1563.74,1563.74,2022-11-02 08:00:59.999000+00:00,2022-11-02 08:00:59.999000+00:00,ETHUSDT:public_vectorized_no_ema:2022-11-02T07:59:59.999000+00:00,2022-11-02 07:59:59.999000+00:00,1557.66,2022-11-02 16:00:59.999000+00:00,public_vectorized_no_ema,0,0.003888114392418,480,1.5882110648859973,0.0148170411961068,4,0.0007987271484163,-0.0375765792267257,-0.0092470615319681,0.0275429419212912,0.0204957345850332,0.001988114392418,0.0046474578512789,-0.0265248201936252,True,UNWIND,TIME,dev_ftx_2022_11,0.0167170411961068,True,-7.249000000000003e-05,0.0148170411961068,0.1189274088097062,-0.0054108138181538,-0.0038696368961591,-0.0074955593640886,0.0002039303208973,-0.005788114392418,0.004303077237904,-0.0201319311394477,-1,development,FORCED_UNWIND_ACCEPTED,impulse_origin,1586.91,ETHUSDT,-0.0357925268398915,True,two_r,1517.4,PERSISTENT_15,2.945634520783317,dev_ftx_2022_11:-1:000
0.002956937799043,True,24.44020330456481,105.40529406321454,480,4,BTCUSDT:2022-11-06T23:59:59.999000+00:00,-0.0056894736842105,-0.0019669856459329,-0.0022636363636363,-0.0023736842105264,0.0111095693779904,-0.001632057416268,0.0065019138755979,-0.0090095716076434,-0.002306671323452,0.001324664376549,-0.0017469002076415,0.0084629421952597,0.0012672519544145,0.005577967983006,20901.4,2022-11-07 00:15:59.999000+00:00,0.0052095716076434,-0.0014933286765479,-0.005124664376549,-0.0020530997923584,-0.0122629421952597,-0.0050672519544145,-0.009377967983006,direct,20900.0,20900.0,2022-11-07 00:00:59.999000+00:00,2022-11-07 00:00:59.999000+00:00,BTCUSDT:public_vectorized_no_ema:2022-11-06T23:59:59.999000+00:00,2022-11-06 23:59:59.999000+00:00,20628.1,2022-11-07 08:00:59.999000+00:00,public_vectorized_no_ema,0,0.0130095693779904,480,2.1678228027423563,0.0109330143540669,4,0.0007840737411792,-0.0077799043062201,-0.0077799043062201,0.016114832535885,0.0145933014354067,0.0111095693779904,0.002770597022037,-0.0270520924402823,True,UNWIND,TIME,dev_ftx_2022_11,0.0128330143540669,True,-0.00014469,0.0109330143540669,0.8657022482383238,0.0018894736842105,-0.001833014354067,-0.0015363636363636,-0.0014263157894735,-0.0149095693779904,-0.0021679425837319,-0.0103019138755979,-1,development,FORCED_UNWIND_ACCEPTED,impulse_origin,21128.5,BTCUSDT,-0.1353704505923945,True,two_r,20443.0,MIXED_15,4.205210677414133,dev_ftx_2022_11:-1:001
0.0065649283536001,True,25.913525681955235,15.623229957702533,480,4,ETHUSDT:2022-11-06T23:59:59.999000+00:00,-0.0108127355782112,-0.0057151867399931,-0.0142706473057634,-0.0072017059881843,0.0098900754105473,-0.0053387719947428,-0.0095686529456049,-0.0125775136646752,-0.0033808694546841,-0.0056371297826362,-0.0007623363416803,0.007016995042583,0.0010045379433075,-0.0060248252192702,1573.4,2022-11-07 00:15:59.999000+00:00,0.0087775136646752,-0.0004191305453158,0.0018371297826362,-0.0030376636583196,-0.010816995042583,-0.0048045379433075,0.0022248252192702,direct,1567.42,1567.42,2022-11-07 00:00:59.999000+00:00,2022-11-07 00:00:59.999000+00:00,ETHUSDT:public_vectorized_no_ema:2022-11-06T23:59:59.999000+00:00,2022-11-06 23:59:59.999000+00:00,1548.94,2022-11-07 08:00:59.999000+00:00,public_vectorized_no_ema,0,0.0117900754105473,480,2.1276010204030884,0.0212068239527376,4,0.0043954927144072,-0.0174043970346173,-0.0174043970346173,0.0143037603195059,0.0143037603195059,0.0098900754105473,0.0024604383356638,-0.0499942965727875,True,UNWIND,TIME,dev_ftx_2022_11,0.0231068239527376,True,-0.0005946299999999,0.0212068239527376,0.4280153529873405,0.0070127355782112,0.0019151867399931,0.0104706473057634,0.0034017059881843,-0.0136900754105473,0.0015387719947428,0.0057686529456049,-1,development,FORCED_UNWIND_ACCEPTED,impulse_origin,1600.66,ETHUSDT,-0.0557530872194481,True,two_r,1500.94,MIXED_15,4.918964290485843,dev_ftx_2022_11:-1:001
0.0229702069592904,True,43.70476652181999,0.007854152912751,480,4,XRPUSDT:2022-11-08T03:59:59.999000+00:00,0.0192507846258812,0.0247090516261087,-0.0059937002501706,0.0035582670002273,0.0037856947919036,0.015839367750739,0.0021937002501705,-0.0063392523364487,-0.0236289719626168,-0.0280682242990652,-0.0128813084112149,-0.0292364485981308,-0.0079747663551401,-0.0530682242990654,0.428,2022-11-08 04:15:59.999000+00:00,0.0025392523364487,0.0198289719626168,0.0242682242990652,0.0090813084112149,0.0254364485981308,0.0041747663551401,0.0492682242990654,direct,0.4397,0.4397,2022-11-08 04:00:59.999000+00:00,2022-11-08 04:00:59.999000+00:00,XRPUSDT:public_vectorized_no_ema:2022-11-08T03:59:59.999000+00:00,2022-11-08 03:59:59.999000+00:00,0.4372,2022-11-08 12:00:59.999000+00:00,public_vectorized_no_ema,0,0.0056856947919036,480,1.731568018992953,0.0309301796679554,4,0.0178691087781996,-0.0109165340004548,-0.0109165340004548,0.0404821469183533,0.0404821469183533,0.0037856947919036,0.0060789158486276,-0.0381529594178431,True,UNWIND,TIME,dev_ftx_2022_11,0.0328301796679554,True,-0.00034642,0.0309301796679554,0.1153114247376088,-0.0230507846258812,-0.0285090516261087,0.0021937002501706,-0.0073582670002273,-0.0075856947919036,-0.019639367750739,-0.0059937002501705,-1,development,FORCED_UNWIND_ACCEPTED,impulse_origin,0.4533,XRPUSDT,-0.1445624633234346,True,two_r,0.4125,PERSISTENT_15,3.527920542665679,dev_ftx_2022_11:-1:002
0.0055538288299764,True,40.390894241809896,253.46807644205205,480,3,BTCUSDT:2022-11-08T04:59:59.999000+00:00,-0.0093339782228767,0.0026653492033567,-0.0067353977611446,0.0032665893886201,-0.0063124915291372,-0.005201725763142,-0.0394622258115468,-0.0120604688659688,-0.0012960023545671,-0.0118915542702122,-0.0092503442274716,-0.0101768151920764,-0.0093680725820899,-0.0303902618176232,19536.5,2022-11-08 05:15:59.999000+00:00,0.0082604688659688,-0.0025039976454328,0.0080915542702122,0.0054503442274716,0.0063768151920764,0.0055680725820899,0.0265902618176232,direct,19626.1,19626.1,2022-11-08 05:00:59.999000+00:00,2022-11-08 05:00:59.999000+00:00,BTCUSDT:public_vectorized_no_ema:2022-11-08T04:59:59.999000+00:00,2022-11-08 04:59:59.999000+00:00,19712.7,2022-11-08 13:00:59.999000+00:00,public_vectorized_no_ema,0,-0.0044124915291372,480,2.030235946173074,0.0262201863844573,3,0.0007942326490713,-0.0539536637436883,-0.0111535149622188,0.021710884994981,0.014832289655102,-0.0063124915291372,0.0043612456342341,-0.029705569131643,True,UNWIND,TIME,dev_ftx_2022_11,0.0281150911286501,True,-0.0001595099999999,0.0262150911286501,-0.224523246261316,0.0055339782228767,-0.0064653492033567,0.0029353977611446,-0.0070665893886201,0.0025124915291372,0.001401725763142,0.0356622258115468,-1,development,FORCED_UNWIND_ACCEPTED,impulse_origin,20140.6,BTCUSDT,-0.1556425527090088,True,two_r,18597.1,PERSISTENT_15,6.47569421778602,dev_ftx_2022_11:-1:002
0.0260662158456515,True,49.48612550330124,443.8143680010103,91,4,BTCUSDT:2022-11-08T17:59:59.999000+00:00,0.0544802211333992,0.014754852879546,0.0310061398924859,0.0285847446928502,0.0507136063784102,0.0365474096762678,0.046812469667886,0.0413920476907049,0.0121641277925684,0.0230344936808763,0.012606098138463,0.0323527018068168,0.0262861326542424,0.0313530069768176,19005.8,2022-11-08 18:15:59.999000+00:00,-0.0451920476907049,-0.0159641277925684,-0.0268344936808763,-0.016406098138463,-0.0361527018068168,-0.0300861326542424,-0.0351530069768176,direct,19327.7,19327.7,2022-11-08 18:00:59.999000+00:00,2022-11-08 18:00:59.999000+00:00,BTCUSDT:public_vectorized_no_ema:2022-11-08T17:59:59.999000+00:00,2022-11-08 17:59:59.999000+00:00,17256.7,2022-11-08 19:31:59.999000+00:00,public_vectorized_no_ema,0,0.1071519115052489,480,2.333182687762021,0.0535759557526244,4,0.0218032745400713,-0.0105496256667889,-0.0105496256667889,0.1292290339771417,0.1292290339771417,0.1052519115052489,0.0055946892913425,-0.078792658740582,True,UNWIND,TARGET,dev_ftx_2022_11,0.0554759557526244,False,0.00091428,0.0535759557526244,1.8972527841536044,-0.0582802211333992,-0.018554852879546,-0.0348061398924859,-0.0323847446928502,-0.0545136063784102,-0.0403474096762678,-0.050612469667886,-1,development,FORCED_UNWIND_ACCEPTED,impulse_origin,20363.2,BTCUSDT,-0.1007506105188282,True,two_r,17256.7,PERSISTENT_15,4.593981882785483,dev_ftx_2022_11:-1:003
0.0441609624559219,True,39.64656595387735,49.27830824779053,91,4,ETHUSDT:2022-11-08T17:59:59.999000+00:00,0.0904321579202102,0.022776761391136,0.0749374472792642,0.0459600566963977,0.0879845329461384,0.068244506672198,0.0978165180114776,0.0767680939451724,0.0218698584300408,0.0594068105287781,0.0259673765250494,0.0622070175314224,0.0532250877280041,0.0761796960180346,1410.61,2022-11-08 18:15:59.999000+00:00,-0.0805680939451724,-0.0256698584300408,-0.0632068105287781,-0.0297673765250494,-0.0660070175314224,-0.0570250877280041,-0.0799796960180346,direct,1446.3,1446.3,2022-11-08 18:00:59.999000+00:00,2022-11-08 18:00:59.999000+00:00,ETHUSDT:public_vectorized_no_ema:2022-11-08T17:59:59.999000+00:00,2022-11-08 17:59:59.999000+00:00,1248.32,2022-11-08 19:31:59.999000+00:00,public_vectorized_no_ema,0,0.1368872294821268,480,2.0098092552607176,0.0684781857152734,4,0.0358976068262115,-0.0154947106409459,-0.0154947106409459,0.1736016040932033,0.1736016040932033,0.1349872294821268,0.007526349402676,-0.1105446542845882,True,UNWIND,TARGET,dev_ftx_2022_11,0.0703436147410634,False,0.0024742999999999,0.0684436147410634,1.918969191148595,-0.0942321579202102,-0.026576761391136,-0.0787374472792642,-0.0497600566963977,-0.0917845329461384,-0.072044506672198,-0.1016165180114776,-1,development,FORCED_UNWIND_ACCEPTED,impulse_origin,1545.29,ETHUSDT,-0.1062163637879756,True,two_r,1248.32,PERSISTENT_15,3.7811389454442255,dev_ftx_2022_11:-1:003
0.0182761175598913,True,46.86862909359106,0.0140594260806921,31,4,XRPUSDT:2022-11-08T18:59:59.999000+00:00,0.0230444307236355,0.0067441096567053,0.0119305754507285,0.0662649790071621,0.0470009632007902,0.0279839219560385,0.0400856754754259,-0.0026473841554559,0.0581398604882909,-0.0061351768809167,0.0464308420528151,0.0529081714000995,0.0205215246636769,0.0255040857000497,0.4014,2022-11-08 19:15:59.999000+00:00,-0.001152615844544,-0.0619398604882909,0.0023351768809167,-0.0502308420528151,-0.0567081714000995,-0.0243215246636769,-0.0293040857000497,direct,0.4049,0.4049,2022-11-08 19:00:59.999000+00:00,2022-11-08 19:00:59.999000+00:00,XRPUSDT:public_vectorized_no_ema:2022-11-08T18:59:59.999000+00:00,2022-11-08 18:59:59.999000+00:00,0.3545,2022-11-08 19:31:59.999000+00:00,public_vectorized_no_ema,0,0.1244751790565571,480,1.7923917985960471,0.0622375895282785,4,0.0114746093750001,-0.0153124228204495,-0.0153124228204495,0.1869597431464559,0.1869597431464559,0.1225751790565571,0.0102280186577345,-0.1238773686534848,True,UNWIND,TARGET,dev_ftx_2022_11,0.0641375895282786,False,8.993e-05,0.0622375895282785,1.9111285590568243,-0.0268444307236355,-0.0105441096567053,-0.0157305754507285,-0.0700649790071621,-0.0508009632007902,-0.0317839219560385,-0.0438856754754259,-1,development,FORCED_UNWIND_ACCEPTED,impulse_origin,0.4301,XRPUSDT,-0.1034084687595345,True,two_r,0.3545,PERSISTENT_15,4.246411496556182,dev_ftx_2022_11:-1:003
0.0075501796091176,True,11.039977597087162,97.0258978241948,480,4,BTCUSDT:2022-11-13T06:59:59.999000+00:00,-1.0955856336690136e-05,-0.005941954770886,0.0038870717416986,-0.0026616146230007,0.0010025313191524,-0.0073152598785015,0.0073353269245761,0.0122376735851874,0.0013671345378527,0.0088092728087202,-0.0021448857697474,0.006127474988801,-0.0016192772883379,0.0120525160519634,16742.5,2022-11-13 07:15:59.999000+00:00,-0.0160376735851874,-0.0051671345378527,-0.0126092728087202,-0.0016551142302525,-0.009927474988801,-0.002180722711662,-0.0158525160519634,direct,16675.1,16675.1,2022-11-13 07:00:59.999000+00:00,2022-11-13 07:00:59.999000+00:00,BTCUSDT:public_vectorized_no_ema:2022-11-13T06:59:59.999000+00:00,2022-11-13 06:59:59.999000+00:00,16626.7,2022-11-13 15:00:59.999000+00:00,public_vectorized_no_ema,0,0.0029025313191524,480,1.811887382052764,0.0105426654113018,4,0.0073991178203853,-0.0066626287098729,-0.0066626287098729,0.0156700709441022,0.0156700709441022,0.0010025313191524,0.0026987468575789,-0.0072229237386949,True,UNWIND,TIME,dev_ftx_2022_11,0.0124366684457664,True,-0.0001110399999999,0.0105366684457664,0.0806109227341893,-0.0037890441436633,0.002141954770886,-0.0076870717416986,-0.0011383853769992,-0.0048025313191524,0.0035152598785015,-0.0111353269245761,-1,development,FORCED_UNWIND_ACCEPTED,impulse_origin,16850.8,BTCUSDT,-0.0376004057890481,True,two_r,16323.699999999995,MIXED_15,1.3894523491384605,dev_ftx_2022_11:-1:004
0.0391440882202585,True,30.527274472286784,0.4489196475767936,480,4,SOLUSDT:2022-11-13T06:59:59.999000+00:00,0.0072287519170378,-0.0165790330825969,0.0030660410428685,-0.0069390710582048,-0.0169441831592784,-0.0198653837727307,-0.0065739209815234,0.0210595508852742,0.0076005038145962,0.0230748092701885,-0.0069381459622859,-0.0021159205412408,0.0002592054124082,0.0087520800345473,13.894,2022-11-13 07:15:59.999000+00:00,-0.0248595508852742,-0.0114005038145962,-0.0268748092701885,0.0031381459622859,-0.0016840794587591,-0.0040592054124082,-0.0125520800345473,direct,13.693,13.693,2022-11-13 07:00:59.999000+00:00,2022-11-13 07:00:59.999000+00:00,SOLUSDT:public_vectorized_no_ema:2022-11-13T06:59:59.999000+00:00,2022-11-13 06:59:59.999000+00:00,13.899,2022-11-13 15:00:59.999000+00:00,public_vectorized_no_ema,0,-0.0150441831592784,480,1.750870126185653,0.0574015920543343,4,0.0298285390392518,-0.0543343314102096,-0.0543343314102096,0.0286277660118308,0.0286277660118308,-0.0169441831592784,0.0080629043852358,-0.0230663022061925,True,UNWIND,TIME,dev_ftx_2022_11,0.0593015920543343,True,-0.00123355,0.0574015920543343,-0.285728975771065,-0.0110287519170378,0.0127790330825969,-0.0068660410428685,0.0031390710582048,0.0131441831592784,0.0160653837727307,0.0027739209815234,-1,development,FORCED_UNWIND_ACCEPTED,impulse_origin,14.479,SOLUSDT,-0.0238024648978932,True,two_r,12.121,MIXED_15,1.4196628959329516,dev_ftx_2022_11:-1:004
