plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,source_prominence,effort_ratio,extension_noise,value_reclaim,event_minutes,first_effort,response_flow,risk_bps,risk_range,cost_r,planned_rr,market_move,relative_move,nav_before,score,position_id,opened,closed,entry_fill,exit_fill,quantity,pnl_ex_funding,holding_minutes,evaluation_censored,funding,pnl,net_r,probability
XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:HIGH:2589:s2:1710030000000000000:1710030480000000000,XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:HIGH:2589:s2:1710030000000000000,XRPUSDT,-1,1710030480000000000,1710030000000000000,0.6221,0.6239,0.6201,1.1111111111110974,0.6228,0.0,XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:HIGH:2589:s2:1710030000000000000,5M_OPPOSING_LIQUIDITY,0.6222000000000001,0.6234,0.6238,0.6217,DEFENDED_AUCTION_PROBE,1.703703703703658,1.2872186957203475,-2.0,0.8701858781964367,8.0,0.6888929222508067,0.46941725485646685,28.934254942935603,2.9508196721311983,0.4147333333333278,1.1111111111110974,-0.5149390956282852,0.08816407125281189,10000.0,1.0,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1710030480000000000,1710031500000000000,0.622,0.6201,110315.5,161.61000119,17.0,False,0.0,161.61000119,0.5387000039666666,
XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:HIGH:2604:s2:1710033900000000000:1710034200000000000,XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:HIGH:2604:s2:1710033900000000000,XRPUSDT,-1,1710034200000000000,1710033900000000000,0.6229,0.6244,0.6201,1.8666666666667506,0.6232,0.0,XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:HIGH:2604:s2:1710033900000000000,5M_OPPOSING_LIQUIDITY,0.6225,0.6238999999999999,0.6243,0.6225,DEFENDED_AUCTION_PROBE,1.769230769230789,1.9002690656264376,0.8571428571428571,0.9418294937371626,5.0,0.9038253040427439,0.3196649714953585,24.080911863861704,1.9955654101994782,0.4983200000000179,1.8666666666667506,-0.4455451412225389,0.4455451412225389,10161.61000119,1.0,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1710034200000000000,1710034620000000000,0.6228,0.6245,126864.2,-294.78799833,7.0,False,0.0,-294.78799833,-0.966998990302646,
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:HIGH:2616:s2:1710037020000000000:1710037320000000000,ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:HIGH:2616:s2:1710037020000000000,ETHUSDT,-1,1710037320000000000,1710037020000000000,3934.11,3941.01,3920.4900000000002,1.973913043478219,3938.78,0.0,ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:HIGH:2616:s2:1710037020000000000,5M_OPPOSING_LIQUIDITY,3934.8,3942.76,3941.0,3932.55,DEFENDED_AUCTION_PROBE,1.5320217664294917,1.1582957577988404,0.14321608040205872,0.7598982740476924,5.0,0.24741028624741426,0.2716423456426122,17.538909689866554,1.51882016288798,0.6841930434782518,1.973913043478219,-0.0075012651829637345,0.273850233859287,9866.822002859999,1.0,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1710037320000000000,1710038100000000000,3933.58,3941.55,24.07,-286.61508955000005,13.0,False,0.0,-286.61508955000005,-0.9682789773205657,
XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:HIGH:2658:s2:1710053580000000000:1710054600000000000,XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:HIGH:2658:s2:1710053580000000000,XRPUSDT,-1,1710054600000000000,1710053580000000000,0.6243,0.6253,0.6231,1.1999999999999778,0.6248,0.0,XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:HIGH:2658:s2:1710053580000000000,5M_OPPOSING_LIQUIDITY,0.6244999999999999,0.6251000000000001,0.6252,0.6239,DEFENDED_AUCTION_PROBE,1.290322580645166,1.7509963848560448,-1.66666666666605,0.7787037070026785,17.0,0.6026325692631481,0.6721832490918457,16.017940092904066,2.666666666666634,0.7491599999999993,1.1999999999999778,0.17223566184943093,-0.13291603396915724,9580.206913310001,1.0,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1710054600000000000,1710055380000000000,0.6242,0.6255,146522.5,-282.03383413,13.0,False,0.0,-282.03383413,-0.9813073860933141,
BTCUSDT:PROBE:BTCUSDT:5m:PIVOT:HIGH:2689:s2:1710059100000000000:1710059580000000000,BTCUSDT:PROBE:BTCUSDT:5m:PIVOT:HIGH:2689:s2:1710059100000000000,BTCUSDT,-1,1710059580000000000,1710059100000000000,69573.4,69627.90000000001,69305.70000000001,4.911926605502956,69559.0,0.0,BTCUSDT:PROBE:BTCUSDT:5m:PIVOT:HIGH:2689:s2:1710059100000000000,5M_OPPOSING_LIQUIDITY,69532.95,69585.05,69627.8,69550.9,DEFENDED_AUCTION_PROBE,1.2995974698102248,1.0677872077014927,0.22264875239931908,0.965100332041314,8.0,1.2256321801672794,0.37870670952403795,7.833453590023566,1.9286346210562837,1.5318913761463797,4.911926605502956,-0.026890404709125376,-0.9466463926982189,9298.17307918,1.0,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1710059580000000000,1710059760000000000,69564.7,69636.6,1.877,-265.59672005,3.0,False,0.0,-265.59672005,-0.9521466127029147,
BTCUSDT:PROBE:BTCUSDT:5m:PIVOT:HIGH:2710:s2:1710065700000000000:1710066180000000000,BTCUSDT:PROBE:BTCUSDT:5m:PIVOT:HIGH:2710:s2:1710065700000000000,BTCUSDT,-1,1710066180000000000,1710065700000000000,69954.0,69999.90000000001,69638.1,6.882352941175035,69991.8,0.0,BTCUSDT:PROBE:BTCUSDT:5m:PIVOT:HIGH:2710:s2:1710065700000000000,5M_OPPOSING_LIQUIDITY,69912.0,70071.6,69999.8,69830.6,DEFENDED_AUCTION_PROBE,1.257731958762884,1.2554245063385445,0.008771929824524613,0.26745430850816576,8.0,0.6880312629799282,0.21529528213800536,6.561454670213102,0.507397240083368,1.828862745097691,6.882352941175035,-0.3198144380891521,-0.5886595329214203,9032.57635913,1.0,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1710066180000000000,1710069840000000000,69945.79999999999,69638.09999999999,1.945,503.3649886,61.0,False,0.0,503.3649886,1.8575910444835075,
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:LOW:2749:s2:1710076920000000000:1710077460000000000,ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:LOW:2749:s2:1710076920000000000,ETHUSDT,1,1710077460000000000,1710076920000000000,3925.98,3923.99,3937.85,5.964824120602252,3926.93,0.0,ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:LOW:2749:s2:1710076920000000000,5M_OPPOSING_LIQUIDITY,3924.2649999999994,3929.5950000000003,3928.07,3924.0,DEFENDED_AUCTION_PROBE,1.2402017850213802,1.0260351607485405,0.5253283302063755,0.16435687163278082,9.0,0.22428521815173916,0.2784722073310375,5.06879810900778,0.6167992561215707,2.3674251256278596,5.964824120602252,-0.46440127900444145,-0.1303461230050083,9535.941347729999,1.0,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1710077460000000000,1710077580000000000,3926.56,3923.41,38.285,-270.86580073,2.0,False,0.0,-270.86580073,-0.9468241985866058,
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:HIGH:2798:s2:1710092760000000000:1710093420000000000,ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:HIGH:2798:s2:1710092760000000000,ETHUSDT,-1,1710093420000000000,1710092760000000000,3916.47,3919.98,3904.2000000000003,3.4957264957261436,3917.63,0.0,ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:HIGH:2798:s2:1710092760000000000,5M_OPPOSING_LIQUIDITY,3915.165,3920.0950000000003,3919.97,3911.34,DEFENDED_AUCTION_PROBE,1.1030810193990317,1.1933836907135709,0.20689655172421426,0.02658948089620789,11.0,1.1760644542944951,0.4239377987345765,8.962152142108119,1.3586220243856142,1.338964102564019,3.4957264957261436,-0.26377041230032583,0.0049726785162683695,9265.075547,1.0,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1710093420000000000,1710094200000000000,3915.9,3920.56,31.02,-266.0966946,13.0,False,0.0,-266.0966946,-0.9573467345198323,
SOLUSDT:PROBE:SOLUSDT:5m:PIVOT:LOW:2841:s2:1710105960000000000:1710106440000000000,SOLUSDT:PROBE:SOLUSDT:5m:PIVOT:LOW:2841:s2:1710105960000000000,SOLUSDT,1,1710106440000000000,1710105960000000000,144.515,144.19,145.166,2.003076923077025,144.274,0.0,SOLUSDT:PROBE:SOLUSDT:5m:PIVOT:LOW:2841:s2:1710105960000000000,5M_OPPOSING_LIQUIDITY,144.145,144.403,144.653,144.2,DEFENDED_AUCTION_PROBE,1.3949903660885972,1.809313432835821,-1.2480620155039768,0.5663928838011874,8.0,1.0289540502907693,0.6585365853658537,22.489014981143043,2.328080229226286,0.5335938461538647,2.003076923077025,-0.47440493402594935,0.1090816306010653,8998.9788524,1.0,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1710106440000000000,1710107220000000000,144.53,144.16,508.89,-261.74502705,13.0,False,0.0,-261.74502705,-0.9695360304878496,
XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:HIGH:2873:s2:1710114420000000000:1710115260000000000,XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:HIGH:2873:s2:1710114420000000000,XRPUSDT,-1,1710115260000000000,1710114420000000000,0.6079,0.6092,0.5967,8.61538461538482,0.6077,0.0,XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:HIGH:2873:s2:1710114420000000000,5M_OPPOSING_LIQUIDITY,0.607,0.6084,0.6091,0.6073,DEFENDED_AUCTION_PROBE,1.4814814814814632,1.271646779639432,0.9999999999999207,0.6046891991664062,14.0,0.21098064351420942,0.3718299127808794,21.38509623293252,1.5087040618955019,0.5611384615384754,8.61538461538482,-1.3706836458746654,0.011019279652909164,8737.23382535,1.0,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1710115260000000000,1710115680000000000,0.6078,0.6093,119631.9,-252.24984274,7.0,False,0.0,-252.24984274,-0.9623558507656751,
XRPUSDT:PROBE:XRPUSDT:15m:PIVOT:HIGH:965:s2:1710124440000000000:1710124860000000000,XRPUSDT:PROBE:XRPUSDT:15m:PIVOT:HIGH:965:s2:1710124440000000000,XRPUSDT,-1,1710124860000000000,1710124440000000000,0.602,0.604,0.5922999999999999,4.8500000000000165,0.603,1.0986122886681098,XRPUSDT:PROBE:XRPUSDT:15m:PIVOT:HIGH:965:s2:1710124440000000000,5M_OPPOSING_LIQUIDITY,0.60185,0.60415,0.6039,0.6015,DEFENDED_AUCTION_PROBE,1.0261282660332565,3.2575843973564877,-0.34782608695648815,0.20531135977178952,7.0,0.305129447115813,0.1726249413903934,33.22259136212628,1.5189873417721478,0.36119999999999963,4.8500000000000165,-0.7451710885110936,-0.028288140687449448,8484.98398261,1.0,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1710124860000000000,1710125340000000000,0.6019,0.6041,88744.5,-248.75083351000004,8.0,False,0.0,-248.75083351000004,-0.9772198117671392,
SOLUSDT:PROBE:SOLUSDT:5m:PIVOT:HIGH:2911:s2:1710125460000000000:1710126000000000000,SOLUSDT:PROBE:SOLUSDT:5m:PIVOT:HIGH:2911:s2:1710125460000000000,SOLUSDT,-1,1710126000000000000,1710125460000000000,139.176,139.55499999999998,137.17999999999998,5.266490765171658,139.264,0.0,SOLUSDT:PROBE:SOLUSDT:5m:PIVOT:HIGH:2911:s2:1710125460000000000,5M_OPPOSING_LIQUIDITY,138.921,139.60700000000003,139.545,138.98,DEFENDED_AUCTION_PROBE,1.2723442672284249,3.672249100607865,0.34985422740517463,0.21835760464011897,9.0,0.4953020752794433,0.055308092056421676,27.231706616082565,1.0794133004224347,0.44066279683378384,5.266490765171658,-0.32041147785019364,0.1388968265834864,8236.233149099999,1.0,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1710126000000000000,1710126240000000000,139.16,139.57,433.21,-237.99041164999997,4.0,False,0.0,-237.99041164999997,-0.9631846959715478,
