plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,move_3,flow_3,efficiency_3,location_3,move_15,flow_15,efficiency_15,location_15,move_60,flow_60,efficiency_60,location_60,move_240,flow_240,efficiency_240,location_240,context_scale,context_age,source_strength,body,wick,activity,range_expansion,impact_residual,flow_change,basis,basis_change,basis_dislocation,market_5,market_15,market_60,relative_15,relative_60,context_15,context_60,channel_location,source_age,source_kind,event_age,penetration,event_flow,event_activity,return_depth,return_activity,origin_overlap,entry_distance,risk_range,risk_bps,cost_r,planned_rr,target_range,is_origin_return,acceptance,control_frame,attack_flow,attack_progress,attack_activity,response_progress,response_flow,response_activity,retracement_flow,retracement_efficiency,liquidity_origin_overlap,x_spot_move_15,x_relative_move_15,x_spot_flow_15,x_relative_flow_15,x_oi_change_15,x_spot_move_60,x_relative_move_60,x_spot_flow_60,x_relative_flow_60,x_oi_change_60,x_index_basis,x_premium,x_premium_change,x_spot_activity,x_futures_activity,nav_before,score,position_id,opened,closed,entry_fill,exit_fill,quantity,pnl_ex_funding,holding_minutes,evaluation_censored,funding,pnl,net_r,probability
SOLUSDT:5:1723768500000000000:-1:1723771920000000000:1,SOLUSDT:5:1723768500000000000:-1,SOLUSDT,-1,1723771920000000000,1723770780000000000,141.446,142.10399999999998,140.683,1.1595744680851372,141.662,0.0,5:1723768500000000000:-1,OBSERVED_OPPOSING_STRUCTURE,141.244,141.519,141.244,140.673,CONTROL_ACCEPTANCE_RETURN,-0.6389658356417268,-0.4628223844282238,-0.5103244837758186,-0.8616144975288249,-0.024007386888282377,0.05605683022543038,-0.00549682875264483,-0.896932515337419,0.5614035087719197,0.039968285501752764,0.041214750542298964,0.19896373056995498,-2.05540166204981,0.002311209452276204,-0.03246885848478638,0.4982126899017021,0.0,0.0,1.784482758620689,-0.7867036011080324,0.019390581717465917,1.138542961096152,1.0163106239975876,-0.10356328443418295,-0.6529990231191869,-1.2699256837178652,-4.123119304410006,-1.2252634460616891,-0.23673862760214168,-0.11047575287745542,0.689244410177347,0.08646836598917304,-0.12784090140542737,1.0,1.0,-4.195874149348443,2.151762203259462,0.0,2.995732273553991,1.8264081255770634,0.18017351536754322,1.4525722646961698,0.7815975733063627,1.138542961096152,0.0,0.398891966759008,1.2151431209602415,46.51951981674894,0.25855623100304453,1.1595744680851372,1.4090489381347855,1.0,1.0,0.0,0.18017351536754322,0.9399815327792678,0.5036915756243098,1.1375807940904867,0.268138549872296,1.1947152490143909,-0.7342252140939883,-1.0,0.0,0.07384069297991751,-0.09784918316958184,0.2125668603598088,-0.15651003013437842,0.7428247564256196,0.5717201378617564,-0.010919058729118431,0.03666770368885498,0.0033005818128977807,0.222168388166466,-0.7369425868897217,-0.8499,-8.146999999999998,0.8523205430476937,0.7500475744825361,100000.0,0.005260989375736425,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1723771920000000000,1723773660000000000,141.42,142.13,3454.55,-2942.49932625,29.0,False,0.0,-2942.49932625,-0.9808331087500001,0.6695824911954157
XRPUSDT:5:1723813200000000000:1:1723816380000000000:1,XRPUSDT:5:1723813200000000000:1,XRPUSDT,1,1723816380000000000,1723814220000000000,0.5598,0.5563,0.5651,1.5142857142857604,0.56,0.0,5:1723813200000000000:1,OBSERVED_OPPOSING_STRUCTURE,0.5586,0.5617,0.5652,0.5617,CONTROL_ACCEPTANCE_RETURN,-2.099999999999989,-0.22639789325083454,-0.8399999999999396,-0.6363636363636731,-4.0,-0.10888559636223602,-0.5263157894736658,-0.7818181818182038,0.6999999999999222,-0.08938930158517525,0.020289855072461286,-0.12500000000000866,-10.0,-0.03961020400608446,-0.1103752759381883,-0.41666666666666796,1.584962500721156,1.5114575040738967,4.400000000000067,-0.777777777777796,0.22222222222220395,1.213658894617886,1.2951082352609151,-1.6171984438722165,-0.30613400912113803,3.917039256580157,2.742252871665851,2.390365769425611,-2.1393653776699337,-4.5197152375799305,0.9757746060163264,0.5197152375799305,-0.27577460601640413,-1.0,1.0,0.5843293492695971,1.4816045409242156,0.0,3.6109179126442243,3.099999999999989,0.05220572609106282,1.788840776625979,1.0384615384615556,0.5727945322044496,1.0,-0.20000000000008883,3.4999999999999445,62.5223294033574,0.1913314285714314,1.5142857142857604,5.300000000000078,1.0,1.0,0.0,0.052205726091062755,5.799999999999911,0.6913969874492701,-0.4999999999999445,-0.2087374808179106,0.7155257729953332,-0.17384475781103242,-0.6216216216215811,1.0,-3.982941028308797,-0.0028358666205067413,-0.368501219600903,0.25961562323866716,6.495946032565314,0.6999375744410276,0.0005004470511309917,-0.14102931379022318,0.051640012205047894,-19.034459644267088,-5.164890854544302,-12.5373,-7.8925,0.8621757293938697,0.7626825972660565,97057.50067375,0.0018699080459147165,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1723816380000000000,1723819920000000000,0.56,0.5561,655554.1000000001,-2922.4929555100002,59.0,False,0.0,-2922.4929555100002,-1.0036981291924039,0.5026317773727271
ETHUSDT:5:1723821300000000000:1:1723827840000000000:1,ETHUSDT:5:1723821300000000000:1,ETHUSDT,1,1723827840000000000,1723825740000000000,2585.1,2562.5299999999997,2609.95,1.101019051838712,2592.5,0.0,5:1723821300000000000:1,OBSERVED_OPPOSING_STRUCTURE,2579.36,2585.29,2609.96,2585.29,CONTROL_ACCEPTANCE_RETURN,-0.4907175112895045,-0.08540135923708955,-1.0,-0.6056338028169675,-0.33718013045661366,0.08783494223680326,-0.10944625407166442,-0.8113772455090128,2.056196688409428,0.10375008672773453,0.1482312088548061,-0.09611992945326531,0.47867536377320835,0.006224779155968336,0.007774427512020172,0.02934860415174989,0.0,0.0,1.7019082001031571,-0.6566757493188723,0.34332425068112765,0.5902068593111742,0.6403988222727459,-0.18983709647177227,-0.07659076107790971,0.7350352623491929,1.0044803825781656,0.9462202035718537,-0.9156311637081037,-0.3156804733727968,1.985355029585781,-0.021499657083816848,0.07084165882364712,-1.0,1.0,0.14035403540353886,2.760009940032921,0.0,3.58351893845611,1.7521324636226974,0.2625729027069071,2.7624513866939036,1.4238258877434178,0.5902068593111742,0.0,-0.7425990968389515,2.2649272453587908,87.30803450543563,0.13684439521488598,1.101019051838712,2.4937280481686015,1.0,1.0,1.584962500721156,0.2625729027069069,2.197691921726068,0.6877533930335389,-0.36929252383340355,0.013216623847468006,1.0100914660725009,-0.08182871585079843,-1.0,0.0,-0.33182310242066054,-0.005138091726087618,-0.2870227103622128,0.37485765259901743,-9.87285433783569,2.0322520433095126,0.03213686786321459,-0.167761767623781,0.27151185435151554,-71.56241260549479,-3.3616724447904645,-5.8690999999999995,-1.3205999999999993,0.7950730821336406,0.36027823495052463,94135.00771824,0.005281273087658659,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1723827840000000000,1723831200000000000,2585.49,2609.95,107.848,2442.24653972,56.0,False,0.0,2442.24653972,0.864802797215819,0.6327690321116485
SOLUSDT:15:1723936500000000000:1:1723944120000000000:1,SOLUSDT:15:1723936500000000000:1,SOLUSDT,1,1723944120000000000,1723941240000000000,142.059,141.249,142.93,1.075308641975317,141.9,1.584962500721156,15:1723936500000000000:1,OBSERVED_OPPOSING_STRUCTURE,141.811,142.499,143.089,142.499,CONTROL_ACCEPTANCE_RETURN,-0.43921568627449714,-0.09018796344197276,-1.0,-0.6994818652850305,-0.7058823529412158,0.039865888269635164,-0.13595166163142383,-0.8933823529411921,2.7764705882353375,0.1481074613684962,0.1340909090909102,-0.1463550361713999,4.839215686274631,0.03202153208460824,0.07239235011146498,0.16463909164639268,0.0,0.0,1.2878048780487668,-0.8220338983051909,-0.1610169491523546,0.23084705969336797,0.5507723650587977,-0.14463962215588214,-0.12782677929801217,-0.9145032577229095,-0.9145032577229095,-0.5602867690494423,-1.2710795102852144,-0.38396635823666747,1.7456536723596467,-0.32191599470454835,1.0308169158756908,1.0,1.0,0.0,1.8352445811677938,0.0,3.8918202981106265,4.662745098039271,0.3951203613167575,3.550237981270436,0.8662741799831852,0.4505656070043571,1.0,0.6235294117646849,3.1764705882353597,57.01856270986015,0.20985777777777717,1.075308641975317,3.4156862745099015,1.0,1.0,1.584962500721156,0.3951203613167575,2.5764705882353818,1.1801227062366755,1.403921568627492,0.09693452818177366,1.4582245610005469,-0.0228562406545745,-0.33102345415779666,1.0,-0.783370891433952,0.07793536550247025,-0.11520301774490335,0.15506890601453852,-1.0088613122505308,2.7898970212319734,-0.006484609576208514,0.1958677116719054,-0.04776025030340919,-43.706490497488204,-6.396137214484954,-5.528,-1.9473,0.716997566038538,0.6272932940031095,96577.25425796,0.00023688769144873667,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1723944120000000000,1723946280000000000,142.1,141.21,2789.64,-2877.9460542,36.0,False,0.0,-2877.9460542,-0.9933139627656502,0.578625966334607
ETHUSDT:5:1723974300000000000:-1:1724026560000000000:1,ETHUSDT:5:1723974300000000000:-1,ETHUSDT,-1,1724026560000000000,1724025060000000000,2621.99,2629.73,2602.8100000000004,2.4780361757104385,2617.7,0.0,5:1723974300000000000:-1,OBSERVED_OPPOSING_STRUCTURE,2619.68,2622.74,2619.68,2602.8,CONTROL_ACCEPTANCE_RETURN,-2.533969010727012,-0.4339855709249805,-0.6205487448919946,-0.4243641231592816,-2.865315852205045,-0.16398174879041671,-0.23689396925502415,-0.633886760323523,4.297973778307622,-0.026782318399035904,0.136291480837554,-0.03757772370909507,10.660309892729662,0.017417200688806377,0.1412061888222297,0.424760191846533,1.584962500721156,4.128209076174857,17.116521739130448,0.5966850828729398,-0.149171270718214,1.0469462273792034,0.8299329765561227,0.9864613557018334,0.0414462396212765,3.268798918165672,3.1252960702798926,1.7401820388226896,-2.695452679369236,-2.179839994858269,5.158656330749411,-0.6854758573467761,-0.8606825524417889,1.0,-0.0,0.5162248051891369,5.135798437050262,0.0,3.295836866004329,1.7091775923718062,0.2352080125920033,1.9707712042207484,1.2879194630872528,1.1784320645984405,0.0,-1.0226460071513774,1.8450536352801796,29.519563385063393,0.40711007751936734,2.4780361757104385,4.5721096543503394,1.0,1.0,0.0,0.2352080125920033,1.408820023837889,0.8043493812565483,0.576877234803255,0.09424525726260485,1.3007145138669387,-0.4297176408248004,-0.46890343698851533,0.0,-2.9132959625106825,0.04139222881893054,-0.10093309968081436,-0.06304864910960291,33.994243567789795,4.238166304958378,0.045097455330088194,0.013861439613630646,-0.04064375801266658,33.98714577482309,5.245689272750376,5.6043,1.9700000000000002,1.408082865150487,1.4521236914606659,93699.30820376,0.0014125116214692458,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1724026560000000000,1724026920000000000,2621.59,2602.81,245.957,4168.637386349999,6.0,False,0.0,4168.637386349999,1.4829840498163247,0.4227390299259604
ETHUSDT:15:1724067000000000000:-1:1724076480000000000:1,ETHUSDT:15:1724067000000000000:-1,ETHUSDT,-1,1724076480000000000,1724075520000000000,2576.39,2586.4900000000002,2565.2200000000003,1.1059405940593283,2569.0,1.584962500721156,15:1724067000000000000:-1,OBSERVED_OPPOSING_STRUCTURE,2573.97,2579.35,2573.97,2565.21,CONTROL_ACCEPTANCE_RETURN,-0.456415279138084,-0.22194876282410642,-0.25298588490770013,-0.5895522388059458,-0.9892262487756531,-0.15041239726306263,-0.1785083068221921,-0.7427903351519718,2.5445641527914185,0.05247988199882577,0.1149862795432448,0.2641330166270872,-0.9520078354553683,0.0009887019903257457,-0.015024112773586078,0.2641330166270872,0.0,0.0,2.641960549910327,-0.9812925170067814,-0.015306122448926717,0.3676984453688868,0.9518427105849996,-1.0116980709056613,0.0905413681755797,-0.8539809096430595,-1.00271497891824,-1.0055291922468883,-1.0790712118678134,-0.6653448317049083,2.1347088250077855,-0.3238814170707448,0.409855327783633,-1.0,1.0,0.0,2.348195604246098,0.0,2.833213344056216,1.5866797257590364,0.2856982194616394,2.4536556803154497,2.949868073878613,0.5591179449684943,0.0,-1.4476003917727418,1.9784524975514843,39.20213942765018,0.3067057425742463,1.1059405940593283,2.1880509304602502,1.0,1.0,0.0,0.28569821946163937,2.4544564152790795,1.139804617037129,0.4701273261508487,-0.010859293538857182,1.2322794323986483,-0.37146481222147726,-0.48156508653121816,0.0,-0.9347792497180138,-0.05541776243178633,0.03464946778537075,-0.18506186504843405,61.849896520342895,2.54665391795102,-0.008483052474030773,-0.0012424849752287845,0.05372236697405452,40.76560576240951,2.485242457531678,3.6805,-1.4201999999999997,0.7626521376806714,0.9045031138190234,97867.94559011,0.0014076862760141785,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1724076480000000000,1724079660000000000,2575.99,2586.91,213.683,-2885.03034034,53.0,False,0.0,-2885.03034034,-0.9826269207090774,0.6301540028134199
XRPUSDT:5:1724102400000000000:1:1724104560000000000:1,XRPUSDT:5:1724102400000000000:1,XRPUSDT,1,1724104560000000000,1724103720000000000,0.5967,0.5947,0.6013000000000001,2.300000000000022,0.5966,0.0,5:1724102400000000000:1,OBSERVED_OPPOSING_STRUCTURE,0.5958,0.5979,0.6014,0.5979,CONTROL_ACCEPTANCE_RETURN,-0.8636363636363557,-0.40712183271614116,-1.0,-0.5999999999999645,0.40909090909090795,0.25460504072714524,0.12000000000000237,-0.6491228070175459,0.6363636363636065,0.15236886982743736,0.06603773584905596,-0.22077922077922418,-1.4090909090908827,-0.01745786727258032,-0.02589807852965721,-0.6052631578947363,0.0,0.0,0.7916666666666676,-0.7222222222221948,0.2777777777778052,1.515549054337242,1.371885878576913,-0.4253838644360006,-0.8494115013711577,-3.3506449991616005,-3.0301809873123364,-1.6075533989245983,-0.6518343195266096,-0.791638322205372,-0.06631493085712015,1.2007292312962798,0.7026785672207266,0.0,1.0,-3.4016597510373323,1.6863989535702286,0.0,2.70805020110221,2.181818181818159,0.5685201960785229,1.364900551046268,0.9791666666666691,1.2085784774814765,1.0,0.04545454545453972,0.9090909090908953,33.517680576504134,0.3574199999999996,2.300000000000022,2.0909090909090793,1.0,1.0,0.0,0.5685201960785229,0.5000000000000379,0.459363935006574,1.0909090909090542,0.3920616889058644,1.5264079650020987,-0.46957165067027784,-1.0,1.0,0.5001258646132202,-0.09072612993533487,0.17894824436822182,0.07565679635892358,96.25072469141571,0.7277610208431857,-0.09064968457121435,0.07303746125005443,0.07933140857738287,33.29060855083554,-8.554934135412973,-4.911199999999999,-1.3133999999999997,0.7572205559632799,0.7608633936099035,94982.91524977,0.004123022745534891,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1724104560000000000,1724113080000000000,0.5969,0.6013,957021.8,3810.1813221200005,142.0,False,-46.449833035767,3763.7314890842335,1.3208450801167801,0.46694032586438516
BTCUSDT:5:1724156700000000000:-1:1724160720000000000:1,BTCUSDT:5:1724156700000000000:-1,BTCUSDT,-1,1724160720000000000,1724158920000000000,60571.0,60705.1,60355.1,1.6099925428784772,60548.2,0.0,5:1724156700000000000:-1,OBSERVED_OPPOSING_STRUCTURE,60555.4,60617.5,60555.4,60355.0,CONTROL_ACCEPTANCE_RETURN,-1.333779264213943,-0.4300297856128562,-1.0,-0.2572509457755108,-2.664882943143644,-0.24490194218082553,-0.4274678111588054,-0.5714805383775836,1.79264214046814,-0.05583675179369575,0.08891838088918382,-0.20367790470882774,3.7137123745817395,-0.009775774254259911,0.055855130784707545,0.1964285714285693,0.0,0.0,2.4524590163934428,-0.3544668587896443,0.48607108549477934,1.251632541571046,1.267831524470773,-0.046912512725308,-0.4372390498124224,1.6203184315888297,-2.156443581441403,0.9450564433745168,-0.4579278423926415,-1.4357182498279653,1.965582720151863,-1.2291646933156788,-0.1729405796837229,1.0,-0.0,-0.5299067447408421,2.128231705849268,0.0,3.4339872044851463,2.58461538461522,0.25668482352420174,2.3525135767058893,1.1180124223602652,1.251632541571046,0.0,-0.30501672240805083,1.793979933110261,22.139307589440254,0.5426223713646591,1.6099925428784772,2.8882943143811497,1.0,1.0,1.584962500721156,0.25668482352420174,1.9264214046821806,0.4911109263554092,0.4735785953177222,-0.08990549200011981,0.9234575419422948,-0.4942800231490827,-1.0,0.0,-2.567317974299921,-0.10195660362658285,0.03018046463375055,-0.2750824068145756,5.7954419163941395,1.9092927854202748,-0.11863063829202831,0.11879697222576004,-0.17463372401945573,-12.678856193737431,5.232719995412749,5.8773,0.1970999999999993,0.9027783896275025,1.0512930982839293,98746.64673885,0.0019189461065509446,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1724160720000000000,1724161020000000000,60561.7,60355.100000000006,13.497,2216.85701061,5.0,False,0.0,2216.85701061,0.7483315750703596,0.6020070346403973
XRPUSDT:15:1724286600000000000:1:1724307660000000000:1,XRPUSDT:15:1724286600000000000:1,XRPUSDT,1,1724307660000000000,1724306280000000000,0.6,0.5972000000000001,0.6039,1.392857142857191,0.601,1.584962500721156,15:1724286600000000000:1,OBSERVED_OPPOSING_STRUCTURE,0.5994,0.6016,0.604,0.6016,CONTROL_ACCEPTANCE_RETURN,-2.0,-0.6245197592746915,-1.0,-0.6521739130435118,-4.0,-0.4201955658160655,-0.6428571428571457,-0.8095238095238296,2.9999999999998765,0.026339625538029432,0.16981132075471198,-0.1428571428571429,1.555555555555487,-0.059928205504532366,0.021671826625385922,0.3495934959349576,0.0,0.0,1.3333333333332897,-0.6153846153846483,0.23076923076921105,2.126213171085845,1.4128315448851503,-0.5485510159075188,-0.47231794971770524,0.0,2.707876913990992,0.7127732357107274,-0.9992936054205813,-1.2995926892820473,0.2923335208980892,-2.700407310717953,2.7076664791017873,0.0,1.0,-0.5836177474402269,3.12968024606373,0.0,3.1780538303479458,3.333333333333292,0.18683692493120346,3.6405744841981225,1.3333333333333333,1.0324968906504115,1.0,-1.1111111111110974,3.111111111110974,46.66666666666523,0.256542857142865,1.392857142857191,4.333333333333292,1.0,1.0,1.584962500721156,0.18683692493120338,3.4444444444443896,1.2453781711278409,0.33333333333329224,0.10258493656649198,1.2054458224327294,-0.5301650400121499,-0.733333333333353,1.0,-3.986722844314397,-0.0013249407172140635,-0.39051463795714236,-0.029680927858923123,-33.811653227147076,2.7826514507054054,0.22411886788516355,-0.010436978230358277,0.03677660376838764,136.3534040626746,-5.273217850262357,-5.846500000000001,-2.4816000000000003,0.9632814529833593,0.9861366078779246,100963.50374946,0.005296914129122348,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1724307660000000000,1724324100000000000,0.6002,0.6039,784221.1,2571.55509343,274.0,False,-34.681234030383585,2536.8738593996163,0.8375547483953032,0.6089059680470429
SOLUSDT:5:1724334600000000000:-1:1724336820000000000:1,SOLUSDT:5:1724334600000000000:-1,SOLUSDT,-1,1724336820000000000,1724335620000000000,142.84,143.22799999999998,142.07299999999998,1.976804123711521,142.3,0.0,5:1724334600000000000:-1,OBSERVED_OPPOSING_STRUCTURE,142.744,142.922,142.744,142.063,CONTROL_ACCEPTANCE_RETURN,-0.4647887323943572,-0.13921847808890997,-0.9537572254333133,-0.8064516129033179,-1.7183098591550174,-0.27535591940802356,-0.5350877192982639,-0.920118343195304,1.825352112676098,0.018327319826070866,0.08695652173912895,0.09281961471102729,1.811267605633857,0.011225863369670635,0.02860956618464979,0.4379746835442958,0.0,0.0,3.9372325249643607,-0.716894977169018,-0.03652968036534243,0.5224070118811923,0.6790671625036528,-0.2083212101384095,0.011381211221510562,0.2295284755970961,-0.05079361448556696,-0.008203915223355044,0.07811544843241519,-1.3715422053332524,1.6402794136982424,-0.346767653821765,0.18507269897785572,-0.0,1.0,-0.33704071499500254,1.4816045409242156,0.0,3.044522437723423,0.6676056338029015,0.01373894966501662,2.151366804716164,3.2784810126579713,0.5686436553858619,0.0,-1.5211267605634018,1.0929577464788394,27.163259591149313,0.4423731958763151,1.976804123711521,2.160563380281821,1.0,1.0,0.0,0.01373894966501662,1.0957746478873838,0.9239890432657465,0.35774647887327665,0.1987526718004275,1.022464398066571,-0.25284573410905936,-0.6653225806451548,0.0,-1.7773259694375616,0.05533659911406914,-0.29501387621461195,0.019657956806588384,3.5677932163125092,1.8255573713930806,-0.004333174548476938,-0.007403653779675478,0.025730973605746346,14.33052348565056,5.539845859656722,5.3062,-0.6599999999999998,0.5045167047922293,0.6197261674278125,103500.37760886,0.009841111347689634,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1724336820000000000,1724339040000000000,142.8,143.27,5041.02,-3090.3216957,37.0,False,0.0,-3090.3216957,-0.9952690566916532,0.6295218523628207
