run_id,variant,segment,start_ns,end_ns,calendar_days,starting_nav,ending_nav,total_return,daily_geometric_return,trades,wins,losses,win_rate,profit_factor,expectancy_r,max_drawdown,maximum_consecutive_losses,largest_profit_share,reversal_trades,continuation_trades,rejected_orders,time_exits,missing_feature_bars,open_position_at_stop,native_account_final,native_expected_final,accounting_error,implementation_status
baseline:week-a,baseline,week-a,1644192000000000000,1644796800000000000,7.0,100000.0,114666.976027575,0.14666976027575007,0.019744083445107474,9,6,3,0.6666666666666666,2.4858341230125163,0.529824702824007,0.030007678337628185,1,0.21531782560909749,9,0,0,2,0,False,122641.12840054999,122641.12840055,-1.4551915228366852e-11,OK
baseline:week-b,baseline,week-b,1686528000000000000,1687132800000000000,7.0,100000.0,94088.866053375,-0.059111339466250024,-0.008666579196238589,2,0,2,0.0,0.0,-1.0002188510085017,0.059111339466250024,2,,2,0,0,0,0,False,96199.0488008,96199.0488008,0.0,OK
baseline:week-c,baseline,week-c,1728864000000000000,1729468800000000000,7.0,100000.0,111225.063235375,0.11225063235374999,0.015314012972022839,5,3,2,0.6,2.7431481302615466,0.7478430944659396,0.029998874955823207,1,0.39121094000802437,5,0,0,0,0,False,118225.88296873998,118225.88296874,-1.4551915228366852e-11,OK
no-boundary-stop-salvage:week-a,no-boundary-stop-salvage,week-a,1644192000000000000,1644796800000000000,7.0,100000.0,108044.64197385001,0.0804464197385002,0.01111478781152564,6,4,2,0.6666666666666666,2.245369891179914,0.4501634397106769,0.05910881699206749,2,0.35727033402784053,6,0,0,2,0,False,112054.21033803,112054.21033803,0.0,OK
no-boundary-stop-salvage:week-b,no-boundary-stop-salvage,week-b,1686528000000000000,1687132800000000000,7.0,100000.0,100000.0,0.0,0.0,0,0,0,,,,0.0,0,,0,0,0,0,0,False,100000.0,100000.0,0.0,OK
no-boundary-stop-salvage:week-c,no-boundary-stop-salvage,week-c,1728864000000000000,1729468800000000000,7.0,100000.0,106723.7450595,0.06723745059499997,0.009339556555862272,1,1,0,1.0,inf,2.2415749057843466,0.0,0,1.0,1,0,0,0,0,False,107127.18224014,107127.18224014,0.0,OK
with-price-risk-floor:week-a,with-price-risk-floor,week-a,1644192000000000000,1644796800000000000,7.0,100000.0,113569.96115677501,0.13569961156775,0.018344641436014664,7,5,2,0.7142857142857143,2.998556748963201,0.6293693330096423,0.05910802486154709,2,0.2675360843170336,7,0,0,2,0,False,118670.36083108999,118670.36083109,-1.4551915228366852e-11,OK
with-price-risk-floor:week-b,with-price-risk-floor,week-b,1686528000000000000,1687132800000000000,7.0,100000.0,97000.838325975,-0.029991616740250082,-0.004340632815885592,1,0,1,0.0,0.0,-0.9997550902211684,0.029991616740250082,1,,1,0,0,0,0,False,97703.20173023,97703.20173023,0.0,OK
with-price-risk-floor:week-c,with-price-risk-floor,week-c,1728864000000000000,1729468800000000000,7.0,100000.0,106723.7450595,0.06723745059499997,0.009339556555862272,1,1,0,1.0,inf,2.2415749057843466,0.0,0,1.0,1,0,0,0,0,False,107127.18224014,107127.18224014,0.0,OK
boundary-stop-all:week-a,boundary-stop-all,week-a,1644192000000000000,1644796800000000000,7.0,100000.0,119561.67947177499,0.19561679471774984,0.025851676214273756,9,5,4,0.5555555555555556,2.4130977991216884,0.7046761243075389,0.030009484323890168,1,0.28831297775028075,9,0,0,1,0,False,130295.94755052001,130295.94755052,1.4551915228366852e-11,OK
boundary-stop-all:week-b,boundary-stop-all,week-b,1686528000000000000,1687132800000000000,7.0,100000.0,94088.866053375,-0.059111339466250024,-0.008666579196238589,2,0,2,0.0,0.0,-1.0002188510085017,0.059111339466250024,2,,2,0,0,0,0,False,96199.0488008,96199.0488008,0.0,OK
boundary-stop-all:week-c,boundary-stop-all,week-c,1728864000000000000,1729468800000000000,7.0,100000.0,118092.047819525,0.18092047819525003,0.024040743478237925,5,3,2,0.6,3.719792341376686,1.1871364598701042,0.02999957890348326,1,0.5529519808980157,5,0,0,0,0,False,125724.41973482,125724.41973482,0.0,OK
