scenario_id,family,source_family,source_direction,direction,signal_ts_ns,signal_day_utc,signal_hour_utc,submission_ts_ns,reference_entry_price,expected_entry_price,stop_price,target_price,target_reason,liquidity_level,atr_at_signal,quantity,equity_before_entry,planned_loss_budget,loss_per_unit,net_rr_at_submission,fee_rate_per_fill,sac_entry_confirmation,failed_acceptance_trap,favorable_drift_guard_enabled,scenario_details,bias_context_id,olar_leg_id,actual_entry_price,opened_ts_ns,opened_bar_index,path_observations,mfe_price,mae_price,mfe_price_distance,mae_price_distance,mfe_stop_units,mae_stop_units,mfe_atr,mae_atr,mfe_close_net_r_after_cost,mfe_intrabar_net_r_after_cost,first_close_half_r_ts_ns,first_close_one_r_ts_ns,actual_exit_price,closed_ts_ns,closed_day_utc,closed_hour_utc,duration_minutes,realized_pnl_after_cost,realized_return,realized_r_multiple,outcome
HSP-1706548260000000000-000001,HML,HML,LONG,LONG,1706548320000000000,2024-01-29,17,1706548380000000000,43135.1,43070.0,43027.0,43298.0,HIGHER_TIMEFRAME_ACCEPTED_EXTREME,43076.0,64.47999999999993,29.006,100000.0,3000.0,103.42459699999846,1.618013556291667,0.0007,,False,True,"{'bias_context_id': 'HSC-BIAS-1706547600000000000-000002', 'bias_period_minutes': 60, 'liquidity_period_minutes': 5, 'bias_boundary': 42636.0, 'bias_origin': 42623.1, 'bias_extreme': 43298.0, 'bias_atr_htf': 278.2666666666664, 'bias_range_atr': 2.88320555821755, 'bias_body_fraction': 0.6972454194191692, 'bias_flow_ratio': 0.05019458668639514, 'bias_relative_volume': 7.907561881495472, 'swept_level': 43076.0, 'swept_level_ts_ns': 1706547600000000000, 'impulse_position': 0.6646525679758308, 'sweep_flow_ratio': 0.3186977468091315, 'sweep_low': 43034.0, 'sweep_high': 43115.5, 'liquidity_pool_mode': 'CONFIRMED_SWING', 'bias_expiry_mode': 'STRUCTURAL_ONLY', 'flow_stage_contract': {'bias': True, 'sweep': False, 'response': True}, 'swept_pool_kind': 'CONFIRMED_SWING', 'swept_pool_touches': 1, 'pool_family_contract': 'SWING_AND_EQUAL'}",HSC-BIAS-1706547600000000000-000002,,43070.1,1706548380000000000,1032,6,43141.5,43013.0,71.40000000000146,57.099999999998545,1.6566125290024099,1.3248259860788973,1.107320099255607,0.8855459057071744,-0.4458148384179755,0.10492552366437183,,,43026.899999999994,1706548680000000000,2024-01-29,17,5.0,-3001.1899074,-0.0010030160134293714,-1.0003966358,STOP
HSP-1706550180000000000-000003,HML,HML,LONG,LONG,1706550360000000000,2024-01-29,17,1706550420000000000,43054.3,43022.0,43008.899999999994,43141.5,CONFIRMED_LTF_BUYSIDE_LIQUIDITY,43040.0,44.71500000000051,39.603,96998.8100926,2909.964302778,73.478326999997,0.8027612005918754,0.0007,,False,True,"{'bias_context_id': 'HSC-BIAS-1706547600000000000-000002', 'bias_period_minutes': 60, 'liquidity_period_minutes': 5, 'bias_boundary': 42636.0, 'bias_origin': 42623.1, 'bias_extreme': 43298.0, 'bias_atr_htf': 278.2666666666664, 'bias_range_atr': 2.88320555821755, 'bias_body_fraction': 0.6972454194191692, 'bias_flow_ratio': 0.05019458668639514, 'bias_relative_volume': 7.907561881495472, 'swept_level': 43040.0, 'swept_level_ts_ns': 1706549700000000000, 'impulse_position': 0.6102719033232629, 'sweep_flow_ratio': 0.1805053510894451, 'sweep_low': 43015.9, 'sweep_high': 43051.9, 'liquidity_pool_mode': 'CONFIRMED_SWING', 'bias_expiry_mode': 'STRUCTURAL_ONLY', 'flow_stage_contract': {'bias': True, 'sweep': False, 'response': True}, 'swept_pool_kind': 'CONFIRMED_SWING', 'swept_pool_touches': 1, 'pool_family_contract': 'SWING_AND_EQUAL'}",HSC-BIAS-1706547600000000000-000002,,43022.10132060702,1706550420000000000,1066,2,43054.3,42961.7,32.200000000004366,60.400000000001455,2.4393939393934634,4.575757575756173,0.720116292072101,1.3507771441350949,-0.8237921639125101,-0.38451447050498017,,,43008.8,1706550480000000000,2024-01-29,17,1.0,-2911.7294495,-0.00030917412675624244,-1.0006065870706096,STOP
HSP-1706552580000000000-000005,HML,HML,LONG,LONG,1706552700000000000,2024-01-29,18,1706552760000000000,42996.5,42971.9,42953.0,43109.0,CONFIRMED_LTF_BUYSIDE_LIQUIDITY,42968.5,33.42500000000037,35.637,94087.0806431,2822.6124192929997,79.20412699999991,0.9676688943241383,0.0007,,False,True,"{'bias_context_id': 'HSC-BIAS-1706547600000000000-000002', 'bias_period_minutes': 60, 'liquidity_period_minutes': 5, 'bias_boundary': 42636.0, 'bias_origin': 42623.1, 'bias_extreme': 43298.0, 'bias_atr_htf': 278.2666666666664, 'bias_range_atr': 2.88320555821755, 'bias_body_fraction': 0.6972454194191692, 'bias_flow_ratio': 0.05019458668639514, 'bias_relative_volume': 7.907561881495472, 'swept_level': 42968.5, 'swept_level_ts_ns': 1706551500000000000, 'impulse_position': 0.5022658610271903, 'sweep_flow_ratio': -0.37341772151898733, 'sweep_low': 42960.0, 'sweep_high': 42990.7, 'liquidity_pool_mode': 'CONFIRMED_SWING', 'bias_expiry_mode': 'STRUCTURAL_ONLY', 'flow_stage_contract': {'bias': True, 'sweep': False, 'response': True}, 'swept_pool_kind': 'EQUAL_LOW', 'swept_pool_touches': 2, 'pool_family_contract': 'SWING_AND_EQUAL'}",HSC-BIAS-1706547600000000000-000002,,42972.02759210932,1706552760000000000,1105,8,43023.3,42942.4,51.30000000000291,29.599999999998545,2.7000000000001534,1.5578947368420286,1.5347793567689558,0.8855646970829685,-0.4946161454440746,-0.11485146474750117,,,42952.899999999994,1706553180000000000,2024-01-29,18,7.0,-2825.12465122,-0.0004451172816624997,-1.0008900378634449,STOP
HSP-1706591100000000000-000020,HML,HML,LONG,LONG,1706591160000000000,2024-01-30,5,1706591220000000000,43432.6,43420.1,43378.0,43673.6,PRIOR_SLOW_BUYSIDE_LIQUIDITY,43392.7,13.294999999999344,26.577,91261.95599188,2737.8586797564,103.015366999997,1.8670458165722559,0.0007,,False,True,"{'bias_context_id': 'HSC-BIAS-1706547600000000000-000002', 'bias_period_minutes': 60, 'liquidity_period_minutes': 5, 'bias_boundary': 42636.0, 'bias_origin': 42623.1, 'bias_extreme': 43798.2, 'bias_atr_htf': 278.2666666666664, 'bias_range_atr': 2.88320555821755, 'bias_body_fraction': 0.6972454194191692, 'bias_flow_ratio': 0.05019458668639514, 'bias_relative_volume': 7.907561881495472, 'swept_level': 43392.7, 'swept_level_ts_ns': 1706589600000000000, 'impulse_position': 0.6510927551195999, 'sweep_flow_ratio': -0.1411780691623071, 'sweep_low': 43385.0, 'sweep_high': 43402.6, 'liquidity_pool_mode': 'CONFIRMED_SWING', 'bias_expiry_mode': 'STRUCTURAL_ONLY', 'flow_stage_contract': {'bias': True, 'sweep': False, 'response': True}, 'swept_pool_kind': 'CONFIRMED_SWING', 'swept_pool_touches': 1, 'pool_family_contract': 'SWING_AND_EQUAL'}",HSC-BIAS-1706547600000000000-000002,,43420.20481619445,1706591220000000000,1746,22,43452.5,43361.2,32.30000000000291,59.0,0.7654028436020175,1.39810426540294,2.42948476871038,4.437758555848282,-0.2787049237032561,-0.2787049237032561,,,43377.9,1706592480000000000,2024-01-30,5,21.0,-2739.11836219,-0.0009743117604702716,-1.0004600976825115,STOP
HSP-1706612460000000000-000033,HML,HML,LONG,LONG,1706612520000000000,2024-01-30,11,1706612580000000000,43505.8,43494.5,43458.5,43627.8,HIGHER_TIMEFRAME_EXTENSION,43478.4,15.575000000000728,27.362,88522.83762969,2655.6851288906996,97.05544150000127,0.7426794302924524,0.0007,,False,True,"{'bias_context_id': 'HSC-BIAS-1706612400000000000-000003', 'bias_period_minutes': 60, 'liquidity_period_minutes': 5, 'bias_boundary': 43449.2, 'bias_origin': 43312.0, 'bias_extreme': 43518.0, 'bias_atr_htf': 219.53333333333345, 'bias_range_atr': 1.000759186152464, 'bias_body_fraction': 0.692307692307672, 'bias_flow_ratio': 0.0851307451780677, 'bias_relative_volume': 0.9700476585936469, 'swept_level': 43478.4, 'swept_level_ts_ns': 1706587500000000000, 'impulse_position': 0.6058091286307411, 'sweep_flow_ratio': 0.3229344574649777, 'sweep_low': 43464.0, 'sweep_high': 43483.7, 'liquidity_pool_mode': 'CONFIRMED_SWING', 'bias_expiry_mode': 'STRUCTURAL_ONLY', 'flow_stage_contract': {'bias': True, 'sweep': False, 'response': True}, 'swept_pool_kind': 'CONFIRMED_SWING', 'swept_pool_touches': 1, 'pool_family_contract': 'SWING_AND_EQUAL'}",HSC-BIAS-1706612400000000000-000003,,43494.60616548498,1706612580000000000,2102,3,43505.8,43438.9,11.200000000004366,55.69999999999709,0.3102493074793578,1.5429362880886242,0.7191011235957523,3.576243980738009,-0.6304888119023986,-0.5141420123259651,,,43458.4,1706612700000000000,2024-01-30,11,2.0,-2656.11880829,-0.0008324288613447941,-1.0001633022659886,STOP
HSP-1706708220000000000-000040,HML,HML,SHORT,SHORT,1706708400000000000,2024-01-31,13,1706708460000000000,42761.0,42761.3,42929.5,42503.299999999996,PRIOR_FAST_SELLSIDE_LIQUIDITY,42888.5,45.254999999999924,11.277,85866.7188214,2576.001564642,228.41399795832479,0.8673495572550112,0.0007,,False,True,"{'bias_context_id': 'HSC-BIAS-1706695200000000000-000004', 'bias_period_minutes': 60, 'liquidity_period_minutes': 5, 'bias_boundary': 42888.7, 'bias_origin': 42964.5, 'bias_extreme': 42341.0, 'bias_atr_htf': 233.21666666666655, 'bias_range_atr': 1.562924319302509, 'bias_body_fraction': 0.895198902606318, 'bias_flow_ratio': -0.17577479583703137, 'bias_relative_volume': 2.8863210636351138, 'swept_level': 42888.5, 'swept_level_ts_ns': 1706694900000000000, 'impulse_position': 0.0003651634106209434, 'sweep_flow_ratio': 0.3559633381937702, 'sweep_low': 42767.9, 'sweep_high': 42923.7, 'liquidity_pool_mode': 'CONFIRMED_SWING', 'bias_expiry_mode': 'STRUCTURAL_ONLY', 'flow_stage_contract': {'bias': True, 'sweep': False, 'response': True}, 'swept_pool_kind': 'EQUAL_HIGH', 'swept_pool_touches': 2, 'pool_family_contract': 'SWING_AND_EQUAL'}",HSC-BIAS-1706695200000000000-000004,,42761.2,1706708460000000000,3700,55,42548.0,42939.2,213.1999999999971,178.0,1.2667855020795806,1.0576351752822157,4.71108164843658,3.933267042315773,0.5168637695380666,0.6710777858192579,1.70671008e+18,,42929.6,1706711700000000000,2024-01-31,14,54.0,-2575.48140612,-0.003938149537431163,-0.9997980752305666,STOP
HSP-1706719260000000000-000042,HML,HML,LONG,LONG,1706719320000000000,2024-01-31,16,1706719380000000000,43400.0,43352.2,43319.7,43491.100000000006,PRIOR_FAST_BUYSIDE_LIQUIDITY,43370.0,41.57999999999993,26.756,83291.23741528,2498.7371224584,93.38677681249835,0.8342689688972589,0.0007,,False,True,"{'bias_context_id': 'HSC-BIAS-1706716800000000000-000005', 'bias_period_minutes': 60, 'liquidity_period_minutes': 5, 'bias_boundary': 42984.0, 'bias_origin': 42864.1, 'bias_extreme': 43599.9, 'bias_atr_htf': 252.65833333333285, 'bias_range_atr': 3.1231900788284577, 'bias_body_fraction': 0.6053732099860667, 'bias_flow_ratio': 0.057032447573173314, 'bias_relative_volume': 5.9256440162845205, 'swept_level': 43370.0, 'swept_level_ts_ns': 1706718300000000000, 'impulse_position': 0.6267251177139131, 'sweep_flow_ratio': 0.38983179433823206, 'sweep_low': 43326.0, 'sweep_high': 43396.7, 'liquidity_pool_mode': 'CONFIRMED_SWING', 'bias_expiry_mode': 'STRUCTURAL_ONLY', 'flow_stage_contract': {'bias': True, 'sweep': False, 'response': True}, 'swept_pool_kind': 'CONFIRMED_SWING', 'swept_pool_touches': 1, 'pool_family_contract': 'SWING_AND_EQUAL'}",HSC-BIAS-1706716800000000000-000005,,43352.3,1706719380000000000,3882,11,43518.0,43324.0,165.6999999999971,28.30000000000291,5.082822085888574,0.8680981595091367,3.985088985088922,0.6806156806157518,0.9327135272575459,1.1210451155220282,1.70671974e+18,,43491.0,1706719980000000000,2024-01-31,16,10.0,2084.55166564,0.003199368891615833,0.8342420844931057,OTHER_EXIT
HSP-1706744460000000000-000047,HML,HML,SHORT,SHORT,1706744640000000000,2024-01-31,23,1706744700000000000,42600.1,42603.0,42655.299999999996,42336.8,PRIOR_SLOW_SELLSIDE_LIQUIDITY,42639.0,18.42499999999891,22.841,85375.78908092,2561.2736724276,112.13098347916444,1.8419720722272592,0.0007,,False,True,"{'bias_context_id': 'HSC-BIAS-1706734800000000000-000007', 'bias_period_minutes': 60, 'liquidity_period_minutes': 5, 'bias_boundary': 43022.3, 'bias_origin': 43316.3, 'bias_extreme': 42257.6, 'bias_atr_htf': 382.0083333333326, 'bias_range_atr': 2.21042298379181, 'bias_body_fraction': 0.9264566556134551, 'bias_flow_ratio': -0.09192040865445816, 'bias_relative_volume': 2.2787220501539416, 'swept_level': 42639.0, 'swept_level_ts_ns': 1706743500000000000, 'impulse_position': 0.5012423172485951, 'sweep_flow_ratio': -0.554968577724686, 'sweep_low': 42604.0, 'sweep_high': 42645.7, 'liquidity_pool_mode': 'CONFIRMED_SWING', 'bias_expiry_mode': 'STRUCTURAL_ONLY', 'flow_stage_contract': {'bias': True, 'sweep': False, 'response': True}, 'swept_pool_kind': 'CONFIRMED_SWING', 'swept_pool_touches': 1, 'pool_family_contract': 'SWING_AND_EQUAL'}",HSC-BIAS-1706734800000000000-000007,,42602.899999999994,1706744700000000000,4304,19,42560.5,42674.9,42.39999999999418,72.00000000000728,0.8091603053433779,1.3740458015268182,2.301221166892629,3.9077340569884145,-0.15530390851554124,-0.15530390851554124,,,42655.4,1706745780000000000,2024-02-01,0,18.0,-2562.32188121,-0.0012323104765170278,-1.0004092529407083,STOP
HSP-1706748720000000000-000049,HML,HML,SHORT,SHORT,1706748840000000000,2024-02-01,0,1706748900000000000,42425.6,42425.9,42510.6,42201.6,HIGHER_TIMEFRAME_ACCEPTED_EXTREME,42452.8,48.815000000001234,17.216,82813.46719971,2484.4040159912997,144.30572347916586,1.1424408264985046,0.0007,,False,True,"{'bias_context_id': 'HSC-BIAS-1706734800000000000-000007', 'bias_period_minutes': 60, 'liquidity_period_minutes': 5, 'bias_boundary': 43022.3, 'bias_origin': 43316.3, 'bias_extreme': 42201.6, 'bias_atr_htf': 382.0083333333326, 'bias_range_atr': 2.21042298379181, 'bias_body_fraction': 0.9264566556134551, 'bias_flow_ratio': -0.09192040865445816, 'bias_relative_volume': 2.2787220501539416, 'swept_level': 42452.8, 'swept_level_ts_ns': 1706737800000000000, 'impulse_position': 0.6939198245400231, 'sweep_flow_ratio': 0.06035400854689338, 'sweep_low': 42429.6, 'sweep_high': 42501.0, 'liquidity_pool_mode': 'CONFIRMED_SWING', 'bias_expiry_mode': 'STRUCTURAL_ONLY', 'flow_stage_contract': {'bias': True, 'sweep': False, 'response': True}, 'swept_pool_kind': 'EQUAL_HIGH', 'swept_pool_touches': 2, 'pool_family_contract': 'SWING_AND_EQUAL'}",HSC-BIAS-1706734800000000000-000007,,42425.782039962825,1706748900000000000,4374,22,42123.6,42489.7,302.20000000000437,63.89999999999418,3.5636792452832537,0.7535377358490267,6.1907200655535535,1.309023865614925,1.4662868173108103,1.6826458032696177,1.70674992e+18,1.70675016e+18,42201.7,1706750160000000000,2024-02-01,1,21.0,2837.93368844,0.005281742119726984,1.1422995898304562,TARGET
