ts_ns,nav
1706486460000000000,100000.0
1706486520000000000,100000.0
1706486580000000000,100000.0
1706486640000000000,100000.0
1706486700000000000,100000.0
1706486760000000000,100000.0
1706486820000000000,100000.0
1706486880000000000,100000.0
1706486940000000000,100000.0
1706487000000000000,100000.0
1706487060000000000,100000.0
1706487120000000000,100000.0
1706487180000000000,100000.0
1706487240000000000,100000.0
1706487300000000000,100000.0
1706487360000000000,100000.0
1706487420000000000,100000.0
1706487480000000000,100000.0
1706487540000000000,100000.0
1706487600000000000,100000.0
1706487660000000000,100000.0
1706487720000000000,100000.0
1706487780000000000,100000.0
1706487840000000000,100000.0
1706487900000000000,100000.0
1706487960000000000,100000.0
1706488020000000000,100000.0
1706488080000000000,100000.0
1706488140000000000,100000.0
1706488200000000000,100000.0
1706488260000000000,100000.0
1706488320000000000,100000.0
1706488380000000000,100000.0
1706488440000000000,100000.0
1706488500000000000,100000.0
1706488560000000000,100000.0
1706488620000000000,100000.0
1706488680000000000,100000.0
1706488740000000000,100000.0
1706488800000000000,100000.0
1706488860000000000,100000.0
1706488920000000000,100000.0
1706488980000000000,100000.0
1706489040000000000,100000.0
1706489100000000000,100000.0
1706489160000000000,100000.0
1706489220000000000,100000.0
1706489280000000000,100000.0
1706489340000000000,100000.0
1706489400000000000,100000.0
1706489460000000000,100000.0
1706489520000000000,100000.0
1706489580000000000,100000.0
1706489640000000000,100000.0
1706489700000000000,100000.0
1706489760000000000,100000.0
1706489820000000000,100000.0
1706489880000000000,100000.0
1706489940000000000,100000.0
1706490000000000000,100000.0
1706490060000000000,100000.0
1706490120000000000,100000.0
1706490180000000000,100000.0
1706490240000000000,100000.0
1706490300000000000,100000.0
1706490360000000000,100000.0
1706490420000000000,100000.0
1706490480000000000,100000.0
1706490540000000000,100000.0
1706490600000000000,100000.0
1706490660000000000,100000.0
1706490720000000000,100000.0
1706490780000000000,100000.0
1706490840000000000,100000.0
1706490900000000000,100000.0
1706490960000000000,100000.0
1706491020000000000,100000.0
1706491080000000000,100000.0
1706491140000000000,100000.0
1706491200000000000,100000.0
1706491260000000000,100000.0
1706491320000000000,100000.0
1706491380000000000,100000.0
1706491440000000000,100000.0
1706491500000000000,100000.0
1706491560000000000,100000.0
1706491620000000000,100000.0
1706491680000000000,100000.0
1706491740000000000,100000.0
1706491800000000000,100000.0
1706491860000000000,100000.0
1706491920000000000,100000.0
1706491980000000000,100000.0
1706492040000000000,100000.0
1706492100000000000,100000.0
1706492160000000000,100000.0
1706492220000000000,100000.0
1706492280000000000,100000.0
1706492340000000000,100000.0
1706492400000000000,100000.0
1706492460000000000,100000.0
1706492520000000000,100000.0
1706492580000000000,100000.0
1706492640000000000,100000.0
1706492700000000000,100000.0
1706492760000000000,100000.0
1706492820000000000,100000.0
1706492880000000000,100000.0
1706492940000000000,100000.0
1706493000000000000,100000.0
1706493060000000000,100000.0
1706493120000000000,100000.0
1706493180000000000,100000.0
1706493240000000000,100000.0
1706493300000000000,100000.0
1706493360000000000,100000.0
1706493420000000000,100000.0
1706493480000000000,100000.0
1706493540000000000,100000.0
1706493600000000000,100000.0
1706493660000000000,100000.0
1706493720000000000,100000.0
1706493780000000000,100000.0
1706493840000000000,100000.0
1706493900000000000,100000.0
1706493960000000000,100000.0
1706494020000000000,100000.0
1706494080000000000,100000.0
1706494140000000000,100000.0
1706494200000000000,100000.0
1706494260000000000,100000.0
1706494320000000000,100000.0
1706494380000000000,100000.0
1706494440000000000,100000.0
1706494500000000000,100000.0
1706494560000000000,100000.0
1706494620000000000,100000.0
1706494680000000000,100000.0
1706494740000000000,100000.0
1706494800000000000,100000.0
1706494860000000000,100000.0
1706494920000000000,100000.0
1706494980000000000,100000.0
1706495040000000000,100000.0
1706495100000000000,100000.0
1706495160000000000,100000.0
1706495220000000000,100000.0
1706495280000000000,100000.0
1706495340000000000,100000.0
1706495400000000000,100000.0
1706495460000000000,100000.0
1706495520000000000,100000.0
1706495580000000000,100000.0
1706495640000000000,100000.0
1706495700000000000,100000.0
1706495760000000000,100000.0
1706495820000000000,100000.0
1706495880000000000,100000.0
1706495940000000000,100000.0
1706496000000000000,100000.0
1706496060000000000,100000.0
1706496120000000000,100000.0
1706496180000000000,100000.0
1706496240000000000,100000.0
1706496300000000000,100000.0
1706496360000000000,100000.0
1706496420000000000,100000.0
1706496480000000000,100000.0
1706496540000000000,100000.0
1706496600000000000,100000.0
