plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,move_3,flow_3,efficiency_3,location_3,move_15,flow_15,efficiency_15,location_15,move_60,flow_60,efficiency_60,location_60,move_240,flow_240,efficiency_240,location_240,context_scale,context_age,source_strength,body,wick,activity,range_expansion,impact_residual,flow_change,basis,basis_change,basis_dislocation,market_5,market_15,market_60,relative_15,relative_60,context_15,context_60,channel_location,source_age,source_kind,event_age,penetration,event_flow,event_activity,return_depth,return_activity,origin_overlap,entry_distance,risk_range,risk_bps,cost_r,planned_rr,target_range,is_origin_return,acceptance,control_frame,attack_flow,attack_progress,attack_activity,response_progress,response_flow,response_activity,retracement_flow,retracement_efficiency,liquidity_origin_overlap,nav_before,score,position_id,opened,closed,entry_fill,exit_fill,quantity,pnl_ex_funding,holding_minutes,evaluation_censored,funding,pnl,net_r,probability
SOLUSDT:5:1723768500000000000:-1:1723771920000000000:1,SOLUSDT:5:1723768500000000000:-1,SOLUSDT,-1,1723771920000000000,1723770780000000000,141.446,142.10399999999998,140.683,1.1595744680851372,141.662,0.0,5:1723768500000000000:-1,OBSERVED_OPPOSING_STRUCTURE,141.244,141.519,141.244,140.673,CONTROL_ACCEPTANCE_RETURN,-0.6389658356417268,-0.4628223844282238,-0.5103244837758186,-0.8616144975288249,-0.024007386888282377,0.05605683022543038,-0.00549682875264483,-0.896932515337419,0.5614035087719197,0.039968285501752764,0.041214750542298964,0.19896373056995498,-2.05540166204981,0.002311209452276204,-0.03246885848478638,0.4982126899017021,0.0,0.0,1.784482758620689,-0.7867036011080324,0.019390581717465917,1.138542961096152,1.0163106239975876,-0.10356328443418295,-0.6529990231191869,-1.2699256837178652,-4.123119304410006,-1.2252634460616891,-0.23673862760214168,-0.11047575287745542,0.689244410177347,0.08646836598917304,-0.12784090140542737,1.0,1.0,-4.195874149348443,2.151762203259462,0.0,2.995732273553991,1.8264081255770634,0.18017351536754322,1.4525722646961698,0.7815975733063627,1.138542961096152,0.0,0.398891966759008,1.2151431209602415,46.51951981674894,0.25855623100304453,1.1595744680851372,1.4090489381347855,1.0,1.0,0.0,0.18017351536754322,0.9399815327792678,0.5036915756243098,1.1375807940904867,0.268138549872296,1.1947152490143909,-0.7342252140939883,-1.0,0.0,100000.0,0.007353668058743252,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1723771920000000000,1723773660000000000,141.42,142.13,3454.55,-2942.49932625,29.0,False,0.0,-2942.49932625,-0.9808331087500001,0.7088101867009493
ETHUSDT:5:1723821300000000000:1:1723827840000000000:1,ETHUSDT:5:1723821300000000000:1,ETHUSDT,1,1723827840000000000,1723825740000000000,2585.1,2562.5299999999997,2609.95,1.101019051838712,2592.5,0.0,5:1723821300000000000:1,OBSERVED_OPPOSING_STRUCTURE,2579.36,2585.29,2609.96,2585.29,CONTROL_ACCEPTANCE_RETURN,-0.4907175112895045,-0.08540135923708955,-1.0,-0.6056338028169675,-0.33718013045661366,0.08783494223680326,-0.10944625407166442,-0.8113772455090128,2.056196688409428,0.10375008672773453,0.1482312088548061,-0.09611992945326531,0.47867536377320835,0.006224779155968336,0.007774427512020172,0.02934860415174989,0.0,0.0,1.7019082001031571,-0.6566757493188723,0.34332425068112765,0.5902068593111742,0.6403988222727459,-0.18983709647177227,-0.07659076107790971,0.7350352623491929,1.0044803825781656,0.9462202035718537,-0.9156311637081037,-0.3156804733727968,1.985355029585781,-0.021499657083816848,0.07084165882364712,-1.0,1.0,0.14035403540353886,2.760009940032921,0.0,3.58351893845611,1.7521324636226974,0.2625729027069071,2.7624513866939036,1.4238258877434178,0.5902068593111742,0.0,-0.7425990968389515,2.2649272453587908,87.30803450543563,0.13684439521488598,1.101019051838712,2.4937280481686015,1.0,1.0,1.584962500721156,0.2625729027069069,2.197691921726068,0.6877533930335389,-0.36929252383340355,0.013216623847468006,1.0100914660725009,-0.08182871585079843,-1.0,0.0,97057.50067375,0.003585184973605226,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1723827840000000000,1723831200000000000,2585.5,2609.95,111.178,2516.54293628,56.0,False,0.0,2516.54293628,0.8642790506695378,0.6027405597151292
SOLUSDT:15:1723882500000000000:1:1723887900000000000:1,SOLUSDT:15:1723882500000000000:1,SOLUSDT,1,1723887900000000000,1723869780000000000,139.601,139.16400000000002,140.09900000000002,1.1395881006865853,139.521,1.584962500721156,15:1723882500000000000:1,OBSERVED_OPPOSING_STRUCTURE,139.416,139.614,140.109,139.614,CONTROL_ACCEPTANCE_RETURN,-1.0271317829458113,-0.5364456785838251,-1.0,-0.9932885906039949,-0.5387596899225287,-0.06470700280800497,-0.13100848256362427,-0.996070726915502,2.2945736434109425,0.037894037093664824,0.14361960213488764,0.1596360628618554,0.3953488372093241,-0.01998997974538276,0.006444275966641546,0.3573687539531889,3.584962500721156,1.9095425048844383,1.3124999999999545,-0.9921259842519315,0.007874015748068501,0.6583462063973753,0.7063977257658419,-0.12575703712668157,-0.3076390220808793,-0.41876599583878793,7.751375984952347,0.149922145340976,-1.3562724014335326,-0.6496768813842277,1.4583644347609792,0.1109171914616991,0.8362092086499633,0.0,0.0,0.256308100929598,1.7462970951512977,0.0,2.995732273553991,1.7093023255814344,0.3628921732044301,2.08808366130611,0.8639455782312764,0.6583462063973753,1.0,0.31007751937989875,1.693798449612368,31.30350069125461,0.38274370709383604,1.1395881006865853,1.9302325581396411,1.0,1.0,0.0,0.3628921732044301,1.3333333333333333,0.8812384409226119,1.0426356589147678,0.04191542398892901,1.4539192908010905,-0.6135969476240027,-1.0,1.0,99574.04361003,0.0006076222698579541,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1723887900000000000,1723888080000000000,139.63,139.13,4565.18,-2918.8847884,3.0,False,0.0,-2918.8847884,-0.9771237170439946,0.633664025675228
SOLUSDT:15:1723936500000000000:1:1723944120000000000:1,SOLUSDT:15:1723936500000000000:1,SOLUSDT,1,1723944120000000000,1723941240000000000,142.059,141.249,142.93,1.075308641975317,141.9,1.584962500721156,15:1723936500000000000:1,OBSERVED_OPPOSING_STRUCTURE,141.811,142.499,143.089,142.499,CONTROL_ACCEPTANCE_RETURN,-0.43921568627449714,-0.09018796344197276,-1.0,-0.6994818652850305,-0.7058823529412158,0.039865888269635164,-0.13595166163142383,-0.8933823529411921,2.7764705882353375,0.1481074613684962,0.1340909090909102,-0.1463550361713999,4.839215686274631,0.03202153208460824,0.07239235011146498,0.16463909164639268,0.0,0.0,1.2878048780487668,-0.8220338983051909,-0.1610169491523546,0.23084705969336797,0.5507723650587977,-0.14463962215588214,-0.12782677929801217,-0.9145032577229095,-0.9145032577229095,-0.5602867690494423,-1.2710795102852144,-0.38396635823666747,1.7456536723596467,-0.32191599470454835,1.0308169158756908,1.0,1.0,0.0,1.8352445811677938,0.0,3.8918202981106265,4.662745098039271,0.3951203613167575,3.550237981270436,0.8662741799831852,0.4505656070043571,1.0,0.6235294117646849,3.1764705882353597,57.01856270986015,0.20985777777777717,1.075308641975317,3.4156862745099015,1.0,1.0,1.584962500721156,0.3951203613167575,2.5764705882353818,1.1801227062366755,1.403921568627492,0.09693452818177366,1.4582245610005469,-0.0228562406545745,-0.33102345415779666,1.0,96655.15882163,0.00063071541889855,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1723944120000000000,1723946280000000000,142.1,141.21,2791.85,-2880.22601175,36.0,False,0.0,-2880.22601175,-0.9932996323783903,0.5860496776587109
SOLUSDT:5:1724007000000000000:-1:1724019000000000000:1,SOLUSDT:5:1724007000000000000:-1,SOLUSDT,1,1724019000000000000,1724018160000000000,145.063,144.711,145.58200000000002,1.4744318181820173,145.107,0.0,5:1724007000000000000:-1,OBSERVED_OPPOSING_STRUCTURE,145.024,145.139,145.592,144.97,CONTROL_REJECTION_RETURN,-0.37818181818185914,-0.2075412901215332,-0.24644549763036527,0.028846153846155076,-0.3018181818181698,0.013085784587853708,-0.04751001717229639,-0.21469575200922875,-4.749090909090853,-0.023062274057496987,-0.25678332677939747,-0.6225165562914043,2.03999999999988,0.003774630182558804,0.0317505235157614,-0.510920436817486,0.0,0.0,1.2503617945006842,0.6448979591836086,-0.3551020408163914,0.7276491992349603,1.0319604659349442,0.5360059394022136,0.3113910087506459,0.06893604113988872,0.20656429346677108,0.5294807673822042,-0.5237609140678183,0.2719395737793141,-4.10006474237921,-0.5737577555974839,-0.6490261667116428,1.0,0.0,-0.5812270566287456,3.6428355156125294,0.0,2.70805020110221,1.403636363636319,-0.3458793479077455,1.8821384529727279,1.0907216494845564,0.8709035403534193,1.0,-0.1600000000000372,1.2799999999998843,24.265319206136333,0.4939329545454889,1.4744318181820173,1.8872727272728114,1.0,0.0,0.0,-0.3458793479077455,-0.7309090909090519,0.7483485791892708,0.7890909090909399,0.11606702093678312,1.2239624034963092,-0.2075412901215332,-0.26279069767443075,1.0,93774.93280988,0.0034045797755648706,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1724019000000000000,1724019840000000000,145.1,145.58,4836.77,1829.91454118,14.0,False,0.0,1829.91454118,0.6504632906144838,0.6440755290737218
ETHUSDT:5:1723974300000000000:-1:1724026560000000000:1,ETHUSDT:5:1723974300000000000:-1,ETHUSDT,-1,1724026560000000000,1724025060000000000,2621.99,2629.73,2602.8100000000004,2.4780361757104385,2617.7,0.0,5:1723974300000000000:-1,OBSERVED_OPPOSING_STRUCTURE,2619.68,2622.74,2619.68,2602.8,CONTROL_ACCEPTANCE_RETURN,-2.533969010727012,-0.4339855709249805,-0.6205487448919946,-0.4243641231592816,-2.865315852205045,-0.16398174879041671,-0.23689396925502415,-0.633886760323523,4.297973778307622,-0.026782318399035904,0.136291480837554,-0.03757772370909507,10.660309892729662,0.017417200688806377,0.1412061888222297,0.424760191846533,1.584962500721156,4.128209076174857,17.116521739130448,0.5966850828729398,-0.149171270718214,1.0469462273792034,0.8299329765561227,0.9864613557018334,0.0414462396212765,3.268798918165672,3.1252960702798926,1.7401820388226896,-2.695452679369236,-2.179839994858269,5.158656330749411,-0.6854758573467761,-0.8606825524417889,1.0,-0.0,0.5162248051891369,5.135798437050262,0.0,3.295836866004329,1.7091775923718062,0.2352080125920033,1.9707712042207484,1.2879194630872528,1.1784320645984405,0.0,-1.0226460071513774,1.8450536352801796,29.519563385063393,0.40711007751936734,2.4780361757104385,4.5721096543503394,1.0,1.0,0.0,0.2352080125920033,1.408820023837889,0.8043493812565483,0.576877234803255,0.09424525726260485,1.3007145138669387,-0.4297176408248004,-0.46890343698851533,0.0,95604.84735106,0.004471912291083822,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1724026560000000000,1724026920000000000,2621.59,2602.81,250.899,4252.39758005,6.0,False,0.0,4252.39758005,1.482629698483537,0.463318205053574
SOLUSDT:5:1724073300000000000:-1:1724079420000000000:1,SOLUSDT:5:1724073300000000000:-1,SOLUSDT,-1,1724079420000000000,1724075580000000000,143.39,143.941,142.76399999999998,1.136116152450066,142.872,0.0,5:1724073300000000000:-1,OBSERVED_OPPOSING_STRUCTURE,143.096,143.45,143.096,141.584,CONTROL_ACCEPTANCE_RETURN,-0.9030674846625354,-0.3637771716545904,-0.3702213279677913,-0.3613861386138315,-2.4024539877299476,-0.2387860131787793,-0.3837710701685488,-0.6636245110821237,-1.0012269938649667,-0.0648127752317812,-0.044338187350574425,-0.7499999999999896,-5.793865030674636,-0.011168241697330107,-0.08559620055831446,-0.39588100686497896,0.0,0.0,4.471821756225366,0.7932330827068412,-0.20676691729315877,0.890943902449284,0.6607170615325623,0.2009941132480617,0.29290095664885313,-1.4343587182619189,-5.605891170555877,-0.8550187706417741,-0.11961259079904164,-1.103359564164667,-1.2594594594594357,-1.2990944235652806,0.258232465594469,-1.0,1.0,4.090402086894049,2.151762203259462,0.0,4.174387269895637,1.3104294478527683,0.2653168693163022,2.218459735723162,1.4021739130434534,0.8763062644878843,0.0,-1.2711656441716703,1.3521472392637999,38.42666852639768,0.312883121597087,1.136116152450066,1.5361963190183674,1.0,1.0,0.0,0.2653168693163022,1.7815950920244805,0.9702606055291456,0.7803680981595137,-0.004882830910770507,0.8142299220368746,-0.2811422288122886,-0.4167776298268791,0.0,99857.24493110999,0.0004960602886774114,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1724079420000000000,1724079540000000000,143.36,143.97,3927.55,-2960.05697075,2.0,False,0.0,-2960.05697075,-0.988096214348159,0.6064577302432358
SOLUSDT:60:1724090400000000000:1:1724115120000000000:1,SOLUSDT:60:1724090400000000000:1,SOLUSDT,-1,1724115120000000000,1724088900000000000,146.456,146.82999999999998,145.81,1.7272727272727135,146.2,3.584962500721156,60:1724090400000000000:1,OBSERVED_OPPOSING_STRUCTURE,146.425,146.518,146.766,145.8,CONTROL_REJECTION_RETURN,-0.8686868686868537,-0.07050709939148073,-1.0,-0.5466179159048707,0.2279942279942557,0.08126834329408253,0.03745851114272467,-0.3159478435305656,-6.441558441558592,-0.009391099768409707,-0.25061756119469913,-0.7889855072463736,-7.838383838383965,0.022884833397361214,-0.11037958221571983,-0.8247472315840132,3.584962500721156,3.290886360844473,2.815829528158302,-0.41726618705027735,0.30935251798563507,0.4667150094818078,0.7067590753650651,-0.015463274326628584,-0.4677586625821175,4.722166831899743,5.1321653285729685,1.9459025043812685,-0.3634215304439171,0.6984204909284846,-4.980779220779362,-0.47042626293422884,-1.46077922077923,-0.0,-1.0,-3.0783076286710287,2.0149030205422647,0.0,3.1354942159291497,1.7893217893218447,-0.05015961781921148,3.2545999325932975,1.640000000000037,0.4901687288525241,0.0,-0.7388167388167569,1.079365079365091,25.5366799584855,0.47051229946524653,1.7272727272727135,1.8643578643578698,1.0,0.0,0.0,-0.05015961781921148,-3.5440115440115707,1.7887297848664931,1.240981240981208,0.10348385426482318,1.3376556410606002,0.053586518864641844,-0.532777115613812,0.0,96897.18796036,0.006497382652244924,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1724115120000000000,1724115240000000000,146.43,146.86,4889.11,-2819.28083595,2.0,False,0.0,-2819.28083595,-0.969852994118312,0.6352383470374868
BTCUSDT:5:1724179200000000000:-1:1724181180000000000:1,BTCUSDT:5:1724179200000000000:-1,BTCUSDT,-1,1724181180000000000,1724180400000000000,59300.0,59444.1,59080.299999999996,1.5246356696738832,59171.0,0.0,5:1724179200000000000:-1,OBSERVED_OPPOSING_STRUCTURE,59299.9,59394.8,59444.0,59080.2,CONTROL_ACCEPTANCE_RETURN,-0.26577370461753597,-0.29110270135124383,-1.0,-0.37777777777773736,-0.41945717307014885,0.13230579112539867,-0.14658782951466615,-0.8150289017340953,-0.26436376454000976,0.05416591878519404,-0.022917557905030212,-0.20835623969214478,-3.569263306309539,-0.0041319298095984685,-0.058657243816254555,-0.6945593382119,0.0,0.0,1.8886198547215591,-0.10756972111542813,0.8924302788845718,0.2752108519718379,0.4205200819738846,-0.07130483695020005,0.47851483662700345,1.4747827679795211,1.4747827679795211,1.101511522082917,-0.21315062938938995,-0.792946829930286,-0.18371481261305783,0.37348965686013713,-0.08064895192695193,-0.0,-0.0,-0.7449514008004148,1.6094379124341003,0.0,2.639057329615259,0.6401127952062308,0.24947017524921059,2.5406166224510756,2.4207048458149325,0.3241837417051593,0.0,-0.9094113500176336,1.0158618258724006,24.300168634063837,0.49442373351839497,1.5246356696738832,1.5488191751851013,1.0,1.0,1.584962500721156,0.24947017524921053,1.6721889319704393,0.5761447883100115,0.4145223827987558,0.3664590233674679,1.6656799369089463,-0.15910109375777995,-0.9940476190477041,0.0,94077.90712441,0.0005886199150292471,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1724181180000000000,1724183040000000000,59290.3,59455.399999999994,12.339,-2769.77049615,31.0,False,0.0,-2769.77049615,-0.9813747565930349,0.5797764902423457
SOLUSDT:5:1724250000000000000:-1:1724259120000000000:1,SOLUSDT:5:1724250000000000000:-1,SOLUSDT,-1,1724259120000000000,1724251860000000000,140.949,141.593,139.582,2.1226708074535208,139.9,0.0,5:1724250000000000000:-1,OBSERVED_OPPOSING_STRUCTURE,140.948,141.249,141.356,139.024,CONTROL_ACCEPTANCE_RETURN,-0.7200000000000097,-0.1562445968532073,-1.0,-0.50854700854708,-1.4999999999999798,-0.08288147473754602,-0.5591054313098806,-0.6530920060332317,-2.251428571428548,0.009656747552827754,-0.15579280347963861,-0.8458445040214726,1.7857142857142423,0.030969029478694003,0.018901019142952218,-0.21147145537390655,0.0,0.0,8.5714285714286,-0.39743589743600644,0.3803418803419063,1.1775862635240901,0.8530918093641142,-0.13783107285142948,-0.10217210167018093,0.6384880602727794,-1.280869851826294,0.22081861236152872,-0.5615403363392866,-0.7115931432285382,-1.7648062393370385,-0.7884068567714416,-0.4866223320915093,-0.0,-0.0,-1.7817550606206294,1.9740810260220096,0.0,4.804021044733257,2.5028571428570956,0.07132551790863156,2.4665027332086824,2.197488584474887,1.2286484768138375,0.0,-2.997142857142803,1.8399999999998895,45.6902851385946,0.2632378881987672,2.1226708074535208,3.905714285714244,1.0,1.0,1.584962500721156,0.07132551790863156,1.8428571428571272,0.5415942886287003,0.4828571428570817,-0.01922116460221448,0.6281035947247915,-0.11230379746835444,-0.9845559845559134,0.0,91308.13662826,0.006303685917720344,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1724259120000000000,1724260920000000000,140.92,141.62,3175.37,-2671.3435199,30.0,False,0.0,-2671.3435199,-0.9752119283650694,0.4906292553663645
