plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,move_3,flow_3,efficiency_3,location_3,move_15,flow_15,efficiency_15,location_15,move_60,flow_60,efficiency_60,location_60,move_240,flow_240,efficiency_240,location_240,context_scale,context_age,source_strength,body,wick,activity,range_expansion,impact_residual,flow_change,basis,basis_change,basis_dislocation,market_5,market_15,market_60,relative_15,relative_60,context_15,context_60,channel_location,source_age,source_kind,event_age,penetration,event_flow,event_activity,return_depth,return_activity,origin_overlap,entry_distance,risk_range,risk_bps,cost_r,planned_rr,target_range,is_origin_return,acceptance,control_frame,attack_flow,attack_progress,attack_activity,response_progress,response_flow,response_activity,retracement_flow,retracement_efficiency,liquidity_origin_overlap,label_closed,label_net_r,label_win,label_hold,label_ambiguous,month,forecast,utility
ETHUSDT:5:1723766700000000000:-1:1723770600000000000:1,ETHUSDT:5:1723766700000000000:-1,ETHUSDT,1,1723770600000000000,1723768200000000000,2569.06,2564.68,2578.7,2.2009132420090487,2565.11,0.0,5:1723766700000000000:-1,OBSERVED_OPPOSING_STRUCTURE,2567.73,2569.2,2578.71,2565.91,CONTROL_REJECTION_RETURN,-0.2939832444782666,-0.14031814852117383,-1.0,-0.2956298200514469,-0.7159177456207515,-0.2663362245642261,-0.21678966789669318,-0.7342386032977889,-0.40517897943637965,-0.11317439481459803,-0.03183341311632136,-0.3766048502139948,4.4554455445544185,0.026019429752549006,0.07615799203270225,0.3137185395249875,0.0,0.0,1.3740340030911646,-0.18099547511316036,0.42081447963792806,0.6364940872036879,0.6311842440523103,0.003284478661499224,0.20960880131513532,-1.0897740275717105,-0.08448053667953204,-0.32751750332046076,-0.8625874125874173,-0.6934922519828424,-0.4066822066821749,-0.022425493637909133,0.001503227245795269,-1.0,-1.0,-0.11055669699634862,1.791759469228055,0.0,3.713572066704308,0.06397562833207453,-0.21025395361957863,2.03032762277632,0.7095588235294232,0.6118524516329279,0.0,0.601675552170569,0.6671744097486783,17.049037391108456,0.7032520547945029,2.2009132420090487,1.4683929931454367,1.0,0.0,0.0,-0.2102539536195787,-0.2239146991621916,0.8429955887808032,1.0662604722010574,-0.14206352329560523,0.7753248130331135,-0.25020255773907574,-0.7187500000001269,0.0,1723770840000000000,-0.9667097593023483,0,4.0,False,2024-08,0.177273372509404,-0.01990959456391788
XRPUSDT:5:1723758000000000000:1:1723771140000000000:1,XRPUSDT:5:1723758000000000000:1,XRPUSDT,1,1723771140000000000,1723760880000000000,0.558,0.5567,0.561,2.30769230769217,0.5582,0.0,5:1723758000000000000:1,OBSERVED_OPPOSING_STRUCTURE,0.5576,0.5582,0.5621,0.5582,CONTROL_ACCEPTANCE_RETURN,-0.45714285714282815,-0.3266443154356385,-1.0,-1.0,-1.2571428571429042,-0.2773183166423636,-0.6875000000000216,-1.0,-1.3714285714286114,-0.12812565234682502,-0.17391304347826017,-1.0,0.8571428571429296,-0.049966643312479624,0.02400000000000091,-0.09333333333332228,0.0,0.0,1.7000000000000333,-0.8,-0.2,1.2779244475516547,0.8323443107200992,-0.16281654348740798,0.029786795706460784,-3.5829451809388235,-1.7946762252885051,-2.172492604455195,-1.1420436817472537,-2.7282466367906926,-2.7708956926432764,1.4711037796477884,1.399467121214665,1.0,0.0,-1.9057471264368155,2.3608540011180215,0.0,5.147494476813453,0.9142857142857197,-0.07524328365010917,2.338085174719141,1.0512820512820455,1.1369774988830945,1.0,-0.11428571428570704,0.7428571428572226,23.297491039427936,0.5144769230768919,2.30769230769217,1.714285714285796,1.0,1.0,0.0,-0.07524328365010921,0.05714285714285352,1.0551045607971699,0.9714285714286367,-0.0016632498343525366,1.3298269903153221,-0.3266443154356385,-1.0,1.0,1723773780000000000,1.2609635882288843,1,44.0,False,2024-08,0.350253321722902,-0.006785533006394902
BTCUSDT:15:1723769100000000000:-1:1723771560000000000:1,BTCUSDT:15:1723769100000000000:-1,BTCUSDT,-1,1723771560000000000,1723768260000000000,57230.0,57372.0,57062.2,1.1816901408450908,57326.5,1.584962500721156,15:1723769100000000000:-1,OBSERVED_OPPOSING_STRUCTURE,57220.0,57330.0,57220.0,57062.1,CONTROL_ACCEPTANCE_RETURN,-0.30469644902635534,0.03190915397066,-1.0,-0.9418960244647887,0.9522718594883268,0.2729843512233357,0.29954359836656397,-0.10351626684193138,1.5677739595265503,0.21356636569069062,0.12203530880342751,0.36677352442013755,-2.470408552882766,-0.0056332105849023015,-0.04140270045434208,0.3063632532659122,3.584962500721156,1.2335316065674804,1.1315883829329545,-0.9263565891472387,0.07364341085276127,0.4203909720468687,0.4164386695531312,-0.12186548527776592,-0.17986712108108055,-0.0,0.017498455759934473,-0.4557824084902874,-0.7017699919813599,0.9928155263306937,1.4464160720829418,-0.04054366684236688,0.12135788744360854,1.0,1.0,1.216932879462331,1.1420974006078486,0.0,2.302585092994046,2.0190912562046583,0.3520190412749067,2.21212286229236,0.6350226928895633,0.4203909720468687,1.0,0.736922489499805,1.0843833524245836,24.81216145378298,0.4842338028169013,1.1816901408450908,1.281405116456678,1.0,1.0,0.0,0.3520190412749067,0.6636120656739287,0.96584923762187,0.40931653302785986,0.24099699948959222,1.249598237667874,-0.10895042224392483,-1.0,1.0,1723773360000000000,-0.9735639233717476,0,30.0,False,2024-08,0.4471687517388223,-0.009338724489256264
SOLUSDT:5:1723768500000000000:-1:1723771920000000000:1,SOLUSDT:5:1723768500000000000:-1,SOLUSDT,-1,1723771920000000000,1723770780000000000,141.446,142.10399999999998,140.683,1.1595744680851372,141.662,0.0,5:1723768500000000000:-1,OBSERVED_OPPOSING_STRUCTURE,141.244,141.519,141.244,140.673,CONTROL_ACCEPTANCE_RETURN,-0.6389658356417268,-0.4628223844282238,-0.5103244837758186,-0.8616144975288249,-0.024007386888282377,0.05605683022543038,-0.00549682875264483,-0.896932515337419,0.5614035087719197,0.039968285501752764,0.041214750542298964,0.19896373056995498,-2.05540166204981,0.002311209452276204,-0.03246885848478638,0.4982126899017021,0.0,0.0,1.784482758620689,-0.7867036011080324,0.019390581717465917,1.138542961096152,1.0163106239975876,-0.10356328443418295,-0.6529990231191869,-1.2699256837178652,-4.123119304410006,-1.2252634460616891,-0.23673862760214168,-0.11047575287745542,0.689244410177347,0.08646836598917304,-0.12784090140542737,1.0,1.0,-4.195874149348443,2.151762203259462,0.0,2.995732273553991,1.8264081255770634,0.18017351536754322,1.4525722646961698,0.7815975733063627,1.138542961096152,0.0,0.398891966759008,1.2151431209602415,46.51951981674894,0.25855623100304453,1.1595744680851372,1.4090489381347855,1.0,1.0,0.0,0.18017351536754322,0.9399815327792678,0.5036915756243098,1.1375807940904867,0.268138549872296,1.1947152490143909,-0.7342252140939883,-1.0,0.0,1723773660000000000,-0.9832067034907674,0,29.0,False,2024-08,0.7088101867009493,0.007353668058743252
SOLUSDT:15:1723770900000000000:1:1723776240000000000:1,SOLUSDT:15:1723770900000000000:1,SOLUSDT,1,1723776240000000000,1723775460000000000,142.779,141.935,144.037,1.4905213270142401,142.603,1.584962500721156,15:1723770900000000000:1,OBSERVED_OPPOSING_STRUCTURE,142.591,143.081,144.047,143.081,CONTROL_ACCEPTANCE_RETURN,-0.8974358974359132,-0.1313938741785481,-1.0,-0.8964285714285849,0.873767258382602,-0.05286485370636843,0.10802243355278954,-0.5419921875000062,2.4220907297830307,0.0452683693733451,0.13903985507246575,0.04505594194133655,-1.729783037475347,-0.011877500236511743,-0.02853053124695046,0.14301221166892453,0.0,0.0,1.7837338262476827,-0.7333333333333018,-0.07333333333339649,0.7858390604882727,0.789112477580909,-0.39582486619266344,0.1318505532296894,0.14007858408549012,-0.4183661473389222,0.8316638879734363,-0.9773175542406352,1.5296325254104586,3.974706802189247,-0.6558652670278565,-1.5526160724062161,0.0,-1.0,-0.44669056643427185,1.80280930541464,0.0,2.639057329615259,3.4615384615384186,0.1928712965270115,2.3972716763194715,0.8781163434903122,0.7952213085715836,1.0,0.3471400394477041,1.6646942800788673,59.11233444694207,0.20240331753554644,1.4905213270142401,2.4812623274161685,1.0,1.0,0.0,0.1928712965270115,1.1656804733727297,1.0981550226103673,1.4714003944772653,-0.049248447750936945,1.782732063355745,-0.1313938741785481,-0.9848812095032902,1.0,1723779540000000000,-0.9861259640524995,0,55.0,False,2024-08,0.41445756226012287,-0.004244389666207186
XRPUSDT:5:1723747500000000000:1:1723776240000000000:1,XRPUSDT:5:1723747500000000000:1,XRPUSDT,1,1723776240000000000,1723775520000000000,0.5646,0.5627,0.5665,1.0,0.5649,0.0,5:1723747500000000000:1,OBSERVED_OPPOSING_STRUCTURE,0.5638,0.5652,0.5666,0.5652,CONTROL_ACCEPTANCE_RETURN,-0.7000000000000333,0.2375440327217506,-0.4117647058823376,-1.0,1.1999999999999778,0.04963205039264876,0.17142857142856827,-0.21212121212122437,4.700000000000033,0.1759637904603324,0.25133689839572326,0.5,3.2999999999999665,0.0037633941687056157,0.05436573311367303,0.5454545454545465,0.0,0.0,6.583333333333372,-1.0,0.0,1.018193472880884,0.8347976976229936,-1.0204317922408863,0.7147242392782881,-0.7935962432736865,-2.197789148079554,0.01015488232485308,-0.9773175542406352,1.5296325254104586,3.974706802189247,-0.3296325254104808,0.7252931978107862,0.0,0.0,3.5924242424242117,4.547541073151455,0.0,2.5649493574615367,1.7000000000000333,0.4130484164533598,2.592433542000301,1.176470588235271,0.6988070299178886,1.0,-0.2999999999999667,1.900000000000011,33.65214311016672,0.35598947368420814,1.0,1.900000000000011,1.0,1.0,0.0,0.41304841645335966,2.800000000000022,1.244860377375769,0.1999999999999778,-0.14512111457454294,1.1606401883452009,0.2375440327217506,-0.4374999999999783,1.0,1723777440000000000,0.5499429399431678,1,20.0,False,2024-08,0.28429869996653195,-0.017147524267384435
ETHUSDT:60:1723762800000000000:1:1723776480000000000:1,ETHUSDT:60:1723762800000000000:1,ETHUSDT,1,1723776480000000000,1723775520000000000,2585.4,2569.66,2604.77,1.2306226175349173,2588.42,3.584962500721156,60:1723762800000000000:1,OBSERVED_OPPOSING_STRUCTURE,2580.79,2593.06,2604.78,2593.06,CONTROL_ACCEPTANCE_RETURN,-0.7236737925573506,-0.12613762918217808,-0.48054679284959034,-0.9038461538461339,-3.3048297703879195,-0.2748937529069002,-0.5569789164664999,-0.9650807507638504,3.5629453681709906,0.012786256847502864,0.17828843106180692,0.04058441558441572,0.8598574821853118,-0.04006835082389598,0.01436165992224157,0.18538938662991433,0.0,0.0,2.63460183227624,-0.9306759098786669,0.06932409012133314,0.6386678085557481,1.0163489691874816,-0.4640574062328372,-0.44634902404722554,-1.447664342455468,2.3313628279786336,-0.2533300551382855,-0.7639416062882814,-2.675615429197774,4.759186864738082,-0.6292143411901456,-1.1962414965670911,-1.0,-1.0,4.003306973400495,1.5114575040738967,0.0,2.833213344056216,3.2652414885193526,0.42529828024536787,3.331376559451151,1.1845965770171123,0.7307380050106638,1.0,-0.4782264449722812,2.4924782264449883,60.88032799566889,0.19650800508258912,1.2306226175349173,3.06730007917652,1.0,1.0,0.0,0.42529828024536775,3.9477434679335035,1.8555735709782528,0.20902612826605738,-0.10766349876762513,2.0957563701980484,-0.3042781585501011,-0.4508101851852016,1.0,1723788420000000000,0.9060371301981495,1,199.0,False,2024-08,0.3598104303998342,-0.009850174454064073
XRPUSDT:5:1723776000000000000:1:1723778400000000000:1,XRPUSDT:5:1723776000000000000:1,XRPUSDT,1,1723778400000000000,1723777440000000000,0.5657,0.5641,0.5683,1.6250000000000955,0.5666,0.0,5:1723776000000000000:1,OBSERVED_OPPOSING_STRUCTURE,0.5655,0.5658,0.5684,0.5658,CONTROL_ACCEPTANCE_RETURN,-0.8000000000000222,-0.08627628355879201,-1.0,-0.33333333333338266,-1.0,0.06479220036718296,-0.2,-0.6875000000000325,2.199999999999978,0.040930772089682266,0.10280373831775458,0.03571428571428137,4.900000000000011,0.01869590696807151,0.07716535433070837,0.49056603773584495,0.0,0.0,3.800000000000022,-0.5833333333333719,0.4166666666666281,1.0825511164307686,1.1079581510863274,-0.5146501381747908,-0.3486758470786619,-4.079650150916603,-3.560453122980478,-2.6944390358374672,-0.45167902970414175,-0.7458878391075155,2.4487099296325185,-0.25411216089248445,-0.24870992963254057,0.0,0.0,4.571969696969678,1.7578579175523736,0.0,2.833213344056216,1.0,0.24733967831601614,1.8548311107736764,1.5,1.0825511164307686,0.0,-0.9000000000000111,1.5999999999999335,28.283542513698688,0.4236750000000172,1.6250000000000955,2.6000000000000445,1.0,1.0,0.0,0.24733967831601628,1.3000000000000778,0.7314654532517155,-0.40000000000006664,-0.38792583134916886,1.6447671743776886,-0.30915412923845514,-1.0,0.0,1723780080000000000,-0.9757673456274663,0,28.0,False,2024-08,0.36609805293614933,-0.009344443542385662
SOLUSDT:5:1723781400000000000:1:1723783800000000000:1,SOLUSDT:5:1723781400000000000:1,SOLUSDT,1,1723783800000000000,1723782360000000000,141.878,141.507,142.29000000000002,1.1105121293802043,142.156,0.0,5:1723781400000000000:1,OBSERVED_OPPOSING_STRUCTURE,141.719,141.937,142.3,141.564,CONTROL_ACCEPTANCE_RETURN,-0.657446808510695,-0.2512019230769231,-1.0,-0.8882352941177832,-0.7212765957447401,-0.006426962880493914,-0.35646687697161844,-0.9138321995465899,-0.7170212765957836,0.06572515209177766,-0.05999643938045785,-0.15456674473071585,-0.8595744680851612,-0.0206845596462688,-0.013903228026706297,-0.34599728629580284,0.0,0.0,1.3538135593220717,-0.8802395209581939,0.10778443113755742,0.6873549162801283,0.7194460586985193,-0.21314692690002646,-0.30690551318396636,-1.5503875969002934,-1.5503875969002934,-0.8369491152144001,-0.17190636544936694,0.12775144124410145,0.7125570776256221,-0.8490280369888416,-1.4295783542214058,1.0,0.0,-0.8897608885217284,1.4350845252893227,0.0,3.2188758248682006,0.27872340425532033,0.21746462543806488,2.7732600731946806,2.9305555555556215,0.6873549162801283,0.0,-0.5914893617021717,0.7893617021276208,26.14922680048922,0.45830458221026615,1.1105121293802043,0.8765957446809267,1.0,1.0,1.584962500721156,0.21746462543806488,0.9127659574467546,0.6935052904903378,0.27234042553194604,0.11643511209346384,0.6070961995908246,-0.21858758789361052,-1.0,0.0,1723784340000000000,0.537460377962783,1,9.0,False,2024-08,0.5486783367675249,-0.004970678647634187
ETHUSDT:5:1723784700000000000:1:1723788300000000000:1,ETHUSDT:5:1723784700000000000:1,ETHUSDT,-1,1723788300000000000,1723785720000000000,2598.75,2603.01,2593.07,1.3333333333332267,2598.88,0.0,5:1723784700000000000:1,OBSERVED_OPPOSING_STRUCTURE,2598.4,2600.95,2601.04,2592.22,CONTROL_REJECTION_RETURN,-0.7920792079207992,0.0048901073492258204,-0.69204152249138,-0.9550898203592562,-0.18019801980195302,0.1832801886718414,-0.04360325826544796,-0.7343957503320124,-0.8118811881188012,0.008985308181029565,-0.06124887959366456,-0.3194555644515493,-6.683168316831743,-8.761821321207651e-05,-0.09822182125083784,-0.5823863636363629,0.0,0.0,2.6215686274510057,-0.8762886597937838,-0.020618556701009986,0.48660455956756854,0.8723202605649263,-0.4262836197526623,-0.38605981062140815,-0.0,-0.22304150217644647,-0.3232951531178189,-0.41815776671060856,-0.14164149043301252,-0.9128902316213471,-0.038556529368940495,0.10100904350254591,-0.0,-1.0,2.742135647802667,1.4816045409242156,0.0,3.784189633918261,0.8158415841584016,-0.005379487308495479,2.5956358662781582,0.980480480480465,0.48660455956756854,1.0,0.025742574257447585,0.8435643564356944,16.392496392497232,0.7326422535210891,1.3333333333332267,1.1247524752475024,1.0,0.0,1.584962500721156,-0.005379487308495393,-0.7089108910891009,0.6026792368268661,0.21782178217820178,-0.017736287293679983,0.9096215521862464,-0.18440180509146012,-1.0,1.0,1723788420000000000,-0.9659891200430942,0,2.0,False,2024-08,0.44203983691547327,-0.01078692119684124
