client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,price,expire_time_ns,is_post_only,display_qty,trigger_instrument_id,trigger_price,trigger_type
O-20250303-164500-001-000-1,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-b458527b6b75ae06-14352,MARKET,BUY,8.027,GTC,False,False,8.027,TAKER,90019.3,0.0,['614.19718294 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250303-164500-001-000-1,"['O-20250303-164500-001-000-2', 'O-20250303-164500-001-000-3']",,,,,"['v107-regime-rotation-18-1741020300000000000', 'candidate-02-v53']",030359d0-384c-49fe-84de-ee2281a027dc,2025-03-03 16:45:00+00:00,2025-03-03 16:45:00+00:00,,,,,,,
O-20250303-164500-001-000-3,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-003,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-e3bfddd52c9c79e8-14433,LIMIT,SELL,8.027,GTC,True,False,8.027,MAKER,90398.7,0.0,['217.68910947 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250303-164500-001-000-1,['O-20250303-164500-001-000-2'],O-20250303-164500-001-000-1,,,,"['v107-regime-rotation-18-1741020300000000000', 'opposite-auction-liquidity']",d58696c2-ee7b-49be-acfd-a2ff546dd5ab,2025-03-03 16:45:00+00:00,2025-03-03 17:07:00+00:00,90398.7,,True,,,,
O-20250303-204500-001-000-4,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-004,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-0cc60fc6f1b6b1f6-15281,MARKET,BUY,7.706,GTC,False,False,7.706,TAKER,85371.6,0.0,['559.19251716 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250303-204500-001-000-2,"['O-20250303-204500-001-000-5', 'O-20250303-204500-001-000-6']",,,,,"['v107-regime-rotation-6-1741034700000000000', 'candidate-02-v53']",d4451004-226d-45c7-8060-3e3490360c9c,2025-03-03 20:45:00+00:00,2025-03-03 20:45:00+00:00,,,,,,,
O-20250303-204500-001-000-6,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-006,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-341bed130503cb5b-15293,LIMIT,SELL,7.706,GTC,True,False,7.706,MAKER,85775.4,0.0,['198.29556972 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250303-204500-001-000-2,['O-20250303-204500-001-000-5'],O-20250303-204500-001-000-4,,,,"['v107-regime-rotation-6-1741034700000000000', 'opposite-auction-liquidity']",44f067d4-32cc-4052-bc94-84fdcd7dcc59,2025-03-03 20:45:00+00:00,2025-03-03 20:48:00+00:00,85775.4,,True,,,,
O-20250304-033000-001-000-7,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-007,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-a5678f3fb00a2bd9-16846,MARKET,SELL,7.823,GTC,False,False,7.823,TAKER,83981.1,0.0,['558.43652351 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250304-033000-001-000-3,"['O-20250304-033000-001-000-8', 'O-20250304-033000-001-000-9']",,,,,"['v107-regime-rotation-15-1741059000000000000', 'candidate-02-v53']",624dc639-cd51-42df-a2ce-026086cd9116,2025-03-04 03:30:00+00:00,2025-03-04 03:30:00+00:00,,,,,,,
O-20250304-033000-001-000-9,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-009,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-696be9638f389850-16910,LIMIT,BUY,7.823,GTC,True,False,7.823,MAKER,83557.2,0.0,['196.10039268 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250304-033000-001-000-3,['O-20250304-033000-001-000-8'],O-20250304-033000-001-000-7,,,,"['v107-regime-rotation-15-1741059000000000000', 'opposite-auction-liquidity']",dc6b0d05-10c7-4d7c-873e-f8d39d194ec0,2025-03-04 03:30:00+00:00,2025-03-04 03:47:00+00:00,83557.2,,True,,,,
O-20250307-154500-001-000-10,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-010,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-8e1945eb24f7a61f-36020,MARKET,BUY,4.715,GTC,False,False,4.715,TAKER,88482.59999999999,0.0,['354.61614015 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250307-154500-001-000-4,"['O-20250307-154500-001-000-11', 'O-20250307-154500-001-000-12']",,,,,"['v107-regime-rotation-15-1741362300000000000', 'candidate-02-v53']",b1e051e8-280e-4b47-adf3-009d59d0d823,2025-03-07 15:45:00+00:00,2025-03-07 15:45:00+00:00,,,,,,,
O-20250307-154500-001-000-11,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-011,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-a8dd3912a9def5db-36167,STOP_MARKET,SELL,4.715,GTC,True,False,4.715,TAKER,87942.20000000001,0.0,['352.45035205 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250307-154500-001-000-4,['O-20250307-154500-001-000-12'],O-20250307-154500-001-000-10,,,,"['v107-regime-rotation-15-1741362300000000000', 'auction-rotation-invalidation']",7540e4ac-838f-47ee-abc2-ac6bcdde2f7b,2025-03-07 15:45:00+00:00,2025-03-07 16:22:00+00:00,,,,,,87942.2,DEFAULT
O-20250307-195500-001-000-13,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-013,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-cffbae17e9b32d0f-36995,MARKET,BUY,7.130,GTC,False,False,7.130,TAKER,87573.6,0.0,['530.73980280 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250307-195500-001-000-5,"['O-20250307-195500-001-000-14', 'O-20250307-195500-001-000-15']",,,,,"['v107-regime-rotation-18-1741377300000000000', 'candidate-02-v53']",d988a110-b5dd-498a-bc0a-d03cb8547657,2025-03-07 19:55:00+00:00,2025-03-07 19:55:00+00:00,,,,,,,
O-20250307-195500-001-000-15,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-015,BTCUSDT-PERP.BINANCE-V53RotationStrategy-000,BINANCE-001,T-8ac41b381a2aa827-37048,LIMIT,SELL,7.130,GTC,True,False,7.130,MAKER,88225.7,0.0,['188.71477230 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250307-195500-001-000-5,['O-20250307-195500-001-000-14'],O-20250307-195500-001-000-13,,,,"['v107-regime-rotation-18-1741377300000000000', 'opposite-auction-liquidity']",7f0b6162-a826-4094-a058-261428a29649,2025-03-07 19:55:00+00:00,2025-03-07 20:09:00+00:00,88225.7,,True,,,,
